"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.359928500E-2,-4.095084667E-1,9.254601598E-2,1.039997265E-1
2.844949300E-2,-4.302778840E-1,1.059850380E-1,1.039997265E-1
3.329980600E-2,-4.235583544E-1,1.194240674E-1,9.544762224E-2
3.815001400E-2,-3.930151165E-1,1.371391416E-1,7.589995116E-2
4.300032700E-2,-3.410916328E-1,1.652389169E-1,5.024362728E-2
4.785053500E-2,-2.769508064E-1,1.957821548E-1,2.214384824E-2
5.270084800E-2,-2.085339576E-1,2.257145345E-1,-5.345067009E-3
5.755116000E-2,-1.419496983E-1,2.501491308E-1,-3.039052337E-2
6.240136800E-2,-8.391755074E-2,2.703076601E-1,-5.482511222E-2
6.725168100E-2,-3.443750367E-2,2.880227566E-1,-7.803797722E-2
7.210188900E-2,-2.290742996E-4,3.045161068E-1,-9.758564830E-2
7.695220200E-2,1.687514037E-2,3.161225319E-1,-1.128572673E-1
8.180241000E-2,1.382081583E-2,3.185659945E-1,-1.238528341E-1
8.665272300E-2,-1.305723470E-2,3.026835024E-1,-1.269071549E-1
9.150303500E-2,-6.742420048E-2,2.629773021E-1,-1.226311028E-1
9.635324300E-2,-1.498909444E-1,2.079994529E-1,-1.067486182E-1
1.012035560E-1,-2.470184416E-1,1.591302752E-1,-8.353576064E-2
1.060537640E-1,-3.484219909E-1,1.371391416E-1,-5.360338464E-2
1.109040770E-1,-4.345539212E-1,1.566868126E-1,-2.122755162E-2
1.157542850E-1,-4.999164641E-1,2.189950198E-1,8.704823442E-3
1.206045980E-1,-5.420661569E-1,3.014617562E-1,3.008509055E-2
1.254549100E-1,-5.665007234E-1,3.796524704E-1,3.985892609E-2
1.303051180E-1,-5.701659322E-1,4.395172000E-1,3.863719851E-2
1.351554310E-1,-5.591703653E-1,4.798342884E-1,3.008509055E-2
1.400056390E-1,-5.310705900E-1,5.054906011E-1,1.542433538E-2
1.448559520E-1,-4.883100390E-1,5.268708467E-1,-2.901607659E-3
1.497061600E-1,-4.333322048E-1,5.488619804E-1,-2.550360374E-2
1.545564730E-1,-3.655261993E-1,5.763509274E-1,-4.871646687E-2
1.594067850E-1,-2.922224402E-1,6.062833071E-1,-7.315105945E-2
1.642569930E-1,-2.164752036E-1,6.356047988E-1,-1.006399691E-1
1.691073060E-1,-1.431714296E-1,6.618719697E-1,-1.275180280E-1
1.739575140E-1,-7.780890167E-2,6.844739914E-1,-1.531743407E-1
1.788078270E-1,-2.222020552E-2,7.034108043E-1,-1.751654744E-1
1.836580350E-1,2.237292193E-2,7.186824083E-1,-1.947131455E-1
1.885083480E-1,5.352702737E-2,7.302888632E-1,-2.093739063E-1
1.933585560E-1,6.818778068E-2,7.370083332E-1,-2.185368687E-1
1.982088680E-1,6.696604937E-2,7.357866168E-1,-2.228129357E-1
2.030590770E-1,5.108356848E-2,7.235693336E-1,-2.215912044E-1
2.079093890E-1,1.687514037E-2,6.997455955E-1,-2.167042792E-1
2.127597020E-1,-3.016144782E-2,6.716458201E-1,-2.093739063E-1
2.176099100E-1,-8.575014025E-2,6.441569328E-1,-2.014326602E-1
2.224602230E-1,-1.437823027E-1,6.227766275E-1,-1.941022873E-1
2.273104310E-1,-2.005927265E-1,6.117810607E-1,-1.886045039E-1
2.321607430E-1,-2.537379563E-1,6.056724191E-1,-1.824958473E-1
2.370109520E-1,-3.056614697E-1,5.977311730E-1,-1.733328849E-1
2.418612640E-1,-3.594175577E-1,5.806269646E-1,-1.623373181E-1
2.467114730E-1,-4.150062501E-1,5.592467189E-1,-1.476765573E-1
2.515617850E-1,-4.730384052E-1,5.366446972E-1,-1.311832070E-1
2.563185040E-1,-5.304597020E-1,5.170970559E-1,-1.140789986E-1
2.610737120E-1,-5.884918571E-1,5.115992427E-1,-9.514218569E-2
2.658288680E-1,-6.459131241E-1,5.177078843E-1,-7.376192510E-2
2.705840770E-1,-7.002801299E-1,5.225948095E-1,-5.177079141E-2
2.753392330E-1,-7.479275465E-1,5.262600183E-1,-3.222311661E-2
2.800944410E-1,-7.888554931E-1,5.366446972E-1,-1.817322709E-2
2.848495980E-1,-8.212313652E-1,5.519163013E-1,-1.023198478E-2
2.896048060E-1,-8.444442153E-1,5.677987933E-1,-7.788525894E-3
2.943599620E-1,-8.597158194E-1,5.787943602E-1,-7.788525894E-3
2.991151700E-1,-8.670461774E-1,5.830704570E-1,-8.399390616E-3
3.038703270E-1,-8.670461774E-1,5.745183229E-1,-8.399390616E-3
3.086255350E-1,-8.609375358E-1,5.568032265E-1,-8.399390616E-3
3.133806910E-1,-8.468876481E-1,5.287034512E-1,-9.621120058E-3
3.181359000E-1,-8.267291188E-1,4.871646762E-1,-1.389717404E-2
3.228910560E-1,-7.998510599E-1,4.321868420E-1,-2.061668597E-2
3.276462640E-1,-7.674752474E-1,3.692677617E-1,-3.100138716E-2
3.324014200E-1,-7.277690172E-1,3.002400398E-1,-4.627300799E-2
3.371566290E-1,-6.795107126E-1,2.342666388E-1,-6.459894776E-2
3.419117850E-1,-6.153699160E-1,1.823431402E-1,-8.903354406E-2
3.466669930E-1,-5.408443809E-1,1.395826042E-1,-1.177441850E-1
3.514222020E-1,-4.620428383E-1,9.926552325E-2,-1.452330947E-1
3.561773580E-1,-3.887390792E-1,5.406153202E-2,-1.666133702E-1
3.609325140E-1,-3.270417452E-1,7.635809947E-3,-1.769980639E-1
3.656877230E-1,-2.763399482E-1,-3.207040206E-2,-1.751654744E-1
3.704428790E-1,-2.335794270E-1,-5.772672221E-2,-1.666133702E-1
3.751980870E-1,-1.987601221E-1,-7.116574794E-2,-1.519526094E-1
3.799532430E-1,-1.724929363E-1,-7.971785218E-2,-1.348484010E-1
3.847084520E-1,-1.645517051E-1,-1.182023361E-1,-1.195767820E-1
3.894636080E-1,-1.865428388E-1,-1.951712966E-1,-1.159115955E-1
3.942188160E-1,-1.987601221E-1,-2.104429156E-1,-1.201876476E-1
3.989739730E-1,-1.932623386E-1,-1.768453568E-1,-1.250745654E-1
4.037291810E-1,-1.865428388E-1,-1.548542231E-1,-1.330158114E-1
4.084843370E-1,-1.804341823E-1,-1.237001196E-1,-1.348484010E-1
4.132395450E-1,-1.657734364E-1,-7.483093441E-2,-1.269071549E-1
4.179947020E-1,-1.547778696E-1,-5.772672221E-2,-1.171333194E-1
4.227499100E-1,-1.572213173E-1,-5.222893879E-2,-1.055268943E-1
4.275050660E-1,-1.639408320E-1,-5.589412898E-2,-8.536835015E-2
4.322602750E-1,-1.669951528E-1,-1.102610901E-1,-5.726857483E-2
4.370154310E-1,-1.700494885E-1,-1.689041108E-1,-3.833176568E-2
4.417706390E-1,-1.731038094E-1,-2.312123179E-1,-2.122755162E-2
4.465257950E-1,-1.767689884E-1,-2.806923687E-1,-3.512472380E-3
4.512810040E-1,-1.804341823E-1,-2.996291816E-1,8.093958721E-3
4.560361600E-1,-1.828776449E-1,-2.892444730E-1,1.420260593E-2
4.607913680E-1,-1.804341823E-1,-2.532034516E-1,1.298087649E-2
4.655465250E-1,-1.706603467E-1,-1.963930279E-1,6.261364091E-3
4.703016810E-1,-1.578321904E-1,-1.359174103E-1,-3.512472380E-3
4.750568890E-1,-1.407279670E-1,-9.376774728E-2,-1.328630932E-2
4.798120450E-1,-1.217911690E-1,-7.544180006E-2,-1.817322709E-2
4.845672540E-1,-9.918916970E-2,-7.666353136E-2,-2.061668597E-2
4.893224100E-1,-7.719803602E-2,-8.460476995E-2,-1.939495653E-2
4.940776180E-1,-5.459604040E-2,-8.338304609E-2,-2.061668597E-2
4.988327750E-1,-3.260490671E-2,-6.933315098E-2,-2.489273995E-2
5.035879830E-1,-1.488982886E-2,-3.268126398E-2,-3.588830680E-2
5.083431390E-1,-2.061668551E-3,1.007926930E-2,-4.566214234E-2
5.130983480E-1,3.436114406E-3,4.306596518E-2,-4.749473557E-2
5.178535040E-1,2.825249685E-3,6.872228533E-2,-4.444041103E-2
5.226087120E-1,-3.894262947E-3,8.338304609E-2,-3.405570984E-2
5.273638680E-1,-1.794415340E-2,1.004872546E-1,-1.878409274E-2
5.321190250E-1,-3.627009690E-2,1.237001196E-1,-3.512472380E-3
5.368742330E-1,-6.009382382E-2,1.530216336E-1,8.704823442E-3
5.416293890E-1,-9.185878932E-2,1.884517819E-1,2.153298259E-2
5.463845980E-1,-1.248454899E-1,2.269362658E-1,3.863719851E-2
5.511397540E-1,-1.602756530E-1,2.654207349E-1,5.879573524E-2
5.558949620E-1,-1.969275326E-1,3.002400398E-1,7.956513762E-2
5.606501180E-1,-2.317468226E-1,3.326158822E-1,1.003345400E-1
5.654053270E-1,-2.616792023E-1,3.711003661E-1,1.174387559E-1
5.701604830E-1,-2.885572612E-1,5.122101307E-1,1.424842030E-1
5.749156910E-1,-3.166570365E-1,7.602212429E-1,1.663079411E-1
5.796708480E-1,-3.386481702E-1,8.921679854E-1,1.834121495E-1
5.844260040E-1,-3.698022664E-1,8.860593438E-1,2.127336562E-1
5.891812120E-1,-4.082867503E-1,7.974839807E-1,2.469420880E-1
5.939363680E-1,-4.400517046E-1,6.258309484E-1,2.762635946E-1
5.986915770E-1,-4.571559429E-1,4.132500291E-1,2.897026241E-1
6.034467330E-1,-4.473820925E-1,2.605338395E-1,2.756527364E-1
6.082019410E-1,-4.156171381E-1,2.159406990E-1,2.475529462E-1
6.129570980E-1,-3.624718785E-1,2.177732885E-1,2.096793354E-1
6.177122540E-1,-2.964984775E-1,2.079994529E-1,1.724165827E-1
6.224674620E-1,-2.323576957E-1,1.878409237E-1,1.522580534E-1
6.272226180E-1,-1.816559136E-1,1.634063274E-1,1.424842030E-1
6.319778270E-1,-1.187368408E-1,1.524107605E-1,1.357647032E-1
6.367329830E-1,-5.765036494E-2,1.640172005E-1,1.357647032E-1
6.414881910E-1,-3.894262947E-3,1.157588735E-1,1.430950761E-1
6.462433480E-1,4.375318810E-2,-1.863137633E-2,1.528689116E-1
6.509985040E-1,8.895718306E-2,-1.774562150E-1,1.705839932E-1
6.557537120E-1,1.329394430E-1,-2.929096520E-1,1.828012913E-1
6.605088680E-1,1.763108522E-1,-3.405571282E-1,1.821904182E-1
6.652640770E-1,2.080758214E-1,-3.258963525E-1,1.724165827E-1
6.700192330E-1,2.306778133E-1,-2.360992432E-1,1.620318890E-1
6.747743890E-1,2.392299175E-1,-1.175914705E-1,1.516471803E-1
6.795295980E-1,2.343430072E-1,-6.139190868E-2,1.333212405E-1
6.842847540E-1,2.196822464E-1,-6.200277433E-2,1.131627038E-1
6.890399620E-1,2.019671649E-1,-8.704823256E-2,9.666935354E-2
6.937951180E-1,1.866955459E-1,-1.145371497E-1,8.628465235E-2
6.985503270E-1,1.763108522E-1,-1.316413581E-1,8.261945844E-2
7.033054830E-1,1.653152853E-1,-1.249218509E-1,8.323032409E-2
7.080606390E-1,1.500436664E-1,-1.023198515E-1,8.017600328E-2
7.128158480E-1,1.268308014E-1,-8.643736690E-2,7.162389904E-2
7.175710040E-1,9.750928730E-2,-7.299833745E-2,5.818486959E-2
7.223262120E-1,6.391172856E-2,-6.139190868E-2,4.352411628E-2
7.270813680E-1,3.153589368E-2,-5.283980444E-2,2.703076601E-2
7.318365250E-1,1.603520010E-3,-4.734202102E-2,1.542433538E-2
7.365917330E-1,-2.466366626E-2,-4.062250629E-2,5.650499370E-3
7.413468890E-1,-4.787652567E-2,-3.084867075E-2,1.527161949E-4
7.461020980E-1,-6.620246917E-2,-2.412915789E-2,-1.069013379E-3
7.508572540E-1,-8.086322248E-2,-2.290742844E-2,-4.581485991E-4
7.556124100E-1,-9.308052063E-2,-2.535088919E-2,3.817904973E-3
7.603676180E-1,-1.052978188E-1,-2.474002354E-2,8.093958721E-3
7.651227750E-1,-1.162933856E-1,-1.985310577E-2,1.359174121E-2
7.698779830E-1,-1.236237586E-1,-8.246674202E-3,1.970038936E-2
7.746331390E-1,-1.309541315E-1,1.007926930E-2,2.825249545E-2
7.793883480E-1,-1.395062506E-1,2.046396956E-2,3.130681813E-2
7.841435040E-1,-1.462257504E-1,3.207040206E-2,3.252854943E-2
7.888986600E-1,-1.505018175E-1,7.360920310E-2,4.169152305E-2
7.936538680E-1,-1.541669965E-1,1.255327165E-1,5.329795182E-2
7.984090250E-1,-1.608865112E-1,1.731801629E-1,6.795870513E-2
8.031641810E-1,-1.706603467E-1,1.994473487E-1,8.078686893E-2
8.079193890E-1,-1.792124510E-1,2.098320574E-1,8.994983882E-2
8.126745450E-1,-1.822667718E-1,2.354883701E-1,9.972367436E-2
8.174297020E-1,-1.810450554E-1,2.721402645E-1,1.131627038E-1
8.221849100E-1,-1.779907197E-1,3.057378232E-1,1.290451884E-1
8.269400660E-1,-1.737146676E-1,3.240637779E-1,1.412624866E-1
8.316952750E-1,-1.706603467E-1,3.179551065E-1,1.461493969E-1
8.364504310E-1,-1.614973694E-1,3.203985691E-1,1.534797698E-1
8.412056390E-1,-1.511126757E-1,3.289506733E-1,1.620318890E-1
8.459607950E-1,-1.431714296E-1,3.350593448E-1,1.675296724E-1
8.507159520E-1,-1.395062506E-1,3.246746361E-1,1.693622619E-1
8.554711080E-1,-1.352301836E-1,2.953531146E-1,1.644753367E-1
8.602263160E-1,-1.285106838E-1,2.654207349E-1,1.638644785E-1
8.649814730E-1,-1.175151095E-1,2.397644222E-1,1.632536054E-1
8.697366810E-1,-1.004109010E-1,2.153298408E-1,1.589775532E-1
8.744918370E-1,-8.391755074E-2,1.866191924E-1,1.498145908E-1
8.792469930E-1,-6.742420048E-2,1.481347084E-1,1.388190240E-1
8.840022020E-1,-5.337430909E-2,9.987638891E-2,1.266017258E-1
