"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.086782000E-3,1.538584948E0,5.953342915E0,6.896114826E0
6.841730000E-3,1.471585870E0,6.008377552E0,7.006184578E0
1.169173000E-2,1.395015597E0,6.044270039E0,7.135396957E0
1.635277100E-2,1.462014675E0,6.051448345E0,7.257431030E0
2.110808400E-2,1.344766378E0,6.089733601E0,7.343572617E0
2.586329200E-2,1.258624673E0,6.137589931E0,7.456035137E0
3.061855300E-2,1.356730461E0,6.108876228E0,7.609176159E0
3.537381300E-2,1.481157184E0,6.089733601E0,7.781459332E0
4.012902100E-2,1.777867198E0,6.053841114E0,7.960920811E0
4.488428200E-2,1.830509305E0,6.099305153E0,8.051848412E0
4.963954200E-2,2.024327993E0,6.245266914E0,8.063812256E0
5.439475100E-2,2.105684042E0,6.324230194E0,8.178668022E0
5.915001100E-2,2.139183521E0,6.415157318E0,8.267202377E0
6.390527100E-2,2.237289190E0,6.463014126E0,8.350951195E0
6.866048000E-2,2.234896421E0,6.506084919E0,8.324629784E0
7.341574000E-2,2.385644197E0,6.489335060E0,8.329415321E0
7.817100100E-2,2.589034081E0,6.451049805E0,8.413164139E0
8.292626100E-2,2.689532757E0,6.484549522E0,8.647661209E0
8.768146900E-2,2.653640270E0,6.479763508E0,8.968298912E0
9.243673000E-2,2.524427891E0,6.477370739E0,9.166903496E0
9.719199000E-2,2.330609322E0,6.446264267E0,9.171689034E0
1.019471990E-1,2.139183521E0,6.348158360E0,9.080761909E0
1.067024590E-1,2.038684845E0,6.247660160E0,8.961120605E0
1.114577190E-1,1.981257200E0,6.151947021E0,8.815158844E0
1.162129280E-1,1.976471543E0,6.044270039E0,8.647661209E0
1.209681880E-1,1.921436548E0,5.967699528E0,8.480163574E0
1.257234490E-1,1.844866276E0,5.927021503E0,8.319844246E0
1.304786570E-1,1.746760488E0,5.862415314E0,8.204988480E0
1.352339170E-1,1.689332843E0,5.819344521E0,8.135597229E0
1.399891780E-1,1.624726534E0,5.793023586E0,8.063812256E0
1.447443860E-1,1.521835208E0,5.764309883E0,8.006384850E0
1.494996460E-1,1.402194023E0,5.757131100E0,7.946564198E0
1.542549070E-1,1.296909928E0,5.711667538E0,7.896314621E0
1.590101670E-1,1.179661512E0,5.654240131E0,7.850851059E0
1.637653760E-1,1.093519926E0,5.587240696E0,7.779066563E0
1.685206360E-1,9.882357717E-1,5.532206059E0,7.716853142E0
1.732758960E-1,9.044869542E-1,5.448457241E0,7.637889862E0
1.780311050E-1,8.327022791E-1,5.398207664E0,7.578069210E0
1.827863650E-1,7.226324677E-1,5.371886730E0,7.534998417E0
1.875416260E-1,6.221339107E-1,5.316852093E0,7.499105930E0
1.922968340E-1,5.647061467E-1,5.283352375E0,7.494320393E0
1.970520940E-1,5.144568682E-1,5.242674351E0,7.453642368E0
2.018073550E-1,4.498506486E-1,5.225924492E0,7.448856831E0
2.065625630E-1,3.996013701E-1,5.218746185E0,7.415357590E0
2.113178240E-1,3.732803464E-1,5.194818020E0,7.408178806E0
2.160730840E-1,3.182454109E-1,5.201996326E0,7.427321434E0
2.208282920E-1,2.919243574E-1,5.182853699E0,7.472784996E0
2.255835530E-1,2.823530734E-1,5.197210789E0,7.539783955E0
2.303387610E-1,3.182454109E-1,5.190032482E0,7.580461979E0
2.350940210E-1,3.278166950E-1,5.166104317E0,7.606783390E0
2.398492820E-1,3.182454109E-1,5.146961689E0,7.635497093E0
2.446045420E-1,3.014956415E-1,5.163711071E0,7.688138962E0
2.493597510E-1,2.679961324E-1,5.144568920E0,7.747959614E0
2.541150110E-1,2.344966233E-1,5.154139996E0,7.802994728E0
2.588702190E-1,2.201396823E-1,5.139782906E0,7.858029366E0
2.636254800E-1,1.316052526E-1,5.139782906E0,8.042277336E0
2.683807400E-1,1.674975827E-2,5.156532764E0,8.164310455E0
2.731360010E-1,2.632104978E-2,5.130211830E0,8.317451477E0
2.778912090E-1,3.996013701E-1,4.725824833E0,9.157332420E0
2.826464690E-1,6.125625968E-1,4.376472473E0,1.049731255E1
2.874017300E-1,-4.666004181E-1,4.493721008E0,1.012642574E1
2.921569380E-1,-1.021735311E0,4.843072891E0,9.131011009E0
2.969121990E-1,-1.363908887E0,5.079962254E0,8.827122688E0
3.016674590E-1,-1.732403636E0,5.101497650E0,8.987442017E0
3.064226670E-1,-1.911865234E0,4.941178799E0,9.209974289E0
3.111779280E-1,-1.390229940E0,4.881358147E0,9.068798065E0
3.159331360E-1,-1.148554921E0,4.833501816E0,8.858229637E0
3.206883960E-1,-1.057627559E0,4.855037212E0,8.748159409E0
3.254436570E-1,-8.997012973E-1,4.886143684E0,8.714659691E0
3.301988650E-1,-6.819544435E-1,4.924428940E0,8.681160927E0
3.349541260E-1,-5.024927258E-1,4.893322468E0,8.666803360E0
3.397093860E-1,-4.235295951E-1,4.912465096E0,8.618947029E0
3.444645940E-1,-4.163511395E-1,4.905286312E0,8.623732567E0
3.492198550E-1,-3.948157430E-1,4.926821709E0,8.595019341E0
3.539751150E-1,-3.972085714E-1,4.972285271E0,8.599804878E0
3.587303240E-1,-3.637090325E-1,4.996213913E0,8.642875671E0
3.634855840E-1,-3.278166950E-1,5.027320385E0,8.712266922E0
3.682408440E-1,-3.349951804E-1,5.056034088E0,8.829515457E0
3.729960530E-1,-2.871387303E-1,5.111069202E0,8.915657043E0
3.777513130E-1,-2.440679073E-1,5.127819061E0,9.011369705E0
3.825065740E-1,-2.033899277E-1,5.170889854E0,9.032905579E0
3.872617820E-1,-1.651047617E-1,5.211567879E0,9.104690552E0
3.920170420E-1,-1.722832322E-1,5.252245903E0,9.123832703E0
3.967723030E-1,-1.555334777E-1,5.252245903E0,9.186046600E0
