Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
3.002640271,0.3756731451,5.481956482,8.614161491
3.00739548,0.3852444589,5.496313572,8.681160927
3.012150688,0.4067798555,5.460421085,8.712266922
3.016905949,0.4019941986,5.43649292,8.714659691
3.021661157,0.3708875179,5.426921844,8.714659691
3.026416365,0.3158525825,5.412564754,8.702695847
3.031171626,0.2871387303,5.391029358,8.647661209
3.035926834,0.2512463629,5.338387489,8.623732567
3.040682042,0.2536391914,5.295316696,8.561519623
3.045437251,0.2201396823,5.264209747,8.506484032
3.050192511,0.2416750938,5.223531723,8.475378036
3.054947719,0.2368894368,5.190032482,8.415556908
3.059702928,0.2225325108,5.185246468,8.408378601
3.064458188,0.1842473447,5.197210789,8.43948555
3.069213396,0.1435693651,5.213960648,8.456234932
3.073968605,0.1124626622,5.254638672,8.504091263
3.078723865,0.1076770201,5.312066078,8.51844883
3.083479074,0.1124626622,5.338387489,8.51844883
3.088234282,0.1507478207,5.391029358,8.487341881
3.09298949,0.2249253243,5.422136307,8.487341881
3.097744751,0.2943171859,5.455635548,8.456234932
3.102499959,0.3469592929,5.43649292,8.480163574
3.107255167,0.394815743,5.426921844,8.449056625
3.112010428,0.4067798555,5.426921844,8.449056625
3.116765636,0.3972085714,5.393422127,8.417949677
3.121520844,0.394815743,5.381458282,8.394021988
3.126276105,0.418743968,5.379065514,8.336593628
3.131031313,0.4785645306,5.357530117,8.283951759
3.135786521,0.4642075896,5.347958565,8.257631302
3.14054173,0.4450650215,5.376672268,8.197810173
3.14529699,0.4235295951,5.405386448,8.178668022
3.150052199,0.409172684,5.441278458,8.181060791
3.154807407,0.3756731451,5.498706341,8.243273735
3.159562667,0.3924229145,5.52981329,8.298309326
3.164317876,0.4067798555,5.582455158,8.367700577
3.169073084,0.4115654826,5.611168861,8.446663857
3.173828292,0.4642075896,5.663811207,8.537590981
3.178583553,0.500099957,5.697310925,8.602197647
3.183338761,0.5168496966,5.759523869,8.654839516
3.188093969,0.5359922647,5.761917114,8.66680336
3.192849178,0.5024927258,5.788238049,8.650053978
3.197604438,0.457029134,5.800201893,8.657232285
3.202359646,0.3756731451,5.804987907,8.669196129
3.207114855,0.35174492,5.804987907,8.688339233
3.211870063,0.3708875179,5.77148819,8.714659691
3.216625324,0.4139583111,5.754738331,8.712266922
3.221380532,0.4474578202,5.7571311,8.71705246
3.22613574,0.4761717021,5.728417397,8.74576664
3.230891001,0.5048855543,5.72123909,8.74576664
3.235646209,0.5431707501,5.706882,8.721838951
3.240401417,0.5575276613,5.704489231,8.673981667
3.245156626,0.5431707501,5.704489231,8.683553696
3.249911886,0.5072783828,5.702096462,8.662017822
3.254667094,0.5288137794,5.702096462,8.64526844
3.259422303,0.5647061467,5.673382282,8.618947029
3.264177563,0.5958128572,5.635097504,8.614161491
3.268932771,0.6149554253,5.663811207,8.595019341
3.27368798,0.6771687865,5.64227581,8.602197647
3.278443188,0.7154539824,5.620740414,8.58784008
3.283198449,0.7776673436,5.613562107,8.571090698
3.287953657,0.8422735929,5.577669621,8.571090698
3.292708865,0.8829515576,5.560919762,8.554341316
3.297464074,0.9332008362,5.541777134,8.549555779
3.302219334,0.9499505758,5.498706341,8.549555779
3.306974542,0.9906286001,5.467599869,8.528019905
3.311729751,1.03848505,5.441278458,8.487341881
3.316485011,1.076770186,5.379065514,8.413164139
3.321240219,1.117448211,5.359922886,8.36052227
3.325995428,1.138983607,5.357530117,8.31027317
3.330750636,1.203589797,5.355136871,8.257631302
3.335505896,1.234696507,5.367101192,8.209774017
3.340261105,1.237089276,5.369493961,8.20498848
3.345016313,1.258624673,5.398207664,8.231309891
3.349771521,1.313659668,5.405386448,8.283951759
3.35452673,1.356730461,5.434100151,8.31027317
3.35928199,1.356730461,5.469992638,8.370093346
3.364037199,1.402194023,5.50109911,8.403593063
3.368792407,1.414158225,5.541777134,8.451449394
3.373547667,1.414158225,5.565705299,8.480163574
3.378302876,1.397408366,5.577669621,8.523234367
3.383058084,1.351944804,5.575276852,8.551948547
3.387813292,1.325623751,5.560919762,8.563912392
3.392568553,1.287338614,5.560919762,8.585447311
3.397323761,1.292124271,5.539384365,8.556734085
3.402078969,1.258624673,5.522634506,8.535198212
3.406834178,1.251446247,5.496313572,8.504091263
3.411589438,1.225125194,5.474778175,8.480163574
3.416344646,1.170090318,5.474778175,8.432307243
3.421099855,1.138983607,5.45085001,8.377271652
3.425855063,1.079162955,5.443671703,8.327022552
3.430610324,1.012163997,5.398207664,8.312665939
3.435365532,0.9068797827,5.393422127,8.279166222
3.44012074,0.8063812256,5.391029358,8.269595146
3.444875949,0.732203722,5.412564754,8.274380684
3.449631209,0.708275497,5.417350292,8.245666504
3.454386417,0.7202396393,5.405386448,8.216953278
3.459141626,0.6723831892,5.419743061,8.21216774
3.463896834,0.6580262184,5.455635548,8.185846329
3.468652094,0.6197410822,5.458028316,8.164310455
3.473407303,0.5814558864,5.474778175,8.126026154
3.478162511,0.5503492355,5.508277893,8.118846893
3.482917771,0.5048855543,5.520241737,8.109275818
3.48767298,0.5264210105,5.572884083,8.142775536
3.492428188,0.5096712112,5.611168861,8.207381248
3.497183396,0.5048855543,5.635097504,8.288737297
3.501938605,0.5120640397,5.659025669,8.33180809
3.506693865,0.5551348329,5.72123909,8.38923645
3.511449074,0.5694918036,5.752345562,8.46819973
3.516204282,0.5718846321,5.77148819,8.539983749
3.52095949,0.6125625968,5.797809124,8.599804878
3.525714751,0.6125625968,5.795416355,8.657232285
