"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
4.495027800E-2,-3.712500095E0,-5.416875076E1,-1.100625038E1
5.495027800E-2,-5.100000381E0,-5.484375381E1,-1.018125057E1
6.495027800E-2,-5.325000286E0,-5.505000305E1,-9.637500763E0
7.495027800E-2,-5.156250000E0,-5.505000305E1,-9.300000191E0
8.495027800E-2,-5.212500095E0,-5.514375305E1,-8.925000191E0
9.495027800E-2,-4.781250000E0,-5.505000305E1,-8.793750763E0
1.049502780E-1,-4.462500095E0,-5.499375153E1,-8.681250572E0
1.149502780E-1,-4.556250095E0,-5.525625229E1,-8.793750763E0
1.249502780E-1,-4.593750000E0,-5.538750076E1,-8.568750381E0
1.349502780E-1,-4.500000000E0,-5.533125305E1,-8.625000000E0
1.449502780E-1,-4.425000191E0,-5.540625381E1,-8.568750381E0
1.549502780E-1,-4.350000381E0,-5.557500076E1,-8.550000191E0
1.649502780E-1,-4.368750095E0,-5.580000305E1,-8.587500572E0
1.749502780E-1,-4.837500095E0,-5.589375305E1,-8.775000572E0
1.849502780E-1,-5.137500286E0,-5.615625381E1,-9.056250572E0
1.949502780E-1,-5.025000095E0,-5.589375305E1,-9.000000000E0
2.049502780E-1,-5.043750286E0,-5.604375076E1,-9.018750191E0
2.149502780E-1,-5.081250191E0,-5.615625381E1,-8.850000381E0
2.249502780E-1,-4.893750191E0,-5.610000229E1,-9.187500000E0
2.349502780E-1,-5.025000095E0,-5.602500153E1,-9.506250381E0
2.449502780E-1,-4.818750381E0,-5.566875076E1,-9.787500381E0
2.549502780E-1,-4.668750286E0,-5.585625076E1,-9.750000000E0
2.649502780E-1,-4.687500000E0,-5.596875381E1,-1.006875038E1
2.749502780E-1,-4.406250000E0,-5.606250381E1,-1.033125019E1
2.849502780E-1,-4.518750191E0,-5.600625229E1,-1.068750000E1
2.949502780E-1,-4.275000095E0,-5.585625076E1,-1.076250076E1
3.049502780E-1,-4.275000095E0,-5.565000153E1,-1.110000038E1
3.149502780E-1,-4.068750381E0,-5.585625076E1,-1.141875076E1
3.249502780E-1,-3.900000095E0,-5.598750305E1,-1.160625076E1
3.349502780E-1,-3.731250048E0,-5.572500229E1,-1.201875019E1
3.449502780E-1,-3.506250143E0,-5.546250153E1,-1.198125076E1
3.549502780E-1,-3.731250048E0,-5.536875153E1,-1.224375057E1
3.649502780E-1,-3.562500238E0,-5.512500381E1,-1.243125057E1
3.749502780E-1,-3.581250191E0,-5.501250076E1,-1.282500076E1
3.849502780E-1,-3.600000143E0,-5.488125229E1,-1.273125076E1
3.949502780E-1,-3.843750238E0,-5.454375076E1,-1.256250095E1
4.049502780E-1,-4.012500286E0,-5.443125153E1,-1.267500019E1
4.149502780E-1,-3.956250191E0,-5.443125153E1,-1.245000076E1
4.249502780E-1,-4.162500381E0,-5.394375229E1,-1.248750019E1
4.349502780E-1,-4.068750381E0,-5.390625381E1,-1.215000057E1
4.449502780E-1,-4.012500286E0,-5.377500153E1,-1.190625000E1
4.549502780E-1,-3.787500143E0,-5.370000076E1,-1.201875019E1
4.649502780E-1,-3.656250238E0,-5.360625076E1,-1.211250019E1
4.749502780E-1,-3.468750238E0,-5.345625305E1,-1.228125095E1
4.849502780E-1,-3.262500048E0,-5.328750229E1,-1.220625019E1
4.949502780E-1,-3.225000143E0,-5.285625076E1,-1.258125019E1
5.049502780E-1,-3.056250095E0,-5.306250381E1,-1.275000095E1
5.149502780E-1,-3.075000048E0,-5.285625076E1,-1.299375057E1
5.249502780E-1,-3.093750238E0,-5.270625305E1,-1.320000076E1
5.349502780E-1,-3.075000048E0,-5.255625153E1,-1.331250095E1
5.449502780E-1,-2.925000191E0,-5.240625381E1,-1.335000038E1
5.549502780E-1,-2.700000048E0,-5.231250381E1,-1.338750076E1
5.649502780E-1,-2.775000095E0,-5.208750153E1,-1.350000095E1
5.749502780E-1,-2.700000048E0,-5.223750305E1,-1.348125076E1
5.849502780E-1,-2.418750048E0,-5.205000305E1,-1.329375076E1
5.949502780E-1,-2.381250143E0,-5.220000076E1,-1.361250019E1
6.049502780E-1,-2.156250000E0,-5.208750153E1,-1.381875038E1
6.149502780E-1,-2.175000191E0,-5.203125381E1,-1.378125095E1
6.249502780E-1,-2.193750143E0,-5.206875229E1,-1.404375076E1
6.349502780E-1,-2.343750000E0,-5.208750153E1,-1.423125076E1
6.449502780E-1,-2.081250191E0,-5.206875229E1,-1.434375095E1
6.549502780E-1,-1.725000024E0,-5.201250076E1,-1.430625057E1
6.649502780E-1,-1.481250048E0,-5.205000305E1,-1.438125038E1
6.749502780E-1,-1.087500095E0,-5.173125076E1,-1.413750076E1
6.849502780E-1,-6.937500238E-1,-5.178750229E1,-1.398750019E1
6.949502780E-1,-4.687500298E-1,-5.188125229E1,-1.408125019E1
7.049502780E-1,-4.500000179E-1,-5.208750153E1,-1.400625038E1
7.149502780E-1,5.625000224E-2,-5.210625076E1,-1.411875057E1
7.249502780E-1,5.062500238E-1,-5.229375076E1,-1.455000019E1
7.349502780E-1,5.437500477E-1,-5.233125305E1,-1.498125076E1
7.449502780E-1,6.562500000E-1,-5.208750153E1,-1.539375019E1
7.549502780E-1,5.437500477E-1,-5.206875229E1,-1.578750038E1
7.649502780E-1,7.875000238E-1,-5.199375153E1,-1.616250038E1
7.749502780E-1,1.031250000E0,-5.186250305E1,-1.674375153E1
7.849502780E-1,1.781250119E0,-5.145000076E1,-1.706250000E1
7.949502780E-1,2.062500000E0,-5.107500076E1,-1.740000153E1
