"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-1.935679279E1,5.323185050E1,1.040498110E1,2.744606412E1,0.000000000E0,0.000000000E0,2.639999962E1,3.456872463E0
2.694810532E0,5.323131278E1,1.040523940E1,1.800213289E1,5.400000215E-1,1.601000061E2,1.469658089E1,1.658247375E1
3.695603392E0,5.323130525E1,1.040522953E1,1.779808397E1,7.300000191E-1,1.561999969E2,1.305373764E1,1.514391041E1
4.695845575E0,5.323131501E1,1.040529626E1,1.888847107E1,6.800000072E-1,1.190999985E2,1.293484116E1,1.483151817E1
5.696677654E0,5.323128995E1,1.040529416E1,1.658844575E1,1.210000038E0,1.296999969E2,1.357348537E1,1.524910069E1
6.695538222E0,5.323129609E1,1.040528095E1,1.622139380E1,4.000000060E-1,1.736999969E2,1.248542309E1,1.507467937E1
7.695796394E0,5.323129350E1,1.040526891E1,1.499702838E1,4.799999893E-1,2.008000031E2,1.283147430E1,1.504403973E1
8.695657640E0,5.323128841E1,1.040526062E1,1.325861989E1,1.599999964E-1,2.171999969E2,1.376647472E1,1.544272041E1
9.694674719E0,5.323127745E1,1.040526523E1,1.530370674E1,4.300000072E-1,1.858000031E2,1.479105282E1,1.564040947E1
1.069470185E1,5.323127162E1,1.040527332E1,1.726036037E1,3.899999857E-1,1.583999939E2,1.591869926E1,1.582663727E1
1.169495403E1,5.323127049E1,1.040528617E1,1.548417055E1,5.099999905E-1,1.125999985E2,1.516097927E1,1.598874855E1
1.269755252E1,5.323127371E1,1.040528367E1,1.408464011E1,2.800000012E-1,1.768000031E2,1.608518410E1,1.617213821E1
1.369442428E1,5.323127941E1,1.040526071E1,1.185858174E1,0.000000000E0,0.000000000E0,1.687697220E1,1.629543877E1
1.469558371E1,5.323127818E1,1.040525508E1,1.140301522E1,2.300000042E-1,1.740000000E2,1.693011284E1,1.541261864E1
1.569633849E1,5.323127007E1,1.040525337E1,9.917957008E0,5.500000119E-1,1.726000061E2,1.696051979E1,1.464322376E1
1.669491094E1,5.323125817E1,1.040525232E1,7.031769772E0,7.500000000E-1,1.711999969E2,1.724507332E1,1.409492016E1
1.769532416E1,5.323124949E1,1.040524705E1,5.694661024E0,7.900000215E-1,1.698000031E2,1.720627594E1,1.326002502E1
1.869609046E1,5.323123353E1,1.040524862E1,2.857783191E0,1.340000033E0,1.683999939E2,1.721623611E1,1.286725426E1
1.969604608E1,5.323122841E1,1.040524490E1,2.153003602E0,9.300000072E-1,1.671999969E2,1.727266121E1,1.220397949E1
2.069515816E1,5.323123875E1,1.040523380E1,2.004402215E0,2.899999917E-1,1.656999969E2,1.672635651E1,1.193488312E1
2.169662008E1,5.323124729E1,1.040522028E1,1.089380384E0,2.000000030E-1,1.643000031E2,1.563547516E1,1.110984325E1
2.269512554E1,5.323125097E1,1.040521360E1,1.170625869E0,2.700000107E-1,1.628999939E2,1.550535393E1,1.128403950E1
2.369497695E1,5.323126636E1,1.040519656E1,2.631347995E0,4.799999893E-1,1.615000000E2,1.523061466E1,1.144203854E1
2.469440913E1,5.323127506E1,1.040518625E1,1.155534391E0,2.899999917E-1,1.598999939E2,1.557371330E1,1.138333702E1
2.569588772E1,5.323129425E1,1.040517035E1,1.302663318E0,8.199999928E-1,1.585000000E2,1.436186600E1,1.097699738E1
2.669519084E1,5.323131511E1,1.040516138E1,2.198022607E0,6.999999881E-1,1.576000061E2,1.528336430E1,1.197302246E1
2.769439078E1,5.323132527E1,1.040515979E1,1.616251474E0,6.200000048E-1,1.565000000E2,1.429542732E1,1.191146278E1
2.869431870E1,5.323132267E1,1.040517803E1,1.281708127E0,9.700000286E-1,1.046999969E2,1.338843346E1,1.270145893E1
2.969614171E1,5.323130700E1,1.040521357E1,2.298763002E0,2.390000105E0,1.270999985E2,1.395154762E1,1.358648682E1
3.069489712E1,5.323129102E1,1.040523932E1,2.082483059E0,2.000000000E0,1.430000000E2,1.495197964E1,1.428589916E1
3.169657910E1,5.323127241E1,1.040526458E1,1.587878949E0,2.200000048E0,1.423000031E2,1.481087494E1,1.414471054E1
3.269514331E1,5.323126113E1,1.040527418E1,2.880540789E-1,2.359999895E0,1.643999939E2,1.558172607E1,1.447272396E1
3.369455497E1,5.323124479E1,1.040527199E1,2.006885590E-1,2.549999952E0,1.793999939E2,1.497367859E1,1.413499641E1
3.469518330E1,5.323121515E1,1.040527874E1,1.380450864E0,3.059999943E0,1.955000000E2,1.395193672E1,1.369895840E1
3.569568122E1,5.323117362E1,1.040528986E1,3.160169276E0,3.279999971E0,2.038000031E2,1.343182087E1,1.348433590E1
3.669471902E1,5.323112519E1,1.040529403E1,4.083006787E0,3.880000114E0,2.056000061E2,1.402458382E1,1.364407158E1
3.769381819E1,5.323107738E1,1.040530451E1,5.090804211E0,3.970000029E0,2.048000031E2,1.473323536E1,1.354508781E1
3.869497651E1,5.323103399E1,1.040531338E1,5.119727035E0,4.019999981E0,2.023999939E2,1.586153698E1,1.355257416E1
3.969482302E1,5.323098699E1,1.040531524E1,6.348231508E0,4.269999981E0,2.003999939E2,1.753107262E1,1.425940323E1
4.069396781E1,5.323094625E1,1.040531427E1,6.790430484E0,4.059999943E0,1.986999969E2,1.989847565E1,1.473644161E1
4.169507160E1,5.323089737E1,1.040533361E1,9.640630740E0,4.269999981E0,1.956999969E2,1.939312363E1,1.381604385E1
4.269559655E1,5.323075626E1,1.040540182E1,1.100166156E1,6.139999866E0,1.876999969E2,1.778647995E1,1.324491405E1
4.369410649E1,5.323069238E1,1.040539226E1,1.145347152E1,6.130000114E0,1.925000000E2,1.749609375E1,1.243505573E1
4.469505758E1,5.323063898E1,1.040537185E1,1.150014946E1,5.980000019E0,1.928999939E2,1.837908745E1,1.200049019E1
4.569491935E1,5.323058745E1,1.040532156E1,1.063833127E1,5.699999809E0,1.953000031E2,1.741777992E1,1.109351063E1
4.669544523E1,5.323055761E1,1.040531115E1,1.052250536E1,5.269999981E0,1.918999939E2,1.663635254E1,1.051474380E1
