Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
3.000311295,5.878567219,0.7543373108,-4.993222713
3.00507442,5.669793129,0.8697910309,-5.677569866
3.009864211,5.696712494,0.7154539824,-5.193621635
3.01464067,6.324828625,0.5623133183,-4.404588223
3.019417076,6.672984123,-0.337387979,-5.519045353
3.024193534,6.614359856,-1.092921734,-6.223731518
3.028969993,6.332006931,-1.845464468,-6.087938786
3.033733118,5.916254044,-1.759921074,-5.552545071
3.038522909,6.611967087,-1.280758262,-5.849255085
3.043299368,6.649055958,-1.247258782,-5.979663849
3.048075774,6.515655994,-1.47457695,-5.397609711
3.052852232,6.635895252,-2.389233351,-5.680561066
3.057628691,6.862615108,-3.511467218,-5.042873859
3.062391816,7.473383427,-4.049253941,-5.770291805
3.067181607,7.737790108,-5.455635548,-5.252245903
3.071958013,8.169096947,-7.198806763,-4.994419098
3.076721191,8.809176445,-8.589634895,-5.236692429
3.08151093,8.664410591,-9.794421196,-5.388636589
3.086287388,8.542376518,-10.3974123,-4.706083775
3.091050513,8.860024452,-10.9501543,-5.120042324
3.095840305,8.733204842,-10.86879826,-4.860421181
3.100616711,8.386843681,-10.69113159,-4.666602135
3.105379888,7.799405575,-10.76471043,-5.018945694
3.110169628,7.169494629,-11.31565857,-4.904688358
3.114946086,6.075376511,-11.96351528,-5.157729149
3.119709211,5.580062389,-12.11904812,-5.313262463
3.124499003,8.254041672,-10.98485088,-5.524429321
3.129275409,10.14796066,-7.482954502,-5.925227165
3.134038586,9.180662155,-4.536193371,-6.153143406
3.138828326,7.856235027,-3.498904943,-5.87318325
3.143604784,7.702496052,-3.032304525,-5.88694191
3.148367909,7.543971539,-2.632703066,-5.944369793
3.153157701,7.503891945,-2.232503414,-6.050251961
3.157934107,7.572087288,-1.871187329,-6.329015732
3.162697284,7.433303356,-1.510469317,-6.357729912
3.167487024,7.24606514,-1.424327731,-6.529414654
3.172263482,6.924828529,-1.458425403,-6.278168201
3.177026607,6.978667259,-1.308874011,-5.941977024
3.181816399,6.746563435,-1.536192179,-5.91206646
3.186592805,6.649055958,-1.411765337,-5.350351334
3.191355982,6.723831654,-0.8668000102,-5.255236626
3.196145722,6.779464722,-0.5389832854,-5.423332691
3.20092218,6.864409924,-0.6209374666,-5.611168861
3.205685305,6.954739094,-1.024726272,-5.803193092
3.210475097,7.097710133,-1.545165181,-5.981458187
3.215251503,7.355536938,-2.00638175,-6.083153248
3.220027961,7.55593586,-2.314457655,-6.122634888
3.22480442,7.637291908,-2.47358036,-6.093921185
3.229580878,7.685746193,-2.565105915,-6.069993019
3.234357336,7.690532207,-2.617748022,-6.046064377
3.239133795,7.690532207,-2.608176708,-6.007779598
3.243910253,7.680960655,-2.569891453,-5.998208046
3.248686659,7.661818027,-2.545963287,-5.998208046
3.253463118,7.647460938,-2.497508526,-5.983851433
3.258239576,7.623532772,-2.454437733,-5.988636971
3.263016034,7.609176159,-2.444866419,-6.012565136
3.267792493,7.576274872,-2.434697151,-6.01675272
3.272568951,7.56670332,-2.39162612,-5.98803854
3.277345357,7.552346706,-2.35274291,-5.958726406
3.282121816,7.542775154,-2.314457655,-5.930012703
3.286898274,7.542775154,-2.261217356,-5.882156372
3.291674732,7.542775154,-2.227717876,-5.863013744
3.296451191,7.533802032,-2.222932339,-5.843871117
3.301227649,7.509873867,-2.208575249,-5.819344521
3.306004055,7.505088329,-2.208575249,-5.795416355
3.310780513,7.467401028,-2.179861546,-5.804987907
3.315556972,7.457231998,-2.170290232,-5.824130535
3.32033343,7.428517818,-2.170290232,-5.862415314
3.325109888,7.428517818,-2.165504456,-5.881557941
3.329886347,7.404589653,-2.14157629,-5.891129494
3.334662805,7.395018578,-2.151147604,-5.910272121
3.339439211,7.418946743,-2.136790514,-5.924628735
3.34421567,7.461419106,-2.126621008,-5.958726406
3.348992128,7.45184803,-2.165504456,-5.967699528
3.353768586,7.45184803,-2.170290232,-5.997610092
3.358545045,7.475177765,-2.140978098,-6.01675272
3.363321503,7.517650604,-2.155334949,-6.113063812
3.368097909,7.456633568,-2.145763636,-5.973083496
3.372874368,7.479963779,-2.160718918,-5.983253002
3.377650826,7.51346302,-2.164906263,-6.011966705
3.382427284,7.503891945,-2.179861546,-6.035895348
3.387203743,7.484749317,-2.213361025,-6.035895348
3.391980201,7.49910593,-2.246860504,-6.031109333
3.396756659,7.494320393,-2.261217356,-6.031109333
3.401533066,7.475776196,-2.280958176,-6.031109333
3.406309524,7.485347271,-2.276172638,-6.031109333
3.411085982,7.494320393,-2.276172638,-6.040680885
3.415862441,7.479963779,-2.261815548,-6.064609051
3.420638899,7.442276478,-2.25703001,-6.069394588
3.425415357,7.413562775,-2.247458696,-6.087938786
3.430191763,7.432106972,-2.252244234,-6.107679844
3.434968222,7.422535896,-2.227717876,-6.098108292
3.43974468,7.332805157,-2.223530531,-6.025725842
3.444521138,7.370491982,-2.208575249,-6.073582172
3.449297597,7.356134892,-2.179861546,-6.073582172
3.454074055,7.242475986,-2.166102648,-6.010770321
3.458850461,7.208976269,-2.14157629,-6.020341873
3.46362692,7.204190731,-2.132004976,-6.029912949
3.468403378,7.228118896,-2.146361828,-6.025127411
3.473179836,7.228118896,-2.146361828,-6.010770321
3.477956295,7.261020184,-2.146361828,-6.034698486
3.482732753,7.251449108,-2.194816589,-6.135197163
3.487509211,7.198208809,-2.170888424,-6.202196121
3.492285618,7.226922512,-2.180459738,-6.16869688
3.497062076,7.269993305,-2.237887383,-6.154938221
3.501838534,7.280162811,-2.271386862,-6.150152206
3.506614993,7.298707485,-2.280958176,-6.150152206
3.511391451,7.375277519,-2.285743713,-6.145366669
3.516167909,7.393822193,-2.300100803,-6.217749596
3.520944368,7.383652687,-2.24267292,-6.299105644
3.525720774,7.460222721,-2.276172638,-6.256034851
3.530497232,7.512865067,-2.324028969,-6.203990936
3.535273691,7.456633568,-2.33838582,-6.083751678
3.540050149,7.475177765,-2.343171597,-6.083751678
3.544826607,7.674978733,-2.347957134,-6.166304111
3.549603066,7.7838521,-2.347358942,-6.224329948
3.554379524,7.517650604,-2.362314224,-6.227919102
3.55915593,7.033103943,-2.315654039,-6.057430744
3.563932388,7.180860519,-2.291127682,-5.991029739
3.568708847,7.266404152,-2.27677083,-6.053841114
3.573485305,7.327421188,-2.261815548,-6.111867428
3.578261763,7.336992264,-2.233101845,-6.154938221
3.583038222,7.380063057,-2.247458696,-6.116652966
3.587814628,7.298707485,-2.271386862,-6.164509296
3.592591086,7.303493023,-2.319841623,-6.250650883
3.597367545,7.30768013,-2.315055847,-6.312864304
3.602144003,7.431509018,-2.362912416,-6.303891182
3.606920461,7.479963779,-2.396411896,-6.19382143
3.61169692,7.436892986,-2.40598321,-6.160321712
3.616473378,7.403991699,-2.415554523,-6.19382143
3.621249784,7.470392227,-2.410768747,-6.141179085
3.626026243,7.399205685,-2.410768747,-6.131010056
3.630802701,7.336992264,-2.396411896,-6.183651924
3.635579159,7.432106972,-2.35812664,-6.232106686
3.640355618,7.630711555,-2.27078867,-6.352943897
3.645132076,7.369295597,-2.218146563,-6.284748554
3.649908534,7.103094101,-2.180459738,-6.225526333
3.654684941,6.803392887,-2.142772675,-6.195616245
3.659461399,6.812366009,-2.06560421,-6.272186279
3.664237857,6.854838848,-2.007578135,-6.334998131
3.669014316,6.906284332,-2.007578135,-6.407381058
3.673790774,6.901498795,-2.021935225,-6.450451851
3.678567232,6.844070911,-2.017149448,-6.497709751
3.683343691,6.815357208,-2.007578135,-6.5790658
3.688120149,6.876972198,-2.075175524,-6.608377934
3.692896555,6.934400082,-2.137388945,-6.574878216
3.697673013,6.972685337,-2.142174482,-6.556334019
3.702449472,7.010970116,-2.170888424,-6.546762943
3.70722593,7.04387188,-2.219342947,-6.585047722
3.712002388,7.07737112,-2.209173441,-6.61914587
3.716778847,7.006184578,-2.16131711,-6.575476646
3.721555253,7.058228493,-2.213959217,-6.561119556
3.726331711,7.072585583,-2.233700037,-6.565905571
3.73110817,7.077969551,-2.204387903,-6.50369215
3.735884628,7.01575613,-2.137388945,-6.551548481
3.740661086,6.915257454,-2.118246317,-6.560521603
3.745437545,6.801598549,-2.036890268,-6.478567123
3.750214003,6.772884369,-1.969292998,-6.492924213
3.754990409,6.824928284,-1.99800694,-6.502495766
3.759766868,6.867999077,-2.075175524,-6.488138676
3.764543326,6.944569588,-2.156531334,-6.503093719
3.769319784,6.920641422,-2.123031855,-6.517450809
3.774096243,6.967899323,-2.151745796,-6.608976364
3.778872701,6.948158741,-2.175673962,-6.656832695
3.783649159,7.095915318,-2.228316069,-6.686144829
3.788425566,7.129415035,-2.291127682,-6.652645111
3.793202024,7.120441914,-2.37786746,-6.609574318
3.797978482,7.067201614,-2.305484533,-6.714858532
3.802754941,6.97627449,-2.166102648,-6.781259537
3.807531399,7.234101295,-2.247458696,-6.624529362
3.812307857,6.987640381,-2.233700037,-6.498308182
3.817084316,7.011568546,-2.137388945,-6.455835342
3.821860774,7.068397999,-2.084148407,-6.422336102
3.82663718,7.021139622,-2.098505497,-6.345167637
3.831413638,7.030711174,-2.069791555,-6.306882381
3.836190097,7.025925636,-2.041077614,-6.349953175
3.840966555,7.058826923,-2.026720762,-6.384050846
3.845743013,6.958328247,-1.949552298,-6.440880299
3.850519472,6.829115868,-1.88255322,-6.570092678
3.85529593,6.918846607,-1.848455548,-6.599404812
3.860072388,6.919445038,-1.872383714,-6.55095005
3.864848795,6.829115868,-1.88255322,-6.570092678
3.869625253,6.957131863,-1.886740685,-6.60419035
3.874401711,7.005586624,-1.944766641,-6.556334019
3.87917817,7.028916359,-1.983051777,-6.565905571
3.883954628,6.996015072,-2.031506538,-6.527620316
3.888731086,6.996613503,-2.069791555,-6.479763508
3.893507545,7.010970116,-2.098505497,-6.451049805
3.898283951,6.978068829,-2.103889227,-6.474380016
3.903060409,6.991827965,-2.093719721,-6.469594002
3.907836868,6.996613503,-2.093719721,-6.47497797
3.912613326,6.934998035,-2.118246317,-6.488736629
3.917389784,6.930212498,-2.132603168,-6.531807423
3.922166243,6.920641422,-2.200200319,-6.522236347
3.926942701,6.968497753,-2.190030813,-6.531807423
3.931719107,7.010970116,-2.204387903,-6.551548481
3.936495566,6.915257454,-2.209771633,-6.627520561
3.941272024,7.000801086,-2.175673962,-6.642475605
3.946048482,6.996015072,-2.156531334,-6.647261143
3.950824941,7.000801086,-2.166102648,-6.66640377
3.955601399,7.000202656,-2.175673962,-6.69511795
3.960377857,6.948757172,-2.194816589,-6.652047157
3.965154316,6.991229534,-2.137388945,-6.63290453
3.969930722,6.981658459,-2.069791555,-6.637690067
3.97470718,6.938587666,-2.041077614,-6.584449768
