"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.642256000E-3,-4.951946259E0,8.379066467E0,2.127817631E0
6.418506000E-3,-5.013561726E0,8.205587387E0,2.046461582E0
1.119470400E-2,-5.103890896E0,8.118846893E0,2.032702923E0
1.597090200E-2,-5.113461971E0,8.152944565E0,1.970489502E0
2.074715200E-2,-5.033302307E0,8.186444283E0,1.888535261E0
2.552335000E-2,-4.995615482E0,8.181658745E0,1.839482427E0
3.029954800E-2,-4.981258392E0,8.109873772E0,1.820339799E0
3.507574600E-2,-4.957330227E0,8.042277336E0,1.786840320E0
3.985199600E-2,-4.905286312E0,7.970492363E0,1.714457393E0
4.462819400E-2,-4.829912663E0,7.946564198E0,1.637887120E0
4.940439200E-2,-4.753940582E0,7.946564198E0,1.579861164E0
5.418058900E-2,-4.782654285E0,7.869395256E0,1.546361685E0
5.895683900E-2,-4.615755081E0,7.850851059E0,1.569691658E0
6.373303700E-2,-4.401597023E0,7.793423176E0,1.481755376E0
6.850923500E-2,-4.387240410E0,7.600203037E0,1.390828133E0
7.328548500E-2,-4.240679741E0,7.600800991E0,1.246062398E0
7.806168300E-2,-4.268795490E0,7.576872826E0,1.275374413E0
8.283788100E-2,-4.453042984E0,7.546962738E0,1.491924882E0
8.761413100E-2,-4.338187218E0,7.494320393E0,1.606780410E0
9.239032900E-2,-4.023531437E0,7.389036179E0,1.648056626E0
9.716652700E-2,-3.975674868E0,7.466204643E0,1.715055585E0
1.019427770E-1,-3.790230989E0,7.645068169E0,1.810170293E0
1.067189750E-1,-3.728615999E0,7.770691395E0,1.925025821E0
1.114951730E-1,-3.704089403E0,7.881359577E0,2.025524378E0
1.162713710E-1,-3.500101328E0,7.766504288E0,1.914258122E0
1.210342870E-1,-2.815753937E0,7.223931789E0,1.464407444E0
1.258238190E-1,-3.650849104E0,7.082156658E0,1.780858278E0
1.306000170E-1,-4.342973232E0,6.916453838E0,2.063211441E0
1.353762140E-1,-4.689334393E0,6.833901405E0,2.194816589E0
1.401524640E-1,-4.741377831E0,6.939185619E0,2.338984251E0
1.449286620E-1,-4.488935471E0,7.161718369E0,2.510071039E0
1.497048600E-1,-4.017549038E0,7.283154011E0,2.555534601E0
1.544811100E-1,-3.679563046E0,7.283751965E0,2.639881611E0
1.592573080E-1,-3.564707518E0,7.177869797E0,2.745165825E0
1.640335060E-1,-3.658625841E0,6.975676060E0,2.822334290E0
1.688097560E-1,-3.662214994E0,6.725028038E0,2.861217737E0
1.735859540E-1,-3.692723513E0,6.478567123E0,3.144767046E0
1.783621520E-1,-3.708875179E0,6.290730953E0,3.557528973E0
1.831383500E-1,-3.629313707E0,6.126822472E0,4.041477680E0
1.879146000E-1,-3.401995659E0,5.973083496E0,4.621737003E0
1.926774640E-1,-2.892324448E0,5.800800323E0,5.305486202E0
1.974669960E-1,-2.088335991E0,5.595615864E0,5.949155331E0
2.022432460E-1,-1.080957651E0,5.375475883E0,6.409773827E0
2.070061100E-1,-4.127619043E-2,5.132006168E0,6.841079712E0
2.117956420E-1,9.720842242E-1,4.893920422E0,7.445267677E0
2.165718390E-1,1.830509305E0,4.668995380E0,8.391031265E0
2.213347560E-1,2.485544443E0,4.549952030E0,9.582656860E0
2.261242870E-1,2.987439156E0,4.449453831E0,1.078445148E1
2.309004850E-1,3.506681681E0,4.325026989E0,1.151665497E1
2.356634020E-1,3.827319860E0,4.055236340E0,1.173081303E1
2.404529330E-1,3.783650875E0,3.987638950E0,1.233141136E1
2.452291310E-1,3.236292601E0,4.506283283E0,1.417149258E1
2.499920480E-1,3.169293642E0,3.725624800E0,1.374078369E1
2.547815790E-1,3.343371391E0,2.964707375E0,1.297208977E1
2.595577770E-1,3.763910055E0,3.037688255E0,1.335434341E1
2.643206940E-1,3.788436413E0,2.368894339E0,1.226082325E1
2.691102250E-1,3.834498405E0,2.070987940E0,1.189531994E1
2.738864230E-1,4.058825493E0,2.504687071E0,1.222552872E1
2.786493390E-1,4.314259052E0,2.818146944E0,1.218544960E1
2.834388190E-1,4.499104977E0,3.141177893E0,1.224168110E1
2.882150690E-1,4.582255363E0,3.401995659E0,1.195274734E1
2.929779850E-1,4.526622295E0,3.604787350E0,1.145922756E1
2.977674640E-1,3.994817495E0,3.930809498E0,1.108235836E1
3.025437140E-1,2.454437733E0,4.322634220E0,1.064387321E1
3.073065790E-1,3.098705411E-1,4.886143684E0,1.039083195E1
3.120961100E-1,-1.040877819E0,5.219942570E0,9.826724052E0
3.168723600E-1,-1.404586911E0,4.925625324E0,9.401400566E0
3.216352250E-1,-1.438086390E0,4.598406792E0,9.142376900E0
3.264247560E-1,-1.059422255E0,4.555934429E0,8.785846710E0
3.312009540E-1,-3.870390654E-1,4.596014023E0,8.340183258E0
3.359638710E-1,3.140579760E-1,4.631906509E0,7.804191113E0
3.407534020E-1,9.714859724E-1,4.701298237E0,7.243672371E0
3.455296000E-1,1.544566989E0,4.611567497E0,6.737590313E0
3.502925170E-1,1.985444546E0,4.511667252E0,6.447460651E0
3.550820480E-1,2.134995937E0,4.554738045E0,6.796812534E0
3.598582460E-1,2.014756680E0,4.795216560E0,7.487740040E0
3.646344960E-1,1.784447432E0,5.025525570E0,8.117650986E0
3.694106940E-1,1.468594909E0,5.226522923E0,8.613563538E0
3.741868920E-1,1.109073281E0,5.350949764E0,9.075976372E0
3.789630890E-1,8.632107973E-1,5.407779217E0,9.326624870E0
3.837393390E-1,1.044467092E0,5.148158073E0,9.311669350E0
3.885155370E-1,1.872383714E0,4.481158733E0,8.991030693E0
3.932917350E-1,2.439482689E0,3.889533281E0,8.715258598E0
3.980679330E-1,2.553740025E0,3.582055569E0,8.623732567E0
4.028441830E-1,2.397010088E0,3.576671600E0,8.619544983E0
4.076203810E-1,2.220539331E0,3.720839262E0,8.692526817E0
4.123965790E-1,2.096112728E0,3.956532240E0,8.683553696E0
4.171728290E-1,2.161915302E0,4.134797573E0,8.711668968E0
4.219490270E-1,2.780459881E0,4.025325775E0,8.612366676E0
4.267252250E-1,3.741776466E0,3.632902861E0,8.453842163E0
4.315014750E-1,4.211966038E0,3.379263878E0,8.144570351E0
4.362643390E-1,4.334000111E0,3.547957659E0,8.048258781E0
4.410538710E-1,4.411766529E0,3.731008768E0,7.630113125E0
4.458300690E-1,4.580460548E0,3.698107481E0,7.096513748E0
4.505929850E-1,4.339384079E0,4.193421841E0,6.852446079E0
4.553825170E-1,3.808177233E0,4.645665169E0,6.576673031E0
4.601587140E-1,2.850450039E0,4.889134884E0,6.519245148E0
4.649216310E-1,1.688734531E0,5.064409256E0,6.409773827E0
4.697111620E-1,8.793623000E-2,5.354538918E0,6.196812630E0
4.744873600E-1,-1.407577872E0,5.885745525E0,6.218945980E0
4.792502770E-1,-2.143969059E0,6.269195557E0,6.568298340E0
4.840398080E-1,-2.171486616E0,6.480959892E0,6.879963398E0
4.888160060E-1,-1.546361685E0,6.443871498E0,7.140780926E0
4.935922040E-1,3.020938635E-1,5.614758492E0,7.107281685E0
4.983684540E-1,2.121835470E0,4.545166492E0,6.959524632E0
5.031446520E-1,3.168695450E0,3.762115479E0,7.396214962E0
5.079075690E-1,3.535993576E0,3.377469063E0,8.042875290E0
5.126971000E-1,3.535395384E0,3.367299557E0,8.705088615E0
5.174732980E-1,3.361317635E0,3.592823267E0,9.238089561E0
5.222362140E-1,3.168097258E0,3.866801500E0,9.675378799E0
5.270256940E-1,3.021536827E0,4.049253941E0,9.935597420E0
5.318019440E-1,3.107678413E0,4.135993958E0,1.001695347E1
5.365648600E-1,3.245265722E0,4.078566074E0,1.000678444E1
5.413543390E-1,3.530609846E0,4.060021877E0,9.904491425E0
5.461305890E-1,3.597608805E0,3.915854216E0,9.884750366E0
5.509067870E-1,3.606581926E0,3.809971809E0,9.735796928E0
5.556829850E-1,3.600599766E0,3.699303865E0,9.467203140E0
5.604591830E-1,3.536591768E0,3.641875982E0,9.050253868E0
5.652354330E-1,3.490530014E0,3.665804386E0,8.556135178E0
5.700116310E-1,3.363112211E0,3.670589924E0,8.000402451E0
5.747878290E-1,3.445664644E0,3.680759430E0,7.409375191E0
5.795507460E-1,3.602992773E0,3.715455294E0,6.765706062E0
5.843402770E-1,3.641277790E0,3.879363775E0,6.059823513E0
5.891164750E-1,3.622733593E0,3.966103554E0,5.435894966E0
5.938793920E-1,3.501297712E0,4.033700943E0,5.066802025E0
5.986689230E-1,3.096312523E0,4.249054909E0,5.111667156E0
6.034451210E-1,3.068196774E0,4.253840446E0,5.231906891E0
6.082080370E-1,3.267997503E0,4.332205296E0,5.206781864E0
6.129975690E-1,3.772883177E0,4.342973232E0,5.247459888E0
6.177737670E-1,4.529613495E0,4.359124660E0,5.272584915E0
6.225366830E-1,5.219344616E0,4.201198578E0,5.269593716E0
6.273262140E-1,5.505885124E0,3.855435371E0,5.330610752E0
6.321024120E-1,5.798407555E0,3.350549936E0,5.315057278E0
6.368653290E-1,6.179464340E0,2.845066071E0,5.158925533E0
6.416548600E-1,6.589235306E0,2.379063845E0,5.047060966E0
6.464310580E-1,7.094718933E0,1.782652855E0,4.834099770E0
6.511939750E-1,7.490133286E0,1.292722464E0,4.755136967E0
6.559834540E-1,7.937591076E0,1.289133191E0,4.743172646E0
6.607597040E-1,8.374280930E0,1.651047587E0,4.798805714E0
6.655225690E-1,8.489734650E0,2.066202402E0,5.210371494E0
6.703121000E-1,8.159524918E0,2.498106956E0,5.898307800E0
6.750883500E-1,7.354938507E0,2.799004316E0,6.765706062E0
6.798512140E-1,6.288337708E0,2.945564747E0,7.500900745E0
6.846407460E-1,5.258825779E0,2.962314367E0,7.933403492E0
6.894169440E-1,4.503292084E0,2.897708178E0,8.018946648E0
6.941798600E-1,3.874577999E0,2.814557552E0,7.926225185E0
6.989693920E-1,3.364308596E0,2.769692183E0,7.770691395E0
7.037455890E-1,2.760120869E0,2.710469961E0,7.649255753E0
7.085085060E-1,2.344966173E0,2.724228621E0,7.391428947E0
7.132980370E-1,2.122433662E0,2.791227579E0,6.965506554E0
7.180742350E-1,2.070389748E0,2.926422119E0,6.284150600E0
7.228371520E-1,2.126621008E0,3.085544825E0,5.425127029E0
7.276266830E-1,2.517249346E0,3.212962627E0,4.727021217E0
7.324028810E-1,2.863610506E0,3.334398270E0,3.918845177E0
7.371657980E-1,3.391227961E0,3.360121250E0,3.023929596E0
7.419553290E-1,3.890729666E0,3.303889751E0,2.191227436E0
7.467315270E-1,4.505086899E0,3.180659533E0,1.444068432E0
7.514944440E-1,5.129015446E0,3.003590584E0,6.969096065E-1
7.562839750E-1,5.473581791E0,2.744567633E0,1.866401732E-1
7.610601730E-1,4.630111694E0,1.490130305E0,-2.871387079E-2
7.658230890E-1,4.721039295E0,1.076171994E0,-1.824527234E-1
7.706126210E-1,5.382056236E0,1.135992527E0,-1.381855011E-1
7.753888190E-1,6.484549522E0,1.470389485E0,-1.244267747E-1
7.801517350E-1,7.719843864E0,2.129014015E0,-1.124626622E-1
7.849412140E-1,8.547162056E0,2.593221426E0,6.999006122E-2
7.897174640E-1,9.204590797E0,2.691327333E0,1.818545163E-1
7.944803810E-1,9.337990761E0,2.768495798E0,2.913261652E-1
7.992698600E-1,9.151350021E0,2.845066071E0,1.531406492E-1
8.040460580E-1,8.929415703E0,2.878565550E0,-2.584248483E-1
8.088089750E-1,8.578866959E0,2.854039192E0,-7.992027402E-1
8.135985060E-1,8.099106789E0,2.920439959E0,-1.506880045E0
8.183747040E-1,8.328219414E0,3.552743435E0,-2.539981127E0
8.231376210E-1,7.651648521E0,3.503092289E0,-2.738585472E0
8.279271520E-1,7.023532867E0,3.555136204E0,-3.521636724E0
8.327033500E-1,6.573681831E0,3.438486099E0,-4.013959885E0
8.374662670E-1,6.386443615E0,3.100499868E0,-4.502095699E0
8.422557980E-1,6.799803734E0,2.678166628E0,-4.864608288E0
8.470319960E-1,7.932207108E0,2.290529490E0,-5.023132801E0
8.517949120E-1,9.138189316E0,2.027917147E0,-4.765306473E0
8.565844440E-1,9.926026344E0,2.024926186E0,-4.256233215E0
8.613606420E-1,1.041476059E1,2.190030813E0,-3.701696634E0
8.661235580E-1,1.078265667E1,2.441277266E0,-3.238685369E0
8.709130890E-1,1.114098263E1,2.605783939E0,-2.851646423E0
8.756892870E-1,1.200000572E1,2.424527645E0,-2.572882652E0
8.804522040E-1,1.250608730E1,2.488535643E0,-2.306680918E0
