"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.030333340E-3,-3.516188049E-1,2.120340729E0,9.831255798E0
1.095833333E-2,-3.420387268E-1,2.155517578E0,9.401649170E0
2.088533330E-2,-2.737806702E-1,2.320025482E0,9.425898743E0
3.081333335E-2,-2.571652222E-1,2.343526611E0,9.591304779E0
4.074033332E-2,-4.197271729E-1,2.300715637E0,9.735305328E0
5.066833331E-2,-6.252497864E-1,2.437231750E0,9.873917084E0
6.059595832E-2,-6.147715759E-1,2.445314941E0,9.848170624E0
7.052295830E-2,-6.201603699E-1,2.404000854E0,9.838889923E0
8.045095834E-2,-5.158273315E-1,2.368674316E0,9.797575836E0
9.037795832E-2,-4.489164734E-1,2.356250153E0,9.839189301E0
1.003059583E-1,-4.284091187E-1,2.393822021E0,9.990973663E0
1.102339583E-1,-4.558021545E-1,2.436483307E0,1.005968079E1
1.201609583E-1,-4.737648010E-1,2.503992920E0,1.000714005E1
1.300889583E-1,-4.110452271E-1,2.516716461E0,9.901908875E0
1.400159583E-1,-3.463796997E-1,2.599793701E0,9.793384552E0
1.499439583E-1,-3.941304016E-1,2.631527710E0,9.755962372E0
1.598719583E-1,-4.611909485E-1,2.648143158E0,9.777068481E0
1.697989583E-1,-4.656816101E-1,2.656076660E0,9.791887665E0
1.797269583E-1,-4.501139832E-1,2.671195221E0,9.810299377E0
1.896539583E-1,-4.438270569E-1,2.713557129E0,9.819580078E0
1.995819584E-1,-3.028202820E-1,2.791245575E0,9.812095642E0
2.095089583E-1,-4.120930481E-1,2.801125031E0,9.801617432E0
2.194369583E-1,-8.761280823E-1,2.849324799E0,9.932295685E0
2.293649583E-1,-7.216493225E-1,2.935096436E0,1.013048355E1
2.392919583E-1,-6.526428223E-1,2.912643127E0,1.013317795E1
2.492199583E-1,-7.271878052E-1,2.895877991E0,9.974358215E0
2.591469583E-1,-6.632707214E-1,2.960094452E0,9.887688446E0
2.690749583E-1,-5.718109131E-1,3.012635193E0,9.859846344E0
2.790029583E-1,-5.545967102E-1,3.017724609E0,9.815987549E0
2.889299583E-1,-5.640270996E-1,3.061433716E0,9.739197235E0
2.988579583E-1,-5.438191223E-1,3.126697998E0,9.717192993E0
3.087849583E-1,-5.140310669E-1,3.130290527E0,9.713301086E0
3.187129583E-1,-4.564009094E-1,3.129242706E0,9.730215912E0
3.286409584E-1,-4.496649170E-1,3.124153290E0,9.752220154E0
3.385679583E-1,-4.703219604E-1,3.149450684E0,9.758357391E0
3.484959583E-1,-4.876858521E-1,3.140020294E0,9.770033112E0
