"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
3.082678318E-1,5.322148391E1,1.038599041E1,3.412199453E1,2.716280804E0,1.506915283E2,5.088436170E0,5.088436170E0
1.308274865E0,5.322146246E1,1.038600928E1,3.425218191E1,2.776757776E0,1.496225128E2,5.126422371E0,5.126422371E0
2.308281541E0,5.322142954E1,1.038603999E1,3.429583982E1,3.952799297E0,1.496225128E2,5.188939169E0,5.188939169E0
3.308289289E0,5.322140222E1,1.038606722E1,3.430758471E1,3.829882389E0,1.496225128E2,5.256386658E0,5.256386658E0
4.308296084E0,5.322137256E1,1.038609793E1,3.425378487E1,4.469506341E0,1.496225128E2,5.350216433E0,5.350216433E0
5.308302164E0,5.322133442E1,1.038613127E1,3.428711761E1,5.655696419E0,1.496225128E2,5.489508603E0,5.489508603E0
6.308309913E0,5.322136064E1,1.038625927E1,3.425815976E1,5.958121901E0,5.593988037E1,5.747805425E0,5.747805425E0
7.308316588E0,5.322139306E1,1.038635952E1,3.458985798E1,7.165477771E0,5.620734787E1,5.916992753E0,5.916992753E0
8.308324099E0,5.322144929E1,1.038645848E1,3.474626407E1,8.475187853E0,5.620734787E1,6.045403352E0,6.045403352E0
9.308330178E0,5.322149758E1,1.038657906E1,3.468818477E1,8.870871022E0,5.649789810E1,6.347964923E0,6.347964923E0
1.030833709E1,5.322155171E1,1.038671664E1,3.459841446E1,9.918576604E0,5.773281479E1,6.645680927E0,6.645680927E0
1.130834484E1,5.322160574E1,1.038685937E1,3.471368887E1,1.082015058E1,5.778741074E1,6.955276898E0,6.955276898E0
1.230835187E1,5.322165837E1,1.038703621E1,3.455946750E1,1.193653009E1,5.766346741E1,7.149240305E0,7.149240305E0
1.330835879E1,5.322172606E1,1.038720406E1,3.459141332E1,1.261666902E1,5.845486832E1,7.318685199E0,7.318685199E0
1.430836535E1,5.322180624E1,1.038737523E1,3.433881608E1,1.326892128E1,5.770537186E1,7.367620954E0,7.367620954E0
1.530837262E1,5.322187426E1,1.038755184E1,3.448994179E1,1.378968969E1,5.707768250E1,7.500361340E0,7.500361340E0
1.630837905E1,5.322193943E1,1.038773356E1,3.443207340E1,1.395229190E1,5.707768250E1,7.717485392E0,7.717485392E0
1.730838668E1,5.322201775E1,1.038791636E1,3.403588250E1,1.414308093E1,5.707768250E1,7.290492632E0,7.290492632E0
1.830839288E1,5.322209406E1,1.038810860E1,3.364027811E1,1.448295855E1,5.730840683E1,7.002453189E0,7.002453189E0
1.930840027E1,5.322216784E1,1.038829573E1,3.380515211E1,1.454452237E1,5.730840683E1,6.997806615E0,6.997806615E0
2.030840659E1,5.322224573E1,1.038848924E1,3.397469535E1,1.483178038E1,5.718284607E1,7.021983454E0,7.021983454E0
2.130841362E1,5.322232088E1,1.038868778E1,3.379802717E1,1.490466603E1,5.637459946E1,7.132222112E0,7.132222112E0
