"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.391531594E0,5.343918660E1,9.987471400E0,3.471829913E1,0.000000000E0,0.000000000E0,3.440000153E1,2.981961250E0
8.125861840E0,5.343921801E1,9.987604320E0,5.496615139E1,0.000000000E0,0.000000000E0,8.000000000E0,1.467109966E1
9.111265147E0,5.343922213E1,9.987587248E0,5.457177916E1,0.000000000E0,0.000000000E0,1.600000000E1,1.574506569E1
1.012549876E1,5.343922344E1,9.987581228E0,5.567981299E1,0.000000000E0,0.000000000E0,1.200000000E1,1.478565121E1
1.112041103E1,5.343922189E1,9.987573569E0,5.492084140E1,0.000000000E0,0.000000000E0,1.200000000E1,1.396723175E1
1.211653045E1,5.343921614E1,9.987564822E0,5.356895671E1,0.000000000E0,0.000000000E0,1.200000000E1,1.276924133E1
1.312193626E1,5.343920819E1,9.987564332E0,5.258893533E1,0.000000000E0,0.000000000E0,1.200000000E1,1.178419590E1
1.411563526E1,5.343920491E1,9.987562390E0,5.147984884E1,0.000000000E0,0.000000000E0,8.000000000E0,1.098967552E1
1.511495060E1,5.343920180E1,9.987563370E0,5.073858724E1,0.000000000E0,0.000000000E0,8.000000000E0,1.026955795E1
1.611309322E1,5.343919334E1,9.987565929E0,5.063282457E1,9.192035794E-1,4.571989059E1,8.000000000E0,9.804575920E0
1.711981872E1,5.343918865E1,9.987572809E0,5.008678504E1,0.000000000E0,4.571989059E1,8.000000000E0,9.379331589E0
1.812780656E1,5.343917965E1,9.987571461E0,5.018162797E1,0.000000000E0,4.571989059E1,8.000000000E0,9.045764923E0
1.913393891E1,5.343917334E1,9.987564946E0,5.116206141E1,0.000000000E0,4.571989059E1,8.000000000E0,8.800844193E0
2.013997629E1,5.343916935E1,9.987560597E0,5.015352702E1,6.960559487E-1,1.699484863E2,8.000000000E0,8.643257141E0
2.114792345E1,5.343915501E1,9.987547528E0,4.908367248E1,1.894501448E0,2.138617096E2,8.000000000E0,8.456274033E0
2.214529629E1,5.343913220E1,9.987524548E0,4.707096000E1,2.498804808E0,2.035378418E2,8.000000000E0,8.271391869E0
2.314296402E1,5.343910298E1,9.987497825E0,4.497564035E1,2.928119183E0,2.003462219E2,8.000000000E0,7.931378841E0
2.413907525E1,5.343906335E1,9.987476971E0,4.391368833E1,3.332626343E0,1.989564514E2,8.000000000E0,7.614532948E0
2.514231521E1,5.343902702E1,9.987459739E0,4.401121423E1,3.168086529E0,1.983909912E2,8.000000000E0,7.303888321E0
2.614533279E1,5.343899592E1,9.987441474E0,4.366922206E1,3.073188782E0,1.985889435E2,6.000000000E0,7.039762020E0
2.714438798E1,5.343896518E1,9.987421401E0,4.367783987E1,3.186361074E0,1.997771149E2,6.000000000E0,6.723221302E0
2.814819333E1,5.343893488E1,9.987401393E0,4.356398605E1,3.485709429E0,2.000752411E2,6.000000000E0,6.480170727E0
2.913987348E1,5.343890007E1,9.987378245E0,4.309885199E1,3.809028149E0,2.016194000E2,6.000000000E0,6.275882244E0
3.012559786E1,5.343886432E1,9.987355315E0,4.291080358E1,4.070528507E0,2.025423431E2,6.000000000E0,6.111885548E0
3.114111590E1,5.343882858E1,9.987328507E0,4.295713730E1,4.220716476E0,2.042187500E2,6.000000000E0,5.946219444E0
3.214984305E1,5.343879199E1,9.987302150E0,4.277281467E1,4.380194187E0,2.048022766E2,6.000000000E0,5.824192524E0
3.314562928E1,5.343875232E1,9.987271541E0,4.300580043E1,4.385061741E0,2.060810242E2,6.000000000E0,5.682844162E0
3.416451286E1,5.343871363E1,9.987239660E0,4.331118775E1,4.482022285E0,2.067378693E2,4.000000000E0,5.567048073E0
3.514308840E1,5.343867549E1,9.987207819E0,4.355902398E1,4.504853725E0,2.073723755E2,4.000000000E0,5.445678234E0
3.615470047E1,5.343863767E1,9.987175603E0,4.367022058E1,4.545055389E0,2.072691803E2,6.000000000E0,5.313760757E0
3.715578447E1,5.343859973E1,9.987144334E0,4.373054893E1,4.641209126E0,2.068239594E2,6.000000000E0,5.203604698E0
3.814725905E1,5.343856392E1,9.987116973E0,4.365896653E1,4.292697906E0,2.067282562E2,6.000000000E0,5.082330227E0
3.914426332E1,5.343853155E1,9.987092473E0,4.361568245E1,3.929622173E0,2.065180664E2,6.000000000E0,4.989346981E0
4.013520251E1,5.343849911E1,9.987066858E0,4.383091127E1,3.224144936E0,2.069774170E2,6.000000000E0,4.922958374E0
4.115175793E1,5.343847398E1,9.987048814E0,4.369647895E1,2.864312649E0,2.057752838E2,6.000000000E0,4.865773201E0
4.214265732E1,5.343845071E1,9.987031379E0,4.350126641E1,2.076349974E0,2.050400391E2,6.000000000E0,4.809165001E0
4.314289589E1,5.343844304E1,9.987028274E0,4.313236187E1,1.099452019E0,2.036834259E2,6.000000000E0,4.757777691E0
4.415305793E1,5.343844144E1,9.987027953E0,4.299885541E1,3.242740333E-1,2.036314697E2,6.000000000E0,4.706578255E0
4.514124958E1,5.343844144E1,9.987027953E0,4.298030432E1,0.000000000E0,2.036314697E2,6.000000000E0,4.649199486E0
4.615716335E1,5.343844144E1,9.987027953E0,4.297294071E1,0.000000000E0,2.036314697E2,6.000000000E0,4.601698875E0
4.715576820E1,5.343844144E1,9.987027953E0,4.297551898E1,0.000000000E0,2.036314697E2,6.000000000E0,4.562963009E0
4.815318712E1,5.343843477E1,9.987032211E0,4.313604058E1,3.511024415E-1,2.028180084E2,8.000000000E0,4.528223991E0
4.914909331E1,5.343843477E1,9.987032211E0,4.320919158E1,0.000000000E0,2.028180084E2,6.000000000E0,4.492230892E0
5.015861993E1,5.343841968E1,9.987020634E0,4.340826606E1,1.373167396E0,2.065311737E2,6.000000000E0,4.462747574E0
5.115944366E1,5.343840818E1,9.987012321E0,4.328994196E1,1.666102529E0,2.063572693E2,6.000000000E0,4.439760685E0
5.214138839E1,5.343839345E1,9.987001180E0,4.332813488E1,2.054957628E0,2.051507721E2,6.000000000E0,4.441051483E0
5.314976692E1,5.343837465E1,9.986988020E0,4.319093613E1,2.521381140E0,2.050906067E2,6.000000000E0,4.435547352E0
5.415055681E1,5.343835214E1,9.986971003E0,4.291281948E1,3.096073151E0,2.057129211E2,6.000000000E0,4.449185848E0
