"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.333374000E-2,-1.149216816E-1,8.978256583E-1,9.500492096E0
1.835874000E-2,-2.633621916E-2,8.690952063E-1,9.677662849E0
2.333374000E-2,5.746084079E-2,8.116343617E-1,9.885957718E0
2.832174000E-2,1.268926859E-1,7.302315235E-1,1.006073475E1
3.331374000E-2,1.699883193E-1,6.344634295E-1,1.017086792E1
3.830099000E-2,1.747767180E-1,5.099649429E-1,1.019002151E1
4.329599000E-2,1.580173075E-1,3.830722570E-1,1.015171432E1
4.829182300E-2,1.268926859E-1,2.561795712E-1,1.005834103E1
5.328825100E-2,9.816227108E-2,1.460463107E-1,9.957783699E0
5.828525100E-2,7.661445439E-2,8.619125932E-2,9.862015724E0
6.328247300E-2,6.224924326E-2,7.900865376E-2,9.787796021E0
6.827997300E-2,5.027823523E-2,1.340752989E-1,9.744700432E0
7.327770000E-2,3.351882473E-2,2.442085743E-1,9.739912033E0
7.827561600E-2,4.788403399E-3,4.046200812E-1,9.766247749E0
8.327369200E-2,-2.633621916E-2,5.746083856E-1,9.797372818E0
8.827190600E-2,-6.224924326E-2,7.469909191E-1,9.818920135E0
9.327023900E-2,-9.576806426E-2,8.858546019E-1,9.821314812E0
9.826867600E-2,-1.173158810E-1,9.672574997E-1,9.790189743E0
1.032672050E-1,-1.221042871E-1,1.015141487E0,9.735123634E0
1.082658710E-1,-1.053448766E-1,1.005564690E0,9.675268173E0
1.132645550E-1,-8.140286058E-2,9.696516991E-1,9.617807388E0
1.182633050E-1,-5.267243832E-2,9.265560508E-1,9.579500198E0
1.232621140E-1,-3.591302410E-2,8.882488012E-1,9.572318077E0
1.282609770E-1,-3.351882473E-2,8.714894056E-1,9.613018990E0
1.332598900E-1,-3.112462163E-2,8.619126081E-1,9.670479774E0
1.382588480E-1,-4.788403213E-2,8.738836050E-1,9.768642426E0
1.432578480E-1,-7.422025502E-2,9.002198577E-1,9.869198799E0
1.482568860E-1,-1.149216816E-1,9.552865028E-1,9.967360497E0
1.532559600E-1,-1.532289088E-1,1.022324085E0,1.004636955E1
1.582550670E-1,-1.843535304E-1,1.096544385E0,1.008467674E1
1.632542040E-1,-2.082955539E-1,1.173158884E0,1.008467674E1
1.682534040E-1,-2.370259613E-1,1.252167463E0,1.004158115E1
1.732534040E-1,-2.585737705E-1,1.319205165E0,9.962572098E0
1.782533700E-1,-2.489969730E-1,1.350329757E0,9.847650528E0
1.832533360E-1,-2.082955539E-1,1.343147159E0,9.730335236E0
1.882542020E-1,-1.316810995E-1,1.259350061E0,9.622595787E0
1.932542020E-1,-5.746084079E-2,1.163581967E0,9.548376083E0
1.982542020E-1,0.000000000E0,1.079784989E0,9.517251015E0
2.032542020E-1,4.788403213E-2,1.015141487E0,9.522039413E0
2.082541680E-1,8.140286058E-2,9.744400978E-1,9.565135002E0
2.132541680E-1,1.125274822E-1,9.528923035E-1,9.624990463E0
2.182541680E-1,1.484405100E-1,9.409212470E-1,9.715970039E0
2.232541680E-1,2.035071403E-1,9.720458984E-1,9.790189743E0
2.282541680E-1,1.963245422E-1,9.935936928E-1,9.873987198E0
2.332541680E-1,1.484405100E-1,9.911994934E-1,9.972148895E0
2.382541680E-1,7.422025502E-2,9.744400978E-1,1.008946514E1
2.432541680E-1,4.788403399E-3,9.504981041E-1,1.018283939E1
2.482541680E-1,-3.830722719E-2,8.236053586E-1,1.019241619E1
2.532541680E-1,-6.943184882E-2,7.517793179E-1,1.015889740E1
2.582541340E-1,-1.173158810E-1,7.829039693E-1,1.007509995E1
2.632541340E-1,-1.316810995E-1,8.475474119E-1,9.941024780E0
2.682541340E-1,-8.140286058E-2,8.906430602E-1,9.749488831E0
2.732541340E-1,-9.576806799E-3,9.145850539E-1,9.572318077E0
2.782541340E-1,5.746084079E-2,9.313444495E-1,9.450213432E0
2.832541340E-1,9.337386489E-2,9.337386489E-1,9.383175850E0
2.882541340E-1,9.097966552E-2,9.097966552E-1,9.392752647E0
2.932541340E-1,6.943184882E-2,8.762778044E-1,9.440636635E0
2.982537340E-1,6.224924326E-2,8.331822157E-1,9.536404610E0
3.032537340E-1,7.661445439E-2,8.044517636E-1,9.651326180E0
3.082537670E-1,1.005564705E-1,7.829039693E-1,9.766247749E0
3.132538000E-1,1.173158810E-1,7.709329724E-1,9.859622002E0
3.182538000E-1,1.268926859E-1,7.733271718E-1,9.924264908E0
3.232538000E-1,1.292868853E-1,7.852981687E-1,9.962572098E0
3.282538000E-1,1.268926859E-1,8.092401624E-1,9.974543571E0
3.332538000E-1,1.316810995E-1,8.307880163E-1,9.967360497E0
3.382538000E-1,1.460463107E-1,8.475474119E-1,9.941024780E0
3.432538000E-1,1.580173075E-1,8.547300100E-1,9.905111313E0
3.482538000E-1,1.771709323E-1,8.571242094E-1,9.869198799E0
3.532538000E-1,1.987187415E-1,8.427590132E-1,9.835680008E0
3.582538000E-1,2.250549644E-1,8.116343617E-1,9.806949615E0
3.632538000E-1,2.442085743E-1,7.852981687E-1,9.778219223E0
3.682538000E-1,2.489969730E-1,7.900865674E-1,9.742305756E0
