"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.298558000E-3,-4.670789719E0,3.232703447E0,8.023134232E0
1.014876600E-2,-4.553541660E0,3.153740168E0,7.862815380E0
1.499887000E-2,-4.505684853E0,3.081955671E0,7.941778183E0
1.984897500E-2,-4.208974838E0,3.096312523E0,8.154739380E0
2.469907900E-2,-3.783052683E0,3.156133175E0,8.480163574E0
2.954918300E-2,-3.448057413E0,3.184846878E0,8.788837433E0
3.439928700E-2,-3.316452265E0,3.237488985E0,9.035298347E0
3.924939100E-2,-3.321237803E0,3.259024382E0,9.262616158E0
4.409944300E-2,-3.390629768E0,3.302095175E0,9.418149948E0
4.894954700E-2,-3.383451223E0,3.337987661E0,9.480362892E0
5.379965200E-2,-3.340380430E0,3.354737282E0,9.442078590E0
5.864975600E-2,-3.294916868E0,3.323630571E0,9.384650230E0
6.349986000E-2,-3.275774240E0,3.251846075E0,9.298508644E0
6.834996400E-2,-3.342773199E0,3.211168051E0,9.190832138E0
7.320006800E-2,-3.445664644E0,3.168097258E0,9.052047729E0
7.805017200E-2,-3.536591768E0,3.156133175E0,8.930013657E0
8.290027700E-2,-3.644268990E0,3.151347399E0,8.788837433E0
8.775038100E-2,-3.675375462E0,3.192025423E0,8.645268440E0
9.260043300E-2,-3.653840065E0,3.218346357E0,8.575876236E0
9.745053700E-2,-3.665804386E0,3.232703447E0,8.511270523E0
1.023006410E-1,-3.730410576E0,3.215953588E0,8.492127419E0
1.071507450E-1,-3.957728624E0,3.201596737E0,8.434700012E0
1.120008500E-1,-4.055834293E0,3.170490026E0,8.317451477E0
1.168509540E-1,-4.134797573E0,3.115455151E0,8.276773453E0
1.217010580E-1,-4.163511276E0,3.084348440E0,8.305487633E0
1.265511620E-1,-4.132404804E0,3.062813044E0,8.348558426E0
1.314012140E-1,-4.051048756E0,3.062813044E0,8.422736168E0
1.362513180E-1,-3.933800459E0,3.084348440E0,8.530412674E0
1.411014220E-1,-3.845266104E0,3.110669374E0,8.654839516E0
1.459515270E-1,-3.737588882E0,3.158525944E0,8.784051895E0
1.508016310E-1,-3.629911900E0,3.180061340E0,8.877371788E0
1.556517350E-1,-3.531806231E0,3.208775282E0,8.980263710E0
1.605018390E-1,-3.388236761E0,3.225524902E0,9.080761909E0
1.653519430E-1,-3.247060299E0,3.249453068E0,9.147761345E0
1.702019950E-1,-3.127419233E0,3.292523861E0,9.245866776E0
1.750521000E-1,-3.043670416E0,3.290131092E0,9.336793900E0
1.799022040E-1,-2.976671457E0,3.280559778E0,9.439684868E0
1.847523080E-1,-2.964707375E0,3.237488985E0,9.549755096E0
1.896024120E-1,-2.916850805E0,3.201596737E0,9.573683739E0
1.944525160E-1,-2.883351326E0,3.139383316E0,9.607182503E0
1.993026200E-1,-2.912065268E0,3.072384357E0,9.611968994E0
2.041527250E-1,-2.957528830E0,3.012563705E0,9.592825890E0
