"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.231038000E-2,-4.320341051E-1,3.759109080E-1,1.201112866E-1
1.706579700E-2,-4.857902229E-1,4.418843091E-1,1.152243689E-1
2.182121400E-2,-5.309942365E-1,5.096902847E-1,1.078939885E-1
2.657663000E-2,-5.664243698E-1,5.799397230E-1,1.023962051E-1
3.133204700E-2,-5.969675779E-1,6.520217657E-1,1.097265854E-1
3.608746400E-2,-6.195695996E-1,7.320450544E-1,1.133917719E-1
4.084293200E-2,-6.323977709E-1,8.114575148E-1,1.121700481E-1
4.559834900E-2,-6.427824497E-1,8.841503859E-1,1.085048541E-1
5.035376600E-2,-6.488910913E-1,9.513455629E-1,1.060613990E-1
5.510918200E-2,-6.495019794E-1,1.019151568E0,1.066722646E-1
5.986459900E-2,-6.433933377E-1,1.090011835E0,1.146135032E-1
6.462001600E-2,-6.372846961E-1,1.164537311E0,1.292742640E-1
6.937548400E-2,-6.305651665E-1,1.237230301E0,1.476002038E-1
7.413090100E-2,-6.238456368E-1,1.303814530E0,1.671478748E-1
7.888631800E-2,-6.232348084E-1,1.353905439E0,1.848629564E-1
8.364173400E-2,-6.232348084E-1,1.381394386E0,2.007454336E-1
8.839715100E-2,-6.250674129E-1,1.389946461E0,2.135736048E-1
9.315262000E-2,-6.244565248E-1,1.391168118E0,2.251800299E-1
9.790803700E-2,-6.177369952E-1,1.397276878E0,2.282343507E-1
1.026634530E-1,-6.000219584E-1,1.412548423E0,2.245691717E-1
1.074188700E-1,-5.798633695E-1,1.434539557E0,2.111301422E-1
1.121742870E-1,-5.584831238E-1,1.459585071E0,1.891390085E-1
1.169297030E-1,-5.407680273E-1,1.485852242E0,1.549305767E-1
1.216851720E-1,-5.163334608E-1,1.506621599E0,1.188895553E-1
1.264405890E-1,-4.925097227E-1,1.525558472E0,7.673988491E-2
1.311960050E-1,-4.656316638E-1,1.571984172E0,3.581194952E-2
1.359514220E-1,-4.381427765E-1,1.592142701E0,-1.450803829E-3
1.407068390E-1,-4.149298966E-1,1.575038433E0,-3.504836559E-2
1.454622550E-1,-3.996582925E-1,1.533499718E0,-6.803506613E-2
1.502176720E-1,-3.911061883E-1,1.480965257E0,-9.980003536E-2
1.549731410E-1,-3.874409795E-1,1.438204765E0,-1.303432733E-1
1.597285570E-1,-3.929387629E-1,1.396055102E0,-1.462257504E-1
1.644839740E-1,-4.008800089E-1,1.384448647E0,-1.529452652E-1
1.692393910E-1,-4.045451880E-1,1.396055102E0,-1.566104591E-1
1.739948070E-1,-4.088212550E-1,1.424154878E0,-1.596647799E-1
1.787502760E-1,-4.161516428E-1,1.458974123E0,-1.657734364E-1
1.835056930E-1,-4.259254634E-1,1.491350055E0,-1.731038094E-1
1.882611090E-1,-4.369210303E-1,1.519449830E0,-1.804341823E-1
1.930165260E-1,-4.491383433E-1,1.545717001E0,-1.847102344E-1
1.977719430E-1,-4.607447684E-1,1.578092813E0,-1.847102344E-1
2.025273590E-1,-4.741837978E-1,1.616577268E0,-1.816559136E-1
2.072828280E-1,-4.882336855E-1,1.658726931E0,-1.755472720E-1
2.120382450E-1,-5.071704984E-1,1.700265765E0,-1.706603467E-1
2.167936620E-1,-5.303833485E-1,1.740582824E0,-1.718820781E-1
2.215490780E-1,-5.590940118E-1,1.771126032E0,-1.792124510E-1
2.263044950E-1,-5.951350331E-1,1.787619472E0,-1.914297491E-1
2.310599120E-1,-6.354520917E-1,1.779678226E0,-2.054796368E-1
2.358153800E-1,-6.824886799E-1,1.738750219E0,-2.219729871E-1
2.405707970E-1,-7.289143801E-1,1.694767952E0,-2.445749789E-1
2.453262140E-1,-7.710640430E-1,1.648953080E0,-2.714530230E-1
2.500816300E-1,-8.150463104E-1,1.578092813E0,-2.952767611E-1
2.548370470E-1,-8.547525406E-1,1.501734734E0,-3.129918277E-1
2.595924640E-1,-8.852958083E-1,1.439426541E0,-3.221548200E-1
2.643479320E-1,-9.030108452E-1,1.386281252E0,-3.209330738E-1
2.691033490E-1,-9.115629792E-1,1.345353365E0,-3.123809695E-1
2.738587660E-1,-9.127846956E-1,1.310534000E0,-3.044397235E-1
2.786141820E-1,-9.115629792E-1,1.267162681E0,-2.952767611E-1
2.833695990E-1,-9.109520912E-1,1.205465317E0,-2.824485898E-1
2.881250160E-1,-9.078977704E-1,1.132161498E0,-2.757290900E-1
2.928804840E-1,-9.024000168E-1,1.063744664E0,-2.800051570E-1
2.976359010E-1,-9.011782408E-1,1.013042927E0,-2.867246568E-1
3.023913180E-1,-9.042325616E-1,9.684497714E-1,-2.922224402E-1
3.071467340E-1,-8.981239200E-1,9.024763703E-1,-2.946659029E-1
3.119021510E-1,-8.828523159E-1,8.145118356E-1,-2.952767611E-1
3.166575680E-1,-8.657481074E-1,6.990583539E-1,-2.983310819E-1
3.214130370E-1,-8.462004066E-1,5.719985366E-1,-3.081049323E-1
3.261684530E-1,-8.272636533E-1,4.657080472E-1,-3.313177824E-1
3.309238700E-1,-8.003855944E-1,3.777435124E-1,-3.594175577E-1
3.356792870E-1,-7.582359314E-1,2.995528281E-1,-3.887390792E-1
3.404347030E-1,-7.063124180E-1,2.268599123E-1,-4.211149216E-1
3.451901200E-1,-6.464476585E-1,1.541669965E-1,-4.528798759E-1
3.499455370E-1,-5.780308247E-1,6.925679743E-2,-4.815905094E-1
3.547010050E-1,-4.790706933E-1,-8.223766834E-2,-4.999164641E-1
3.594564220E-1,-3.312414289E-1,-2.972620726E-1,-5.035816431E-1
3.642118390E-1,-1.730274558E-1,-4.536434710E-1,-5.066359639E-1
3.689672550E-1,-4.657844082E-2,-4.701367915E-1,-5.188532472E-1
