"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.404470300E-2,-2.403750038E1,-1.500000060E-1,-2.550000191E0
3.404470300E-2,-2.430000114E1,-9.375000000E-2,-1.856250048E0
4.404470300E-2,-2.441250038E1,-1.875000075E-2,-1.293750048E0
5.404470300E-2,-2.488125038E1,1.500000060E-1,-9.562500119E-1
6.404470300E-2,-2.482500076E1,-1.875000075E-2,-6.562500000E-1
7.404470300E-2,-2.476875114E1,1.312500089E-1,-3.187500238E-1
8.404470300E-2,-2.469375038E1,1.875000000E-1,-2.062500119E-1
9.404470300E-2,-2.486250114E1,2.812500000E-1,-4.125000238E-1
1.040447030E-1,-2.508750153E1,5.062500238E-1,-6.562500000E-1
1.140447030E-1,-2.508750153E1,5.062500238E-1,-8.812500238E-1
1.240447030E-1,-2.521875191E1,5.625000000E-1,-1.012500048E0
1.340447030E-1,-2.461875153E1,4.312500060E-1,-1.050000072E0
1.440447030E-1,-2.480625153E1,6.562500000E-1,-1.293750048E0
1.540447030E-1,-2.478750038E1,7.312500477E-1,-1.668750048E0
1.640447030E-1,-2.458125114E1,8.250000477E-1,-2.043750048E0
1.740447030E-1,-2.446875191E1,9.000000358E-1,-2.400000095E0
1.840447030E-1,-2.405625153E1,8.625000119E-1,-2.887500048E0
1.940447030E-1,-2.392500114E1,9.375000596E-1,-3.412500143E0
2.040447030E-1,-2.377500153E1,9.187500477E-1,-3.956250191E0
2.140447030E-1,-2.405625153E1,8.250000477E-1,-4.350000381E0
2.240447030E-1,-2.392500114E1,8.437500596E-1,-4.800000191E0
2.340447030E-1,-2.385000038E1,6.750000119E-1,-5.418750286E0
2.440447030E-1,-2.373750114E1,4.687500298E-1,-5.662500381E0
2.540447030E-1,-2.345625114E1,5.062500238E-1,-5.981250286E0
2.640447030E-1,-2.343750000E1,4.312500060E-1,-6.431250095E0
2.740447030E-1,-2.341875076E1,5.062500238E-1,-6.712500095E0
2.840447030E-1,-2.332500076E1,3.750000000E-1,-7.293750286E0
2.940447030E-1,-2.296875000E1,8.062500358E-1,-7.762500286E0
3.040447030E-1,-2.263125038E1,8.625000119E-1,-7.950000286E0
3.140447030E-1,-2.250000000E1,6.937500238E-1,-8.118750572E0
3.240447030E-1,-2.263125038E1,9.937500358E-1,-8.625000000E0
3.340447030E-1,-2.266875076E1,9.562500119E-1,-8.962500572E0
3.440447030E-1,-2.259375000E1,1.106250048E0,-9.150000572E0
3.540447030E-1,-2.216250038E1,1.181250095E0,-9.393750191E0
3.640447030E-1,-2.190000153E1,1.256250024E0,-9.506250381E0
3.740447030E-1,-2.197500038E1,1.087500095E0,-9.787500381E0
3.840447030E-1,-2.195625114E1,1.087500095E0,-1.001250076E1
