Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.000355428,-8842291.947312668,48398007.91859603,-9940232.921309486
4.005110637,-8806017.42869234,48381985.88531524,-9980808.482631788
4.009865845,-8769711.902708918,48365119.691381454,-10020831.306820229
4.014621053,-8733376.181257397,48347409.555493176,-10060303.474759683
4.019376262,-8697011.073762193,48328855.74099064,-10099227.084960163
4.02413147,-8660617.38727279,48309458.557032526,-10137604.253324613
4.028886678,-8624195.926556796,48289218.359737456,-10175437.112910911
4.033641887,-8587747.49419041,48268135.55328989,-10212727.813688472
4.038397095,-8551272.890646294,48246210.59101051,-10249478.522289887
4.043152303,-8514772.914378911,48223443.97639066,-10285691.421757981
4.047907512,-8478248.36190734,48199836.26409066,-10321368.711288542
4.05266272,-8441700.027895615,48175388.06090194,-10356512.605969012
4.057417928,-8405128.70523066,48150100.02667266,-10391125.33651334
4.062173137,-8368535.18509791,48123972.87519628,-10425209.14899315
4.066928345,-8331920.257054642,48097007.37506282,-10458766.304565355
4.071683553,-8295284.709101036,48069204.35047227,-10491799.07919623
4.076438762,-8258629.327748969,48040564.68200928,-10524309.763381824
4.08119397,-8221954.898088664,48011089.30737817,-10556300.661864713
4.085949178,-8185262.203853302,47980779.22209716,-10587774.093347073
4.090704335,-8148552.02748166,47949635.48015082,-10618732.390200138
4.095459543,-8111825.15017879,47917659.194600165,-10649177.898170069
4.100214751,-8075082.351974748,47884851.538149595,-10679112.976080254
4.10496996,-8038324.411781333,47851213.74366999,-10708539.995530114
4.109725168,-8001552.1074467525,47816747.1046772,-10737461.340590417
4.114480376,-7964766.215808123,47781452.975765646,-10765879.4074952
4.119235585,-7927967.51274164,47745332.772996485,-10793796.604330376
4.123990793,-7891156.773210324,47708387.97424042,-10821215.35071908
4.128746001,-7854334.771309257,47670620.11947489,-10848138.077503815
4.13350121,-7817502.280308209,47632030.81103557,-10874567.226425394
4.138256418,-7780660.072691575,47592621.71382195,-10900505.249798685
4.143011626,-7743808.920195483,47552394.55545688,-10925954.610185206
4.147766835,-7706949.593842059,47511351.12640029,-10950917.780062556
4.152522043,-7670082.863970764,47469493.28001726,-10975397.241490737
4.157277251,-7633209.500266716,47426822.932600796,-10999395.485775307
4.16203246,-7596330.27178593,47383342.06334984,-11022915.013127372
4.166787668,-7559445.946977377,47339052.714303315,-11045958.332320467
4.171542876,-7522557.293701842,47293956.990231454,-11068527.960344478
4.176298085,-7485665.079247542,47248057.05848539,-11090626.422056705
4.181053293,-7448770.070342466,47201355.14880633,-11112256.249830306
4.185808501,-7411873.033163421,47153853.55309671,-11133419.983200416
4.19056371,-7374974.733341724,47105554.62515551,-11154120.168508202
4.195318918,-7338075.9359656125,47056460.78037971,-11174359.358543113
4.200074126,-7301177.405579439,47006574.49543363,-11194140.112183735
4.204829335,-7264279.906179748,46955898.30788797,-11213464.994037613
4.209584543,-7227384.201208307,46904434.81583065,-11232336.574080542
4.214339751,-7190491.053542211,46852186.67745119,-11250757.42729573
4.21909496,-7153601.225481137,46799156.61060053,-11268730.133313373
4.223850168,-7116715.478731877,46745347.39232755,-11286257.27605106
4.228605376,-7079834.574390217,46690761.85839397,-11303341.443355441
4.233360585,-7042959.27292025,46635402.90276879,-11319985.226645604
4.238115793,-7006090.33413121,46579273.47710323,-11336191.220558628
4.242871001,-6969228.517151832,46522376.59018719,-11351962.022597833
4.24762621,-6932374.580402269,46464715.3073886,-11367300.232784031
4.252381418,-6895529.281563587,46406292.75007719,-11382208.453310175
4.257136626,-6858693.377544812,46347112.095033586,-11396689.288199661
4.261891783,-6821867.624447546,46287176.57384479,-11410745.34296867
4.266647043,-6785052.777528106,46226489.47228646,-11424379.224292858
4.271402251,-6748249.591157212,46165054.12969279,-11437593.539678646
4.27615746,-6711458.81877721,46102873.93831402,-11450390.897139354
4.280912668,-6674681.212856821,46039952.34266174,-11462773.90487626
4.285667824,-6637917.524843312,45976292.83884221,-11474745.17096473
4.290423085,-6601168.505112014,45911898.97387742,-11486307.303045554
4.295178293,-6564434.902913137,45846774.345013194,-11497462.908021746
4.299933449,-6527717.466315879,45780922.59901404,-11508214.591760946
4.30468871,-6491016.942149861,45714347.43144392,-11518564.958803428
4.309443918,-6454334.075943982,45647052.585932724,-11528516.61207564
4.314199074,-6417669.611862777,45579041.85342812,-11538072.152609153
4.318954283,-6381024.292640453,45510319.071432345,-11547234.179264886
4.323709543,-6344398.859512804,45440888.123223774,-11556005.288462503
4.328464751,-6307794.0521472,45370752.93706339,-11564388.073914869
4.333219908,-6271210.608570924,45299917.485386364,-11572385.126367358
4.337975116,-6234649.265098138,45228385.78397941,-11579999.033341778
4.342730376,-6198110.756255737,45156161.891144924,-11587232.378884671
4.347485533,-6161595.814708291,45083249.906852834,-11594087.743319852
4.352240741,-6125105.171182258,45009653.971881025,-11600567.703005027
4.356996001,-6088639.55438963,44935378.26694482,-11606674.830092203
4.361751158,-6052199.690951196,44860427.01181614,-11612411.692291584
4.366506366,-6015786.305319597,44784804.46443295,-11617780.852638554
4.371261626,-5979400.1197023885,44708514.91999965,-11622784.869263452
4.376016783,-5943041.853985262,44631562.71007907,-11627426.295163851
4.380772043,-5906712.225655687,44553952.20167678,-11631707.677978914
4.385527251,-5870411.949727212,44475687.79631852,-11635631.559765395
4.39028246,-5834141.738664691,44396773.929121844,-11639200.476774942
4.395037668,-5797902.302310665,44317215.06786328,-11642416.95923246
4.399792876,-5761694.347813118,44237015.71204185,-11645283.53111517
4.404548033,-5725518.57955483,44156180.39194011,-11647802.70993201
4.409303293,-5689375.699084502,44074713.66768413,-11649977.006502952
4.414058501,-5653266.405049909,43992620.12830352,-11651808.924737852
4.41881371,-5617191.393133309,43909904.390792005,-11653300.961414348
4.423568918,-5581151.355989378,43826571.09916925,-11654455.60595448
4.428324126,-5545146.983185891,43742624.923544936,-11655275.34019966
