"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.636003000E-3,1.115055323E0,3.739981890E0,8.461020470E0
8.296680000E-3,1.150947690E0,3.749552965E0,8.441878319E0
1.305214900E-2,1.210768223E0,3.754338741E0,8.391629219E0
1.780756600E-2,1.296909928E0,3.737588882E0,8.343772888E0
2.256298200E-2,1.395015597E0,3.716053486E0,8.286344528E0
2.731839900E-2,1.454836130E0,3.704089403E0,8.226524353E0
3.207381600E-2,1.493121386E0,3.718446493E0,8.193024635E0
3.682923200E-2,1.395015597E0,3.771088600E0,8.240880966E0
4.158464900E-2,1.481157184E0,3.730410576E0,8.413164139E0
4.634006600E-2,1.469193101E0,3.684946775E0,8.640482903E0
5.109548200E-2,1.430907965E0,3.637090445E0,8.961120605E0
5.585089900E-2,1.361516118E0,3.713660717E0,9.322437286E0
6.060631600E-2,1.287338614E0,3.706482172E0,9.841679573E0
6.536173200E-2,1.287338614E0,3.651447296E0,1.042074299E1
7.011709700E-2,1.320838094E0,3.639483213E0,1.082752228E1
7.487251400E-2,1.277767301E0,3.603590965E0,1.105484104E1
7.962793000E-2,1.184447169E0,3.553341627E0,1.105962658E1
8.438334700E-2,1.060020447E0,3.519842148E0,1.085384369E1
8.913876400E-2,9.092726111E-1,3.464807272E0,1.056191921E1
9.389418000E-2,8.015955687E-1,3.445664644E0,1.020299530E1
9.864959700E-2,6.269195080E-1,3.448057413E0,9.891928673E0
1.034050140E-1,4.522434771E-1,3.474378586E0,9.722038269E0
1.081604300E-1,3.732803464E-1,3.467200041E0,9.588040352E0
1.129158470E-1,1.818545163E-1,3.541377544E0,9.470791817E0
1.176712640E-1,1.196411327E-1,3.464807272E0,9.358329773E0
1.224266800E-1,1.531406492E-1,3.342773199E0,9.391828537E0
1.271820970E-1,2.536391914E-1,3.208775282E0,9.418149948E0
1.319375140E-1,4.402793646E-1,3.105883837E0,9.470791817E0
1.366929300E-1,6.197410822E-1,3.026920557E0,9.489934921E0
1.414483470E-1,7.441678643E-1,3.017349243E0,9.516255379E0
1.462037640E-1,7.800601721E-1,3.031706333E0,9.561718941E0
1.509591800E-1,8.087740541E-1,3.043670416E0,9.523433685E0
1.557145970E-1,7.752745152E-1,3.113062143E0,9.418149948E0
1.604700140E-1,7.274180651E-1,3.187239647E0,9.291330338E0
1.652254300E-1,6.675975323E-1,3.249453068E0,9.116654396E0
1.699808470E-1,6.364908218E-1,3.278167009E0,8.894122124E0
1.747362640E-1,5.982056856E-1,3.326023579E0,8.688339233E0
1.794916800E-1,5.838487148E-1,3.416950703E0,8.518448830E0
1.842470450E-1,6.556333899E-1,3.486342669E0,8.394021988E0
1.890024620E-1,7.513462901E-1,3.565305710E0,8.331808090E0
1.937578780E-1,9.020941257E-1,3.562912941E0,8.291130066E0
1.985132950E-1,1.024128079E0,3.534198999E0,8.295916557E0
2.032687120E-1,1.091127157E0,3.467200041E0,8.300702095E0
2.080241280E-1,1.088734269E0,3.359523058E0,8.374878883E0
2.127795450E-1,1.055234790E0,3.268595695E0,8.516056061E0
2.175349620E-1,9.547362328E-1,3.134597778E0,8.752944946E0
2.222903780E-1,7.944171429E-1,3.007778168E0,9.047262192E0
2.270457950E-1,5.670989752E-1,2.892922640E0,9.446864128E0
2.318012120E-1,3.756731451E-1,2.816352367E0,9.925428391E0
2.365566280E-1,1.627119333E-1,2.739781857E0,1.033220863E1
2.413120450E-1,-3.349951655E-2,2.656033039E0,1.052363396E1
2.460674620E-1,-2.201396823E-1,2.610569477E0,1.057627583E1
2.508228780E-1,-4.570291340E-1,2.464607239E0,1.051406288E1
2.555782950E-1,-8.279166222E-1,2.163111687E0,1.024367332E1
2.603337120E-1,-9.451649189E-1,2.103291035E0,1.013838959E1
2.650891280E-1,-9.499505758E-1,2.155933142E0,1.009771156E1
2.698445450E-1,-9.403793216E-1,2.251646042E0,1.011685371E1
2.745999620E-1,-8.997012973E-1,2.421536446E0,1.017906761E1
2.793553780E-1,-8.949156404E-1,2.605783939E0,1.021974564E1
2.841107950E-1,-8.494520187E-1,2.718246460E0,1.017428207E1
2.888662120E-1,-7.728816867E-1,2.797209740E0,1.000917721E1
2.936216280E-1,-6.053841114E-1,2.845066071E0,9.858428955E0
2.983770450E-1,-4.259224236E-1,2.873780012E0,9.784252167E0
3.031324620E-1,-2.249253243E-1,2.880958557E0,9.736394882E0
3.078878780E-1,-1.435693540E-2,2.914458036E0,9.650253296E0
3.126432950E-1,8.135596663E-2,2.955136061E0,9.542576790E0
3.173987120E-1,1.746760458E-1,3.019742250E0,9.442078590E0
3.221541280E-1,2.321037948E-1,3.120240688E0,9.348757744E0
3.269095450E-1,2.033899277E-1,3.192025423E0,9.257830620E0
3.316649620E-1,2.009970993E-1,3.294916868E0,9.231510162E0
3.364203780E-1,1.339980662E-1,3.376272678E0,9.219545364E0
3.411757950E-1,9.571290761E-2,3.438486099E0,9.245866776E0
3.459312120E-1,1.435693540E-2,3.457628727E0,9.255437851E0
3.506866280E-1,-4.067798331E-2,3.469592810E0,9.279366493E0
3.554420450E-1,-1.627119333E-1,3.428914785E0,9.341579437E0
3.601974620E-1,-2.679961324E-1,3.371487141E0,9.360722542E0
3.649528780E-1,-3.900300860E-1,3.290131092E0,9.377471924E0
3.697082950E-1,-5.120640397E-1,3.244667530E0,9.387042999E0
3.744637120E-1,-6.149554253E-1,3.129812002E0,9.372686386E0
3.792191280E-1,-6.699903607E-1,3.022135019E0,9.341579437E0
3.839745450E-1,-7.800601721E-1,2.967100143E0,9.305686951E0
3.887299620E-1,-8.781659007E-1,2.924029350E0,9.260223389E0
3.934853780E-1,-9.690931439E-1,2.876172781E0,9.181260109E0
3.982407950E-1,-9.906286001E-1,2.845066071E0,9.078369141E0
4.029961600E-1,-1.067198873E0,2.821137905E0,8.985049248E0
4.077516280E-1,-1.088734269E0,2.876172781E0,8.865407944E0
4.125070450E-1,-1.083948612E0,2.892922640E0,8.719446182E0
4.172624620E-1,-1.069591761E0,2.897708178E0,8.575876236E0
4.220178780E-1,-9.978070259E-1,2.895315409E0,8.374878883E0
4.267732950E-1,-1.007378340E0,2.909672260E0,8.207381248E0
4.315287120E-1,-1.344766378E0,2.998206854E0,8.157132149E0
4.362840760E-1,-1.258624673E0,3.048455954E0,8.164310455E0
4.410394930E-1,-1.088734269E0,3.074777126E0,8.197810173E0
4.457949620E-1,-9.212366939E-1,3.144168854E0,8.228917122E0
4.505503260E-1,-8.087740541E-1,3.182454109E0,8.221738815E0
4.553057950E-1,-7.010970116E-1,3.263810158E0,8.262416840E0
4.600611600E-1,-6.317051649E-1,3.275774240E0,8.233702660E0
4.648165760E-1,-7.489534616E-1,3.227917671E0,8.214560509E0
4.695720450E-1,-7.752745152E-1,3.189632654E0,8.286344528E0
4.743274100E-1,-6.987041831E-1,3.153740168E0,8.374878883E0
4.790828780E-1,-6.340979934E-1,3.139383316E0,8.482556343E0
4.838382950E-1,-5.623133183E-1,3.081955671E0,8.597412109E0
4.885937120E-1,-5.216353536E-1,3.048455954E0,8.654839516E0
4.933490760E-1,-5.024927258E-1,3.012563705E0,8.740981102E0
4.981044930E-1,-4.498506486E-1,3.022135019E0,8.946763992E0
5.028599100E-1,-4.139583111E-1,3.026920557E0,9.181260109E0
5.076153260E-1,-3.421736360E-1,3.067598581E0,9.413364410E0
5.123707950E-1,-2.751746178E-1,3.089133978E0,9.597611427E0
5.171262120E-1,-2.703889608E-1,3.058027267E0,9.734002113E0
5.218815760E-1,-2.368894368E-1,2.983849764E0,9.839286804E0
5.266370450E-1,-1.746760458E-1,2.895315409E0,9.906285286E0
5.313924100E-1,-1.674975902E-1,2.842673302E0,9.939785004E0
5.361478780E-1,-1.507478207E-1,2.828316450E0,9.970891953E0
5.409032430E-1,-1.818545163E-1,2.816352367E0,9.994820595E0
5.456586600E-1,-2.656033039E-1,2.866601467E0,9.990034103E0
5.504141280E-1,-9.260223508E-1,2.787638426E0,9.982855797E0
5.551694930E-1,-1.074377418E0,2.775674343E0,1.002353382E1
5.599249620E-1,-1.103091240E0,2.739781857E0,9.942177773E0
5.646803780E-1,-1.153340459E0,2.699103832E0,9.853643417E0
5.694357950E-1,-1.263410330E0,2.660818815E0,9.741181374E0
5.741912120E-1,-1.378265858E0,2.672782898E0,9.690931320E0
5.789466280E-1,-1.442872047E0,2.672782898E0,9.621540070E0
5.837020450E-1,-1.473978758E0,2.648854733E0,9.573683739E0
5.884574620E-1,-1.404586911E0,2.622533560E0,9.506684303E0
5.932128780E-1,-1.287338614E0,2.572284460E0,9.458827972E0
5.979682950E-1,-1.189232826E0,2.524427891E0,9.367900848E0
6.027237120E-1,-1.071984529E0,2.447857618E0,9.265008926E0
6.074791280E-1,-1.026520967E0,2.438286304E0,9.209974289E0
6.122345450E-1,-1.024128079E0,2.385644197E0,9.164510727E0
6.169899620E-1,-1.007378340E0,2.414358139E0,9.131011009E0
6.217453780E-1,-1.000199914E0,2.428714991E0,9.087940216E0
6.265007950E-1,-5.431707501E-1,2.517249346E0,9.272188187E0
6.312562120E-1,1.316052526E-1,2.639283419E0,9.312865257E0
6.360116280E-1,4.737788737E-1,2.739781857E0,9.226723671E0
6.407670450E-1,4.307080805E-1,2.723032236E0,9.243474007E0
6.455224620E-1,9.571290761E-2,2.651247501E0,9.288937569E0
6.502778780E-1,-3.134597540E-1,2.545963287E0,9.226723671E0
6.550332950E-1,-6.843472719E-1,2.467000246E0,9.102297783E0
6.597887120E-1,-9.738788009E-1,2.450250387E0,8.973084450E0
6.645441280E-1,-1.100698471E0,2.476571321E0,8.927620888E0
6.692995450E-1,-1.186840057E0,2.526820660E0,8.870193481E0
6.740549620E-1,-1.198804140E0,2.548356056E0,8.829515457E0
6.788103780E-1,-1.110269666E0,2.541177750E0,8.793622971E0
6.835657950E-1,-1.033699393E0,2.529213428E0,8.760123253E0
6.883212120E-1,-9.308080077E-1,2.514856577E0,8.635697365E0
6.930766280E-1,-7.896314859E-1,2.500499725E0,8.580661774E0
6.978320450E-1,-9.882357717E-1,2.586641312E0,9.241081238E0
7.025874620E-1,-1.071984529E0,2.639283419E0,9.858428955E0
7.073428780E-1,-1.038485050E0,2.584248543E0,9.700503349E0
7.120982950E-1,-8.997012973E-1,2.481357098E0,9.123832703E0
7.168537120E-1,-6.915257573E-1,2.440679073E0,8.774480820E0
7.216091280E-1,-7.800601721E-1,2.390429735E0,8.762516975E0
7.263645450E-1,-9.427721500E-1,2.299502611E0,8.937192917E0
7.311199620E-1,-9.858429432E-1,2.153540373E0,9.011369705E0
7.358753780E-1,-9.308080077E-1,1.971685886E0,8.910871506E0
7.406307950E-1,-7.322037220E-1,1.844866276E0,8.817551613E0
7.453862120E-1,-6.604190469E-1,1.753939033E0,8.779266357E0
7.501416280E-1,-6.675975323E-1,1.741974831E0,8.822337151E0
7.548970450E-1,-8.111668825E-1,1.751546144E0,9.028120041E0
7.596524620E-1,-1.036092162E0,1.746760488E0,9.188439369E0
7.644078780E-1,-1.301695466E0,1.722832322E0,9.229117393E0
7.691632950E-1,-1.485942841E0,1.758724689E0,9.217152596E0
7.739187120E-1,-1.490728498E0,1.806581140E0,9.133403778E0
7.786741280E-1,-1.454836130E0,1.883151412E0,8.913264275E0
7.834295450E-1,-1.399801254E0,1.957328916E0,8.628518105E0
7.881849620E-1,-1.375872970E0,1.976471543E0,8.365307808E0
7.929403780E-1,-1.411765337E0,1.962114573E0,8.140382767E0
7.976957950E-1,-1.390229940E0,1.954936147E0,7.972885132E0
8.024512120E-1,-1.124626637E0,1.942971945E0,7.869993687E0
8.072066280E-1,-8.662018180E-1,2.141576290E0,7.936992645E0
8.119620450E-1,-7.800601721E-1,2.208575249E0,8.123632431E0
8.167175140E-1,-8.207381964E-1,2.026720762E0,8.367700577E0
8.214728780E-1,-9.140582681E-1,1.725225091E0,8.604590416E0
8.262283470E-1,-1.122233868E0,1.435693622E0,8.841479301E0
8.309837640E-1,-1.261017561E0,1.179661512E0,8.927620888E0
8.357391800E-1,-1.110269666E0,1.081555843E0,8.927620888E0
8.404945970E-1,-8.877372146E-1,1.057627559E0,8.944371223E0
8.452500140E-1,-7.657032609E-1,1.033699393E0,9.047262192E0
8.500054300E-1,-6.173482537E-1,8.709874153E-1,9.193224907E0
8.547608470E-1,-5.503492355E-1,6.939185858E-1,9.387042999E0
8.595162640E-1,-7.728816867E-1,5.742774606E-1,9.585647583E0
8.642716800E-1,-1.856830359E0,1.150947690E0,9.576076508E0
8.690270970E-1,-1.885544300E0,9.571290612E-1,1.036331463E1
8.737825140E-1,-2.045863390E0,1.117448211E0,1.034177971E1
8.785379300E-1,-2.208575249E0,1.275374413E0,1.018385315E1
8.832933470E-1,-2.141576290E0,1.306481123E0,1.006660461E1
8.880487640E-1,-1.978864312E0,1.174875975E0,9.810572624E0
8.928041800E-1,-1.801795483E0,9.451649189E-1,9.542576790E0
8.975595970E-1,-1.500299811E0,8.446664214E-1,9.116654396E0
9.023150140E-1,-1.232303619E0,6.987041831E-1,8.796015739E0
9.070704300E-1,-1.098305583E0,5.647061467E-1,8.554341316E0
9.118258470E-1,-1.081555843E0,4.019941986E-1,8.427521706E0
9.165812640E-1,-1.148554921E0,1.962114573E-1,8.432307243E0
9.213366800E-1,-1.091127157E0,1.531406492E-1,8.303094864E0
9.260920970E-1,-9.068797827E-1,1.770688742E-1,8.231309891E0
9.308475140E-1,-8.327022791E-1,1.268195957E-1,8.195417404E0
9.356029300E-1,-7.872386575E-1,2.871387079E-2,8.006384850E0
9.403583470E-1,-6.508477330E-1,-1.339980662E-1,7.975277901E0
9.451137640E-1,-5.144568682E-1,-3.302095234E-1,7.968099594E0
9.498691800E-1,-3.637090325E-1,-5.168496966E-1,8.035098076E0
9.546245970E-1,-2.081755698E-1,-5.982056856E-1,8.080561638E0
9.593800140E-1,-1.004985496E-1,-6.795616150E-1,8.173882484E0
9.641354300E-1,-1.387837082E-1,-6.819544435E-1,8.080561638E0
9.688908990E-1,-2.584248483E-1,-6.460621357E-1,8.008777618E0
9.736462640E-1,-4.067798555E-1,-6.077769399E-1,8.099704742E0
9.784017320E-1,-4.450650215E-1,-5.718846321E-1,8.152346611E0
9.831571490E-1,-4.259224236E-1,-5.838487148E-1,8.300702095E0
9.879125660E-1,-2.751746178E-1,-6.532405615E-1,8.389236450E0
9.926679820E-1,-1.579262912E-1,-7.585247755E-1,8.496912956E0
9.974233990E-1,-5.982056633E-2,-8.446664214E-1,8.530412674E0
1.002178816E0,-3.828516230E-2,-9.690931439E-1,8.561519623E0
1.006934232E0,-2.488535494E-1,-1.203589797E0,8.647661209E0
1.011689649E0,-6.101697683E-1,-1.454836130E0,8.695517540E0
1.016445066E0,-9.427721500E-1,-1.718046665E0,8.824729919E0
1.021200482E0,-1.184447169E0,-2.000399828E0,9.219545364E0
1.025955899E0,-1.749153376E0,-2.103291035E0,8.891729355E0
1.030711316E0,-2.201396942E0,-2.311466694E0,8.774480820E0
1.035466732E0,-2.665604353E0,-2.232503414E0,8.863015175E0
1.040222149E0,-3.479164124E0,-2.172683001E0,8.863015175E0
1.044977566E0,-3.981656790E0,-2.009970903E0,8.870193481E0
1.049732982E0,-3.936193228E0,-1.753939033E0,9.454042435E0
1.054488399E0,-3.443271875E0,-1.634297848E0,1.025563812E1
1.059243816E0,-2.931207657E0,-1.624726534E0,1.043749237E1
1.063999232E0,-3.163311481E0,-1.586441398E0,9.726823807E0
1.068754649E0,-3.766302824E0,-1.375872970E0,9.004191399E0
1.073510066E0,-4.445864677E0,-1.021735311E0,8.240880966E0
1.078265482E0,-5.201996326E0,-5.455635786E-1,7.434499741E0
1.083020899E0,-6.094519138E0,2.392822644E-3,6.805187702E0
1.087776368E0,-6.544369698E0,3.397808075E-1,6.984649181E0
1.092531785E0,-5.596812248E0,4.594219327E-1,7.479963779E0
1.097287201E0,-4.634897232E0,3.589234054E-1,7.618747234E0
1.102042618E0,-4.637290478E0,1.866401732E-1,7.302894592E0
