"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.952324000E-2,-2.919169962E-1,8.210022449E-1,-7.345648855E-2
2.427865700E-2,-3.304014802E-1,9.224058390E-1,-9.605848789E-2
2.903407300E-2,-3.701077104E-1,1.020144224E0,-1.107192412E-1
3.378949000E-2,-4.165334105E-1,1.112995625E0,-1.125518382E-1
3.854490700E-2,-4.672352076E-1,1.191186309E0,-1.143844277E-1
4.330032300E-2,-5.240456462E-1,1.268766165E0,-1.174387559E-1
4.805574000E-2,-5.832995176E-1,1.349400282E0,-1.186604798E-1
5.281115700E-2,-6.401099563E-1,1.423314929E0,-1.174387559E-1
5.756657300E-2,-6.895899773E-1,1.478903651E0,-1.223256737E-1
6.232199000E-2,-7.347939610E-1,1.552818298E0,-1.149952933E-1
6.707740700E-2,-7.867174745E-1,1.642615438E0,-8.323032409E-2
7.183282300E-2,-8.392518759E-1,1.706756234E0,-4.963276163E-2
7.658824000E-2,-8.966731429E-1,1.734245062E0,-2.947422490E-2
8.134365700E-2,-9.553161860E-1,1.733023405E0,-2.153298259E-2
8.609912500E-2,-1.021900415E0,1.729969025E0,-2.153298259E-2
9.085454200E-2,-1.091539025E0,1.739132047E0,-2.153298259E-2
9.560995900E-2,-1.161788464E0,1.758068800E0,-2.397644334E-2
1.003653750E-1,-1.226540089E0,1.784946918E0,-3.191768378E-2
1.051207920E-1,-1.292513490E0,1.827707410E0,-3.008509055E-2
1.098762090E-1,-1.375591159E0,1.888793945E0,-1.603520103E-2
1.146316250E-1,-1.454392672E0,1.927889228E0,-6.872228812E-3
1.193870420E-1,-1.517311811E0,1.937052250E0,-3.817904973E-3
1.241424590E-1,-1.566791773E0,1.929721832E0,-5.039634649E-3
1.288978750E-1,-1.597334981E0,1.923613191E0,-7.483093534E-3
1.336532920E-1,-1.609552383E0,1.919947982E0,-5.039634649E-3
1.384087090E-1,-1.604054570E0,1.920558810E0,3.512472380E-3
1.431641250E-1,-1.581452608E0,1.930943608E0,1.572976820E-2
1.479195420E-1,-1.544800639E0,1.948047757E0,3.161225095E-2
1.526749590E-1,-1.497153163E0,1.972482324E0,4.871646687E-2
1.574303750E-1,-1.439731956E0,1.990197420E0,6.276635826E-2
1.621857920E-1,-1.375591159E0,2.011577606E0,7.131846249E-2
1.669412090E-1,-1.307174325E0,2.006079912E0,7.559451461E-2
1.716966250E-1,-1.239368320E0,1.977980137E0,7.070759684E-2
1.764520420E-1,-1.176449180E0,1.929111004E0,5.299251899E-2
1.812074590E-1,-1.114140987E0,1.843589902E0,2.794706449E-2
1.859628750E-1,-1.051832795E0,1.753792763E0,-3.207040019E-3
1.907183440E-1,-9.907463193E-1,1.650556684E0,-3.741546720E-2
1.954737090E-1,-9.308815598E-1,1.569922447E0,-7.406735420E-2
2.002291770E-1,-8.691841960E-1,1.499062181E0,-1.082757786E-1
2.049845420E-1,-8.080977201E-1,1.437975645E0,-1.375972927E-1
2.097400110E-1,-7.494547367E-1,1.383608699E0,-1.650862098E-1
2.144954270E-1,-6.950877905E-1,1.331685185E0,-1.876882017E-1
2.192508440E-1,-6.413316727E-1,1.283426881E0,-2.060141414E-1
2.240062610E-1,-5.887972713E-1,1.193018913E0,-2.194531709E-1
2.287616770E-1,-5.875755548E-1,9.975422025E-1,-2.353356630E-1
2.335170940E-1,-6.346121430E-1,7.727439404E-1,-2.475529462E-1
2.382725110E-1,-6.810378432E-1,6.805033684E-1,-2.444986254E-1
2.430279270E-1,-7.079159021E-1,6.939423680E-1,-2.206749022E-1
2.477833440E-1,-7.268527150E-1,7.495310903E-1,-1.852447391E-1
2.525387610E-1,-7.482330203E-1,7.959567904E-1,-1.528689116E-1
2.572941770E-1,-7.751110196E-1,7.886264324E-1,-1.217148080E-1
2.620495940E-1,-8.074868917E-1,7.134900689E-1,-9.361502528E-2
2.668050110E-1,-8.423061967E-1,5.907062292E-1,-6.612611562E-2
2.715604270E-1,-8.795689344E-1,4.331031144E-1,-3.619373962E-2
2.763158440E-1,-9.082795978E-1,2.871064544E-1,-6.872228812E-3
2.810712610E-1,-9.333250523E-1,1.673769504E-1,2.122755162E-2
2.858266770E-1,-9.534835815E-1,7.024945319E-2,5.238165334E-2
2.905820940E-1,-9.663116932E-1,-1.466075517E-2,8.720094711E-2
2.953375110E-1,-9.901354313E-1,-8.368847519E-2,1.317940801E-1
3.000929270E-1,-9.834159613E-1,-1.459966749E-1,1.879936308E-1
3.048483440E-1,-9.376010895E-1,-1.875354946E-1,2.478583902E-1
3.096037610E-1,-8.777363300E-1,-2.186895907E-1,3.040579557E-1
3.143591770E-1,-8.074868917E-1,-2.651153207E-1,3.541488647E-1
3.191145940E-1,-7.128028274E-1,-3.353647590E-1,3.883572817E-1
3.238700110E-1,-6.278926134E-1,-3.530798554E-1,4.036289155E-1
3.286254270E-1,-5.558105707E-1,-3.329212964E-1,3.969093859E-1
3.333808440E-1,-4.971675575E-1,-3.378082216E-1,3.730856776E-1
3.381362610E-1,-4.580722153E-1,-3.701840639E-1,3.352120519E-1
3.428916770E-1,-4.421897531E-1,-3.799578846E-1,2.869537175E-1
3.476470940E-1,-4.452440739E-1,-3.359756172E-1,2.307541668E-1
3.524025110E-1,-4.647917449E-1,-2.357937992E-1,1.708894223E-1
3.571579270E-1,-5.038870573E-1,-1.056796089E-1,1.098029464E-1
3.619133440E-1,-5.643627048E-1,7.941242307E-3,5.177079141E-2
3.666687610E-1,-6.394990683E-1,8.491020650E-2,-3.207040019E-3
3.714241770E-1,-7.176897526E-1,1.178968996E-1,-5.635227636E-2
3.761795940E-1,-7.891609073E-1,1.221729591E-1,-1.070540547E-1
3.809350110E-1,-8.575778008E-1,1.148425788E-1,-1.553123742E-1
3.856904270E-1,-9.156099558E-1,8.857539296E-2,-2.017380893E-1
3.904458440E-1,-9.418771267E-1,4.825831577E-2,-2.457203567E-1
3.952012610E-1,-9.272163510E-1,1.038470119E-2,-2.970330119E-1
3.999566770E-1,-8.789580464E-1,-1.588248461E-2,-3.538434207E-1
4.047120940E-1,-7.983239293E-1,-4.031707719E-2,-4.045451880E-1
4.094675110E-1,-7.036398649E-1,-5.864302069E-2,-4.454731345E-1
4.142229270E-1,-6.193405390E-1,-5.619955808E-2,-4.900662601E-1
4.189783440E-1,-5.344303250E-1,-7.880155742E-2,-5.346593857E-1
4.237337610E-1,-4.519635737E-1,-1.050687432E-1,-5.713112950E-1
4.284891770E-1,-3.682751060E-1,-1.368337125E-1,-5.908589363E-1
4.332445940E-1,-2.803105712E-1,-1.777616441E-1,-5.926915407E-1
4.380000110E-1,-1.868482679E-1,-1.979201883E-1,-5.902481079E-1
4.427554270E-1,-8.910989761E-2,-2.223547846E-1,-5.908589363E-1
4.475108440E-1,1.595884189E-2,-2.791652083E-1,-6.006327868E-1
4.522662610E-1,1.222493127E-1,-3.628536761E-1,-6.189587116E-1
4.570216770E-1,2.230419964E-1,-4.563159943E-1,-6.403390169E-1
4.617770940E-1,3.152825832E-1,-5.351175666E-1,-6.647735834E-1
4.665325110E-1,3.965275884E-1,-5.748237371E-1,-6.843212843E-1
4.712878750E-1,4.637227356E-1,-5.839866996E-1,-6.934842467E-1
4.760432920E-1,5.119810700E-1,-5.797106624E-1,-6.904299259E-1
4.807987610E-1,5.419133902E-1,-6.065887213E-1,-6.721040010E-1
4.855541250E-1,5.565741658E-1,-5.748237371E-1,-6.495019794E-1
4.903095420E-1,5.700132251E-1,-4.208858311E-1,-6.012436748E-1
4.950649590E-1,5.761218667E-1,-3.475820720E-1,-5.493201613E-1
4.998203750E-1,5.626828074E-1,-3.127627671E-1,-5.090031028E-1
5.045757920E-1,5.461894870E-1,-2.443459183E-1,-4.583013058E-1
