"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.719922300E-2,-1.239375019E1,-1.856250000E1,9.393750191E0
4.719922300E-2,-1.196250057E1,-1.755000114E1,9.037500381E0
5.719922300E-2,-1.168125057E1,-1.730625153E1,9.018750191E0
6.719922300E-2,-1.213125038E1,-1.773750114E1,8.531250000E0
7.719922300E-2,-1.252500057E1,-1.775625038E1,8.550000191E0
8.719922300E-2,-1.254375076E1,-1.749375153E1,8.437500000E0
9.719922300E-2,-1.293750095E1,-1.747500038E1,8.231250763E0
1.071992230E-1,-1.320000076E1,-1.770000076E1,7.837500095E0
1.171992230E-1,-1.333125019E1,-1.756875038E1,7.631250381E0
1.271992230E-1,-1.355625057E1,-1.770000076E1,7.537500381E0
1.371992230E-1,-1.381875038E1,-1.777500153E1,7.087500095E0
1.471992230E-1,-1.396875095E1,-1.747500038E1,7.068750381E0
1.571992230E-1,-1.408125019E1,-1.751250076E1,6.806250095E0
1.671992230E-1,-1.438125038E1,-1.781250000E1,6.581250191E0
1.771992230E-1,-1.428750038E1,-1.786875153E1,6.600000381E0
1.871992230E-1,-1.425000095E1,-1.770000076E1,6.468750477E0
1.971992230E-1,-1.438125038E1,-1.760625076E1,5.981250286E0
2.071992230E-1,-1.471875095E1,-1.770000076E1,5.212500095E0
2.171992230E-1,-1.515000057E1,-1.771875000E1,5.081250191E0
2.271992230E-1,-1.522500038E1,-1.777500153E1,4.875000000E0
2.371992230E-1,-1.520625019E1,-1.749375153E1,4.650000095E0
2.471992230E-1,-1.522500038E1,-1.747500038E1,4.237500191E0
2.571992230E-1,-1.530000019E1,-1.745625114E1,3.993750095E0
2.671992230E-1,-1.520625019E1,-1.740000153E1,3.843750238E0
2.771992230E-1,-1.550625038E1,-1.743750000E1,3.618750095E0
2.871992230E-1,-1.548750019E1,-1.726875114E1,3.675000191E0
2.971992230E-1,-1.530000019E1,-1.713750076E1,3.300000191E0
3.071992230E-1,-1.522500038E1,-1.717500114E1,3.131250143E0
3.171992230E-1,-1.522500038E1,-1.740000153E1,2.700000048E0
3.271992230E-1,-1.530000019E1,-1.738125038E1,2.625000000E0
3.371992230E-1,-1.543125057E1,-1.726875114E1,2.250000000E0
3.471992230E-1,-1.567500019E1,-1.723125076E1,2.325000048E0
3.571992230E-1,-1.560000038E1,-1.721250153E1,2.493750095E0
3.671992230E-1,-1.580625057E1,-1.723125076E1,2.381250143E0
3.771992230E-1,-1.603125000E1,-1.728750038E1,2.362500191E0
3.871992230E-1,-1.631250000E1,-1.719375038E1,2.212500095E0
3.971992230E-1,-1.648125076E1,-1.719375038E1,2.118750095E0
4.071992230E-1,-1.672500038E1,-1.693125153E1,1.725000024E0
4.171992230E-1,-1.706250000E1,-1.691250038E1,1.387500048E0
4.271992230E-1,-1.726875114E1,-1.666875076E1,1.050000072E0
4.371992230E-1,-1.775625038E1,-1.651875114E1,8.062500358E-1
4.471992230E-1,-1.798125076E1,-1.612500000E1,6.000000238E-1
4.571992230E-1,-1.835625076E1,-1.590000057E1,6.750000119E-1
4.671992230E-1,-1.850625038E1,-1.563750076E1,5.062500238E-1
4.771992230E-1,-1.880625153E1,-1.531875038E1,6.375000477E-1
4.871992230E-1,-1.897500038E1,-1.496250057E1,7.875000238E-1
4.971992230E-1,-1.880625153E1,-1.466250038E1,7.125000358E-1
5.071992230E-1,-1.897500038E1,-1.488750076E1,4.500000179E-1
5.171992230E-1,-1.884375000E1,-1.483125019E1,2.437500060E-1
5.271992230E-1,-1.882500076E1,-1.511250019E1,2.437500060E-1
5.371992230E-1,-1.882500076E1,-1.501875019E1,3.750000149E-2
5.471992230E-1,-1.890000153E1,-1.507500076E1,3.750000149E-2
5.571992230E-1,-1.921875000E1,-1.481250095E1,-1.687500030E-1
5.671992230E-1,-1.946250153E1,-1.496250057E1,-3.750000149E-2
5.771992230E-1,-1.991250038E1,-1.481250095E1,-1.500000060E-1
5.871992230E-1,-2.004375076E1,-1.436250019E1,-3.750000149E-2
5.971992230E-1,-2.019375038E1,-1.411875057E1,-2.812500000E-1
6.071992230E-1,-2.032500076E1,-1.355625057E1,-3.375000060E-1
6.171992230E-1,-2.036250114E1,-1.316250038E1,-6.187500358E-1
6.271992230E-1,-2.081250000E1,-1.284375095E1,-8.062500358E-1
6.371992230E-1,-2.070000076E1,-1.278750038E1,-8.250000477E-1
6.471992230E-1,-2.081250000E1,-1.258125019E1,-1.068750024E0
6.571992230E-1,-2.090625000E1,-1.258125019E1,-8.250000477E-1
6.671992230E-1,-2.109375000E1,-1.239375019E1,-9.375000596E-1
6.771992230E-1,-2.126250076E1,-1.218750095E1,-8.625000119E-1
6.871992230E-1,-2.145000076E1,-1.239375019E1,-8.437500596E-1
6.971992230E-1,-2.163750076E1,-1.263750076E1,-6.937500238E-1
7.071992230E-1,-2.165625000E1,-1.261875057E1,-6.187500358E-1
7.171992230E-1,-2.191875076E1,-1.233750057E1,-7.312500477E-1
7.271992230E-1,-2.182500076E1,-1.216875076E1,-6.562500000E-1
7.371992230E-1,-2.182500076E1,-1.185000038E1,-8.625000119E-1
7.471992230E-1,-2.210625076E1,-1.185000038E1,-5.625000000E-1
7.571992230E-1,-2.214375114E1,-1.153125000E1,-4.500000179E-1
7.671992230E-1,-2.236875153E1,-1.119375038E1,-5.062500238E-1
7.771992230E-1,-2.259375000E1,-1.080000019E1,-4.125000238E-1
7.871992230E-1,-2.266875076E1,-1.059375000E1,-6.937500238E-1
7.971992230E-1,-2.278125000E1,-1.046250057E1,-6.750000119E-1
8.071992230E-1,-2.328750038E1,-1.033125019E1,-9.562500119E-1
8.171992230E-1,-2.353125000E1,-1.018125057E1,-1.012500048E0
8.271992230E-1,-2.358750153E1,-9.956250191E0,-1.500000000E0
8.371992230E-1,-2.355000114E1,-1.005000019E1,-1.931250095E0
8.471992230E-1,-2.351250076E1,-9.731250763E0,-2.587500095E0
8.571992230E-1,-2.353125000E1,-9.375000000E0,-3.206250191E0
8.671992230E-1,-2.341875076E1,-9.000000000E0,-3.731250048E0
8.771992230E-1,-2.366250038E1,-8.737500191E0,-4.443750381E0
8.871992230E-1,-2.349375153E1,-8.325000763E0,-5.156250000E0
8.971992230E-1,-2.343750000E1,-8.212500572E0,-5.718750000E0
