Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.001478285,-4059439.8956282064,2787609.8468350433,-3260996.317699719
4.006233806,-4045387.1408951543,2763542.3206180334,-3244091.3256185763
4.010989327,-4031311.564569026,2739530.8519138284,-3227194.606092505
4.015744848,-4017213.524201356,2715575.7830264457,-3210306.522503365
4.020500369,-4003093.377123613,2691677.452869538,-3193427.436338838
4.025255889,-3988951.4804178737,2667836.1969882473,-3176557.7072082013
4.03001141,-3974788.190888211,2644052.347581163,-3159697.6928578094
4.034766931,-3960603.8650328405,2620326.2335224003,-3142847.7491862513
4.039522452,-3946398.8590170816,2596658.1803837903,-3126008.2302591056
4.044277973,-3932173.528647203,2573048.5104571804,-3109179.488323234
4.049033494,-3917928.2293452024,2549497.542776838,-3092361.873820558
4.053789014,-3903663.316124566,2526005.593141947,-3075555.735401254
4.058544535,-3889379.1435670517,2502572.9741391726,-3058761.419936303
4.063300056,-3875076.065800529,2479199.995165255,-3041979.272529356
4.068055577,-3860754.4364778847,2455886.962449588,-3025209.6365279034
4.072811098,-3846414.6087569967,2432634.1790767163,-3008452.8535337076
4.077566619,-3832056.9352817647,2409441.9450087063,-2991709.263412464
4.082322139,-3817681.76816421,2386310.557107363,-2974979.2043026197
4.08707766,-3803289.458967641,2363240.3091562726,-2958263.0126232575
4.091833181,-3788880.358690899,2340231.491882652,-2941561.0230809744
4.096588702,-3774454.81775368,2317284.3929789923,-2924873.5686757187
4.101344223,-3760013.1859829053,2294399.2971244827,-2908200.9807055476
4.106099744,-3745555.812600117,2271576.4860061742,-2891543.5887702513
4.110855264,-3731083.0462098755,2248816.2383398563,-2874901.7207738045
4.115610785,-3716595.2347891107,2226118.8298906274,-2858275.7029256183
4.120366306,-3702092.7256774306,2203484.5334931426,-2841665.859740558
4.125121827,-3687575.865568392,2180913.619071506,-2825072.514037735
4.129877348,-3673045.0005017444,2158406.3536587874,-2808495.9869381106
4.134632869,-3658500.4758566506,2135963.001416152,-2791936.59786098
4.139388389,-3643942.636345867,2113583.823651591,-2775394.66451938
4.14414391,-3629371.8260108605,2091269.0788382476,-2758870.502914491
4.148899431,-3614788.3882178105,2069019.0226323304,-2742364.427329133
4.153654952,-3600192.6656544395,2046833.907890614,-2725876.7503205
4.158410473,-3585585.0003275834,2024713.9846875404,-2709407.7827122794
4.163165994,-3570965.7335614376,2002659.5003319248,-2692957.833586278
4.167921514,-3556335.2059964202,1980670.699383251,-2676527.2102736887
4.172677087,-3541693.7575886026,1958747.823667563,-2660116.2183460835
4.177432608,-3527041.7276096195,1936891.1122929542,-2643725.1616062205
4.182188129,-3512379.4546470046,1915100.8016646407,-2627354.342078754
4.18694365,-3497707.2766048945,1893377.1254996262,-2611004.0600009128
4.191699171,-3483025.5307050273,1871720.314840957,-2594674.6138132005
4.196454692,-3468334.553487979,1850130.5980715654,-2578366.3001501793
4.201210212,-3453634.680814609,1828608.2009277004,-2562079.413831395
4.205965733,-3438926.24786764,1807153.3465119633,-2545814.247852527
4.210721254,-3424209.589153323,1785766.2553059603,-2529571.093376838
4.215476775,-3409485.0385031546,1764447.1451826014,-2513350.239726994
4.220232296,-3394752.9290756094,1743196.231418093,-2497151.974377293
4.224987817,-3380013.593357812,1722013.726703686,-2480976.58294633
4.229743337,-3365267.363167088,1700899.841157227,-2464824.349190138
4.234498858,-3350514.5696523297,1679854.7823345729,-2448695.5549958413
4.239254379,-3335755.543295137,1658878.7552409333,-2432590.480375833
4.2440099,-3320990.6139107193,1637971.9623422057,-2416509.4034624943
4.248765421,-3306220.1106485385,1617134.603576354,-2400452.6005034917
4.253520942,-3291444.361992668,1596366.8763649026,-2384420.3458576705
4.258276462,-3276663.6957618436,1575668.9756246107,-2368412.911991568
4.263031983,-3261878.4391091866,1555041.0937793842,-2352430.569476524
4.267787504,-3247088.918521571,1534483.4207724696,-2336473.5869863676
4.272543025,-3232295.459818612,1513996.1440789672,-2320542.2312956494
4.277298546,-3217498.388151272,1493579.4487187127,-2304636.7672784147
4.282054067,-3202698.028000082,1473233.5172695713,-2288757.457907509
4.286809587,-3187894.703173003,1452958.5298811726,-2272904.564254395
4.291565108,-3173088.73680299,1432754.6642891176,-2257078.3454894265
4.296320629,-3158280.451345297,1412622.0958296794,-2241279.05888253
4.30107615,-3143470.1685745926,1392560.9974550165,-2225506.9598042467
4.305831671,-3128658.20958194,1372571.5397489003,-2209762.301727103
4.310587192,-3113844.8947717086,1352653.8909429468,-2194045.3362272657
4.315342712,-3099030.543858482,1332808.2169333387,-2178356.312986442
4.320098233,-3084215.475864051,1313034.6812980198,-2162695.4797939737
4.324853754,-3069400.00911458,1293333.445314337,-2147063.082549077
4.329609275,-3054584.4612380173,1273704.6679771063,-2131459.36526319
4.334364796,-3039769.14916181,1254148.506017093,-2115884.570062404
4.339120317,-3024954.389110973,1234665.1139198826,-2100338.937189947
