Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.001689249,-0.1579262912,-9.766305923,0.3481557071
4.006466072,-0.1668993831,-9.756733894,0.3577269912
4.011242895,-0.1716850251,-9.761520386,0.3529413342
4.01601977,-0.1812563092,-9.761520386,0.3625126183
4.020796593,-0.1860419661,-9.766305923,0.3481557071
4.025573416,-0.1764706671,-9.756733894,0.3385843933
4.030350291,-0.1770688742,-9.761520386,0.3337987661
4.035127114,-0.1387837082,-9.756733894,0.3050848842
4.039903989,-0.1244267747,-9.761520386,0.299701035
4.044680812,-0.1058823988,-9.771091461,0.2805584669
4.049457635,-0.1106680483,-9.747162819,0.27577281
4.05423451,-0.08673982322,-9.747162819,0.2805584669
4.059011333,-0.08195417374,-9.756733894,0.290129751
4.063788156,-0.05324030295,-9.751350403,0.2949153781
4.068565031,-0.03409772366,-9.756135941,0.299701035
4.073341853,-0.02931207791,-9.760921478,0.314057976
4.078118676,-0.03409772366,-9.775876999,0.328414917
4.082895551,-0.04366901144,-9.785448074,0.342771858
4.087672374,-0.0484546572,-9.766305923,0.3332005441
4.092449197,-0.06281159073,-9.761520386,0.328414917
4.097226072,-0.08195417374,-9.742377281,0.314057976
4.102002895,-0.09631111473,-9.727422714,0.3236292601
4.10677977,-0.1010967568,-9.732806206,0.3092723191
4.111556593,-0.1148554832,-9.751948357,0.3092723191
4.116333416,-0.1339980662,-9.775876999,0.3098705411
4.121110291,-0.1435693651,-9.780662537,0.3050848842
4.125887114,-0.1483550072,-9.775876999,0.2811566591
4.130663937,-0.1531406492,-9.790233612,0.2715853751
4.135440812,-0.1435693651,-9.79501915,0.2662015259
4.140217635,-0.1483550072,-9.790233612,0.261415869
4.144994458,-0.1531406492,-9.804591179,0.2518445849
4.149771333,-0.1627119333,-9.819545746,0.262014091
4.154548156,-0.1579262912,-9.833903313,0.262014091
4.159325031,-0.1812563092,-9.848259926,0.2859423161
4.164101853,-0.1812563092,-9.867402077,0.2907279432
4.168878676,-0.1716850251,-9.862616539,0.2907279432
4.173655551,-0.1674975902,-9.872187614,0.2811566591
4.178432374,-0.1674975902,-9.853045464,0.2859423161
4.183209197,-0.1812563092,-9.862616539,0.2811566591
4.187986072,-0.1764706671,-9.872187614,0.2811566591
4.192762895,-0.1812563092,-9.876974106,0.2859423161
4.197539718,-0.1716850251,-9.901499748,0.2907279432
4.202316593,-0.1387837082,-9.905687332,0.2907279432
4.207093416,-0.1148554832,-9.915258408,0.285344094
4.211870291,-0.09571290761,-9.934999466,0.290129751
