"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.432914000E-3,-3.071187973E0,4.079762459E0,6.602396011E0
7.209737000E-3,-2.434098721E0,3.955934048E0,6.474380016E0
1.198656000E-2,-2.241476536E0,3.985844374E0,6.175277233E0
1.676338200E-2,-2.271985054E0,4.014558315E0,5.849255085E0
2.154025700E-2,-2.126022816E0,4.106681824E0,5.541179180E0
2.630374700E-2,-1.828714728E0,4.237689018E0,5.237290382E0
3.109390300E-2,-1.468594909E0,4.316053867E0,5.048257351E0
3.587072600E-2,-1.106680512E0,4.307080746E0,5.026721954E0
4.064754900E-2,-8.009973764E-1,4.230510235E0,5.197809219E0
4.542437200E-2,-5.611169338E-1,4.081557274E0,5.475974560E0
5.020119500E-2,-3.690928817E-1,3.994817495E0,5.805585861E0
5.497801800E-2,-2.572284341E-1,3.932604074E0,6.169893265E0
5.975484100E-2,-7.776673418E-3,3.966701746E0,6.500102520E0
6.453166400E-2,1.800599098E-1,3.836891174E0,6.767500877E0
6.929520500E-2,3.535395563E-1,3.649652719E0,6.978068829E0
7.408536200E-2,5.976074338E-1,3.443271875E0,7.125825882E0
7.886218500E-2,8.979067206E-1,3.299104214E0,7.224529743E0
8.362567400E-2,1.194018483E0,3.237488985E0,7.314260483E0
8.841583000E-2,1.465603828E0,3.233301640E0,7.332206726E0
9.319265300E-2,1.650449395E0,3.276970625E0,7.311867714E0
9.795614300E-2,1.830509305E0,3.369094372E0,7.205387115E0
1.027462990E-1,2.094916344E0,3.432504177E0,6.969096184E0
1.075231220E-1,2.459223509E0,3.481556892E0,6.611967087E0
1.122866640E-1,2.804388046E0,3.487539053E0,6.240481377E0
1.170767680E-1,3.020938635E0,3.458825111E0,5.898906231E0
1.218536430E-1,3.128615618E0,3.416352510E0,5.615356445E0
1.266171320E-1,3.165704250E0,3.315255880E0,5.361119270E0
1.314072890E-1,3.112463951E0,3.175873756E0,5.126024246E0
1.361841120E-1,3.002394199E0,3.011367321E0,4.992026329E0
1.409609350E-1,2.883949518E0,2.775076151E0,4.925625324E0
1.457377570E-1,2.633301258E0,2.504687071E0,4.951348305E0
1.505145800E-1,2.468196630E0,2.258824587E0,5.115256786E0
1.552914030E-1,2.704487801E0,1.974078655E0,5.441278458E0
1.600682260E-1,2.349751949E0,1.790429592E0,5.668596745E0
1.648450490E-1,2.121835470E0,1.611566067E0,5.751149178E0
1.696219240E-1,2.051247120E0,1.418943882E0,5.727818966E0
1.743987470E-1,1.698305845E0,1.552941918E0,5.619544029E0
1.791755700E-1,1.558923960E0,1.441675663E0,5.361119270E0
1.839523930E-1,1.577468276E0,1.167697430E0,5.096712112E0
1.887292160E-1,1.728814363E0,8.883354068E-1,4.808377266E0
1.935060390E-1,2.050648928E0,6.245267391E-1,4.494917393E0
1.982695800E-1,2.459223509E0,3.511467278E-1,4.133601189E0
2.030596850E-1,3.004786968E0,1.070788130E-1,3.813561201E0
2.078365070E-1,3.646661758E0,-3.110669367E-2,3.613760471E0
2.126000490E-1,4.107280254E0,-2.039881349E-1,3.453441381E0
2.173901530E-1,4.440480709E0,-3.332005441E-1,3.442075491E0
2.221669760E-1,4.708476543E0,-4.815555513E-1,3.507878065E0
2.269305180E-1,4.943571568E0,-6.687939167E-1,3.722633839E0
2.317206740E-1,5.046463013E0,-8.907282352E-1,4.096512318E0
2.364974970E-1,4.854438782E0,-9.780662656E-1,4.577469826E0
2.412743200E-1,4.538586140E0,-9.595218897E-1,5.068596363E0
2.460511430E-1,4.393222332E0,-8.494520187E-1,5.525625706E0
2.508279660E-1,4.475176334E0,-7.435696125E-1,5.798407555E0
2.555915070E-1,4.919643402E0,-7.280163169E-1,6.098108292E0
2.603816120E-1,5.106283665E0,-1.016949654E0,6.875177860E0
2.651584350E-1,4.643870354E0,-1.582253933E0,7.977072716E0
2.699219760E-1,4.532006264E0,-2.035693884E0,8.879764557E0
2.747121320E-1,5.550750256E0,-2.225923300E0,8.927620888E0
2.794889550E-1,6.389434814E0,-2.628515720E0,8.150551796E0
2.842524450E-1,6.966104984E0,-3.016751051E0,7.255038261E0
2.890426010E-1,7.143173695E0,-3.266202927E0,6.525227547E0
2.938194240E-1,6.745367050E0,-3.285943747E0,5.356333256E0
2.985829660E-1,5.885147095E0,-3.070589542E0,3.934996843E0
3.033730700E-1,5.334797859E0,-2.845664263E0,2.839084148E0
3.081498930E-1,5.316253662E0,-2.797209740E0,2.124228239E0
3.129134350E-1,5.389832973E0,-2.931207657E0,1.677368641E0
3.177035390E-1,5.350949764E0,-3.147758245E0,1.408774376E0
3.224804140E-1,5.274977684E0,-3.480360508E0,1.227517962E0
3.272439030E-1,5.310271740E0,-3.991228104E0,1.275374413E0
3.320340600E-1,5.595615864E0,-4.563711166E0,1.744367719E0
3.368108820E-1,5.735595703E0,-5.214558601E0,2.483749866E0
3.415743720E-1,6.218348026E0,-6.004190445E0,3.254238844E0
3.463645280E-1,7.813164234E0,-6.838088989E0,3.812962770E0
3.511413510E-1,9.563513756E0,-7.340581894E0,4.178466320E0
3.559048930E-1,1.074975586E1,-7.347161770E0,4.455435753E0
3.606949970E-1,1.165902805E1,-6.979265213E0,4.671388149E0
3.654718720E-1,1.238106251E1,-6.452246189E0,4.753342152E0
3.702353620E-1,1.294696522E1,-5.853442192E0,5.057230473E0
3.750255180E-1,1.303310680E1,-5.274977684E0,5.488536835E0
3.798023410E-1,1.266999626E1,-4.707878590E0,5.547759533E0
3.845658300E-1,1.256530952E1,-4.163511276E0,5.038686275E0
3.893559870E-1,1.357448292E1,-3.953541279E0,4.438685894E0
3.941328100E-1,1.484028625E1,-3.906881094E0,4.494318962E0
3.988963510E-1,1.582493210E1,-4.030111313E0,4.407579422E0
4.036864550E-1,1.622333717E1,-4.274179459E0,4.127619267E0
4.084632780E-1,1.654277992E1,-4.186841488E0,4.308277130E0
4.132268200E-1,1.674796295E1,-3.863810301E0,4.580460548E0
4.180169760E-1,1.685683823E1,-3.632304668E0,4.464408875E0
4.227937990E-1,1.674497223E1,-3.647259951E0,4.229912281E0
4.275572890E-1,1.633699608E1,-3.956532240E0,4.131806374E0
4.323474450E-1,1.677787399E1,-3.463610888E0,4.200600147E0
4.371242680E-1,1.644527245E1,-3.652643681E0,4.125226021E0
4.418877570E-1,1.706022644E1,-3.530609846E0,4.420141697E0
4.466779140E-1,1.983949089E1,-2.035095692E0,4.572684288E0
4.514547370E-1,2.324387932E1,4.109672904E-1,3.972085476E0
4.562182780E-1,2.349033928E1,1.163509965E0,3.480958700E0
4.610083820E-1,2.376371956E1,2.113460541E0,3.469592810E0
4.657852570E-1,2.177468681E1,2.276770830E0,4.305285931E0
4.705487470E-1,1.924786568E1,1.297508121E0,4.429114819E0
4.753389030E-1,1.794975853E1,-5.461617708E-1,4.437489510E0
4.801157260E-1,1.904447556E1,-1.169492126E0,4.211368084E0
4.848792160E-1,2.044427681E1,-6.891329288E-1,3.786043644E0
4.896693720E-1,2.057648087E1,-2.895315289E-1,3.789632797E0
4.944461950E-1,2.068714905E1,6.406782866E-1,3.735794306E0
4.992230180E-1,1.832842255E1,-5.383851007E-3,3.604787350E0
5.039998410E-1,1.867298889E1,-3.984049559E-1,5.988038778E-1
5.087767160E-1,2.085584259E1,1.405185103E0,-1.727019787E0
5.135402050E-1,1.932623100E1,2.508874655E0,-8.273184299E-1
5.183303620E-1,1.773141479E1,2.610569477E0,6.831508875E-1
5.231071850E-1,1.686880112E1,2.270788670E0,1.810768485E0
5.278706740E-1,1.750050735E1,1.857428551E0,2.273779631E0
5.326608300E-1,1.802034760E1,1.814955950E0,3.105883837E0
5.374376530E-1,1.743051720E1,1.639681697E0,3.872185230E0
5.422011950E-1,1.691665840E1,1.406979680E0,4.499104977E0
5.469912990E-1,1.645244980E1,1.064207911E0,4.688735962E0
5.517681220E-1,1.819861221E1,3.415754437E-1,2.697907448E0
5.565449450E-1,1.783609962E1,2.811566554E-2,1.677966833E0
5.613218200E-1,1.723490334E1,-1.124626622E-1,1.292722464E0
5.660986430E-1,1.661217117E1,-2.350948304E-1,1.319641709E0
5.708621320E-1,1.598106384E1,-4.636093974E-1,2.254039049E0
5.756522890E-1,1.505264950E1,-6.879364848E-1,3.569493294E0
5.804291120E-1,1.367498112E1,-7.058826685E-1,4.723432064E0
5.851926530E-1,1.243490124E1,-6.472585201E-1,5.728417397E0
5.899827570E-1,1.108235836E1,-5.449653864E-1,6.407381058E0
5.947595800E-1,9.969097137E0,-4.319044948E-1,6.537789822E0
5.995231220E-1,1.017009449E1,-6.000002623E-1,7.304090977E0
