"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.870245100E-2,-2.922234535E0,6.464808464E0,7.627720356E0
2.347890900E-2,-2.925225735E0,6.455237389E0,7.891529083E0
2.825542000E-2,-2.938984394E0,6.440880299E0,7.944170952E0
3.303187800E-2,-2.944966555E0,6.425925255E0,7.804789066E0
3.780833700E-2,-3.026920557E0,6.445067883E0,7.613363266E0
4.258484700E-2,-3.113660574E0,6.503093719E0,7.465008259E0
4.736130500E-2,-3.390031576E0,6.585047722E0,7.485347271E0
5.213781600E-2,-3.631706476E0,6.622735023E0,7.611568928E0
5.691427400E-2,-3.707080364E0,6.670591354E0,7.799405575E0
6.169078400E-2,-3.534797192E0,6.685546398E0,8.009375572E0
6.646724300E-2,-3.186641455E0,6.638288021E0,8.012366295E0
7.124375300E-2,-2.749353170E0,6.503692150E0,7.895118237E0
7.602021200E-2,-2.341377020E0,6.249454498E0,7.576872826E0
8.079667000E-2,-1.993221283E0,5.937191010E0,7.478767395E0
8.555984700E-2,-1.584048629E0,5.577071190E0,7.337590694E0
9.034963900E-2,-1.178465128E0,5.274379253E0,7.460222721E0
9.512614900E-2,-8.566305041E-1,5.048855782E0,7.699504852E0
9.988932600E-2,-6.843472719E-1,4.904688358E0,7.823333740E0
1.046791180E-1,-6.358926296E-1,4.808377266E0,7.909475327E0
1.094555760E-1,-6.317051649E-1,4.735994339E0,7.827520847E0
1.142320870E-1,-5.276173949E-1,4.654638290E0,7.726424217E0
1.190085450E-1,-3.762713671E-1,4.578067780E0,7.495516777E0
1.237850550E-1,-1.154536903E-1,4.612165451E0,7.373483181E0
1.285482320E-1,2.883351147E-1,4.661816597E0,7.237092018E0
1.333379720E-1,7.800601721E-1,4.773681164E0,6.845865726E0
1.381144820E-1,9.074779749E-1,4.697110653E0,6.687341213E0
1.428776590E-1,6.897311211E-1,4.523033142E0,6.745965004E0
1.476674510E-1,2.703889608E-1,4.372883320E0,7.256833076E0
1.524439090E-1,-1.633101404E-1,4.342374802E0,7.950153351E0
1.572204200E-1,-4.019941986E-1,4.442873478E0,8.657232285E0
1.619968780E-1,-3.481557071E-1,4.591826439E0,9.035896301E0
1.667733890E-1,-1.483550072E-1,4.736592293E0,9.139984131E0
1.715498470E-1,1.734796464E-1,4.776073933E0,8.821739197E0
1.763263570E-1,4.570291340E-1,4.777270317E0,8.503493309E0
1.811028160E-1,4.983053207E-1,4.748556614E0,8.234300613E0
1.858793260E-1,2.315055877E-1,4.588835716E0,8.101499557E0
1.906557840E-1,-1.220339537E-1,4.496711731E0,7.868198872E0
1.954322430E-1,-4.420739710E-1,4.370490551E0,7.534400463E0
2.002087530E-1,-6.705885530E-1,4.158127785E0,7.338787079E0
2.049852120E-1,-8.285148144E-1,3.988835335E0,7.877171993E0
2.097617220E-1,-9.966106415E-1,3.689732552E0,8.281558990E0
2.145381800E-1,-1.252044439E0,3.380460262E0,8.368897438E0
2.193146910E-1,-1.313061476E0,3.197409153E0,8.407780647E0
2.240911490E-1,-8.685946465E-1,3.096910715E0,7.883154392E0
2.288676590E-1,2.632104978E-2,3.090330362E0,7.182057381E0
2.336441180E-1,6.053841114E-1,3.154338360E0,7.006184578E0
2.384206280E-1,8.249256015E-1,2.991028309E0,7.024729252E0
2.431837530E-1,1.134796143E0,2.678166628E0,7.642675400E0
2.479735450E-1,1.643270969E0,2.308475733E0,8.230113029E0
2.527500550E-1,2.113460541E0,2.015354872E0,8.741579056E0
2.575132320E-1,2.219342947E0,2.083550215E0,8.985647202E0
2.623030240E-1,2.005783558E0,2.367099762E0,9.173483849E0
2.670794820E-1,1.194018483E0,2.769093990E0,9.690931320E0
2.718426590E-1,4.366901144E-2,3.108276606E0,9.999606133E0
2.766324510E-1,-9.254241586E-1,3.356531858E0,1.037348461E1
2.814089620E-1,-1.442872047E0,3.331407309E0,1.059721375E1
2.861721390E-1,-1.420140266E0,3.012563705E0,1.105783176E1
2.909618780E-1,-6.879364848E-1,2.691327333E0,1.154835987E1
2.957383890E-1,5.138586760E-1,2.867797852E0,1.210887909E1
3.005015660E-1,1.951945066E0,3.675973892E0,1.199522018E1
3.052913570E-1,2.495713949E0,3.677170277E0,1.139701462E1
3.100678160E-1,3.593421459E0,3.930809498E0,1.053679466E1
3.148309930E-1,3.211168051E0,3.612564087E0,1.013599682E1
3.196207840E-1,1.457827210E0,2.673381090E0,9.944570541E0
3.243972950E-1,-2.249253243E-1,2.380260229E0,1.014496994E1
3.291604720E-1,-1.954337835E0,2.915654421E0,9.995418549E0
3.339502640E-1,-3.132802963E0,3.327219963E0,9.597611427E0
3.387267220E-1,-2.557329178E0,3.223132133E0,9.619147301E0
3.435032320E-1,-1.131805062E0,2.816352367E0,9.895518303E0
3.482796910E-1,4.067798555E-1,2.468794823E0,9.964311600E0
3.530561490E-1,2.222334146E0,2.415554523E0,9.675976753E0
3.578193260E-1,4.408775806E0,2.974876642E0,8.796614647E0
3.626091180E-1,6.081358910E0,4.410570145E0,7.649255753E0
3.673856280E-1,6.707081795E0,6.156134605E0,6.704091072E0
3.721488050E-1,5.895316601E0,7.200003147E0,5.858228207E0
3.769385970E-1,5.595615864E0,6.568896294E0,4.899902344E0
3.817150550E-1,5.441876888E0,5.523830891E0,4.009174347E0
3.864782320E-1,4.267001152E0,4.451248169E0,3.540779352E0
3.912680240E-1,3.395415306E0,3.355933666E0,3.436093330E0
3.960445340E-1,3.137588739E0,2.516651154E0,3.720839262E0
4.008076590E-1,3.376870871E0,2.054238319E0,4.516452789E0
4.055974510E-1,3.686741590E0,1.750947952E0,5.177470207E0
4.103739620E-1,3.805186272E0,1.360917926E0,5.657230854E0
4.151371390E-1,3.771088600E0,9.948160052E-1,6.180062771E0
4.199269300E-1,3.276372433E0,7.806583643E-1,6.840481758E0
4.247033890E-1,2.365903378E0,7.686942816E-1,7.272386074E0
4.294665660E-1,1.960918188E0,6.281159520E-1,7.188039303E0
4.342563570E-1,1.960319996E0,2.578266263E-1,6.881757736E0
4.390328680E-1,1.447657704E0,-3.290131316E-2,6.918248653E0
4.437960450E-1,4.809573591E-1,-1.507478207E-1,7.412366390E0
4.485858370E-1,-6.227321029E-1,-1.824527234E-1,8.282156944E0
4.533622950E-1,-1.661217093E0,-3.020938635E-1,9.530612946E0
4.581254720E-1,-2.590230465E0,-5.886343718E-1,1.000618649E1
4.629152640E-1,-3.162713289E0,-1.004387259E0,1.023470020E1
4.676917740E-1,-3.717848301E0,-1.655833244E0,1.020000458E1
4.724548990E-1,-4.259822369E0,-2.350948334E0,9.853045464E0
4.772446910E-1,-3.949951887E0,-2.875574589E0,9.692726135E0
4.820212010E-1,-2.462812662E0,-2.842673302E0,9.411569595E0
4.867843780E-1,-5.282155871E-1,-2.476571321E0,8.498707771E0
4.915741700E-1,3.423531055E0,-2.104487419E0,6.765107632E0
4.963506280E-1,6.121438503E0,-1.625324726E0,5.536991596E0
5.011138050E-1,6.430112839E0,-9.397810698E-1,5.068596363E0
5.059035970E-1,6.245266914E0,-3.888336942E-2,4.061218262E0
5.106801070E-1,5.825326920E0,8.123632669E-1,3.477967739E0
5.154432840E-1,5.699703693E0,1.429113269E0,3.468396425E0
5.202330760E-1,6.236892223E0,1.864008784E0,3.724428415E0
5.250095340E-1,7.110870838E0,2.313859463E0,4.420141697E0
5.297727120E-1,9.390034676E0,2.675773859E0,4.686343193E0
5.345625030E-1,1.126062298E1,2.733201742E0,4.018745422E0
5.393389620E-1,1.145025444E1,2.590230465E0,2.266601324E0
5.441021390E-1,1.016949654E1,2.404786825E0,4.881358147E-1
5.488919300E-1,8.417949677E0,1.904088616E0,9.008977413E-1
5.536684410E-1,7.061219692E0,1.037886858E0,2.606980324E0
5.584316180E-1,6.407381058E0,-2.267199457E-1,4.036691666E0
5.632214090E-1,5.360520840E0,-1.024726272E0,5.132006168E0
5.679978680E-1,4.139583111E0,-1.462014675E0,5.959324837E0
5.727610450E-1,3.184248686E0,-1.816152334E0,6.713662148E0
5.775508370E-1,2.466402054E0,-2.116451740E0,7.422535896E0
5.823273470E-1,2.132603168E0,-2.377867460E0,8.024929047E0
5.870905240E-1,1.932802439E0,-2.600399971E0,8.615956306E0
5.918803160E-1,1.779661894E0,-2.919243574E0,9.092127800E0
5.966567740E-1,1.663609982E0,-3.184248686E0,9.395418167E0
6.014199510E-1,1.584646821E0,-3.300300598E0,9.630513191E0
6.062097430E-1,1.390828133E0,-3.430709362E0,9.781260490E0
6.109862530E-1,9.960124493E-1,-3.600599766E0,9.831509590E0
6.157493780E-1,7.339983582E-1,-3.827319860E0,9.582656860E0
6.205391700E-1,7.950153351E-1,-3.991228104E0,9.390632629E0
6.253156800E-1,1.308874011E0,-4.134199142E0,9.210572243E0
6.300788570E-1,2.145165443E0,-4.430311203E0,8.947361946E0
6.348686490E-1,3.204587698E0,-4.774877548E0,8.505288124E0
6.396451070E-1,4.515854359E0,-5.200201988E0,7.899305820E0
6.444082840E-1,5.858826160E0,-5.644668579E0,7.138986588E0
6.491980760E-1,7.063014030E0,-6.156732559E0,6.206383705E0
6.539745870E-1,8.105088234E0,-6.678966045E0,5.174479008E0
6.587377640E-1,8.995218277E0,-7.119843960E0,4.114458561E0
6.635275550E-1,9.745966911E0,-7.357929707E0,2.349751949E0
6.683040140E-1,1.039023399E1,-7.398607731E0,2.446661144E-1
6.730671910E-1,1.073360443E1,-7.262216568E0,-1.063011408E0
