Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.000869286,-6.3044852424277125e+34,-1.482490443619676e+34,-4.318546810588317e+34
4.005646057,-6.4432833615329055e+34,-1.4701493091070214e+34,-4.309178027122398e+34
4.010422828,-6.581251932208294e+34,-1.4578348244897435e+34,-4.299770734023686e+34
4.015199598,-6.718392304200223e+34,-1.445547180477772e+34,-4.2903252002499e+34
4.019976369,-6.854705837055698e+34,-1.4332865661076438e+34,-4.28084169310163e+34
4.02475314,-6.990193899593049e+34,-1.4210531687381958e+34,-4.271320478243461e+34
4.029529859,-7.124857869371154e+34,-1.408847174046466e+34,-4.261761819724574e+34
4.03430663,-7.258699132157648e+34,-1.3966687660238234e+34,-4.252165979998921e+34
4.0390834,-7.391719081396549e+34,-1.3845181269723506e+34,-4.242533219945041e+34
4.043860171,-7.523919117675754e+34,-1.3723954375014902e+34,-4.232863798885632e+34
4.048636942,-7.655300648194862e+34,-1.3603008765249586e+34,-4.223157974606933e+34
4.053413713,-7.7858650862338025e+34,-1.34823462125792e+34,-4.213416003377953e+34
4.058190484,-7.915613850622722e+34,-1.3361968472144e+34,-4.2036381399695435e+34
4.062967255,-8.044548365213598e+34,-1.3241877282049173e+34,-4.193824637673317e+34
4.067744025,-8.17267005835408e+34,-1.3122074363343219e+34,-4.183975748320406e+34
4.072520796,-8.29998036236408e+34,-1.3002561419998224e+34,-4.174091722300095e+34
4.077297567,-8.426480713015663e+34,-1.2883340138891772e+34,-4.164172808578358e+34
4.082074338,-8.552172549016803e+34,-1.276441218979021e+34,-4.154219254716321e+34
4.086851109,-8.677057311499548e+34,-1.2645779225332983e+34,-4.1442313068887057e+34
4.09162788,-8.801136443513062e+34,-1.252744288101774e+34,-4.1342092099022387e+34
4.09640465,-8.924411389522011e+34,-1.2409404775185858e+34,-4.1241532072140447e+34
4.101181421,-9.04688359491077e+34,-1.2291666509008286e+34,-4.114063540950036e+34
4.105958192,-9.168554505493968e+34,-1.2174229666471557e+34,-4.1039404519233104e+34
4.110734963,-9.289425567033856e+34,-1.2057095814363898e+34,-4.0937841796525507e+34
4.115511734,-9.40949822476492e+34,-1.1940266502261303e+34,-4.08359496238043e+34
4.120288453,-9.528773922926081e+34,-1.182374326251359e+34,-4.0733730370920594e+34
4.125065223,-9.647254104300798e+34,-1.170752761023034e+34,-4.063118639533563e+34
4.129841994,-9.764940209765356e+34,-1.1591621043266566e+34,-4.0528320042308346e+34
4.134618765,-9.881833677845646e+34,-1.1476025042207994e+34,-4.0425133645085244e+34
4.139395536,-9.997935944282707e+34,-1.1360741070355861e+34,-4.0321629525092955e+34
