"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.942522000E-2,-8.020575643E-1,5.126285076E0,7.199663639E0
2.142522000E-2,-8.307880163E-1,5.030517101E0,7.192481041E0
2.342522000E-2,-9.074024558E-1,4.881777287E0,7.178115845E0
2.542572000E-2,-1.007958889E0,4.757278919E0,7.173327446E0
2.742205300E-2,-1.058237195E0,4.695029736E0,7.163750648E0
2.941555300E-2,-1.144428372E0,4.618414879E0,7.154173851E0
3.141335300E-2,-1.168370485E0,4.575319290E0,7.142202854E0
3.341351900E-2,-1.185129881E0,4.558559895E0,7.127837658E0
3.541366100E-2,-1.197100878E0,4.548983097E0,7.084742069E0
3.741128600E-2,-1.201889277E0,4.553771496E0,7.065588474E0
3.941139700E-2,-1.225831270E0,4.560954094E0,7.022492886E0
4.141139700E-2,-1.240196466E0,4.553771496E0,6.953061104E0
4.341139700E-2,-1.221042871E0,4.548983097E0,6.919542313E0
4.541139700E-2,-1.185129881E0,4.553771496E0,6.864475727E0
4.741139700E-2,-1.137245774E0,4.548983097E0,6.807014942E0
4.941139700E-2,-1.115697980E0,4.537012100E0,6.773495674E0
5.141139700E-2,-1.079784989E0,4.498704910E0,6.723217487E0
5.341139700E-2,-1.012747288E0,4.472368717E0,6.706458092E0
5.541139700E-2,-9.768342972E-1,4.448426723E0,6.675333500E0
5.741139700E-2,-9.050082564E-1,4.410119534E0,6.629843712E0
5.941139700E-2,-8.140285611E-1,4.350264549E0,6.601113319E0
6.141079700E-2,-7.709329724E-1,4.323928356E0,6.574777126E0
6.341093900E-2,-6.751648784E-1,4.295197964E0,6.519710541E0
6.541093900E-2,-6.512228847E-1,4.288015366E0,6.505345345E0
6.741093900E-2,-5.746083856E-1,4.252102375E0,6.493374348E0
6.941093900E-2,-4.908113480E-1,4.225766182E0,6.481403351E0
7.141097900E-2,-4.501099288E-1,4.223371983E0,6.481403351E0
7.341101700E-2,-3.663128614E-1,4.254496574E0,6.505345345E0
7.541105400E-2,-2.801215947E-1,4.271255970E0,6.543652534E0
7.741108900E-2,-2.394201756E-1,4.271255970E0,6.572382927E0
7.941112300E-2,-1.747767180E-1,4.252102375E0,6.641814709E0
8.141115600E-2,-1.173158810E-1,4.249708176E0,6.708852291E0
8.341118900E-2,-8.379705995E-2,4.225766182E0,6.737582684E0
8.541118900E-2,-3.112462163E-2,4.137180328E0,6.783072472E0
8.741155500E-2,-9.576806799E-3,4.082113743E0,6.807014942E0
8.941242100E-2,8.140286058E-2,3.926490784E0,6.833351135E0
9.141278700E-2,1.436520964E-1,3.749319792E0,6.835745335E0
9.341275300E-2,1.723825186E-1,3.655946016E0,6.826168537E0
9.541271900E-2,2.154781520E-1,3.462015629E0,6.814197540E0
9.741335200E-2,2.681505978E-1,3.299209833E0,6.783072472E0
9.941331800E-2,2.992752194E-1,3.224989653E0,6.773495674E0
1.014133180E-1,3.543418646E-1,3.078943491E0,6.730400085E0
1.034133180E-1,4.118026793E-1,2.980781078E0,6.684910297E0
1.054133180E-1,4.357447028E-1,2.937685490E0,6.656179905E0
1.074133180E-1,4.932055473E-1,2.856282711E0,6.598719120E0
1.094133180E-1,5.458779931E-1,2.806004286E0,6.524498940E0
1.114133180E-1,5.770025849E-1,2.724601507E0,6.495768547E0
1.134133180E-1,6.105214357E-1,2.604891539E0,6.431125164E0
1.154133180E-1,6.177040339E-1,2.545036316E0,6.380846977E0
1.174144180E-1,6.368576288E-1,2.432508945E0,6.287472725E0
