Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.000200266,1.936909199,-9.550769806,-0.7829039693
4.002200232,1.924938202,-9.56274128,-0.7757213712
4.004200165,1.910573006,-9.555558205,-0.7733271718
4.006200131,1.891419291,-9.557952881,-0.787692368
4.008200097,1.881842494,-9.572318077,-0.7948749661
4.010200097,1.891419291,-9.577106476,-0.787692368
4.01220013,1.867477298,-9.5747118,-0.7709329724
4.014200163,1.853112102,-9.586683273,-0.7685387731
4.016200196,1.865083098,-9.617807388,-0.7661445141
4.018200229,1.848323703,-9.608230591,-0.7805097699
4.020200262,1.845929503,-9.615413666,-0.7709329724
4.022200295,1.836352706,-9.61301899,-0.7541735172
4.024200328,1.826775908,-9.610625267,-0.7445967197
4.026200328,1.82198751,-9.620202065,-0.7374141216
4.028200294,1.829170108,-9.593865395,-0.7469909191
4.03020026,1.81959331,-9.581894875,-0.7422025204
4.032200226,1.805228114,-9.605836868,-0.7254431248
4.034199526,1.795651317,-9.615413666,-0.7182605267
4.036199492,1.807622313,-9.624990463,-0.7086837292
4.038199458,1.786074519,-9.61301899,-0.7086837292
4.040198658,1.766920805,-9.617807388,-0.6967126727
4.042197991,1.766920805,-9.629778862,-0.6895300746
4.044197691,1.774103403,-9.639355659,-0.6823474765
4.046197724,1.754949808,-9.644144058,-0.6751648784
4.048197757,1.764526606,-9.660902977,-0.6751648784
4.05019729,1.764526606,-9.653720856,-0.6775590777
4.052197323,1.762132406,-9.65132618,-0.6775590777
4.054197356,1.769315004,-9.65132618,-0.672770679
4.056197389,1.762132406,-9.660902977,-0.6703764796
4.058197389,1.78128612,-9.648932457,-0.6751648784
4.060197389,1.776497602,-9.644144058,-0.6823474765
4.062197389,1.786074519,-9.660902977,-0.6703764796
4.064197422,1.786074519,-9.672874451,-0.6703764796
4.066197422,1.805228114,-9.675268173,-0.6703764796
4.068197022,1.793257117,-9.653720856,-0.6631938815
4.070197022,1.795651317,-9.646537781,-0.6607996821
4.072196988,1.810016513,-9.653720856,-0.6703764796
4.074196954,1.824381709,-9.634567261,-0.6679822803
4.07619692,1.829170108,-9.627384186,-0.6607996821
4.078196886,1.836352706,-9.632172585,-0.6584054828
4.080196452,1.831564307,-9.624990463,-0.6655880809
4.082196418,1.841141105,-9.61301899,-0.6560112834
4.084196384,1.848323703,-9.596260071,-0.6584054828
4.08619635,1.855506301,-9.591471672,-0.6512228847
4.08819635,1.8602947,-9.598653793,-0.6392518282
4.090196383,1.843535304,-9.593865395,-0.6392518282
4.092196016,1.845929503,-9.593865395,-0.6344634295
4.094196716,1.867477298,-9.591471672,-0.624886632
4.096196749,1.879448295,-9.598653793,-0.6320692301
4.098196782,1.877054095,-9.608230591,-0.6153098345
4.100197615,1.879448295,-9.603442192,-0.6105214357
4.102198315,1.881842494,-9.608230591,-0.5961562395
4.104198781,1.881842494,-9.61301899,-0.5913678408
4.106198747,1.877054095,-9.624990463,-0.5793967843
4.108198713,1.879448295,-9.610625267,-0.55784899
4.110198713,1.874659896,-9.61301899,-0.5458779931
4.112198679,1.877054095,-9.615413666,-0.5410895944
4.114198645,1.869871497,-9.629778862,-0.5410895944
4.116198611,1.8602947,-9.636960983,-0.5315127969
