Time (s);Acceleration x (m/s^2);Acceleration y (m/s^2);Acceleration z (m/s^2)
0,018891427;-1,244984865;5,645826817;5,978621006
0,020891427;-1,237802267;5,514145851;6,30662632
0,022891427;-1,223437071;5,370493889;6,660968304
0,024891427;-1,242590666;5,298667431;6,838139534
0,026894093;-1,240196466;5,131073475;7,166144848
0,028894093;-1,213860273;5,004180908;7,465420246
0,030894093;-1,206677675;4,944325924;7,609072208
0,032894259;-1,223437071;4,853046894;7,860463619
0,034894401;-1,218648672;4,814739704;8,107066154
0,036894526;-1,194706678;4,733336926;8,226776123
0,038894637;-1,065419793;4,666299343;8,56914711
0,040894737;-0,876277804;4,644751072;8,930671692
0,042893737;-0,476446152;4,642356873;9,773430824
0,04489157;-0,174776718;4,654327869;10,2331171
0,046891646;-0,055066638;4,666299343;10,29776096
0,048891646;0,090979666;4,673481941;10,27621269
0,050890779;0,14844051;4,683058739;10,27621269
0,052890779;0,201112941;4,699818134;10,31451988
0,054890779;0,323217243;4,762067318;10,46056652
0,056890779;0,524330199;4,881777287;10,59943008
0,058890779;0,646434486;4,929960728;10,65210247
0,060890779;0,825999558;5,066430092;10,71435165
0,062890779;0,93134445;5,217264652;10,69040966
0,064890779;0,979228497;5,26514864;10,65449715
0,066890779;0,984016895;5,372888088;10,5323925
0,068890779;0,957680702;5,432743073;10,45817184
0,070890779;0,873883605;5,492598057;10,27381897
0,072890779;0,763750315;5,552453041;10,06791782
0,074890779;0,689530075;5,590760231;9,933841705
0,076890779;0,462080926;5,662586212;9,593865395
0,078890779;0,239420176;5,715258598;9,265859604
0,080890812;0,16759412;5,712864399;9,119813919
0,082890845;-0,086191259;5,676951408;8,813355446
0,084890878;-0,33279404;5,645826817;8,528446198
0,086890644;-0,469263524;5,63146162;8,401553154
0,088890677;-0,627280831;5,581183434;8,166921616
0,09089071;-0,766144514;5,497386456;7,982567787
0,092890876;-0,849941611;5,435137272;7,913136005
0,094890876;-0,986411095;5,248389244;7,769483566
0,096890842;-1,022324085;5,126285076;7,690474987
0,098890808;-0,993593693;4,845864296;7,530063629
0,100890774;-0,950498104;4,455609322;7,360075474
0,10289114;-0,945709646;4,197035789;7,288249016
0,104892006;-0,962469101;3,648763418;7,170933247
0,106891972;-1,031900883;3,086126089;7,161356449
0,108891972;-1,067813993;2,875436306;7,283460617
0,110892438;-1,120486379;2,398990154;7,685686588
0,112892471;-1,249773264;1,886630893;8,083124161
0,114892504;-1,283292055;1,680729628;8,243535995
0,116892537;-1,247379065;1,359906554;8,494926453
0,11889257;-1,209071875;1,254561663;8,588300705
0,120892603;-1,096544385;1,106121182;8,729558945
0,122892636;-0,89303726;1,007958889;8,801384926
0,124892669;-0,775721371;0,960074902;8,815750122
0,126892669;-0,493205547;0,842759013;8,832509041
0,128892669;-0,299275219;0,754173517;8,851662636
0,130892669;-0,304063618;0,869095206;8,866027832
0,132892669;-0,328005642;0,962469101;8,858845711
0,134892669;-0,421379507;1,302445769;8,866027832
0,136892669;-0,459686726;1,482010841;8,87560463
0,138892669;-0,536301196;1,8602947;8,916306496
0,140892635;-0,612915635;2,226607561;8,990526199
0,142892601;-0,639251828;2,406172752;9,024045944
0,144892567;-0,660799682;2,726995707;9,103054047
0,146892533;-0,629675031;2,851494312;9,150938034
0,148892499;-0,493205547;3,110068083;9,263465881
0,150892465;-0,272938997;3,299209833;9,407117844
0,152892265;-0,138863698;3,366247654;9,476549149
0,154892231;0,179565132;3,464409828;9,639355659
0,156892231;0,490811348;3,552995205;9,854833603
0,158892264;0,658405483;3,60566783;9,981725693
0,160892297;0,988805294;3,667917013;10,25466537
0,16289233;1,280897856;3,730166197;10,5228157
0,164892363;1,391031146;3,75650239;10,65210247
0,166892396;1,532289028;3,770867586;10,93701267
0,168892429;1,628057122;3,773261786;11,28656578
0,170892429;1,67115283;3,778050184;11,46134281
0,172892429;1,776497602;3,816357613;11,72949314
0,174892395;1,833958507;3,837905407;11,82526112
0,176892361;1,994369984;3,859453201;11,89948177
0,178892327;2,183511972;3,797203779;11,77258873
0,180892293;2,291250944;3,749319792;11,64330196
0,182892259;2,497152328;3,651157618;11,31529617
0,184892225;2,707842112;3,576937437;11,01841545
0,186892225;2,885013103;3,56496644;10,93701267
0,188892258;3,165134668;3,440467834;10,67843914
0,190892291;3,356670856;3,174711466;10,32888508
0,192892324;3,411737442;3,035847664;10,14692593
0,194892357;3,548206806;2,731784105;9,794978142
0,19689239;3,646369219;2,571372509;9,634567261
0,198892423;3,655946016;2,284068346;9,328108788
0,200892456;3,639186621;2,025494576;9,055170059
0,202892156;3,617638826;1,891419291;8,942642212
0,204892156;3,538630009;1,642422318;8,746317863
0,206892156;3,368641853;1,383848548;8,650549889
0,208892156;3,260902643;1,223437071;8,648156166
0,210892156;2,940079689;0,912190855;8,700828552
