"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.277526100E-2,-1.187524080E0,5.657797813E0,8.667309761E0
1.477526100E-2,-1.381454349E0,5.540482044E0,8.339303970E0
1.676026100E-2,-1.534683347E0,5.418377876E0,8.063970566E0
1.876026100E-2,-1.656787634E0,5.308244228E0,7.838915825E0
2.076026100E-2,-1.750161409E0,5.198111057E0,7.654561996E0
2.276026100E-2,-1.810016513E0,5.092766285E0,7.506121635E0
2.476446100E-2,-1.848323703E0,5.001786709E0,7.386411667E0
2.675996100E-2,-1.857900500E0,4.908412933E0,7.290643215E0
2.875996100E-2,-1.838746905E0,4.821922302E0,7.214028835E0
3.075746100E-2,-1.807622313E0,4.745307922E0,7.151779652E0
3.275746100E-2,-1.745373011E0,4.678270340E0,7.099107265E0
3.475746100E-2,-1.663970232E0,4.618414879E0,7.056011677E0
3.675746100E-2,-1.584961534E0,4.553771496E0,7.024887085E0
3.875746100E-2,-1.486799240E0,4.491522312E0,7.008127689E0
4.075753700E-2,-1.391031146E0,4.434061527E0,6.998550892E0
4.275753700E-2,-1.278503656E0,4.381389141E0,7.005733490E0
4.475760300E-2,-1.151610970E0,4.338293552E0,7.029675484E0
4.675766500E-2,-1.027112484E0,4.299986362E0,7.060800076E0
4.875772300E-2,-8.906430602E-1,4.268861771E0,7.115866661E0
5.075761100E-2,-7.422025204E-1,4.247313976E0,7.187692642E0
5.275766300E-2,-6.033388376E-1,4.230554581E0,7.259518623E0
5.475771300E-2,-4.548983276E-1,4.223371983E0,7.350498676E0
5.675771300E-2,-3.064578176E-1,4.225766182E0,7.463026047E0
5.875771300E-2,-1.771709323E-1,4.232948780E0,7.575553417E0
6.075771300E-2,-5.506663769E-2,4.249708176E0,7.712022781E0
6.275771300E-2,4.788403213E-2,4.271255970E0,7.843704224E0
6.475771300E-2,1.388636976E-1,4.311957359E0,7.996932983E0
6.675771300E-2,2.202665508E-1,4.362235546E0,8.159738541E0
6.875771300E-2,2.920926213E-1,4.414907932E0,8.308178902E0
7.075771300E-2,3.615244627E-1,4.479551315E0,8.463802338E0
7.275774700E-2,4.333505034E-1,4.544194698E0,8.617031097E0
7.475778000E-2,4.955997467E-1,4.596867085E0,8.751106262E0
7.675831300E-2,5.530605912E-1,4.632780075E0,8.882787704E0
7.875834600E-2,5.961562395E-1,4.651933670E0,9.007286072E0
8.075837900E-2,6.272808313E-1,4.663905144E0,9.115025520E0
8.275841200E-2,6.368576288E-1,4.661510944E0,9.213187218E0
8.475774500E-2,6.224924326E-1,4.644751072E0,9.296984673E0
8.675867800E-2,5.937620401E-1,4.620809078E0,9.366415977E0
8.875867800E-2,5.434837937E-1,4.592078686E0,9.414299965E0
9.075934400E-2,4.908113480E-1,4.565742493E0,9.447818756E0
9.275934400E-2,4.165911078E-1,4.534617901E0,9.457395554E0
9.475934400E-2,3.160346150E-1,4.510675907E0,9.443030357E0
9.675934400E-2,2.106897533E-1,4.496310711E0,9.419088364E0
9.875934400E-2,7.422025502E-2,4.498704910E0,9.373599052E0
