Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.001197569,4.9045915297091106e+20,1.0500999748687266e+19,-4.796905938137582e+21
4.003197569,4.978540749938953e+20,1.0318046080839893e+19,-4.800500532987528e+21
4.005197535,5.052030115512991e+20,1.0135681479705788e+19,-4.803945984507303e+21
4.007197501,5.125059756028545e+20,9.953907964436939e+18,-4.807243333026636e+21
4.009197467,5.19762981572765e+20,9.772727536440426e+18,-4.810393612733899e+21
4.011197433,5.2697404535039486e+20,9.592142179289842e+18,-4.813397851581069e+21
4.013197399,5.341391842904805e+20,9.412153858635571e+18,-4.816257071193277e+21
4.015197399,5.412584172128693e+20,9.232764522113909e+18,-4.8189722867831e+21
4.017197365,5.483317644017905e+20,9.053976099254911e+18,-4.821544507069744e+21
4.019197331,5.553592476046637e+20,8.875790501388976e+18,-4.823974734203273e+21
4.021197564,5.6234089003044726e+20,8.698209621552103e+18,-4.826263963693973e+21
4.023197597,5.6927671634753225e+20,8.521235334389694e+18,-4.828413184346931e+21
4.02519763,5.761667526811855e+20,8.344869496058724e+18,-4.830423378201873e+21
4.02719753,5.8301102661054706e+20,8.169113944128127e+18,-4.832295520478352e+21
4.029197563,5.8980956716518815e+20,7.993970497477263e+18,-4.834030579526379e+21
4.031197596,5.965624048212383e+20,7.819440956192383e+18,-4.835629516782563e+21
4.033197629,6.032695714970851e+20,7.645527101461021e+18,-4.837093286731806e+21
4.035197662,6.099311005486536e+20,7.472230695464296e+18,-4.838422836874586e+21
4.037197662,6.16547026764273e+20,7.299553481267167e+18,-4.839619107699808e+21
4.039197628,6.231173863591316e+20,7.127497182706614e+18,-4.840683032663156e+21
4.041197594,6.296422169693179e+20,6.956063504277799e+18,-4.841615538170863e+21
4.04319686,6.361215576454495e+20,6.785254131018195e+18,-4.842417543568792e+21
4.045195926,6.42555448845896e+20,6.615070728389714e+18,-4.843089961136719e+21
4.047195892,6.489439324295974e+20,6.445514942158832e+18,-4.843633696087747e+21
4.049195858,6.552870516484787e+20,6.276588398274683e+18,-4.844049646572746e+21
