"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.678787000E-3,-7.565677166E-1,5.054459095E0,8.178892136E0
1.167878700E-2,-7.924807668E-1,5.004180908E0,7.949048996E0
1.367878700E-2,-8.116343617E-1,4.941931725E0,7.764695168E0
1.569678700E-2,-8.020575643E-1,4.848258495E0,7.611466408E0
1.769678700E-2,-7.685387731E-1,4.738125324E0,7.486968040E0
1.969678700E-2,-7.302315235E-1,4.632780075E0,7.386411667E0
2.169678700E-2,-6.775590777E-1,4.515464306E0,7.307403088E0
2.369678700E-2,-6.177040339E-1,4.395754337E0,7.245153427E0
2.569507200E-2,-5.602431893E-1,4.290409565E0,7.197269440E0
2.769357200E-2,-4.979939461E-1,4.180276394E0,7.163750648E0
2.969057200E-2,-4.405331016E-1,4.070142746E0,7.132626057E0
3.169057200E-2,-3.902548850E-1,3.974374771E0,7.106289864E0
3.369057200E-2,-3.399766386E-1,3.888183594E0,7.075165272E0
3.569057200E-2,-2.968810201E-1,3.813963413E0,7.046434879E0
3.768964800E-2,-2.609679997E-1,3.746925592E0,7.020098686E0
3.968964800E-2,-2.274491638E-1,3.687070608E0,6.988974094E0
4.168964800E-2,-1.987187415E-1,3.639186621E0,6.957849503E0
4.368964800E-2,-1.771709323E-1,3.598485231E0,6.921936512E0
4.568970600E-2,-1.628057212E-1,3.574543238E0,6.881235123E0
4.768976100E-2,-1.508347094E-1,3.557783842E0,6.842927933E0
4.968981300E-2,-1.460463107E-1,3.550601006E0,6.799831867E0
5.168986300E-2,-1.436520964E-1,3.560178041E0,6.747159481E0
5.368991000E-2,-1.436520964E-1,3.569754839E0,6.696881294E0
5.568995500E-2,-1.508347094E-1,3.581725836E0,6.644208908E0
5.768999800E-2,-1.580173075E-1,3.586514235E0,6.593930721E0
5.969003900E-2,-1.699883193E-1,3.586514235E0,6.546046734E0
6.169003900E-2,-1.891419291E-1,3.579331636E0,6.495768547E0
6.369003900E-2,-2.130839527E-1,3.564966440E0,6.452672958E0
6.569003900E-2,-2.370259613E-1,3.533841610E0,6.407183170E0
6.769003900E-2,-2.657563984E-1,3.485957623E0,6.361693382E0
6.969003900E-2,-2.849099934E-1,3.423708439E0,6.311414719E0
7.169003900E-2,-2.992752194E-1,3.361459255E0,6.263530731E0
7.369003900E-2,-3.088520169E-1,3.277662039E0,6.203675747E0
7.568883900E-2,-3.136404157E-1,3.196259260E0,6.141426563E0
7.768883900E-2,-3.112462163E-1,3.098097086E0,6.057629585E0
7.968883900E-2,-3.040636182E-1,2.985569477E0,5.954679012E0
8.168883900E-2,-2.992752194E-1,2.880224705E0,5.851728439E0
8.368883900E-2,-2.968810201E-1,2.760514498E0,5.734412193E0
8.568923900E-2,-3.040636182E-1,2.636016130E0,5.600337029E0
8.768963900E-2,-3.088520169E-1,2.523488522E0,5.475838661E0
8.969053900E-2,-3.160346150E-1,2.415749550E0,5.344157696E0
9.169057200E-2,-3.208230138E-1,2.322375536E0,5.222053051E0
9.369060500E-2,-3.232172430E-1,2.236184359E0,5.092766285E0
9.569063800E-2,-3.280056417E-1,2.166752577E0,4.963479519E0
9.769107100E-2,-3.327940404E-1,2.111685991E0,4.850652695E0
9.969110400E-2,-3.399766386E-1,2.061407566E0,4.738125324E0
1.016911370E-1,-3.639186621E-1,2.006340981E0,4.632780075E0
