Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.000341842,-4.406413912323278e+21,3.446432914490009e+19,4.3624498968480816e+20
4.002341842,-4.4005631745817e+21,3.390477045025492e+19,4.335784857128917e+20
4.004341842,-4.394631283347307e+21,3.3346963078081315e+19,4.3091514592308704e+20
4.006341808,-4.3886187040766857e+21,3.2790912130848784e+19,4.2825501927249124e+20
4.008341741,-4.382525899178439e+21,3.2236622640989503e+19,4.255981545106797e+20
4.010341707,-4.37635332808758e+21,3.168409957097295e+19,4.229446001768577e+20
4.012341673,-4.370101447342699e+21,3.1133347813403754e+19,4.2029440459699546e+20
4.014341639,-4.363770710665789e+21,3.0584372191143035e+19,4.17647615880951e+20
4.016341605,-4.357361569044619e+21,3.00371774574535e+19,4.150042819195846e+20
4.018341571,-4.350874470817542e+21,2.949176829616839e+19,4.123644503818691e+20
4.020341537,-4.3443098617606266e+21,2.894814932188437e+19,4.0972816871200286e+20
4.022341537,-4.3376681851769806e+21,2.8406325080177836e+19,4.070954841265338e+20
4.02434157,-4.330949881988156e+21,2.786630004784441e+19,4.0446644361149913e+20
4.026341603,-4.324155390827524e+21,2.732807863316126e+19,4.018410939195819e+20
4.028341636,-4.3172851481355097e+21,2.6791665176171676e+19,3.992194815672844e+20
4.030341669,-4.310339588256602e+21,2.625706394899071e+19,3.966016528321206e+20
4.032341702,-4.303319143538055e+21,2.5724279156130808e+19,3.93987653749829e+20
4.034341735,-4.2962242444301655e+21,2.5193314934846325e+19,3.913775301116098e+20
4.036341768,-4.289055319588004e+21,2.4664175355496006e+19,3.887713274613895e+20
4.038340368,-4.28181279597448e+21,2.4136864421922537e+19,3.861690910931173e+20
4.040340334,-4.2744970989646507e+21,2.3611386071848452e+19,3.835708660480984e+20
4.0423403,-4.2671086524511866e+21,2.3087744177287725e+19,3.809766971123706e+20
4.04434,-4.2596478789508703e+21,2.2565942544972448e+19,3.7838662881412645e+20
4.046339966,-4.252115199712035e+21,2.204598491679408e+19,3.7580070542118014e+20
4.048339932,-4.244511034822839e+21,2.1527874970258866e+19,3.7321897093847895e+20
4.050339898,-4.2368358033202956e+21,2.10116163189568e+19,3.706414691056558e+20
4.052339864,-4.229089923299929e+21,2.0497212513043775e+19,3.6806824339462475e+20
4.054339564,-4.2212738120259406e+21,1.9984667039736594e+19,3.6549933700722354e+20
4.05633813,-4.2133878860417535e+21,1.947398332382072e+19,3.629347928729012e+20
4.058338163,-4.205432561280825e+21,1.8965164728170693e+19,3.6037465364645334e+20
4.060338196,-4.197408253177613e+21,1.845821455428308e+19,3.5781896170580895e+20
4.062338229,-4.1893153767785633e+21,1.795313604282178e+19,3.552677591498789e+20
4.064338262,-4.181154346852984e+21,1.7449932374175498e+19,3.527210877964706e+20
4.066338295,-4.1729255780036683e+21,1.694860666902723e+19,3.501789891802746e+20
4.068337461,-4.164629484777161e+21,1.6449161988935434e+19,3.476415045509212e+20
4.070337027,-4.15626648177355e+21,1.5951601336926863e+19,3.4510867487111145e+20
4.07233636,-4.147836983755676e+21,1.5455927658100883e+19,3.4258054081482326e+20
4.07433636,-4.139341405757607e+21,1.4962143840245137e+19,3.4005714276559356e+20
4.07633636,-4.1307801631922177e+21,1.4470252714462396e+19,3.3753852081487846e+20
4.07833636,-4.1221536719577033e+21,1.3980257055808274e+19,3.350247147604945e+20
4.08033636,-4.113462348542915e+21,1.3492159583939494e+19,3.325157641051439e+20
4.08233636,-4.104706610131414e+21,1.300596296377249e+19,3.3001170805502614e+20
4.084336326,-4.095886874704154e+21,1.252166980615191e+19,3.275125855185378e+20
4.086335959,-4.087003561140706e+21,1.2039282668528566e+19,3.250184351050608e+20
4.088335925,-4.078057089318938e+21,1.155880405564647e+19,3.225292951238371e+20
4.090335891,-4.0690478802130656e+21,1.1080236420238606e+19,3.200452035829275e+20
4.092335857,-4.059976355989978e+21,1.0603582163731218e+19,3.175661981882568e+20
4.094335823,-4.0508429401037797e+21,1.0128843636956381e+19,3.150923163427432e+20
4.096335789,-4.0416480573884685e+21,9.656023140872536e+18,3.126235951455142e+20
4.098336222,-4.032392134148674e+21,9.185122927292613e+18,3.1016007139120697e+20
4.100336222,-4.0230755982483873e+21,8.71614519961931e+18,3.077017815693509e+20
4.102336222,-4.0136988791975885e+21,8.24909211358702e+18,3.052487618638266e+20
4.104336522,-4.0042624082366714e+21,7.783965778009948e+18,3.0280104815239365e+20
4.106336555,-3.9947666184185777e+21,7.320768255535915e+18,3.0035867600628115e+20
4.108336588,-3.98521194468853e+21,6.859501563405353e+18,2.979216806898308e+20
4.110336621,-3.975598823961266e+21,6.400167674215039e+18,2.954900971601828e+20
4.112336654,-3.9659276951956813e+21,5.942768516686152e+18,2.9306396006699604e+20
