"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.262408000E-2,3.897760391E0,4.769249916E0,6.862081528E0
1.462408000E-2,3.847482204E0,4.661510944E0,7.012916088E0
1.662408000E-2,3.809175014E0,4.568136692E0,7.175721645E0
1.862408000E-2,3.790021181E0,4.477157116E0,7.395988464E0
2.062408000E-2,3.787626982E0,4.390965939E0,7.652167797E0
2.262408000E-2,3.790021181E0,4.316745758E0,7.896376610E0
2.461868000E-2,3.797203779E0,4.247313976E0,8.171710014E0
2.661418000E-2,3.804386616E0,4.185064793E0,8.430283546E0
2.861418000E-2,3.811569214E0,4.132391930E0,8.708010674E0
3.061418000E-2,3.823540211E0,4.079719543E0,8.995314598E0
3.261418000E-2,3.833117008E0,4.031835556E0,9.282619476E0
3.461418000E-2,3.842693806E0,3.983951569E0,9.538799286E0
3.661418000E-2,3.847482204E0,3.938461781E0,9.787796021E0
3.861209600E-2,3.852270603E0,3.897760391E0,1.000566864E1
4.061217200E-2,3.849876404E0,3.854664803E0,1.020678139E1
4.261217200E-2,3.847482204E0,3.813963413E0,1.038874054E1
4.461217200E-2,3.845088005E0,3.780444384E0,1.053957558E1
4.661223400E-2,3.842693806E0,3.749319792E0,1.066407394E1
4.861229200E-2,3.845088005E0,3.722983599E0,1.076223564E1
5.061234700E-2,3.849876404E0,3.701435804E0,1.083645630E1
5.261192500E-2,3.859453201E0,3.684676409E0,1.087715721E1
5.461197500E-2,3.871424198E0,3.672705412E0,1.088912868E1
5.661202200E-2,3.883395195E0,3.663128614E0,1.088194561E1
5.861152200E-2,3.897760391E0,3.658340216E0,1.083885002E1
6.061152200E-2,3.914519787E0,3.653551817E0,1.078617764E1
6.261152200E-2,3.933673382E0,3.653551817E0,1.069998646E1
6.461152200E-2,3.957615376E0,3.660734415E0,1.058745956E1
6.661152200E-2,3.981557369E0,3.670311213E0,1.047493172E1
6.861152200E-2,4.007893562E0,3.689464808E0,1.033367348E1
7.061152200E-2,4.036623955E0,3.720589399E0,1.016607952E1
7.261152200E-2,4.058171749E0,3.754108191E0,1.000566864E1
7.461152200E-2,4.072536945E0,3.794809580E0,9.826103210E0
7.661155500E-2,4.079719543E0,3.849876404E0,9.629778862E0
7.861158800E-2,4.082113743E0,3.902548790E0,9.445425034E0
8.061162100E-2,4.070142746E0,3.957615376E0,9.246706009E0
8.261165400E-2,4.041412354E0,4.015076160E0,9.036016464E0
8.461258700E-2,3.998316765E0,4.070142746E0,8.818143845E0
