Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.000533838,6.337751389,-6.603507519,-0.2920926213
4.002533871,6.337751389,-6.596324921,-0.2968810201
4.004533904,6.323386192,-6.620266914,-0.2920926213
4.006533937,6.318597794,-6.603507519,-0.2920926213
4.00853397,6.318597794,-6.591536522,-0.3040636182
4.010532703,6.320991993,-6.59871912,-0.3016694188
4.012532736,6.318597794,-6.605901718,-0.2849099934
4.014532769,6.304232121,-6.603507519,-0.2849099934
4.016532802,6.309020519,-6.596324921,-0.2801215947
4.018532802,6.316203594,-6.608295918,-0.2729389966
4.020532802,6.318597794,-6.593930721,-0.282515794
4.022531902,6.313809395,-6.596324921,-0.2777273953
4.024531902,6.323386192,-6.581959724,-0.2609679997
4.026531902,6.318597794,-6.579565525,-0.2609679997
4.028531902,6.309020519,-6.591536522,-0.2561795712
4.030531868,6.301837921,-6.59871912,-0.2513911724
4.032531834,6.309020519,-6.605901718,-0.2609679997
4.0345318,6.313809395,-6.601113319,-0.248996973
4.0365311,6.301837921,-6.603507519,-0.248996973
4.038531066,6.297049522,-6.617872715,-0.2418143749
4.040531032,6.299443722,-6.622661114,-0.2322375625
4.042531765,6.311414719,-6.627449512,-0.2298433632
4.044531365,6.294655323,-6.639420509,-0.2106897533
4.046531565,6.289866924,-6.646603107,-0.2082955539
4.048532098,6.316203594,-6.651391506,-0.2130839527
4.050532131,6.313809395,-6.653785706,-0.2226607651
4.052532164,6.309020519,-6.644208908,-0.2226607651
4.054532597,6.316203594,-6.634632111,-0.2130839527
4.05653263,6.325780392,-6.634632111,-0.2082955539
4.058532663,6.349722385,-6.63702631,-0.2226607651
4.060532696,6.340145588,-6.634632111,-0.2274491638
4.062532696,6.33296299,-6.615478516,-0.2250549644
4.064532662,6.304232121,-6.603507519,-0.2106897533
4.066532628,6.301837921,-6.603507519,-0.2059013397
4.068531694,6.289866924,-6.610690117,-0.2035071403
4.07053206,6.289866924,-6.603507519,-0.1987187415
4.072532026,6.280290127,-6.605901718,-0.2011129409
4.074531992,6.292261124,-6.59871912,-0.2226607651
4.076531625,6.289866924,-6.589142323,-0.2226607651
4.078531625,6.289866924,-6.586748123,-0.2298433632
4.080531658,6.277895927,-6.593930721,-0.2370259613
4.082532591,6.285078526,-6.569988728,-0.2346317619
4.084532624,6.277895927,-6.550835133,-0.2370259613
4.086532657,6.287472725,-6.543652534,-0.2466027737
4.08853269,6.299443722,-6.546046734,-0.2633621991
4.090532723,6.292261124,-6.553229332,-0.2609679997
4.092532756,6.292261124,-6.56041193,-0.2729389966
4.094532789,6.309020519,-6.548440933,-0.2849099934
4.096533455,6.292261124,-6.538864136,-0.2753331959
4.098533421,6.299443722,-6.536469936,-0.2992752194
4.100533421,6.311414719,-6.52449894,-0.3064578176
4.102532654,6.311414719,-6.507739544,-0.3088520169
4.10453302,6.316203594,-6.510133743,-0.323217243
4.10653322,6.311414719,-6.505345345,-0.3208230138
4.108532686,6.320991993,-6.507739544,-0.3256114423
4.110532652,6.30662632,-6.498162746,-0.3399766386
4.112532618,6.299443722,-6.48619175,-0.3423708379
4.114532584,6.304232121,-6.48619175,-0.3447650373
4.11653255,6.292261124,-6.493374348,-0.3471592367
4.118532516,6.297049522,-6.490980148,-0.3447650373
4.120532482,6.289866924,-6.493374348,-0.356736064
4.122532448,6.282684326,-6.48379755,-0.3663128614
4.124532448,6.275501728,-6.471826553,-0.3519476354
4.126532448,6.273107529,-6.474220753,-0.349553436
4.128533381,6.26831913,-6.481403351,-0.3543418646
4.130533414,6.239588737,-6.474220753,-0.3447650373
4.132533447,6.239588737,-6.462249756,-0.3399766386
4.13453348,6.234800339,-6.443096161,-0.3256114423
4.136533846,6.237194538,-6.44549036,-0.323217243
4.138533879,6.234800339,-6.44788456,-0.316034615
4.140533879,6.234800339,-6.462249756,-0.3088520169
4.142533845,6.246771336,-6.48619175,-0.3112462163
4.144533811,6.237194538,-6.481403351,-0.2849099934
4.146533777,6.234800339,-6.481403351,-0.2849099934
4.148533743,6.244377136,-6.479009151,-0.2777273953
4.150533709,6.241982937,-6.48379755,-0.2681505978
4.152533675,6.220435143,-6.517316341,-0.2609679997
4.154533641,6.234800339,-6.512527943,-0.2513911724
4.156533641,6.249165535,-6.519710541,-0.2466027737
4.158533707,6.261136532,-6.52449894,-0.2418143749
4.16053374,6.26831913,-6.526893139,-0.2394201756
4.162533773,6.26831913,-6.534075737,-0.2394201756
4.164533806,6.285078526,-6.548440933,-0.2298433632
4.166533839,6.285078526,-6.534075737,-0.2370259613
4.168533872,6.285078526,-6.529287338,-0.2418143749
4.170533905,6.285078526,-6.553229332,-0.2418143749
4.172533271,6.282684326,-6.555623531,-0.2322375625
4.174533271,6.275501728,-6.574777126,-0.2418143749
4.176532604,6.275501728,-6.577171326,-0.2394201756
4.178532604,6.277895927,-6.579565525,-0.2394201756
4.180532604,6.280290127,-6.584353924,-0.2370259613
4.182531937,6.287472725,-6.601113319,-0.2394201756
4.18453207,6.275501728,-6.608295918,-0.2394201756
4.18653207,6.280290127,-6.615478516,-0.2394201756
4.188532036,6.297049522,-6.610690117,-0.2298433632
4.190532002,6.299443722,-6.608295918,-0.2370259613
4.192531968,6.304232121,-6.615478516,-0.2226607651
4.194531934,6.294655323,-6.613084316,-0.2274491638
4.1965319,6.301837921,-6.617872715,-0.2250549644
4.198531866,6.304232121,-6.610690117,-0.2226607651
4.200531832,6.294655323,-6.613084316,-0.2250549644
4.202531832,6.294655323,-6.601113319,-0.2226607651
4.204531832,6.292261124,-6.574777126,-0.2346317619
4.206531865,6.282684326,-6.558017731,-0.2274491638
4.208531898,6.285078526,-6.538864136,-0.2322375625
4.210531931,6.299443722,-6.52210474,-0.2250549644
4.212531964,6.309020519,-6.517316341,-0.2274491638
4.214531997,6.33296299,-6.512527943,-0.2298433632
4.21653203,6.340145588,-6.493374348,-0.2370259613
4.21853203,6.347328186,-6.488585949,-0.2442085743
4.220531996,6.335357189,-6.467038155,-0.2657563984
4.222531962,6.335357189,-6.459855556,-0.2705447972
4.224531928,6.373664379,-6.457461357,-0.2777273953
4.226531894,6.390423775,-6.455067158,-0.2849099934
4.22853186,6.414365768,-6.440701962,-0.2849099934
4.230531826,6.414365768,-6.40957737,-0.2801215947
4.232532459,6.421548367,-6.392817974,-0.2873041928
4.234532459,6.44549036,-6.390423775,-0.2968810201
4.236533159,6.44549036,-6.388029575,-0.2968810201
4.238532525,6.440701962,-6.378452778,-0.3040636182
4.240532558,6.44788456,-6.37127018,-0.3064578176
4.242533258,6.462249756,-6.356904984,-0.3040636182
4.244533158,6.459855556,-6.337751389,-0.323217243
4.246533191,6.469432354,-6.328174591,-0.3256114423
4.248533224,6.474220753,-6.30662632,-0.3208230138
4.250533257,6.469432354,-6.311414719,-0.323217243
4.25253239,6.455067158,-6.316203594,-0.3327940404
4.25453239,6.428730965,-6.313809395,-0.3327940404
4.25653319,6.411971569,-6.30662632,-0.3351882398
4.25853319,6.40957737,-6.289866924,-0.3447650373
4.26053319,6.400000572,-6.30662632,-0.3351882398
4.26253319,6.404788971,-6.304232121,-0.3423708379
4.26453319,6.390423775,-6.304232121,-0.3543418646
4.266533156,6.390423775,-6.318597794,-0.3543418646
4.268533122,6.385635376,-6.33296299,-0.3519476354
4.270533088,6.361693382,-6.337751389,-0.3734954596
4.272533054,6.347328186,-6.356904984,-0.3663128614
4.27453302,6.344933987,-6.356904984,-0.3639186621
4.276532986,6.340145588,-6.364087582,-0.3663128614
4.278532952,6.337751389,-6.364087582,-0.3687070608
4.280532952,6.328174591,-6.36887598,-0.3758896589
4.282532952,6.311414719,-6.373664379,-0.3639186621
4.284532985,6.320991993,-6.388029575,-0.3615244627
4.286533018,6.323386192,-6.400000572,-0.3639186621
4.288533051,6.33296299,-6.414365768,-0.3687070608
4.290533084,6.340145588,-6.435913563,-0.356736064
4.292533117,6.335357189,-6.443096161,-0.3591302633
4.29453315,6.366481781,-6.435913563,-0.3471592367
4.29653315,6.356904984,-6.438307762,-0.3399766386
4.298533816,6.337751389,-6.455067158,-0.3423708379
4.300533782,6.352116585,-6.459855556,-0.3303998411
4.302533748,6.352116585,-6.462249756,-0.3327940404
4.304533714,6.342539787,-6.469432354,-0.3184288144
4.30653368,6.344933987,-6.471826553,-0.3112462163
4.308533646,6.359299183,-6.48619175,-0.3208230138
4.310533246,6.347328186,-6.488585949,-0.3208230138
4.312534112,6.352116585,-6.490980148,-0.3256114423
4.314534112,6.356904984,-6.507739544,-0.3184288144
4.316533312,6.356904984,-6.512527943,-0.3112462163
4.318533312,6.354510784,-6.52210474,-0.3064578176
4.320533312,6.347328186,-6.502951145,-0.3040636182
4.322533078,6.342539787,-6.514922142,-0.3040636182
4.324533078,6.347328186,-6.519710541,-0.3136404157
4.326533078,6.344933987,-6.517316341,-0.316034615
4.328533078,6.340145588,-6.517316341,-0.3208230138
4.330533111,6.33056879,-6.517316341,-0.3280056417
4.332533144,6.325780392,-6.493374348,-0.3327940404
4.334533177,6.30662632,-6.495768547,-0.3399766386
4.33653321,6.304232121,-6.498162746,-0.3375824392
4.338533243,6.299443722,-6.479009151,-0.3423708379
4.340533276,6.297049522,-6.476614952,-0.3423708379
4.342533309,6.299443722,-6.469432354,-0.3591302633
4.344533309,6.30662632,-6.450278759,-0.3806780577
4.346533042,6.30662632,-6.452672958,-0.3734954596
4.348533008,6.311414719,-6.464643955,-0.3687070608
4.350532974,6.297049522,-6.452672958,-0.3758896589
4.35253294,6.282684326,-6.459855556,-0.3734954596
4.354532906,6.265924931,-6.44788456,-0.3734954596
4.356532872,6.263530731,-6.438307762,-0.3854664862
4.358532838,6.26831913,-6.44788456,-0.4094084799
4.360532838,6.270713329,-6.455067158,-0.3998316824
4.362532871,6.273107529,-6.462249756,-0.3950432837
4.364532904,6.26831913,-6.476614952,-0.390254885
4.366532937,6.263530731,-6.479009151,-0.3854664862
4.36853297,6.273107529,-6.490980148,-0.383072257
4.37053337,6.289866924,-6.479009151,-0.3758896589
4.372533403,6.294655323,-6.467038155,-0.3806780577
4.374533436,6.30662632,-6.481403351,-0.3926490843
4.376533469,6.320991993,-6.488585949,-0.390254885
4.378533469,6.325780392,-6.502951145,-0.3782838583
4.380533469,6.328174591,-6.495768547,-0.3782838583
4.382534602,6.309020519,-6.493374348,-0.3806780577
4.384534602,6.311414719,-6.517316341,-0.3782838583
4.386534602,6.320991993,-6.507739544,-0.3711012602
