"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
1.358699799E-2,5.322866187E1,1.040444874E1,3.250719261E1,-1.000000000E0,-1.000000000E0,5.500000000E1,5.500000000E1
1.358699799E-2,5.322865931E1,1.040445006E1,3.250719261E1,-1.000000000E0,-1.000000000E0,5.500000000E1,5.500000000E1
4.577469826E-1,5.322864908E1,1.040449199E1,3.254121399E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.474253058E0,5.322863538E1,1.040444701E1,3.263372421E1,-1.000000000E0,-1.000000000E0,7.300000000E1,7.300000000E1
1.817486596E1,5.322830903E1,1.040421571E1,3.242735481E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.830276406E1,5.322828922E1,1.040420220E1,3.234802437E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.004737306E1,5.322837754E1,1.040425689E1,3.241301918E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.607896197E1,5.322845120E1,1.040430276E1,3.254496193E1,-1.000000000E0,-1.000000000E0,4.461874829E1,4.461874829E1
2.650433207E1,5.322839314E1,1.040426645E1,3.253459930E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.771564007E1,5.322837472E1,1.040425495E1,3.252858353E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.923785198E1,5.322842387E1,1.040428560E1,3.256872368E1,-1.000000000E0,-1.000000000E0,3.500009493E1,3.500009493E1
4.559157097E1,5.322848581E1,1.040408495E1,3.321016121E1,-1.000000000E0,-1.000000000E0,3.715947810E1,3.715947810E1
4.692847598E1,5.322852481E1,1.040395863E1,3.370525742E1,-1.000000000E0,-1.000000000E0,3.987213307E1,3.987213307E1
