"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.083749610E-4,-4.754413147E0,4.057462463E0,8.105045471E0
9.018625016E-3,-4.860243073E0,3.921545105E0,8.279133453E0
1.894562505E-2,-4.716691589E0,3.978875885E0,8.526718597E0
2.887262503E-2,-4.391268311E0,4.105961609E0,8.438102875E0
3.879862500E-2,-4.059109039E0,4.148473206E0,8.241262207E0
4.872562503E-2,-4.040996704E0,4.180207214E0,8.087232513E0
5.865262501E-2,-4.085603943E0,4.211192780E0,8.043224030E0
6.857962505E-2,-4.040397949E0,4.010909271E0,7.754923553E0
7.850562502E-2,-4.024530945E0,3.603007507E0,7.466922455E0
8.843262505E-2,-4.120331726E0,2.947819977E0,7.558681641E0
9.835962503E-2,-4.290976868E0,2.357896729E0,7.916138306E0
1.082866250E-1,-4.317172394E0,2.040257263E0,8.114924927E0
1.182126250E-1,-4.231999512E0,2.086062012E0,7.793692932E0
1.281396250E-1,-4.237837372E0,2.377505951E0,7.421117706E0
1.380666250E-1,-4.094285889E0,2.562820587E0,7.254813538E0
1.479936250E-1,-3.972439270E0,2.654130707E0,7.307054901E0
1.579196251E-1,-3.747457123E0,2.606230316E0,7.038363647E0
1.678466250E-1,-3.114872589E0,2.418520660E0,6.855294342E0
1.777736250E-1,-2.441722412E0,1.764530640E0,6.691834259E0
1.877006250E-1,-2.198627930E0,8.336164856E-1,6.398444366E0
1.976276250E-1,-2.264490967E0,7.749385071E-1,6.330036621E0
2.075536250E-1,-1.934277649E0,5.035528564E-1,6.499484253E0
2.174806250E-1,-1.734293518E0,2.549198914E-1,6.369554443E0
2.274076250E-1,-1.866019592E0,1.359173584E-1,6.818321228E0
2.373346250E-1,-2.189047852E0,-3.293151855E-3,7.309300232E0
2.472606250E-1,-1.977837067E0,-1.841171265E-1,7.500153351E0
2.571876250E-1,-1.724563751E0,-4.351451111E-1,6.937473450E0
2.671146250E-1,-1.832189941E0,-9.383985901E-1,6.675518188E0
2.770416250E-1,-2.339035950E0,-1.564546509E0,6.519841919E0
2.869676250E-1,-2.587070160E0,-1.945803680E0,6.227200470E0
2.968946250E-1,-2.544408875E0,-2.188299408E0,5.929918671E0
3.068216250E-1,-2.261048126E0,-2.463876343E0,5.806724854E0
3.167486250E-1,-2.066452789E0,-2.779569855E0,5.624703369E0
3.266756251E-1,-1.930086365E0,-3.073708191E0,5.479056244E0
3.366016250E-1,-1.877096558E0,-3.343297577E0,5.581742706E0
3.465286250E-1,-1.885778503E0,-3.519032135E0,5.603746948E0
3.564556250E-1,-2.037562866E0,-3.564537506E0,5.304070129E0
3.663826250E-1,-2.155667267E0,-4.289929047E0,6.331982574E0
3.763086250E-1,-2.233804779E0,-5.507796478E0,6.766229553E0
3.862356250E-1,-2.598296814E0,-6.632707214E0,6.655459900E0
3.961626251E-1,-3.113974457E0,-7.428751831E0,6.195765839E0
4.060896250E-1,-3.728296967E0,-7.749684448E0,5.948031006E0
4.160156250E-1,-4.411925354E0,-7.734266510E0,6.198160858E0
4.259426250E-1,-4.968168640E0,-7.799081726E0,6.738088074E0
4.358696250E-1,-5.439987488E0,-8.005652161E0,7.435637512E0
4.457966250E-1,-5.646408234E0,-8.172854462E0,7.682025146E0
4.557226250E-1,-5.809568939E0,-8.663534088E0,7.752528534E0
4.656496251E-1,-6.427933044E0,-9.565708008E0,7.943830719E0
4.755766250E-1,-7.577991486E0,-1.054018158E1,8.025560760E0
4.855036250E-1,-8.979526978E0,-1.138727005E1,8.148904266E0
