"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.507085800E-3,5.322833333E1,1.040417555E1,3.389964104E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
7.507085800E-3,5.322833292E1,1.040417565E1,3.387272263E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
4.418890476E-1,5.322836232E1,1.040448752E1,3.386984444E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
6.453913093E0,5.322833469E1,1.040421424E1,3.385343170E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
6.860647082E0,5.322835866E1,1.040444876E1,3.380556297E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.338553703E1,5.322833311E1,1.040418279E1,3.375974083E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
1.953548801E1,5.322832954E1,1.040414491E1,3.373184776E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
2.577711010E1,5.322833100E1,1.040416002E1,3.372049904E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
2.619975400E1,5.322833175E1,1.040416789E1,3.373177338E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
3.316714108E1,5.322833213E1,1.040417182E1,3.373836517E1,-1.000000000E0,-1.000000000E0,4.200000000E1,4.200000000E1
4.042712903E1,5.322858687E1,1.040446695E1,3.313426971E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.225115502E1,5.322865723E1,1.040454847E1,3.277480698E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
