"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-9.643333033E-4,-4.369114380E0,3.033591614E0,8.188721466E0
8.962666674E-3,-4.522994385E0,3.482807465E0,8.398435364E0
1.888966665E-2,-4.639003143E0,3.290457458E0,8.547076263E0
2.881666669E-2,-4.678520966E0,2.980302429E0,8.173004150E0
3.874366666E-2,-4.627327423E0,3.066074066E0,7.961344299E0
4.867066664E-2,-4.510719910E0,3.279530182E0,7.989186401E0
5.859766668E-2,-4.353546753E0,3.379821625E0,7.818541260E0
6.852466665E-2,-4.465364227E0,3.373085632E0,8.153245239E0
7.845166669E-2,-4.684358826E0,3.246448975E0,7.171586609E0
8.837866667E-2,-4.688550110E0,3.279979248E0,5.875581665E0
9.830566664E-2,-4.988376617E0,2.151326294E0,8.492888947E0
1.082329167E-1,-4.974455566E0,2.158062286E0,8.143515472E0
1.181599167E-1,-4.954397278E0,2.690804443E0,7.250771942E0
1.280869167E-1,-5.214556274E0,3.228785706E0,6.635401611E0
1.380129167E-1,-5.204826508E0,3.632795563E0,6.387816467E0
1.479399166E-1,-4.858746185E0,3.569626923E0,6.354735260E0
1.578669167E-1,-4.260140991E0,3.241658936E0,8.589438171E0
1.677939167E-1,-4.998854828E0,2.788102112E0,1.253283783E1
1.777209167E-1,-5.553152161E0,3.427272949E0,1.123398880E1
1.876479167E-1,-5.373825073E0,4.245172119E0,8.345445557E0
1.975749166E-1,-5.113067322E0,4.214635620E0,7.791447601E0
2.075019167E-1,-4.774172058E0,3.710933075E0,7.644153900E0
2.174289167E-1,-4.681664429E0,3.158432007E0,7.417076111E0
2.273559167E-1,-4.799469452E0,2.978057098E0,7.438631287E0
2.372829167E-1,-4.757406921E0,3.151845703E0,7.945776672E0
2.472099166E-1,-4.520749054E0,3.556304626E0,7.985444183E0
2.571369167E-1,-4.680317230E0,4.063450012E0,7.472161560E0
2.670639167E-1,-5.023852844E0,4.307292938E0,6.985673218E0
2.769909167E-1,-5.328918457E0,4.233496399E0,7.059320068E0
2.869179167E-1,-5.745651855E0,4.215683441E0,6.910230103E0
2.968449167E-1,-6.061195679E0,4.614454193E0,6.555916901E0
3.067719167E-1,-7.062762909E0,4.460125122E0,7.746241608E0
3.166989167E-1,-8.072113953E0,3.845952301E0,8.433462524E0
3.266259166E-1,-8.288414154E0,3.063080292E0,7.792196045E0
3.365529167E-1,-7.453300781E0,2.405048676E0,7.227121124E0
3.464799167E-1,-3.335064697E0,2.398162994E0,7.271878052E0
3.564069167E-1,-1.391955414E0,2.772684174E0,7.820487213E0
3.663339167E-1,-2.575544128E0,2.644700317E0,8.470884705E0
3.762609166E-1,-2.872975616E0,2.027234344E0,7.261100464E0
3.861879167E-1,-3.139720917E0,1.295855255E0,5.667364655E0
3.961149167E-1,-3.511697388E0,5.484594727E-1,5.561085663E0
4.060419167E-1,-3.888463898E0,-7.634124756E-2,5.348078613E0
4.159689167E-1,-3.670517120E0,-4.902305603E-1,4.730163574E0
4.258959166E-1,-1.428180084E0,-1.337468719E0,4.100273438E0
4.358229167E-1,-1.434017944E0,-1.851050720E0,3.429667969E0
4.457499167E-1,-1.150058441E0,-1.806293793E0,4.240082703E0
4.556769167E-1,-7.530839539E-1,-1.339414673E0,4.675377502E0
4.656039167E-1,5.388793945E-3,-1.550775146E0,5.375172272E0
4.755309167E-1,1.522334290E-1,-1.912872162E0,5.004992065E0
4.854579167E-1,6.451583862E-2,-2.209854584E0,5.160668335E0
4.953849167E-1,-2.366578674E-1,-2.759062500E0,5.147944794E0
5.053119167E-1,-5.029541016E-1,-3.438200226E0,4.952601013E0
5.152389167E-1,-8.408015442E-1,-4.264481964E0,4.820725250E0
5.251659167E-1,-1.635948029E0,-5.319637756E0,4.911735992E0
5.350929167E-1,-2.534679108E0,-6.439010010E0,4.846471710E0
5.450199167E-1,-3.220103760E0,-7.255711670E0,4.899611206E0
5.549459167E-1,-4.176764374E0,-7.592511292E0,5.425168304E0
5.648729167E-1,-5.341192932E0,-7.722141724E0,6.086493073E0
5.747999166E-1,-6.487509155E0,-7.895032196E0,6.649023285E0
5.847269167E-1,-7.573650513E0,-8.244555359E0,6.865323486E0
5.946539167E-1,-8.430768127E0,-8.594377899E0,7.014862518E0
6.045809167E-1,-9.107510834E0,-8.782536621E0,7.119045868E0
6.145079167E-1,-9.766590271E0,-8.822204132E0,7.052883453E0
6.244349167E-1,-1.054167847E1,-9.123976593E0,6.894213409E0
6.343619167E-1,-1.125464584E1,-9.709259491E0,7.033423920E0
6.442889167E-1,-1.164159119E1,-1.008033783E1,7.299271088E0
6.542159166E-1,-1.181523010E1,-1.003707779E1,7.766449585E0
6.641429167E-1,-1.189381668E1,-9.672885132E0,7.817643127E0
6.740699167E-1,-1.214424591E1,-9.427994385E0,7.503745880E0
6.839969167E-1,-1.239287888E1,-9.667346649E0,7.307354279E0
6.939239167E-1,-1.254825577E1,-1.015173935E1,6.989714813E0
7.038509166E-1,-1.261845978E1,-1.033435959E1,6.763535156E0
7.137779167E-1,-1.267983215E1,-1.026610153E1,6.585405579E0
7.237049167E-1,-1.258253448E1,-1.018407211E1,6.132597198E0
7.336319167E-1,-1.223795105E1,-9.990374908E0,5.824537811E0
7.435589167E-1,-1.171763306E1,-9.559720459E0,5.597759399E0
