Time (s),X (m/s^2),Y (m/s^2),Z (m/s^2)
4.001738042,-1372.8330420863595,-1512.7698510219848,4260.7269289353435
4.011665042,-1275.623472735289,-1499.80257210384,4237.412600285957
4.021592042,-1178.7929021545012,-1486.859297158211,4214.112173415509
4.031520042,-1082.3413733956013,-1473.940230777422,4190.826037447422
4.041447042,-986.2689226458887,-1461.0455763206144,4167.554578976798
4.051374042,-890.5755791624141,-1448.1755359136937,4144.298182156021
4.061301042,-795.2613652033551,-1435.3303104494519,4121.05722877786
4.071229042,-700.3262959568774,-1422.5100995878831,4097.832098356127
4.081156042,-605.7703794676501,-1409.7151017566923,4074.623168203936
4.091083042,-511.59361656118483,-1396.9455141519925,4051.4308135096653
4.101011042,-417.79600076616975,-1384.2015327391787,4028.255407410701
4.110938042,-324.3775182349738,-1371.483352253959,4005.0973210650286
4.120865042,-231.33814766250308,-1358.7911662035174,3981.95692372073
4.130793042,-138.6778602035913,-1346.1251668677698,3958.8345827834414
4.140720042,-46.39661938910908,-1333.4855453006903,3935.7306638817713
4.150647042,45.50561895902025,-1320.872491331684,3912.6455309306934
4.160575042,137.02890681370377,-1308.2861935669998,3889.5795461929592
4.170502042,228.1733040292656,-1295.7268393911845,3866.5330703385594
4.180429042,318.93887842853826,-1283.1946149685796,3843.5064625022674
4.190357042,409.3257058902566,-1270.6897052448523,3820.5000803392877
4.200284042,499.33387043654716,-1258.2122939485446,3797.5142800790363
4.210211042,588.9634643203044,-1245.7625635926258,3774.5494165770447
4.220139042,678.2145881122418,-1233.3406954760335,3751.605843364971
4.230066042,767.0873507874046,-1220.9468696851816,3728.6839126987015
4.239994042,855.5818698109268,-1208.5812650954242,3705.7839756045096
4.249921042,943.6982712228164,-1196.2440593724589,3682.906381923243
4.259848042,1031.4366897215505,-1183.935428973657,3660.051480352532
4.269776042,1118.7972687462618,-1171.6555491493039,3637.219618487039
4.279703042,1205.7801605572918,-1159.4045939437485,3614.4111428567817
4.289630042,1292.3855263148862,-1147.1827361964604,3591.6263989635654
4.299558042,1378.6135361558015,-1134.990147542992,3568.865731315535
4.309485042,1464.4643692675943,-1122.8269984158585,3546.1294834598943
4.319412042,1549.9382139603554,-1110.6934580453335,3523.4179980137956
4.329340042,1635.0352677356411,-1098.5896944601616,3500.7316166933933
4.339267042,1719.755737352364,-1086.5158744881883,3478.0706803410994
4.349194042,1804.0998388894102,-1074.4721637569003,3455.435528951074
4.359122042,1888.0677978047522,-1062.458726693865,3432.826501692994
4.369049042,1971.6598489908347,-1050.4757265270641,3410.243936934123
4.378976042,2054.876236826028,-1038.5233252851126,3387.6881722597072
4.388904042,2137.7172152219473,-1026.6016837973525,3365.159544491716
4.398831042,2220.1830476664413,-1014.7109616938128,3342.658389705941
4.408758042,2302.274007262077,-1002.8513174050216,3320.185043247455
4.418686042,2383.9903767599267,-991.0229081616544,3297.7398397444326
4.428613042,2465.332448588495,-979.2258899940055,3275.323113120316
4.438540042,2546.3005248776,-967.4604177312723,3252.935196604324
