"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.478095000E-3,-4.783252239E0,2.967100143E0,7.013363361E0
8.327679000E-3,-4.783252239E0,2.921636343E0,7.209574699E0
1.317752200E-2,-4.649254322E0,3.022135019E0,7.621140003E0
1.802736600E-2,-4.508078098E0,3.249453068E0,8.051848412E0
2.287721000E-2,-4.433900356E0,3.471985579E0,8.394021988E0
2.772705400E-2,-4.421936035E0,3.692125320E0,8.712266922E0
3.257689700E-2,-4.462614059E0,3.835694790E0,8.953942299E0
3.742674100E-2,-4.491328239E0,3.862015724E0,9.152546883E0
4.227658500E-2,-4.479363918E0,3.787838221E0,9.284152031E0
4.712642900E-2,-4.388436794E0,3.699303865E0,9.320044518E0
5.197627200E-2,-4.376472473E0,3.567698479E0,9.303294182E0
5.682611600E-2,-4.314259052E0,3.381058455E0,9.212367058E0
6.167596000E-2,-4.256831646E0,3.117847919E0,8.977870941E0
6.652580400E-2,-4.086941242E0,2.931207657E0,8.769695282E0
7.137564700E-2,-3.964907169E0,2.852244616E0,8.484949112E0
7.622549100E-2,-4.063013077E0,2.806781054E0,8.283951759E0
8.107533500E-2,-4.211368084E0,2.919243574E0,8.152346611E0
8.592517900E-2,-4.362115860E0,3.081955671E0,8.051848412E0
9.077497000E-2,-4.443471432E0,3.160918713E0,8.044670105E0
9.562481400E-2,-4.457828522E0,3.170490026E0,8.054241180E0
1.004746580E-1,-4.321437836E0,3.136990547E0,8.142775536E0
1.053245020E-1,-4.170690060E0,3.103491068E0,8.257631302E0
1.101743450E-1,-4.022335052E0,3.120240688E0,8.365307808E0
1.150241890E-1,-3.907479286E0,3.144168854E0,8.480163574E0
1.198740330E-1,-3.919443607E0,3.160918713E0,8.609375954E0
1.247238770E-1,-3.962514400E0,3.232703447E0,8.760123253E0
1.295737200E-1,-3.993621111E0,3.270988464E0,8.855836868E0
1.344235640E-1,-4.007977962E0,3.314059258E0,8.894122124E0
1.392734080E-1,-3.974478483E0,3.330809116E0,8.915657043E0
1.441232520E-1,-3.931407690E0,3.314059258E0,8.843872070E0
1.489730950E-1,-3.656233072E0,3.345165968E0,8.733802795E0
1.538229390E-1,-3.649054527E0,3.285345554E0,8.638090134E0
1.586727830E-1,-3.610769272E0,3.244667530E0,8.542376518E0
1.635226270E-1,-3.675375462E0,3.141776085E0,8.496912956E0
1.683724700E-1,-3.742374659E0,3.038884640E0,8.403593063E0
1.732222620E-1,-3.751945972E0,2.912065268E0,8.348558426E0
1.780721060E-1,-3.818944931E0,2.816352367E0,8.293522835E0
1.829219500E-1,-3.893122435E0,2.754138947E0,8.274380684E0
1.877717930E-1,-4.005585194E0,2.679961443E0,8.281558990E0
1.926216370E-1,-4.007977962E0,2.718246460E0,8.288737297E0
1.974714810E-1,-3.876372576E0,2.840280533E0,8.322237015E0
2.023213250E-1,-3.756731510E0,3.000599623E0,8.398807526E0
2.071711680E-1,-3.625126362E0,3.163311481E0,8.496912956E0
2.120210120E-1,-3.538984776E0,3.376272678E0,8.635697365E0
2.168708560E-1,-3.436093330E0,3.527020693E0,8.774480820E0
2.217207000E-1,-3.318845034E0,3.637090445E0,8.872586250E0
2.265705430E-1,-3.287738323E0,3.689732552E0,8.930013657E0
2.314203870E-1,-3.347558975E0,3.656233072E0,8.949156761E0
2.362702310E-1,-3.503092289E0,3.608376503E0,8.949156761E0
2.411200750E-1,-3.751945972E0,3.613162279E0,8.982656479E0
2.458774180E-1,-4.005585194E0,3.739981890E0,9.075976372E0
2.506322100E-1,-4.163511276E0,3.917050600E0,9.265008926E0
2.553870020E-1,-4.189832687E0,4.034298897E0,9.422935486E0
2.601417930E-1,-3.651447296E0,4.156332970E0,9.379864693E0
2.648965850E-1,-3.093919754E0,4.175475597E0,9.262616158E0
2.696513770E-1,-2.737389088E0,4.019941807E0,9.255437851E0
2.744061680E-1,-2.545963287E0,3.610769272E0,9.166903496E0
2.791609600E-1,-2.356930256E0,3.187239647E0,8.870193481E0
2.839157520E-1,-2.225325108E0,2.854637384E0,8.542376518E0
2.886705430E-1,-2.268395901E0,2.596212626E0,8.322237015E0
2.934253350E-1,-2.471785784E0,2.545963287E0,8.121239662E0
2.981800750E-1,-2.756531715E0,2.591426849E0,8.063812256E0
3.029348660E-1,-3.034099102E0,2.682354212E0,8.054241180E0
3.076896580E-1,-3.402593851E0,2.904886723E0,8.121239662E0
3.124444500E-1,-3.718446493E0,3.074777126E0,8.281558990E0
3.171992410E-1,-3.914657831E0,3.266202927E0,8.525627136E0
3.219540330E-1,-3.974478483E0,3.395415306E0,8.707481384E0
3.267088250E-1,-3.862015724E0,3.412165165E0,8.810373306E0
3.314636160E-1,-3.701696634E0,3.414557934E0,8.891729355E0
3.362184080E-1,-3.570091486E0,3.421736479E0,8.965906143E0
3.409732000E-1,-3.275774240E0,3.311666489E0,9.018548965E0
3.457279910E-1,-2.995813847E0,3.129812002E0,9.025727272E0
3.504827310E-1,-2.744567633E0,2.957528830E0,8.939585686E0
3.552375220E-1,-2.490928411E0,2.813959360E0,8.836693764E0
3.599923140E-1,-2.335394859E0,2.644068956E0,8.726624489E0
3.647471060E-1,-2.184647083E0,2.488535643E0,8.630910873E0
3.695018970E-1,-2.143969059E0,2.376072884E0,8.532805443E0
3.742566890E-1,-2.143969059E0,2.313859463E0,8.487341881E0
3.790114810E-1,-2.182254314E0,2.282752752E0,8.535198212E0
3.837662720E-1,-2.244467735E0,2.287538528E0,8.650053978E0
3.885210640E-1,-2.309073925E0,2.301895380E0,8.748159409E0
3.932758560E-1,-2.428714991E0,2.388036966E0,8.848658562E0
3.980306470E-1,-2.550748825E0,2.459821701E0,9.001798630E0
4.027853870E-1,-2.644068956E0,2.476571321E0,9.128618240E0
4.075401790E-1,-2.744567633E0,2.500499725E0,9.224330902E0
4.122949700E-1,-2.818745136E0,2.500499725E0,9.324830055E0
4.170497620E-1,-2.928814888E0,2.486142635E0,9.406186104E0
4.218045540E-1,-3.007778168E0,2.445464849E0,9.449256897E0
4.265593450E-1,-3.125026464E0,2.383251429E0,9.468399048E0
4.313141370E-1,-3.266202927E0,2.344966173E0,9.434899330E0
4.360689290E-1,-3.364308596E0,2.268395901E0,9.430113792E0
4.408237200E-1,-3.481556892E0,2.258824587E0,9.430113792E0
4.455784600E-1,-3.553341627E0,2.230110645E0,9.497113228E0
4.503332520E-1,-3.637090445E0,2.242074728E0,9.614361763E0
4.550880430E-1,-3.646661758E0,2.210968018E0,9.678967476E0
4.598428350E-1,-3.672982693E0,2.222932339E0,9.741181374E0
4.645976270E-1,-3.649054527E0,2.237289190E0,9.750752449E0
4.693524180E-1,-3.610769272E0,2.232503414E0,9.781859398E0
4.741072100E-1,-3.584448338E0,2.246860504E0,9.755537987E0
4.788620020E-1,-3.469592810E0,2.263610125E0,9.726823807E0
4.836167930E-1,-3.270988464E0,2.227717876E0,9.671789169E0
4.883715330E-1,-3.086741209E0,2.191825628E0,9.604789734E0
4.931263250E-1,-2.912065268E0,2.230110645E0,9.504291534E0
4.978811160E-1,-2.833101988E0,2.289931297E0,9.379864693E0
5.026359080E-1,-2.785245657E0,2.368894339E0,9.241081238E0
5.073907000E-1,-2.775674343E0,2.507678032E0,9.121439934E0
5.121454910E-1,-2.809173822E0,2.615355253E0,8.982656479E0
5.169002830E-1,-2.849851847E0,2.711068153E0,8.882157326E0
5.216550220E-1,-2.868994236E0,2.828316450E0,8.805587769E0
5.264098140E-1,-2.837887764E0,2.868994236E0,8.788837433E0
5.311646060E-1,-2.744567633E0,2.656033039E0,8.738588333E0
5.359193970E-1,-2.483749866E0,2.627319336E0,8.683553696E0
5.406741890E-1,-2.553141832E0,2.663211584E0,8.702695847E0
5.454289810E-1,-2.801995277E0,2.732603550E0,8.798408508E0
5.501837720E-1,-2.947957516E0,2.825923443E0,8.798408508E0
5.549385640E-1,-3.005385160E0,2.959921598E0,8.745766640E0
5.596933040E-1,-2.974278450E0,3.074777126E0,8.781659126E0
5.644480950E-1,-2.895315409E0,3.036491871E0,8.810373306E0
5.692028870E-1,-2.727817774E0,2.995813847E0,8.803194046E0
5.739576790E-1,-2.493321180E0,2.912065268E0,8.870193481E0
5.787124700E-1,-2.447857618E0,2.837887764E0,8.985049248E0
5.834672620E-1,-2.392822742E0,2.536391973E0,8.920442581E0
5.882220540E-1,-2.483749866E0,2.531606436E0,8.891729355E0
