"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
7.207679000E-3,-9.712749720E-2,-2.743546367E-1,-2.494619042E-1
1.205752200E-2,-1.739437431E-1,-3.728565872E-1,-2.050978541E-1
1.690736600E-2,-2.325867712E-1,-4.461603761E-1,-1.641699076E-1
2.175721000E-2,-2.698495090E-1,-4.919752181E-1,-1.281288862E-1
2.660705400E-2,-2.881754637E-1,-5.090794563E-1,-1.024725661E-1
3.145689700E-2,-2.906189263E-1,-5.048033595E-1,-8.231402934E-2
3.630674100E-2,-2.790125012E-1,-4.931969643E-1,-6.520981342E-2
4.115658500E-2,-2.582430840E-1,-4.767036140E-1,-5.543597788E-2
4.600642900E-2,-2.331976295E-1,-4.504364133E-1,-5.971203372E-2
5.085627200E-2,-2.038761228E-1,-4.119519293E-1,-7.315105945E-2
5.570611600E-2,-1.702785641E-1,-3.691914082E-1,-8.720094711E-2
6.055596000E-2,-1.366809905E-1,-3.362047076E-1,-9.758564830E-2
6.540580400E-2,-1.128572673E-1,-3.252091408E-1,-9.880737960E-2
7.025564700E-2,-1.000291109E-1,-3.319286406E-1,-1.018617004E-1
7.510549100E-2,-1.036942974E-1,-3.410916328E-1,-1.116355360E-1
7.995533500E-2,-1.159115955E-1,-3.380373120E-1,-1.116355360E-1
8.480517900E-2,-1.354592592E-1,-3.307069242E-1,-1.006399691E-1
8.965497000E-2,-1.556178033E-1,-3.325395286E-1,-7.803797722E-2
9.450481400E-2,-1.751654744E-1,-3.465894163E-1,-4.810560122E-2
9.935465800E-2,-1.892153621E-1,-3.710239828E-1,-1.756236330E-2
1.042045020E-1,-1.983783394E-1,-4.009563625E-1,6.872228812E-3
1.090543450E-1,-1.996000707E-1,-4.345539212E-1,1.786779426E-2
1.139041890E-1,-1.922696829E-1,-4.681515098E-1,1.664606482E-2
1.187540330E-1,-1.763872057E-1,-4.980838597E-1,7.483093534E-3
1.236038770E-1,-1.513417512E-1,-5.261836648E-1,-4.734201822E-3
1.284537200E-1,-1.201876476E-1,-5.530617237E-1,-1.634063199E-2
1.333035640E-1,-8.659008145E-2,-5.799397230E-1,-3.161225095E-2
1.381534080E-1,-5.299251899E-2,-6.062069535E-1,-4.688387364E-2
1.430032520E-1,-2.061668597E-2,-6.227002740E-1,-6.459894776E-2
1.478530950E-1,4.428769462E-3,-6.275871992E-1,-8.597921580E-2
1.527029390E-1,2.397644334E-2,-6.233111620E-1,-1.183550507E-1
1.575527830E-1,3.680460155E-2,-6.074286699E-1,-1.488982886E-1
1.624026270E-1,4.657844082E-2,-5.915461779E-1,-1.788306683E-1
1.672524700E-1,4.963276163E-2,-5.787180066E-1,-2.020435184E-1
1.721022620E-1,4.718930274E-2,-5.726093650E-1,-2.160934210E-1
1.769521060E-1,4.046979174E-2,-5.707767606E-1,-2.179260105E-1
1.818019500E-1,2.947422490E-2,-5.713876486E-1,-2.075413018E-1
1.866517930E-1,1.725693047E-2,-5.713876486E-1,-1.824958473E-1
1.915016370E-1,4.428769462E-3,-5.732202530E-1,-1.446222365E-1
1.963514810E-1,-1.084284950E-2,-5.793288946E-1,-1.049160287E-1
2.012013250E-1,-2.794706449E-2,-5.848266482E-1,-7.070759684E-2
2.060511680E-1,-4.260781780E-2,-5.829941034E-1,-4.749473557E-2
2.109010120E-1,-5.482511222E-2,-5.762745738E-1,-3.039052337E-2
2.157508560E-1,-6.215549260E-2,-5.652790070E-1,-2.183841541E-2
2.206007000E-1,-6.276635826E-2,-5.463421941E-1,-2.000582218E-2
2.254505430E-1,-6.093376130E-2,-5.145772099E-1,-2.550360374E-2
2.303003870E-1,-5.849030241E-2,-4.712058306E-1,-3.588830680E-2
2.351502310E-1,-5.482511222E-2,-4.205040336E-1,-4.749473557E-2
2.400000750E-1,-5.177079141E-2,-3.759109080E-1,-5.726857483E-2
2.447574180E-1,-4.627300799E-2,-3.478111327E-1,-6.459894776E-2
2.495122100E-1,-3.466657549E-2,-3.417024910E-1,-7.009673119E-2
2.542670020E-1,-1.206457894E-2,-3.514763117E-1,-8.109229803E-2
2.590217930E-1,2.153298259E-2,-3.612501621E-1,-1.091920808E-1
2.637765850E-1,5.818486959E-2,-3.581958413E-1,-1.702785641E-1
2.685313770E-1,9.789107740E-2,-3.520871997E-1,-2.539670467E-1
2.732861680E-1,1.443168074E-1,-3.869064748E-1,-3.254382014E-1
2.780409600E-1,1.852447391E-1,-4.241692424E-1,-3.938550651E-1
2.827957520E-1,2.060141414E-1,-4.461603761E-1,-4.689914286E-1
2.875505430E-1,2.072358727E-1,-4.748710096E-1,-5.441278219E-1
2.923053350E-1,1.913533956E-1,-5.121337771E-1,-6.058251262E-1
2.970600750E-1,1.608101577E-1,-5.506182313E-1,-6.461422443E-1
3.018148660E-1,1.217148080E-1,-5.878809690E-1,-6.638572812E-1
3.065696580E-1,7.162389904E-2,-6.245328784E-1,-6.583595276E-1
3.113244500E-1,1.786779426E-2,-6.642391086E-1,-6.327031851E-1
3.160792410E-1,-3.527744114E-2,-7.112756968E-1,-5.929969549E-1
3.208340330E-1,-7.742711157E-2,-7.528144717E-1,-5.484038591E-1
3.255888250E-1,-1.067486182E-1,-7.741947770E-1,-5.074759126E-1
3.303436160E-1,-1.232419685E-1,-7.748056054E-1,-4.793761373E-1
3.350984080E-1,-1.311832070E-1,-7.583122849E-1,-4.641045034E-1
3.398532000E-1,-1.372918636E-1,-7.454841137E-1,-4.549415410E-1
3.446079910E-1,-1.427896470E-1,-7.540361881E-1,-4.573850036E-1
3.493627310E-1,-1.513417512E-1,-7.821359634E-1,-4.702131748E-1
3.541175220E-1,-1.641699076E-1,-8.181769848E-1,-4.915934205E-1
3.588723140E-1,-1.812741160E-1,-8.438333273E-1,-5.160280466E-1
3.636271060E-1,-1.996000707E-1,-8.474985361E-1,-5.435169339E-1
3.683818970E-1,-2.234237939E-1,-8.255074024E-1,-5.697841048E-1
3.731366890E-1,-2.515235841E-1,-7.858011723E-1,-5.923861265E-1
3.778914810E-1,-2.832885385E-1,-7.314342260E-1,-6.070469022E-1
3.826462720E-1,-3.138317764E-1,-6.679042578E-1,-6.107120514E-1
3.874010640E-1,-3.425424397E-1,-6.019308567E-1,-6.021599770E-1
3.921558560E-1,-3.688096106E-1,-5.384009480E-1,-5.868883133E-1
3.969106470E-1,-3.908007443E-1,-4.693732262E-1,-5.624537468E-1
4.016653870E-1,-4.066832364E-1,-3.985128999E-1,-5.306887627E-1
4.064201790E-1,-4.182896614E-1,-3.252091408E-1,-4.952586293E-1
4.111749700E-1,-4.231765866E-1,-2.482401729E-1,-4.579958618E-1
4.159297620E-1,-4.231765866E-1,-1.773798615E-1,-4.225656986E-1
4.206845540E-1,-4.207331240E-1,-1.120173261E-1,-3.895790279E-1
4.254393450E-1,-4.152353406E-1,-5.215258151E-2,-3.590357602E-1
4.301941370E-1,-4.085158110E-1,-1.450803829E-3,-3.291034102E-1
4.349489290E-1,-4.030180275E-1,3.520108387E-2,-3.003927469E-1
4.397037200E-1,-3.969093859E-1,5.230529606E-2,-2.692386508E-1
4.444584600E-1,-3.859138191E-1,5.658135191E-2,-2.350302190E-1
4.492132520E-1,-3.669770062E-1,4.986183718E-2,-1.959348768E-1
4.539680430E-1,-3.352120519E-1,3.825540841E-2,-1.550069451E-1
4.587228350E-1,-2.942841053E-1,2.420551702E-2,-1.140789986E-1
4.634776270E-1,-2.435823381E-1,1.382081583E-2,-7.315105945E-2
4.682324180E-1,-1.843284518E-1,2.825249685E-3,-3.283398226E-2
4.729872100E-1,-1.189659163E-1,-3.894262947E-3,1.527161949E-4
4.777420020E-1,-4.566214234E-2,-8.170315996E-3,2.764163166E-2
4.824967930E-1,2.825249545E-2,-1.000291109E-2,4.657844082E-2
4.872515330E-1,9.666935354E-2,-1.611155830E-2,5.574141070E-2
4.920063250E-1,1.559232324E-1,-2.771798894E-2,5.879573524E-2
4.967611160E-1,2.029598206E-1,-4.176788032E-2,5.696314201E-2
5.015159080E-1,2.359465212E-1,-5.337430909E-2,5.513054505E-2
5.062707000E-1,2.573267817E-1,-5.642863363E-2,5.329795182E-2
5.110254910E-1,2.671006322E-1,-5.215258151E-2,5.024362728E-2
5.157802830E-1,2.652680278E-1,-4.298960790E-2,4.596757516E-2
5.205350220E-1,2.536616027E-1,-3.688096255E-2,4.230238497E-2
5.252898140E-1,2.390008420E-1,-3.871355578E-2,3.558287397E-2
5.300446060E-1,2.243400961E-1,-4.665479809E-2,2.458730713E-2
5.347993970E-1,2.060141414E-1,-5.826122686E-2,6.872228812E-3
5.395541890E-1,1.852447391E-1,-8.391755074E-2,-1.756236330E-2
5.443089810E-1,1.669187993E-1,-1.346193254E-1,-4.138609022E-2
5.490637720E-1,1.547015011E-1,-2.030361742E-1,-4.993819445E-2
5.538185640E-1,1.449276656E-1,-2.574031353E-1,-5.054906011E-2
5.585733040E-1,1.388190240E-1,-2.665661275E-1,-6.276635826E-2
5.633280950E-1,1.339320987E-1,-2.476293147E-1,-8.659008145E-2
5.680828870E-1,1.259908676E-1,-2.183077931E-1,-1.207985133E-1
5.728376790E-1,1.131627038E-1,-1.926514804E-1,-1.678351015E-1
5.775924700E-1,9.178243577E-2,-1.981492639E-1,-2.240346521E-1
5.823472620E-1,6.673697382E-2,-2.445749789E-1,-2.692386508E-1
5.871020540E-1,3.436114267E-2,-3.136027157E-1,-3.003927469E-1
5.918568450E-1,-1.069013379E-3,-3.862956166E-1,-3.193295598E-1
5.966115850E-1,-3.527744114E-2,-4.376082420E-1,-3.248273432E-1
6.013663770E-1,-6.643154472E-2,-4.339430630E-1,-3.168860972E-1
6.061211680E-1,-9.575305134E-2,-3.795761168E-1,-2.997818887E-1
6.108759600E-1,-1.201876476E-1,-2.940550447E-1,-2.784016132E-1
6.156307520E-1,-1.415679157E-1,-2.067013681E-1,-2.576322258E-1
6.203855430E-1,-1.568395346E-1,-1.468366235E-1,-2.417497337E-1
6.251403350E-1,-1.629481763E-1,-1.236237586E-1,-2.319758981E-1
6.298950750E-1,-1.550069451E-1,-1.401171088E-1,-2.209803313E-1
6.346498660E-1,-1.366809905E-1,-1.712712198E-1,-2.050978541E-1
