"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.618554300E-2,1.151250076E1,9.018750191E0,-2.771250153E1
3.618554300E-2,1.198125076E1,8.737500191E0,-2.756250191E1
4.618554300E-2,1.235625076E1,8.681250572E0,-2.731875038E1
5.618554300E-2,1.269375038E1,8.756250381E0,-2.715000153E1
6.618554300E-2,1.275000095E1,9.018750191E0,-2.690625191E1
7.618554300E-2,1.288125038E1,9.281250000E0,-2.707500076E1
8.618554300E-2,1.295625019E1,9.468750000E0,-2.700000191E1
9.618554300E-2,1.306875038E1,9.675000191E0,-2.692500114E1
1.061855430E-1,1.320000076E1,9.637500763E0,-2.692500114E1
1.161855430E-1,1.314375019E1,9.956250191E0,-2.688750076E1
1.261855430E-1,1.295625019E1,1.010625076E1,-2.698125076E1
1.361855430E-1,1.280625057E1,9.975000381E0,-2.722500038E1
1.461855430E-1,1.276875019E1,9.843750000E0,-2.746875191E1
1.561855430E-1,1.267500019E1,9.656250000E0,-2.731875038E1
1.661855430E-1,1.254375076E1,9.618750572E0,-2.718750191E1
1.761855430E-1,1.231875038E1,9.468750000E0,-2.728125191E1
1.861855430E-1,1.218750095E1,9.300000191E0,-2.737500191E1
1.961855430E-1,1.194375038E1,9.281250000E0,-2.741250038E1
2.061855430E-1,1.156875038E1,9.112500191E0,-2.752500153E1
2.161855430E-1,1.162500000E1,9.056250572E0,-2.746875191E1
2.261855430E-1,1.151250076E1,9.300000191E0,-2.730000114E1
2.361855430E-1,1.130625057E1,9.356250763E0,-2.728125191E1
2.461855430E-1,1.111875057E1,9.300000191E0,-2.741250038E1
2.561855430E-1,1.087500000E1,9.468750000E0,-2.761875153E1
2.661855430E-1,1.053750038E1,9.506250381E0,-2.769375038E1
2.761855430E-1,1.031250000E1,9.356250763E0,-2.778750038E1
2.861855430E-1,1.029375076E1,9.468750000E0,-2.769375038E1
2.961855430E-1,1.008750057E1,9.768750191E0,-2.769375038E1
3.061855430E-1,9.900000572E0,9.618750572E0,-2.773125076E1
3.161855430E-1,9.712500572E0,9.562500000E0,-2.784375191E1
3.261855430E-1,9.468750000E0,9.712500572E0,-2.799375153E1
3.361855430E-1,9.300000191E0,9.656250000E0,-2.795625114E1
3.461855430E-1,9.018750191E0,9.937500000E0,-2.790000153E1
3.561855430E-1,8.868750572E0,1.018125057E1,-2.805000114E1
3.661855430E-1,8.718750000E0,1.020000076E1,-2.846250153E1
3.761855430E-1,8.287500381E0,1.023750019E1,-2.863125038E1
3.861855430E-1,7.856250286E0,1.025625038E1,-2.893125153E1
3.961855430E-1,7.387500286E0,1.033125019E1,-2.911875153E1
4.061855430E-1,7.218750477E0,1.036875057E1,-2.910000038E1
4.161855430E-1,6.975000381E0,1.036875057E1,-2.885625076E1
4.261855430E-1,6.750000477E0,1.027500057E1,-2.895000076E1
4.361855430E-1,6.393750191E0,1.027500057E1,-2.895000076E1
4.461855430E-1,6.056250095E0,1.061250019E1,-2.872500038E1
4.561855430E-1,5.793750286E0,1.091250038E1,-2.853750038E1
4.661855430E-1,6.018750191E0,1.123125076E1,-2.823750114E1
4.761855430E-1,6.243750095E0,1.155000019E1,-2.829375076E1
4.861855430E-1,6.243750095E0,1.168125057E1,-2.840625191E1
4.961855430E-1,6.300000191E0,1.168125057E1,-2.878125191E1
5.061855430E-1,6.300000191E0,1.190625000E1,-2.889375114E1
5.161855430E-1,6.356250286E0,1.186875057E1,-2.881875038E1
5.261855430E-1,6.675000191E0,1.179375076E1,-2.863125038E1
5.361855430E-1,6.693750381E0,1.140000057E1,-2.885625076E1
5.461855430E-1,6.712500095E0,1.130625057E1,-2.900625038E1
5.561855430E-1,6.487500191E0,1.138125038E1,-2.866875076E1
5.661855430E-1,6.581250191E0,1.132500076E1,-2.851875114E1
5.761855430E-1,6.712500095E0,1.147500038E1,-2.821875191E1
5.861855430E-1,6.825000286E0,1.141875076E1,-2.810625076E1
5.961855430E-1,7.012500286E0,1.166250038E1,-2.816250038E1
6.061855430E-1,6.843750477E0,1.140000057E1,-2.840625191E1
6.161855430E-1,6.806250095E0,1.140000057E1,-2.836875153E1
6.261855430E-1,6.506250381E0,1.126875019E1,-2.848125076E1
6.361855430E-1,6.487500191E0,1.115625000E1,-2.846250153E1
6.461855430E-1,6.281250477E0,1.121250057E1,-2.865000153E1
6.561855430E-1,6.000000000E0,1.140000057E1,-2.887500191E1
6.661855430E-1,5.943750381E0,1.121250057E1,-2.878125191E1
6.761855430E-1,5.662500381E0,1.106250000E1,-2.872500038E1
6.861855430E-1,5.643750191E0,1.132500076E1,-2.857500076E1
6.961855430E-1,5.775000095E0,1.151250076E1,-2.848125076E1
7.061855430E-1,5.831250191E0,1.168125057E1,-2.835000038E1
7.161855430E-1,5.868750095E0,1.177500057E1,-2.857500076E1
7.261855430E-1,6.037500381E0,1.183125019E1,-2.838750076E1
7.361855430E-1,6.000000000E0,1.170000076E1,-2.840625191E1
7.461855430E-1,5.775000095E0,1.186875057E1,-2.859375191E1
7.561855430E-1,5.793750286E0,1.194375038E1,-2.866875076E1
7.661855430E-1,5.456250191E0,1.179375076E1,-2.881875038E1
7.761855430E-1,5.343750000E0,1.181250000E1,-2.889375114E1
7.861855430E-1,5.100000381E0,1.164375019E1,-2.911875153E1
7.961855430E-1,4.950000286E0,1.119375038E1,-2.893125153E1
8.061855430E-1,4.893750191E0,1.098750019E1,-2.921250153E1
8.161855430E-1,4.781250000E0,1.078125000E1,-2.930625153E1
8.261855430E-1,5.043750286E0,1.051875019E1,-2.936250114E1
8.361855430E-1,5.006250381E0,1.048125076E1,-2.949375153E1
8.461855430E-1,5.212500095E0,1.040625000E1,-2.956875038E1
8.561855430E-1,5.475000381E0,1.003125000E1,-2.977500153E1
8.661855430E-1,5.475000381E0,9.825000763E0,-2.981250191E1
8.761855430E-1,5.531250000E0,9.918750763E0,-3.003750038E1
8.861855430E-1,5.475000381E0,9.787500381E0,-2.998125076E1
8.961855430E-1,5.193750381E0,9.843750000E0,-3.007500076E1
9.061855430E-1,4.987500191E0,9.768750191E0,-3.000000191E1
9.161855430E-1,5.062500000E0,9.543750763E0,-3.024375153E1
9.261855430E-1,5.175000191E0,9.562500000E0,-3.016875076E1
9.361855430E-1,4.893750191E0,9.562500000E0,-3.022500038E1
9.461855430E-1,4.781250000E0,9.487500191E0,-3.043125153E1
9.561855430E-1,4.631250381E0,9.168750763E0,-3.054375076E1
9.661855430E-1,4.537500381E0,9.393750191E0,-3.069375038E1
9.761855430E-1,4.706250191E0,9.131250381E0,-3.058125114E1
9.861855430E-1,4.593750000E0,8.868750572E0,-3.082500076E1
9.961855430E-1,4.425000191E0,8.831250191E0,-3.069375038E1
