Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
4.001879493,-5.240281582,-8.283951759,0.09810572863
4.006634857,-5.235496044,-8.250452042,0.06939185411
4.011390222,-5.240281582,-8.195417404,0.06221338734
4.016145586,-5.266602516,-8.20498848,0.05024927482
4.020900951,-5.300102234,-8.190631866,0.01196411345
4.025656368,-5.328815937,-8.166703224,0.009571290575
4.030411732,-5.347958565,-8.18345356,0.01914258115
4.035167097,-5.355136871,-8.159524918,0.04785645381
4.039922461,-5.393422127,-8.13320446,0.1076770201
4.044677826,-5.422136307,-8.142775536,0.1651047617
4.049433243,-5.426921844,-8.114061356,0.2105683982
4.054188607,-5.448457241,-8.109275818,0.2871387303
4.058943972,-5.453242779,-8.111668587,0.3158525825
4.063699336,-5.405386448,-8.078168869,0.3206382394
4.068454701,-5.343173027,-8.066205025,0.3110669553
4.073210066,-5.266602516,-8.090133667,0.2919243574
4.077965482,-5.204389095,-8.106883049,0.2560320199
4.082720847,-5.134997368,-8.152346611,0.2033899277
4.087476211,-5.079962254,-8.173882484,0.1363908947
4.092231576,-4.979464054,-8.21216774,0.08853443712
4.096986941,-4.914857864,-8.255238533,0.08135596663
4.101742357,-4.900500774,-8.293522835,0.09092725813
4.106497722,-4.900500774,-8.291130066,0.1411765367
4.111253086,-4.890929699,-8.307880402,0.2081755698
4.116008451,-4.945964336,-8.33898735,0.3230310678
4.120763816,-5.063212872,-8.298309326,0.4761717021
4.125519232,-5.142175674,-8.276773453,0.6101697683
4.130274597,-5.182853699,-8.28155899,0.7274180651
4.135029961,-5.225924492,-8.264809608,0.8039883971
4.139785326,-5.264209747,-8.243273735,0.8781659007
4.144540691,-5.25942421,-8.221738815,0.9619147182
4.149296055,-5.247459888,-8.219346046,0.9714859724
4.154051472,-5.223531723,-8.264809608,1.000199914
4.158806836,-5.20917511,-8.303094864,0.9834501147
4.163562201,-5.190032482,-8.362915039,0.9547362328
4.168317566,-5.163711071,-8.396414757,0.9308080077
4.17307293,-5.158925533,-8.444271088,0.890130043
4.177828347,-5.137390137,-8.508877754,0.837487936
4.182583711,-5.108676434,-8.604590416,0.7633104324
4.187339076,-5.103890896,-8.618947029,0.6484549642
4.192094441,-5.096712112,-8.688339233,0.5790630579
4.196849805,-5.125426292,-8.688339233,0.5024927258
4.201605222,-5.146961689,-8.690732002,0.4235295951
4.206360586,-5.173282623,-8.654839516,0.3828516304
4.211115951,-5.170889854,-8.621339798,0.3780659735
4.215871316,-5.230710506,-8.573483467,0.394815743
