"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
8.551477000E-3,-3.531806231E0,3.311666489E0,8.829515457E0
1.340147700E-2,-3.369094372E0,3.361915827E0,8.934800148E0
1.815642500E-2,-3.342773199E0,3.469592810E0,9.054440498E0
2.300642500E-2,-3.373879910E0,3.641875982E0,9.178867340E0
2.785689300E-2,-3.378665686E0,3.876372576E0,9.308079720E0
3.270741400E-2,-3.292523861E0,4.132404804E0,9.413364410E0
3.755788300E-2,-3.148954630E0,4.366901398E0,9.535398483E0
4.240840400E-2,-3.093919754E0,4.496113777E0,9.583254814E0
4.725887200E-2,-3.024527788E0,4.472185612E0,9.564111710E0
5.210939300E-2,-2.950350285E0,4.295116425E0,9.442078590E0
5.695986200E-2,-2.876172781E0,3.924229145E0,9.181260109E0
6.181038300E-2,-2.270788670E0,3.601198196E0,8.918049812E0
6.666085200E-2,-1.866401672E0,3.268595695E0,8.685946465E0
7.151137200E-2,-1.768295884E0,2.890529871E0,8.518448830E0
7.636189300E-2,-1.751546144E0,2.423929453E0,8.317451477E0
8.121236200E-2,-2.009970903E0,2.270788670E0,8.410771370E0
8.606283100E-2,-2.455035925E0,2.354537487E0,8.729017258E0
9.091335200E-2,-2.478964329E0,2.179861546E0,9.023334503E0
9.576387200E-2,-2.457428932E0,2.122433662E0,9.150154114E0
1.006143410E-1,-2.567498684E0,2.187039852E0,9.434899330E0
1.054648100E-1,-2.522035122E0,2.208575249E0,9.767501831E0
1.103153310E-1,-2.364108801E0,2.189432621E0,9.903892517E0
1.151658520E-1,-2.132004976E0,2.189432621E0,9.987641335E0
1.200163200E-1,-1.708475351E0,2.069791555E0,1.010967541E1
1.248667890E-1,-1.330409408E0,2.256431818E0,1.023170948E1
1.297173100E-1,-1.057627559E0,2.550748825E0,1.041356373E1
1.345678310E-1,-9.020941257E-1,2.811566591E0,1.041835022E1
1.394183000E-1,-6.460621357E-1,2.943171740E0,1.021974564E1
1.442687680E-1,-2.321037948E-1,3.005385160E0,1.001396275E1
1.491192890E-1,1.531406492E-1,2.804388046E0,9.767501831E0
1.539697580E-1,4.666004181E-1,2.457428932E0,9.379864693E0
1.588202790E-1,2.057827413E-1,2.553141832E0,9.583254814E0
1.636708000E-1,-1.268195957E-1,2.658426046E0,9.839286804E0
1.685212680E-1,-4.737788737E-1,2.584248543E0,9.820143700E0
1.733717890E-1,-7.322037220E-1,2.533999205E0,9.812965393E0
1.782222580E-1,-8.997012973E-1,2.395215511E0,9.784252167E0
1.830727270E-1,-9.188438654E-1,2.266003132E0,9.724431038E0
1.879232470E-1,-9.403793216E-1,2.208575249E0,9.655039787E0
1.927737680E-1,-9.858429432E-1,2.175075769E0,9.600004196E0
1.976242370E-1,-1.081555843E0,2.184647083E0,9.501898766E0
2.024747060E-1,-1.201196909E0,2.206182480E0,9.363115311E0
2.073252270E-1,-1.478764415E0,2.301895380E0,9.415757179E0
2.121756950E-1,-1.780260086E0,2.373680115E0,9.391828537E0
2.170262160E-1,-1.986042738E0,2.426322222E0,9.312865257E0
2.218766850E-1,-2.038684845E0,2.615355253E0,9.521040916E0
2.267272060E-1,-1.832902193E0,2.878565550E0,9.717252731E0
2.315776750E-1,-1.792224169E0,2.974278450E0,9.717252731E0
2.364281950E-1,-1.533799291E0,2.919243574E0,9.588040352E0
2.412786640E-1,-1.117448211E0,2.861815929E0,9.446864128E0
2.461291850E-1,-7.776673436E-1,2.890529871E0,9.322437286E0
2.509796540E-1,-5.479564071E-1,2.840280533E0,9.176474571E0
2.557371540E-1,-4.426721931E-1,2.833101988E0,9.128618240E0
2.604925180E-1,-2.105683982E-1,2.754138947E0,9.049654961E0
2.652479350E-1,2.392822644E-3,2.648854733E0,9.001798630E0
2.700033000E-1,-3.349951655E-2,2.512463808E0,8.973084450E0
2.747587160E-1,-2.919243574E-1,2.364108801E0,9.128618240E0
2.795140810E-1,-8.231309652E-1,2.208575249E0,9.231510162E0
2.842694970E-1,-1.062413216E0,2.086541414E0,9.341579437E0
