"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.483057400E-2,-8.250000477E-1,8.062500358E-1,-4.713750076E1
4.483057400E-2,-4.312500060E-1,8.062500358E-1,-4.713750076E1
5.483057400E-2,1.875000075E-2,3.375000060E-1,-4.713750076E1
6.483057400E-2,3.937500119E-1,1.068750024E0,-4.721250153E1
7.483057400E-2,5.812500119E-1,9.000000358E-1,-4.738125229E1
8.483057400E-2,5.062500238E-1,1.087500095E0,-4.730625153E1
9.483057400E-2,5.812500119E-1,1.050000072E0,-4.711875153E1
1.048305740E-1,6.750000119E-1,1.125000000E0,-4.738125229E1
1.148305740E-1,9.375000596E-1,1.368750095E0,-4.738125229E1
1.248305740E-1,1.125000000E0,1.612500072E0,-4.740000153E1
1.348305740E-1,1.312500000E0,2.175000191E0,-4.740000153E1
1.448305740E-1,1.575000048E0,2.137500048E0,-4.749375153E1
1.548305740E-1,1.387500048E0,2.418750048E0,-4.741875076E1
1.648305740E-1,1.331250072E0,2.493750095E0,-4.747500229E1
1.748305740E-1,1.293750048E0,2.718750000E0,-4.760625076E1
1.848305740E-1,1.162500024E0,3.112500191E0,-4.749375153E1
1.948305740E-1,1.143750072E0,3.375000238E0,-4.747500229E1
2.048305740E-1,1.368750095E0,3.431250095E0,-4.747500229E1
2.148305740E-1,1.237500072E0,3.506250143E0,-4.760625076E1
2.248305740E-1,9.750000238E-1,3.675000191E0,-4.760625076E1
2.348305740E-1,1.143750072E0,3.956250191E0,-4.747500229E1
2.448305740E-1,1.275000095E0,4.350000381E0,-4.743750000E1
2.548305740E-1,1.368750095E0,4.818750381E0,-4.741875076E1
2.648305740E-1,1.556250095E0,5.100000381E0,-4.713750076E1
2.748305740E-1,1.687500119E0,5.287500381E0,-4.691250229E1
2.848305740E-1,1.331250072E0,5.775000095E0,-4.681875229E1
2.948305740E-1,1.237500072E0,6.225000381E0,-4.676250076E1
3.048305740E-1,1.200000048E0,6.675000191E0,-4.638750076E1
3.148305740E-1,1.275000095E0,7.125000477E0,-4.642500305E1
3.248305740E-1,1.350000024E0,7.631250381E0,-4.635000229E1
3.348305740E-1,1.218750000E0,8.025000572E0,-4.635000229E1
3.448305740E-1,1.443750024E0,8.456250191E0,-4.635000229E1
3.548305740E-1,1.481250048E0,9.168750763E0,-4.663125229E1
3.648305740E-1,1.612500072E0,9.543750763E0,-4.668750000E1
3.748305740E-1,1.837500095E0,1.023750019E1,-4.655625153E1
3.848305740E-1,2.025000095E0,1.091250038E1,-4.674375153E1
3.948305740E-1,1.931250095E0,1.155000019E1,-4.665000153E1
4.048305740E-1,2.156250000E0,1.215000057E1,-4.650000000E1
4.148305740E-1,2.493750095E0,1.263750076E1,-4.638750076E1
4.248305740E-1,2.606250048E0,1.329375076E1,-4.648125076E1
4.348305740E-1,2.943750143E0,1.374375057E1,-4.621875000E1
4.448305740E-1,3.506250143E0,1.425000095E1,-4.597500229E1
4.548305740E-1,3.768750191E0,1.430625057E1,-4.586250305E1
4.648305740E-1,4.143750191E0,1.455000019E1,-4.567500305E1
4.748305740E-1,4.893750191E0,1.481250095E1,-4.554375076E1
4.848305740E-1,5.212500095E0,1.479375076E1,-4.554375076E1
4.948305740E-1,5.700000286E0,1.486875057E1,-4.556250000E1
5.048305740E-1,6.037500381E0,1.438125038E1,-4.543125153E1
5.148305740E-1,5.981250286E0,1.374375057E1,-4.554375076E1
5.248305740E-1,5.831250191E0,1.336875057E1,-4.582500076E1
5.348305740E-1,5.943750381E0,1.327500057E1,-4.590000153E1
5.448305740E-1,5.906250000E0,1.293750095E1,-4.621875000E1
5.548305740E-1,5.587500095E0,1.209375095E1,-4.636875153E1
5.648305740E-1,5.437500000E0,1.155000019E1,-4.657500076E1
5.748305740E-1,5.006250381E0,1.081875038E1,-4.665000153E1
5.848305740E-1,4.481250286E0,1.063125038E1,-4.659375000E1
5.948305740E-1,4.031250000E0,1.031250000E1,-4.678125000E1
6.048305740E-1,3.581250191E0,9.881250381E0,-4.663125229E1
6.148305740E-1,3.018750191E0,9.337500572E0,-4.668750000E1
6.248305740E-1,2.362500191E0,8.550000191E0,-4.674375153E1
6.348305740E-1,1.837500095E0,8.325000763E0,-4.674375153E1
6.448305740E-1,1.293750048E0,7.968750477E0,-4.653750229E1
6.548305740E-1,8.625000119E-1,7.931250095E0,-4.640625000E1
6.648305740E-1,2.812500000E-1,7.350000381E0,-4.666875076E1
6.748305740E-1,-1.312500089E-1,7.218750477E0,-4.648125076E1
6.848305740E-1,-5.625000000E-1,7.106250286E0,-4.651875305E1
6.948305740E-1,-8.437500596E-1,6.881250381E0,-4.633125305E1
7.048305740E-1,-9.937500358E-1,7.143750191E0,-4.620000076E1
7.148305740E-1,-1.387500048E0,7.350000381E0,-4.625625229E1
7.248305740E-1,-1.537500024E0,7.725000381E0,-4.642500305E1
7.348305740E-1,-1.725000024E0,7.631250381E0,-4.629375076E1
7.448305740E-1,-1.837500095E0,8.212500572E0,-4.618125153E1
7.548305740E-1,-1.762500048E0,8.512500763E0,-4.640625000E1
7.648305740E-1,-1.837500095E0,8.850000381E0,-4.638750076E1
7.748305740E-1,-2.250000000E0,9.281250000E0,-4.655625153E1
7.848305740E-1,-2.812500000E0,9.262500763E0,-4.655625153E1
7.948305740E-1,-2.925000191E0,9.450000763E0,-4.659375000E1
8.048305740E-1,-3.243750095E0,9.450000763E0,-4.653750229E1
8.148305740E-1,-4.031250000E0,9.693750381E0,-4.681875229E1
8.248305740E-1,-4.612500191E0,9.487500191E0,-4.670625305E1
8.348305740E-1,-5.100000381E0,9.412500381E0,-4.621875000E1
8.448305740E-1,-5.475000381E0,9.600000381E0,-4.638750076E1
8.548305740E-1,-5.775000095E0,9.712500572E0,-4.621875000E1
8.648305740E-1,-5.737500191E0,1.021875000E1,-4.608750153E1
8.748305740E-1,-5.737500191E0,1.031250000E1,-4.584375000E1
8.848305740E-1,-6.093750477E0,1.066875076E1,-4.571250153E1
8.948305740E-1,-5.606250286E0,1.130625057E1,-4.528125000E1
9.048305740E-1,-5.231250286E0,1.200000000E1,-4.522500229E1
9.148305740E-1,-5.231250286E0,1.260000038E1,-4.522500229E1
9.248305740E-1,-5.400000095E0,1.295625019E1,-4.494375229E1
9.348305740E-1,-5.587500095E0,1.303125095E1,-4.477500153E1
9.448305740E-1,-6.393750191E0,1.314375019E1,-4.470000076E1
9.548305740E-1,-7.237500191E0,1.320000076E1,-4.471875000E1
9.648305740E-1,-8.137500763E0,1.316250038E1,-4.449375153E1
9.748305740E-1,-9.487500191E0,1.275000095E1,-4.451250076E1
9.848305740E-1,-1.119375038E1,1.222500038E1,-4.417500305E1
9.948305740E-1,-1.308750057E1,1.158750057E1,-4.396875000E1
1.004830574E0,-1.486875057E1,1.110000038E1,-4.357500076E1
1.014830574E0,-1.689375114E1,1.050000000E1,-4.327500153E1
1.024830574E0,-1.891875076E1,9.487500191E0,-4.246875000E1
