Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00455547,19.47039795,-15.99841213,-6.178267956
10.00931031,19.01815414,-15.99601936,-5.694917679
10.01406516,17.24746513,-15.65623856,-4.61814785
10.01881995,15.28056526,-15.2973156,-3.462414265
10.02357479,13.95972729,-14.95514107,-2.624926329
10.02832964,12.52642632,-14.54357624,-2.378465652
10.03308448,10.00917721,-13.92144203,-3.196810961
10.03783932,7.008577347,-13.21795273,-5.070391178
10.04259417,4.759324074,-12.85902882,-7.448856831
10.04734901,3.7256248,-12.40917778,-8.475378036
10.05210385,3.034099102,-11.56690502,-7.757531166
10.0568587,2.416750908,-10.78445148,-5.960521221
10.06161349,2.569891453,-10.04267693,-2.275574446
10.06636833,3.632304668,-9.659825325,1.607976794
10.07112318,3.881158352,-9.391828537,3.665804386
10.07587802,3.421736479,-9.042476654,4.596612453
10.08063286,2.579462767,-8.657232285,4.967499733
10.08538771,1.612762451,-8.078168869,4.816751957
10.09014255,0.9451649189,-7.738388538,4.319045067
10.0948974,0.1938186288,-7.546962738,3.857230186
10.09965224,-0.390030086,-7.434499741,3.416950703
10.10440703,-0.6652047038,-7.345965385,3.086741209
10.10916188,-0.9619147182,-7.192824841,2.778067112
10.11391672,-1.373480201,-7.125825882,2.421536446
10.11867156,-1.701296926,-7.372286797,2.002792597
10.12342641,-1.756331801,-7.680960655,1.55054903
10.12818125,-1.600798368,-8.035098076,0.9810572863
10.13293609,-1.457229018,-8.451449394,0.3469592929
10.13769094,-1.40697968,-8.879764557,-0.1076770201
10.14244578,-1.605584025,-9.422935486,-0.366101861
10.14720057,-1.552941918,-10.02114105,-0.5527420044
10.15195542,-1.316052437,-10.65763187,-0.7800601721
10.15671026,-1.162911773,-11.22473145,-1.05523479
10.1614651,-1.270588875,-11.81815147,-1.093519926
10.16621995,-1.543370605,-12.37089348,-1.012163997
10.17097479,-2.203789711,-12.88056469,-0.4833501875
10.17572964,-2.727817774,-13.31127262,-0.007178467698
10.18048448,-3.285345554,-13.67976665,0.5838487148
10.18523932,-3.18006134,-14.06740475,1.296909928
10.18999411,-2.411965132,-14.1870451,2.218146563
10.19474896,-1.655833244,-13.96690559,3.081955671
10.1995038,-1.127019525,-13.52662659,3.854837179
10.20425865,-0.9738788009,-12.94277763,4.469792843
10.20901349,-1.122233868,-12.24646664,4.979464054
10.21376833,-1.533799291,-11.48076344,5.357530117
10.21852318,-1.976471543,-10.77488041,5.589633465
10.22327802,-2.323430777,-10.14796066,5.709274769
10.22803286,-2.495713949,-9.580862045,5.735595703
10.23278766,-2.177468538,-9.085547447,5.469992638
10.2375425,-1.861616015,-8.671588898,5.072783947
10.24229734,-1.782652855,-8.298309326,4.630111694
10.24705219,-1.782652855,-7.970492363,4.311866283
10.25180703,-1.734796405,-7.747959614,4.285545349
10.25656188,-1.457229018,-7.719245911,4.359723091
10.26131672,-1.098305583,-7.800601959,4.402793884
10.26607156,-0.7776673436,-7.853243828,4.34775877
10.27082641,-0.5383850932,-7.982456207,4.259224415
10.27558125,-0.5072783828,-8.109275818,4.134797573
10.28033604,-0.394815743,-8.195417404,3.883551121
10.28509088,-0.1890329868,-8.33180809,3.519842148
10.28984573,0.0,-8.427521706,3.115455151
10.29460057,0.09092725813,-8.628518105,2.713460922
10.29935542,0.2943171859,-8.800801277,2.27078867
10.30411026,0.4977070987,-8.896514893,1.95015049
