"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.461916900E-2,9.086613543E-3,-2.569449842E-1,-3.329976499E-1
1.937401300E-2,-1.497382224E-1,-2.239582986E-1,-3.012326956E-1
2.412885700E-2,-3.110065162E-1,-1.921933293E-1,-2.902371287E-1
2.888370100E-2,-4.808269441E-1,-1.726456583E-1,-2.884045243E-1
3.363854400E-2,-6.359865665E-1,-1.482110620E-1,-2.896262705E-1
3.839333600E-2,-7.764855027E-1,-1.476002038E-1,-2.994000912E-1
4.314818000E-2,-9.218713045E-1,-1.995237023E-1,-3.317759335E-1
4.790302300E-2,-1.022663951E0,-2.031888962E-1,-3.580431044E-1
5.265786700E-2,-1.058704972E0,-1.421024203E-1,-3.745364547E-1
5.741265900E-2,-1.040379047E0,-2.176205814E-2,-3.843103051E-1
6.216750300E-2,-9.835686684E-1,1.450040340E-1,-3.910298049E-1
6.692234600E-2,-9.359211922E-1,3.325395286E-1,-4.117992222E-1
7.167719000E-2,-8.980475664E-1,4.986947477E-1,-4.295142889E-1
7.643203400E-2,-8.522327542E-1,6.190351248E-1,-4.160752594E-1
8.118682600E-2,-8.021417856E-1,7.008909583E-1,-3.812559843E-1
8.594166900E-2,-7.642682195E-1,7.638100386E-1,-3.372737169E-1
9.069651300E-2,-7.441096306E-1,8.273400068E-1,-2.914588451E-1
9.545135700E-2,-7.416661978E-1,8.933134079E-1,-2.486983240E-1
1.002062010E-1,-7.477748394E-1,9.543998837E-1,-2.114355713E-1
1.049609920E-1,-7.532726526E-1,9.928843379E-1,-1.827249229E-1
1.097158360E-1,-7.538834810E-1,9.941060543E-1,-1.570686102E-1
1.144706800E-1,-7.453314066E-1,9.605085254E-1,-1.369100660E-1
1.192255230E-1,-7.282271981E-1,9.043089747E-1,-1.198058575E-1
1.239803670E-1,-6.995165348E-1,8.420007229E-1,-1.020907760E-1
1.287351590E-1,-6.683624387E-1,8.193987608E-1,-1.014799103E-1
1.334900030E-1,-6.482039094E-1,8.664353490E-1,-1.338557452E-1
1.382448460E-1,-6.482039094E-1,8.468876481E-1,-1.827249229E-1
1.429996900E-1,-6.695841551E-1,6.960040331E-1,-2.322049737E-1
1.477545340E-1,-6.940187216E-1,4.767036140E-1,-2.529743910E-1
1.525093260E-1,-7.068468928E-1,2.757290900E-1,-2.499200553E-1
1.572641690E-1,-6.964622140E-1,1.450040340E-1,-2.523635030E-1
1.620190130E-1,-6.940187216E-1,1.046869531E-1,-2.541961074E-1
1.667738570E-1,-7.019599676E-1,1.010217592E-1,-2.566395700E-1
1.715287010E-1,-7.160098553E-1,8.575014025E-2,-2.670242786E-1
1.762835440E-1,-7.331140637E-1,5.887209252E-2,-2.847393453E-1
1.810383360E-1,-7.618247271E-1,4.665479809E-2,-3.048978746E-1
1.857931800E-1,-8.051961660E-1,3.749182448E-2,-3.281107545E-1
1.905480230E-1,-8.662826419E-1,3.627009690E-2,-3.635408878E-1
1.953028670E-1,-9.414190054E-1,-1.687514037E-2,-3.849211633E-1
2.000577110E-1,-1.003727198E0,-5.108356848E-2,-3.824777007E-1
2.048125030E-1,-9.640209675E-1,-1.903607398E-1,-3.232238293E-1
2.095673460E-1,-8.626174331E-1,-3.216966689E-1,-2.303723842E-1
2.143221900E-1,-7.483857274E-1,-2.966512144E-1,-1.540142894E-1
2.190770340E-1,-6.188823581E-1,-1.506545246E-1,-9.292780608E-2
2.238318780E-1,-4.857138693E-1,4.848739132E-2,-5.016727000E-2
2.285866690E-1,-3.586539924E-1,2.402989268E-1,-3.611737862E-2
2.333415130E-1,-2.358701676E-1,3.630827665E-1,-5.199986324E-2
2.380963570E-1,-1.118646115E-1,3.905716538E-1,-8.620829135E-2
2.428512010E-1,1.275180187E-2,3.349829614E-1,-1.246927753E-1
2.476060440E-1,1.312595755E-1,1.877645552E-1,-1.436295807E-1
2.523608880E-1,2.467130125E-1,5.765036494E-2,-1.607337892E-1
2.571156800E-1,3.554469347E-1,-1.870773360E-2,-1.851683855E-1
2.618705230E-1,4.562396407E-1,-4.069886729E-2,-2.016617358E-1
2.666253670E-1,5.668061376E-1,-6.452259421E-2,-2.120464295E-1
2.713802110E-1,6.889790893E-1,-1.164461002E-1,-2.132681608E-1
2.761350550E-1,8.099303246E-1,-1.860846877E-1,-2.022725940E-1
2.808898980E-1,9.211077094E-1,-2.722166181E-1,-1.851683855E-1
2.856446900E-1,1.017624378E0,-3.675115108E-1,-1.680641770E-1
2.903995340E-1,1.102534533E0,-4.536434710E-1,-1.576794684E-1
2.951543780E-1,1.167897105E0,-5.092321634E-1,-1.613446623E-1
2.999092210E-1,1.215544581E0,-5.202277303E-1,-1.851683855E-1
3.046640650E-1,1.240589976E0,-4.854084253E-1,-2.358701676E-1
3.094189090E-1,1.244255185E0,-4.212676287E-1,-3.085630834E-1
3.141737010E-1,1.222264051E0,-3.577376902E-1,-3.977493346E-1
3.189285440E-1,1.176449180E0,-2.850447893E-1,-4.997637570E-1
3.236833880E-1,1.111697555E0,-2.105192691E-1,-5.981130004E-1
3.284382320E-1,1.032896042E0,-1.463784724E-1,-6.830231547E-1
3.331930760E-1,9.430988431E-1,-1.091157198E-1,-7.434988022E-1
3.379479190E-1,8.520799875E-1,-9.689842910E-2,-7.789289355E-1
3.427027630E-1,7.635046244E-1,-1.127809063E-1,-7.893136740E-1
3.474575550E-1,6.816487312E-1,-1.488219351E-1,-7.795398235E-1
3.522123980E-1,6.022363305E-1,-1.952476501E-1,-7.544943690E-1
3.569672420E-1,5.222130418E-1,-2.545015514E-1,-7.239511013E-1
3.617220860E-1,4.379136860E-1,-3.027598560E-1,-6.952404976E-1
3.664769300E-1,3.475056887E-1,-3.125337064E-1,-6.732493639E-1
3.712317210E-1,2.509890795E-1,-2.801578641E-1,-6.567559838E-1
3.759865650E-1,1.501963735E-1,-2.202931046E-1,-6.414843798E-1
3.807414090E-1,5.062541738E-2,-1.561523080E-1,-6.182715297E-1
3.854962530E-1,-4.833467677E-2,-8.101594448E-2,-5.852848291E-1
3.902510960E-1,-1.497382224E-1,2.038761228E-2,-5.510764122E-1
3.950059400E-1,-2.670242786E-1,1.657734364E-1,-5.187005401E-1
3.997607840E-1,-3.916406929E-1,2.977202237E-1,-4.906007648E-1
4.045155760E-1,-5.150353909E-1,3.288743198E-1,-4.991528690E-1
4.092704190E-1,-6.323214173E-1,2.922224402E-1,-5.419133902E-1
4.140252630E-1,-7.257837057E-1,2.751182318E-1,-5.834522247E-1
4.187801070E-1,-8.064178824E-1,2.409097999E-1,-6.036107540E-1
4.235349510E-1,-8.821650743E-1,1.895971596E-1,-6.036107540E-1
4.282897940E-1,-9.450841546E-1,1.401171088E-1,-5.950586796E-1
4.330446380E-1,-9.951750636E-1,1.052978188E-1,-5.877282619E-1
4.377994820E-1,-1.032437801E0,8.819360286E-2,-5.858956575E-1
4.425542730E-1,-1.061759353E0,7.780890167E-2,-5.858956575E-1
4.473091170E-1,-1.082528710E0,7.536543906E-2,-5.791761875E-1
4.520639610E-1,-1.092302561E0,6.498073786E-2,-5.596284866E-1
4.568188050E-1,-1.080085278E0,4.909825698E-2,-5.260309577E-1
4.615736480E-1,-1.031826973E0,5.276344717E-2,-4.753291607E-1
4.663284920E-1,-9.518036842E-1,1.010217592E-1,-4.227947891E-1
4.710833360E-1,-8.455132246E-1,1.810450554E-1,-3.782016635E-1
4.758381800E-1,-7.190641761E-1,2.653443813E-1,-3.323867917E-1
4.805929710E-1,-5.944477916E-1,3.325395286E-1,-2.780198455E-1
4.853478150E-1,-4.747183025E-1,2.372446060E-1,-1.692859083E-1
4.901026590E-1,-3.513236046E-1,1.089630052E-1,-4.466948658E-2
4.948575030E-1,-2.205985487E-1,6.436987966E-2,5.123628303E-2
4.996123460E-1,-8.071050793E-2,7.597630471E-2,1.385899484E-1
5.043671900E-1,6.467530876E-2,8.147408813E-2,2.253327519E-1
5.091220340E-1,2.088394016E-1,1.071304083E-1,2.913061380E-1
5.138768780E-1,3.456731141E-1,1.376736462E-1,3.132972717E-1
5.186316690E-1,4.605156779E-1,1.443931609E-1,2.882518172E-1
5.233865130E-1,5.539780259E-1,1.340084672E-1,2.094502598E-1
5.281413570E-1,6.272817850E-1,1.242346242E-1,8.483384550E-2
5.328962010E-1,6.840922236E-1,7.719803602E-2,-5.199986324E-2
5.376510440E-1,7.299070358E-1,3.894262947E-3,-1.802814752E-1
5.424058880E-1,7.647263408E-1,-7.490729541E-2,-3.012326956E-1
5.471607320E-1,7.818305492E-1,-1.091157198E-1,-4.075231552E-1
5.519155760E-1,7.842740417E-1,-8.956804872E-2,-4.875464439E-1
5.566704190E-1,7.696132660E-1,-8.040507883E-2,-5.437459946E-1
5.614252110E-1,7.366265655E-1,-1.304959953E-1,-5.767326951E-1
5.661800550E-1,6.987529397E-1,-1.860846877E-1,-5.920043588E-1
5.709348980E-1,6.596575975E-1,-2.172387838E-1,-5.865065455E-1
5.756897420E-1,6.242274642E-1,-2.453385741E-1,-5.577958822E-1
5.804445860E-1,5.936841965E-1,-2.642753720E-1,-5.199222565E-1
5.851994300E-1,5.668061376E-1,-2.160170525E-1,-4.875464439E-1
5.899542730E-1,5.216021538E-1,-7.124210149E-2,-4.325686097E-1
5.947091170E-1,4.818959534E-1,-1.809686981E-2,-3.708712757E-1
5.994639610E-1,4.525744319E-1,-4.375318810E-2,-3.085630834E-1
6.042188050E-1,4.299724400E-1,-9.812015295E-2,-2.505309284E-1
6.089735960E-1,4.092030525E-1,-1.659261435E-1,-1.986074150E-1
6.137284400E-1,3.951531649E-1,-2.545015514E-1,-1.601229310E-1
6.184832840E-1,4.018726647E-1,-3.424660563E-1,-1.546251476E-1
6.232381280E-1,4.195877314E-1,-4.231002033E-1,-1.827249229E-1
6.279929710E-1,4.385245442E-1,-5.458840132E-1,-2.187659442E-1
6.327478150E-1,4.623482823E-1,-6.937133074E-1,-2.615264952E-1
6.375026590E-1,5.014436245E-1,-8.103885055E-1,-3.183369040E-1
6.422575030E-1,5.509236455E-1,-9.276745319E-1,-3.794233799E-1
6.470123460E-1,6.010146141E-1,-1.086499333E0,-4.185187221E-1
6.517671900E-1,6.572141647E-1,-1.217835307E0,-4.478402436E-1
6.565220340E-1,7.195223570E-1,-1.302134633E0,-4.588358104E-1
6.612768260E-1,7.793871164E-1,-1.350392938E0,-4.618901312E-1
6.660316690E-1,8.288671374E-1,-1.372994900E0,-4.576140642E-1
6.707865130E-1,8.606321216E-1,-1.376660109E0,-4.515054226E-1
6.755413570E-1,8.704059720E-1,-1.359555960E0,-4.472293854E-1
6.802962010E-1,8.600212336E-1,-1.319849730E0,-4.466184974E-1
6.850510440E-1,8.319214582E-1,-1.286862969E0,-4.521162808E-1
6.898058880E-1,7.928261161E-1,-1.291139126E0,-4.527271688E-1
6.945607320E-1,7.500655651E-1,-1.308243275E0,-4.307360351E-1
6.993155760E-1,7.201332450E-1,-1.286862969E0,-4.032471180E-1
7.040704190E-1,6.999746561E-1,-1.249600291E0,-3.836994469E-1
7.088252630E-1,6.810378432E-1,-1.255708933E0,-3.574322462E-1
7.135801070E-1,6.633228064E-1,-1.299080253E0,-3.213912249E-1
7.183348980E-1,6.559923887E-1,-1.313130260E0,-2.877936661E-1
7.230897420E-1,6.559923887E-1,-1.282586932E0,-2.664133906E-1
7.278445860E-1,6.608793139E-1,-1.231274366E0,-2.609156072E-1
7.325994300E-1,6.694314480E-1,-1.173853040E0,-2.682459950E-1
7.373542730E-1,6.773726940E-1,-1.129259944E0,-2.786307037E-1
7.421091170E-1,6.730966568E-1,-1.102381825E0,-2.914588451E-1
7.468639610E-1,6.511055231E-1,-1.091386318E0,-3.122282624E-1
7.516188050E-1,6.120101213E-1,-1.105436206E0,-3.317759335E-1
7.563736480E-1,5.625301003E-1,-1.144531488E0,-3.452149630E-1
7.611284920E-1,5.106065869E-1,-1.211726665E0,-3.403280377E-1
7.658833360E-1,4.635699987E-1,-1.268537045E0,-3.329976499E-1
7.706381800E-1,4.201986194E-1,-1.311908484E0,-3.299433291E-1
7.753930230E-1,3.878227770E-1,-1.347949505E0,-3.299433291E-1
7.801478670E-1,3.658316433E-1,-1.387044787E0,-3.397171795E-1
7.849027110E-1,3.554469347E-1,-1.437746644E0,-3.519344628E-1
7.896575550E-1,3.609447181E-1,-1.489059210E0,-3.653734922E-1
7.944123980E-1,3.811032772E-1,-1.533041477E0,-3.769799173E-1
7.991671900E-1,4.171442986E-1,-1.583132386E0,-3.775908053E-1
8.039220340E-1,4.660134614E-1,-1.639942884E0,-3.647626340E-1
8.086768780E-1,5.234347582E-1,-1.694920659E0,-3.525453210E-1
8.134317210E-1,5.845212340E-1,-1.757839799E0,-3.403280377E-1
8.181865650E-1,6.449968219E-1,-1.843971729E0,-3.256672919E-1
8.229414090E-1,7.091376781E-1,-1.941710114E0,-3.067304790E-1
8.276962530E-1,7.854957581E-1,-2.022955179E0,-2.829067409E-1
8.324510960E-1,8.722385764E-1,-2.083430767E0,-2.664133906E-1
8.372059400E-1,9.681442976E-1,-2.142073631E0,-2.645808160E-1
8.419607840E-1,1.068937063E0,-2.220264435E0,-2.676351368E-1
8.467156280E-1,1.183168769E0,-2.289902925E0,-2.615264952E-1
8.514704710E-1,1.313282967E0,-2.338161230E0,-2.548069656E-1
8.562253150E-1,1.448284030E0,-2.384587049E0,-2.438113987E-1
8.609801590E-1,1.576565623E0,-2.465221167E0,-2.157116234E-1
8.657350030E-1,1.703014612E0,-2.581285477E0,-1.692859083E-1
8.704898460E-1,1.829463601E0,-2.702236652E0,-1.106428802E-1
8.752446900E-1,1.940641046E0,-2.848844290E0,-4.161516204E-2
8.799995340E-1,2.015166521E0,-3.049207926E0,2.985601686E-2
8.847543780E-1,2.057316303E0,-3.264232397E0,9.521854669E-2
8.895091690E-1,2.066479206E0,-3.448713541E0,1.526398361E-1
8.942640130E-1,2.035935879E0,-3.624642611E0,2.106719911E-1
8.990188570E-1,1.975460291E0,-3.755978346E0,2.632063627E-1
9.037737010E-1,1.890550137E0,-3.843332052E0,3.120755553E-1
9.085285440E-1,1.779983640E0,-3.880594969E0,3.603338599E-1
9.132833880E-1,1.652312875E0,-3.862268925E0,4.134790897E-1
9.180382320E-1,1.513035655E0,-3.785910845E0,4.715112448E-1
9.227930760E-1,1.364595532E0,-3.663737774E0,5.332086086E-1
9.275479190E-1,1.205770731E0,-3.524460793E0,6.040689349E-1
9.323027630E-1,1.050000191E0,-3.402287722E0,6.761509776E-1
9.370576070E-1,9.229403138E-1,-3.312490702E0,7.341831326E-1
9.418124510E-1,8.459713459E-1,-3.245906353E0,7.726675868E-1
9.465672940E-1,8.306997418E-1,-3.192761183E0,7.946587205E-1
9.513221380E-1,8.642973304E-1,-3.157330990E0,8.111520410E-1
9.560769820E-1,9.272163510E-1,-3.149389744E0,8.288671374E-1
9.608318260E-1,9.956332445E-1,-3.169548273E0,8.508582711E-1
