"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.207682800E-2,5.324274370E1,1.041230930E1,1.606034620E1,0.000000000E0,0.000000000E0,1.790999985E1,1.000000000E0
1.750723750E0,5.324276080E1,1.041218998E1,1.767613255E1,0.000000000E0,0.000000000E0,7.953794956E0,9.905893326E0
2.749374531E0,5.324274581E1,1.041220917E1,1.813148698E1,1.299999952E0,1.311999969E2,4.997277260E0,7.137171268E0
3.748719374E0,5.324274295E1,1.041223639E1,2.195239689E1,1.149999976E0,1.491999969E2,3.790092468E0,4.491074562E0
4.749123228E0,5.324273238E1,1.041224202E1,2.306126575E1,1.059999943E0,1.406999969E2,3.790092468E0,3.833709955E0
5.748724947E0,5.324272234E1,1.041225817E1,2.455959743E1,1.250000000E0,1.450000000E2,3.790092468E0,3.393715620E0
6.749195311E0,5.324270909E1,1.041226576E1,2.469098356E1,1.539999962E0,1.468000031E2,3.790092468E0,3.028983355E0
7.749558331E0,5.324269491E1,1.041227493E1,2.398545372E1,1.590000033E0,1.496000061E2,3.790092468E0,3.001571417E0
8.748986977E0,5.324268203E1,1.041228634E1,2.444179039E1,1.460000038E0,1.511000061E2,3.790092468E0,3.262541056E0
9.749117288E0,5.324267076E1,1.041229706E1,2.537591293E1,1.299999952E0,1.506000061E2,3.790092468E0,3.027794123E0
1.074938724E1,5.324265938E1,1.041230588E1,2.519596119E1,1.309999943E0,1.540000000E2,3.790092468E0,2.994161129E0
1.174951510E1,5.324264694E1,1.041231406E1,2.485328831E1,1.409999967E0,1.558000031E2,3.790092468E0,3.113656521E0
1.274879453E1,5.324263428E1,1.041232401E1,2.523382011E1,1.340000033E0,1.575000000E2,3.790092468E0,3.113271952E0
1.374909260E1,5.324262201E1,1.041233266E1,2.482461902E1,1.250000000E0,1.561999969E2,3.790092468E0,3.190254450E0
1.474882177E1,5.324261028E1,1.041234108E1,2.491609022E1,1.259999990E0,1.548000031E2,3.790092468E0,2.917938471E0
1.574942744E1,5.324259807E1,1.041234997E1,2.418315868E1,1.379999995E0,1.551000061E2,3.790092468E0,2.822301388E0
1.674965963E1,5.324258271E1,1.041235962E1,2.393441401E1,1.590000033E0,1.553999939E2,3.790092468E0,2.758951664E0
1.774886723E1,5.324256868E1,1.041236830E1,2.337573514E1,1.360000014E0,1.540000000E2,3.790092468E0,2.827077389E0
1.874934020E1,5.324255605E1,1.041237604E1,2.334855283E1,1.370000005E0,1.546999969E2,3.790092468E0,2.721553087E0
1.974955895E1,5.324254343E1,1.041238294E1,2.360017941E1,1.370000005E0,1.626999969E2,3.790092468E0,2.912474155E0
2.074882390E1,5.324253091E1,1.041239001E1,2.316979924E1,1.379999995E0,1.618999939E2,3.790092468E0,2.727329969E0
2.174906666E1,5.324251831E1,1.041239795E1,2.229435032E1,1.429999948E0,1.596999969E2,3.790092468E0,2.676546812E0
2.274940504E1,5.324250604E1,1.041240798E1,2.235804919E1,1.370000005E0,1.536000061E2,3.790092468E0,2.622824907E0
2.374960088E1,5.324249304E1,1.041241494E1,2.167675280E1,1.419999957E0,1.685000000E2,3.790092468E0,2.500000000E0
