Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00031742,2.310404539,-11.36078644,1.149216771
10.00231746,2.396595955,-11.67682076,1.209071875
10.00431749,2.427720547,-11.83004951,1.240196466
10.00631752,2.511517525,-12.1029892,1.285686255
10.00831756,2.573766708,-12.34719753,1.343147159
10.01031756,2.592920542,-12.46930218,1.391031146
10.01231756,2.640804529,-12.68956852,1.446097851
10.01431839,2.67432332,-12.8356142,1.484405041
10.01631839,2.67671752,-12.88110447,1.489193439
10.01831839,2.67671752,-12.94335365,1.477222443
10.02031839,2.671929121,-12.96729565,1.460463047
10.02231835,2.604891539,-12.95771885,1.414973259
10.02431832,2.573766708,-12.94335365,1.37666595
10.02631829,2.509123325,-12.91701698,1.333570361
10.02831825,2.353500366,-12.8499794,1.252167463
10.03031822,2.197877169,-12.76857662,1.168370485
10.03231802,2.020706177,-12.69435692,1.082179189
10.03431798,1.920149803,-12.63450146,1.024718285
10.03631795,1.726219416,-12.50282097,0.9337386489
10.03831795,1.618480325,-12.44296551,0.9074024558
10.04031798,1.422155857,-12.30889034,0.8451532125
10.04231802,1.22583127,-12.1676321,0.7709329724
10.04431765,1.108515382,-12.11735439,0.7350199223
10.04631768,0.8786720037,-12.00243282,0.6655880809
10.04831772,0.6655880809,-11.93060589,0.6200982332
10.05031775,0.5650315881,-11.81807899,0.5243301988
10.05231778,0.383072257,-11.70794582,0.4453215301
10.05431778,0.2920926213,-11.65527344,0.4070142806
10.05631775,0.1221042871,-11.57865906,0.3327940404
10.05831771,-0.01675941236,-11.49965,0.248996973
10.06031768,-0.0718260482,-11.45415974,0.2059013397
10.06231764,-0.1939303428,-11.37754536,0.1388636976
10.06431761,-0.3256114423,-11.34881496,0.08619125932
10.06631758,-0.3711012602,-11.34163284,0.0718260482
10.06831754,-0.4333505034,-11.32726765,0.007182605099
10.07031754,-0.457292527,-11.30093098,-0.0359130241
10.07231758,-0.5195417404,-11.26741219,-0.1891419291
10.07431678,-0.5530605912,-11.26262379,-0.2346317619
10.07631614,-0.5841852427,-11.25544167,-0.2968810201
10.07831618,-0.6584054828,-11.24347019,-0.3663128614
10.08031621,-0.7158663273,-11.2243166,-0.3687070608
10.08231624,-0.7757213712,-11.1955862,-0.4046200812
10.08431627,-0.8044517636,-11.17643261,-0.4405331016
10.08631631,-0.8667010069,-11.10221291,-0.5315127969
10.08831631,-0.8906430602,-11.07587624,-0.5746083856
10.09031631,-0.9241618514,-11.03756905,-0.605733037
10.09231647,-0.9457096457,-11.02081013,-0.5889736414
10.09431647,-0.9552865028,-10.98968506,-0.5506663918
10.09631647,-0.9313444495,-10.96574306,-0.4740519226
10.09831647,-0.9169792533,-10.97771454,-0.4333505034
10.10031644,-0.8451532125,-11.07587624,-0.3663128614
10.1023164,-0.6943184733,-11.2147398,-0.2920926213
10.10431637,-0.6224924326,-11.29614258,-0.2609679997
10.10631634,-0.4453215301,-11.44458294,-0.2059013397
10.1083163,-0.2777273953,-11.60499477,-0.1867477298
10.1103158,-0.2226607651,-11.67442703,-0.1867477298
10.11231577,-0.04788403213,-11.8132906,-0.1939303428
10.11431574,-0.004788403399,-11.95694256,-0.1939303428
10.11631574,0.009576806799,-12.02876854,-0.1867477298
10.11831574,0.0359130241,-12.15326691,-0.1532289088
10.12031577,0.004788403399,-12.19396877,-0.1197100878
10.1223158,-0.07422025502,-12.22269917,0.03830722719
10.12431583,-0.1364694983,-12.21551609,0.1316810995
10.12631587,-0.2059013397,-12.19396877,0.2442085743
10.1283159,-0.3734954596,-12.12214279,0.5027823448
10.13031593,-0.5363011956,-12.01679802,0.7661445141
10.13231593,-0.6679822803,-11.90666389,1.019929886
10.1343155,-0.7182605267,-11.86117458,1.156399369
10.13631613,-0.7852981687,-11.76061821,1.426944256
10.1383161,-0.7948749661,-11.71991634,1.553836942
10.14031606,-0.7661445141,-11.67442703,1.759738207
10.14231603,-0.7015010715,-11.65287876,1.922544003
10.144316,-0.6512228847,-11.66724396,1.987187386
10.14631596,-0.5530605912,-11.68639755,2.099714994
10.14831596,-0.4764461517,-11.70315742,2.161964178
10.150316,-0.4333505034,-11.71752262,2.183511972
10.15231603,-0.3088520169,-11.74625301,2.226607561
10.15431606,-0.2442085743,-11.76061821,2.238578558
10.15631609,-0.1125274822,-11.74864674,2.257732153
10.15831613,0.01197100803,-11.73188782,2.262520552
10.16031616,0.08858546615,-11.71512794,2.260126352
10.16231619,0.3351882398,-11.63611984,2.274491549
10.16431663,0.4141969085,-11.59781265,2.272097349
10.16631663,0.5075707436,-11.55950546,2.279279947
10.16831663,0.6799532771,-11.46134281,2.257732153
10.17031703,0.8786720037,-11.32008457,2.248155355
10.17231703,1.074996591,-11.1309433,2.185906172
10.17431759,1.185129881,-11.02320385,2.15478158
10.17631759,1.283292055,-10.92264748,2.140416384
10.17831759,1.479616642,-10.69998646,2.099714994
10.18031756,1.628057122,-10.51563358,2.056619167
10.18231752,1.738190413,-10.35043335,2.030282974
10.18431749,1.802833915,-10.2618475,2.023100376
10.18631746,1.968033791,-10.12298393,2.035071373
10.18831742,2.080561161,-10.09185982,2.051830769
10.19031739,2.300827742,-10.08228302,2.102109194
10.19231735,2.501940727,-10.11101341,2.087743998
10.19431815,2.595314741,-10.15650272,2.066195965
10.19631815,2.7509377,-10.27142429,2.001552582
10.19831735,2.839523315,-10.31930828,2.001552582
10.20031739,3.066972494,-10.41028786,2.049436569
10.20231742,3.308786631,-10.5515461,2.087743998
10.20431705,3.426102638,-10.64252567,2.126051188
10.20631709,3.64158082,-10.8460331,2.281674147
10.20831712,3.813963413,-11.09024143,2.48996973
10.21031712,3.881000996,-11.20276928,2.580949545
10.21231708,4.192247391,-11.62175465,2.79163909
10.21431705,4.30956316,-11.77258873,2.794033289
10.21631702,4.438849926,-11.91863537,2.755726099
10.21831698,4.687847137,-12.18918037,2.56658411
10.22031695,4.814739704,-12.43578243,2.26970315
10.22231692,4.865017891,-12.67759705,1.905784607
10.22431688,4.872200489,-12.79251862,1.719036818
10.22631688,4.884171486,-12.90504646,1.347935557
10.22831691,4.891354084,-13.0558815,1.161187768
10.23031695,4.917989731,-13.08940029,0.7781155705
10.23231698,4.929960728,-13.08940029,0.349553436
10.23431648,4.949114323,-13.09897709,0.1244984865
10.23631651,4.99699831,-13.12052441,-0.2849099934
10.23831655,5.016151905,-13.1301012,-0.4620809257
10.24031658,5.056853294,-13.22586918,-0.7948749661
10.24231661,5.138256073,-13.35755062,-1.084573388
10.24431661,5.200505257,-13.434165,-1.249773264
10.24631661,5.372888088,-13.61373043,-1.618480325
10.24831661,5.492598057,-13.76695919,-1.965639591
10.25031661,5.521328449,-13.82441998,-2.152387381
10.25231661,5.547664642,-13.93934155,-2.494758129
10.25431661,5.547664642,-14.03510952,-2.650381327
10.25631661,5.545270443,-14.27213573,-2.8969841
10.25831741,5.583577633,-14.53310394,-3.033453465
10.26031738,5.641038418,-14.68393803,-3.040636063
10.26231734,5.799055576,-15.08406925,-2.877830505
10.26431771,5.825392246,-15.1965971,-2.779668093
10.26631768,5.844545841,-15.28278828,-2.667140722
10.26831764,5.854122639,-15.44319916,-2.475604534
10.27031761,5.825392246,-15.60361099,-2.257732153
10.27231761,5.775113583,-15.72332096,-2.039859772
10.27431761,5.74877739,-15.76402283,-1.917755604
10.27631764,5.648221016,-15.86697292,-1.632845521
10.27831767,5.583577633,-15.89091492,-1.453280449
10.28031771,5.454290867,-15.91246319,-1.106121182
10.28231774,5.310638428,-15.89091492,-0.8140285611
10.28431777,5.241206646,-15.8645792,-0.653617084
10.28631781,5.131073475,-15.78557014,-0.323217243
10.28831781,4.951508522,-15.72810936,-0.1771709323
10.29031777,4.886565685,-15.57727528,0.06943184882
10.29231774,4.814739704,-15.39770985,0.2442085743
10.29431737,4.79079771,-15.31151867,0.3064578176
10.29631734,4.75249052,-15.10801125,0.3974374831
10.2983173,4.797980309,-14.93802261,0.4764461517
10.30031727,4.814739704,-14.85422611,0.5051765442
10.30231724,4.932354927,-14.70099735,0.6105214357
10.30431724,5.032911301,-14.52352715,0.7110779285
10.30631784,5.090372086,-14.39902782,0.7422025204
10.30831787,5.253177643,-14.12848377,0.8092401624
10.3103179,5.368099689,-13.94891834,0.8499416113
10.31231793,5.760748386,-13.41022301,1.012747288
10.31431797,5.902006626,-13.21868706,1.060631394
10.316318,6.033687592,-13.02475643,1.113303781
10.31831803,6.265924931,-12.61534786,1.201889277
10.32031807,6.37127018,-12.14847851,1.268926859
10.32231807,6.388029575,-11.64090824,1.271321058
10.32431767,6.373664379,-11.37994003,1.26653266
10.32631767,6.282684326,-10.8316679,1.254561663
10.32831767,6.23001194,-10.56112289,1.221042871
10.33031767,6.095936775,-9.991303444,1.168370485
10.33231767,5.88764143,-9.47176075,1.18991828
10.33431767,5.794267178,-9.232340813,1.18991828
10.33631763,5.552453041,-8.76068306,1.163581967
10.3383176,5.392041683,-8.542811394,1.144428372
10.34031756,5.133467674,-8.166921616,1.04147768
10.34231686,4.817133904,-7.843704224,0.962469101
10.34431683,4.654327869,-7.683292389,0.9002198577
10.3463168,4.345476151,-7.369652271,0.7038952708
10.34831636,4.007893562,-7.091924667,0.5195417404
10.35031636,3.881000996,-6.938695908,0.4501099288
10.35231636,3.732560396,-6.663362503,0.2873041928
10.35431633,3.667917013,-6.397606373,0.05506663769
10.35631636,3.60566783,-6.263530731,-0.05267243832
10.35831639,3.543418407,-6.007351398,-0.2801215947
10.36031643,3.538630009,-5.892429829,-0.4165911078
10.36231646,3.538630009,-5.588366032,-0.8523358107
10.36431649,3.502717018,-5.514145851,-1.017535686
10.36631593,3.459621429,-5.463867664,-1.247379065
10.36831593,3.299209833,-5.48062706,-1.948880196
10.37031589,2.990357876,-5.574000835,-2.466027737
10.37231586,2.7533319,-5.655403614,-2.995146275
10.37431582,2.657563925,-5.686528206,-3.227383852
10.37631579,2.442085743,-5.727229595,-3.610456228
10.37831576,2.343923569,-5.751171589,-3.749319792
10.38031572,2.15478158,-5.839757442,-4.046200752
10.38231532,2.006340981,-5.921160221,-4.414907932
10.38431576,1.936909199,-5.949890614,-4.57531929
10.38631579,1.699883223,-6.007351398,-4.841075897
10.38831582,1.462857246,-6.143820763,-5.061641693
10.39031585,1.383848548,-6.222829342,-5.145438671
10.39231589,1.216254473,-6.380846977,-5.176563263
10.39431592,1.15400517,-6.443096161,-5.116708279
10.39631595,1.015141487,-6.553229332,-4.951508522
10.39831599,0.8427590132,-6.696881294,-4.707000732
10.40031599,0.7445967197,-6.74955368,-4.582501888
10.40231665,0.3734954596,-7.017704487,-3.857059002
10.40431665,0.2873041928,-7.094318867,-3.509899616
10.40631665,0.2202665508,-7.19726944,-3.150769472
10.40831705,0.06224924326,-7.491756439,-2.370259762
10.41031705,-0.1795651317,-7.826944828,-1.608903527
10.41231705,-0.4333505034,-8.176498413,-0.7757213712
10.41431738,-0.5746083856,-8.356062889,-0.4764461517
10.41631735,-0.7062895298,-8.547599792,-0.2226607651
10.41831732,-0.8379706144,-8.877999306,0.1053448766
10.42031728,-0.988805294,-9.182063103,0.215478152
10.42231725,-0.9935936928,-9.445425034,0.1388636976
10.42431722,-1.00317049,-9.560346603,0.1005564705
10.42631718,-0.9911994934,-9.730335236,-0.07422025502
10.42831715,-0.9265560508,-9.814131737,-0.2011129409
10.43031715,-0.7637503147,-9.969755173,-0.3998316824
10.43231718,-0.5722141862,-9.998485565,-0.5793967843
10.43431721,-0.4812345505,-10.01045704,-0.7158663273
10.43631725,-0.2968810201,-9.974543571,-1.007958889
10.43831728,-0.0359130241,-9.926659584,-1.201889277
10.44031731,0.1149216816,-9.732728958,-1.283292055
10.44231774,0.383072257,-9.502885818,-1.436521053
10.44431775,0.5147533417,-9.375992775,-1.501164436
10.44631774,0.7517793179,-9.081506729,-1.601720929
10.44831771,1.051054597,-8.767866135,-1.678335428
10.45031768,1.211466074,-8.593089104,-1.707065821
10.45231764,1.604115129,-8.052000046,-1.692700624
10.45431734,1.762132406,-7.862857819,-1.663970232
10.45631731,1.9321208,-7.661744595,-1.618480325
10.45831728,2.260126352,-7.237970829,-1.505952835
10.46031728,2.49236393,-6.830956936,-1.414973259
10.46231731,2.655169725,-6.40718317,-1.355118155
10.46431734,2.724601507,-6.215646744,-1.340752959
10.46631737,2.832340717,-6.04087019,-1.316810966
10.46831741,2.887407303,-5.645826817,-1.268926859
10.47031744,2.940079689,-5.30345583,-1.276109457
10.47231747,2.987963676,-4.973056316,-1.290474772
10.47431751,3.007117271,-4.833893299,-1.278503656
10.47631687,3.071760893,-4.560954094,-1.22822547
10.47831687,3.105279684,-4.419696331,-1.221042871
10.48031687,3.155557871,-4.151545525,-1.242590666
10.48231687,3.179499865,-3.919308186,-1.285686255
10.48431614,3.189076662,-3.806780815,-1.323993564
10.48631614,3.205836058,-3.615244627,-1.422155857
10.48831614,3.292027235,-3.440467834,-1.474828243
10.49031577,3.349488258,-3.34469986,-1.482010841
10.49231574,3.471592426,-3.165134668,-1.465251446
10.4943157,3.545812607,-3.088520288,-1.472434044
10.49631567,3.701435804,-2.97599268,-1.484405041
10.49831564,3.830722809,-2.837129116,-1.484405041
10.5003156,3.873818398,-2.743755102,-1.48679924
10.50231557,3.97676897,-2.437297344,-1.438915253
10.50431553,3.998316765,-2.322375536,-1.41018486
10.5063155,4.01747036,-2.209848166,-1.383848548
10.5083158,4.022258759,-2.04464817,-1.347935557
10.51031583,4.022258759,-1.891419291,-1.276109457
10.51231587,4.01507616,-1.745373011,-1.180341482
10.51431666,4.027047157,-1.707065821,-1.132457376
10.5163167,4.003105164,-1.611297727,-1.019929886
10.51831673,3.988739967,-1.56101954,-0.9552865028
10.52031676,3.909731388,-1.479616642,-0.8451532125
10.52231676,3.811569214,-1.400607944,-0.720654726
10.52431676,3.797203779,-1.359906554,-0.672770679
10.52631673,3.833117008,-1.268926859,-0.5554547906
10.5283167,3.837905407,-1.256955862,-0.4764461517
10.53031666,3.840299606,-1.22822547,-0.3208230138
10.53231623,3.873818398,-1.261744261,-0.2082955539
10.53431619,3.897760391,-1.307234168,-0.1556231081
10.53631683,3.97916317,-1.359906554,-0.004788403399
10.53831683,4.060565948,-1.41257906,0.2226607651
10.54031683,4.058171749,-1.453280449,0.3208230138
10.54231683,4.036623955,-1.491587639,0.4596867263
10.54431756,4.027047157,-1.541865945,0.6224924326
10.54631756,4.01747036,-1.584961534,0.7062895298
10.54831756,3.948038578,-1.656787634,0.8810662031
10.55031793,3.890577793,-1.699883223,0.9983820915
10.55231793,3.761290789,-1.843535304,1.319205165
10.55431793,3.711012602,-1.903390408,1.431732655
10.55631796,3.646369219,-1.972822189,1.546654344
10.55831799,3.481169224,-2.15478158,1.742978811
10.56031802,3.318363667,-2.372653961,1.982398987
10.56231806,3.086126089,-2.679111719,2.255337954
10.56431809,2.944868088,-2.853888512,2.389413357
10.56631812,2.719813108,-3.227383852,2.669534922
10.56831786,2.624045134,-3.428496838,2.829946518
10.57031786,2.401384354,-3.8642416,3.134010077
10.57231782,2.240972757,-4.307168961,3.490746021
10.57431819,2.181117773,-4.546588898,3.672705412
10.57631816,2.042253971,-4.992209911,4.070142746
10.57831812,1.996764183,-5.231629848,4.276044369
10.58031809,1.948880196,-5.717652798,4.714183331
10.58231805,1.89620769,-6.26831913,5.198111057
10.58431802,1.8602947,-6.56041193,5.444714069
10.58631802,1.824381709,-7.142202854,5.947496414
10.58831805,1.774103403,-7.788637638,6.536469936
10.59031808,1.750161409,-8.152556419,6.850110531
10.59231852,1.647210717,-8.885181427,7.561188221
10.59431855,1.529894829,-9.672874451,8.380004883
10.59631858,1.465251446,-10.08228302,8.810961723
10.59831862,1.328781962,-10.97531986,9.703998566
10.60031865,1.11569798,-11.44937134,10.16607952
10.60231868,0.7948749661,-12.93856525,11.57387066
10.60431868,0.6224924326,-13.45571327,12.00482655
10.60631868,0.4620809257,-13.99680233,12.43099403
10.60831868,0.1508347094,-15.10082912,13.16840839
10.61031868,-0.1675941199,-16.19258499,13.64485455
10.61231868,-0.6272808313,-17.3034935,13.92497635
10.61431828,-0.8858546019,-17.86613083,14.01595592
10.61631825,-1.367089152,-18.95549393,14.20030975
10.61831822,-1.606509328,-19.49418831,14.24819374
10.62031782,-2.126051188,-20.46862793,14.55465126
10.62231778,-2.60010314,-21.33772469,14.96196461
10.62431775,-2.853888512,-21.7519207,15.01224327
10.62631771,-3.347094059,-22.54200745,14.80873585
10.62831768,-3.600879431,-23.14774132,14.30086613
10.63031764,-3.694253206,-23.40631485,13.96567822
10.63231764,-3.804386616,-23.74868584,13.13249588
10.63431678,-3.897760391,-23.86600113,12.69914532
10.63631681,-4.01507616,-23.99768257,11.66485023
10.63831684,-4.115632534,-23.95937538,10.77420712
10.64031688,-4.060565948,-23.81332779,10.31691456
10.64231691,-4.170699596,-23.41349792,8.968978882
10.64431654,-4.30956316,-22.84846497,8.573935509
10.64631658,-4.450820923,-22.49651718,8.200440407
10.64831658,-4.592078686,-21.60826874,7.589918613
10.65031654,-4.177882195,-20.308218,7.132626057
10.65231651,-3.442862034,-18.80944633,6.780678272
10.65431647,-3.071760893,-18.08639908,6.668150902
10.65631644,-2.729389906,-17.40405083,6.589142323
10.65831641,-2.159569979,-16.20216179,6.579565525
10.66031637,-1.687912226,-15.17026043,6.617872715
10.66231634,-1.26413846,-14.21228027,6.589142323
10.66431677,-1.15400517,-13.79090118,6.613084316
10.6663168,-1.063025594,-12.99123764,6.687304497
10.66831684,-1.019929886,-12.60337734,6.742371082
10.67031687,-0.9935936928,-11.9018755,6.931513309
10.6723169,-1.106121182,-11.33684444,7.178115845
10.67431734,-1.094150186,-11.07348251,7.338527679
10.6763167,-1.00556469,-10.52042198,7.60428381
10.67831674,-1.00317049,-10.2522707,7.75511837
10.68031714,-1.010353088,-9.866804123,7.747935772
10.68231714,-1.132457376,-9.579500198,7.67850399
10.68431714,-1.216254473,-9.438241959,7.671321392
10.68631714,-1.393425345,-9.170091629,7.616254807
10.68831714,-1.498770237,-8.904335022,7.56358242
10.69031624,-1.508347034,-8.765471458,7.501333237
10.69231557,-1.601720929,-8.502109528,7.094318867
10.69431553,-1.632845521,-8.353669167,6.897994518
10.6963146,-1.673547029,-8.286631584,6.653785706
10.69831457,-1.759738207,-8.181286812,6.131849766
10.70031387,-1.786074519,-8.154950142,5.571606636
10.70231293,-1.70946002,-8.063970566,5.104737282
10.7043124,-1.659181833,-8.054393768,4.901230335
10.70631146,-1.570596337,-8.044816971,4.702212334
10.70831053,-1.362300754,-8.075942039,4.369418144
10.7103102,-1.213860273,-8.126219749,4.09169054
10.7123098,-1.024718285,-8.159738541,3.778050184
10.71430983,-0.9097966552,-8.217199326,3.581725836
10.7163092,-0.672770679,-8.334515572,3.124433279
10.71830856,-0.5291185975,-8.413523674,2.837129116
10.72030769,-0.2202665508,-8.71040535,2.255337954
10.72230683,0.02154781483,-9.201216698,1.319205165
10.72430553,0.1029506698,-9.502885818,0.7565677166
10.72630463,0.2609679997,-10.14213753,-0.5746083856
10.72830369,0.4788403511,-10.72871685,-2.166752577
10.73030276,0.6177040339,-11.00883865,-3.021482468
10.73230182,0.9097966552,-11.50683308,-4.8291049
10.73430089,1.079784989,-11.72709942,-5.691316605
10.73630062,1.467645645,-12.13650799,-7.348104477
10.73829969,1.912967205,-12.49084949,-8.794201851
10.74029876,2.094926596,-12.63928986,-9.435848236
10.74229819,2.214636564,-13.04391003,-10.63773727
10.74429732,2.214636564,-13.1301012,-10.82448483
10.74629646,2.252943754,-13.17559147,-10.80772591
10.74829559,2.37744236,-13.21629238,-9.680056572
10.75029695,2.602497339,-13.20911026,-7.999327183
10.75229765,3.028665066,-13.13728428,-6.103119373
10.75429679,3.323152065,-13.04869843,-5.26514864
10.75629772,4.000710964,-12.72548103,-3.897760391
10.75829709,4.38378334,-12.47887897,-3.394978046
10.76029692,5.044882298,-11.86117458,-2.722207308
10.76229782,5.602731228,-11.1309433,-2.401384354
10.76429805,5.787084579,-10.75265884,-2.322375536
10.76629895,6.088754177,-9.986514091,-2.092532396
10.76829948,6.258742332,-9.61301899,-1.917755604
10.77029982,6.416759968,-8.940248489,-1.197100878
10.77230022,6.419154167,-8.425495148,0.1987187415
10.77430018,6.440701962,-8.219594002,1.158793569
10.77630082,6.495768547,-7.925107002,3.869029999
10.77830145,6.773495674,-7.661744595,7.582736015
10.78030165,6.993762493,-7.446266651,9.440636635
