"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.834559700E-2,-1.074996591E0,3.785232782E0,8.947430611E0
2.033459700E-2,-1.122880578E0,3.883395195E0,8.892364502E0
2.234559700E-2,-1.139639974E0,3.957615376E0,8.844480515E0
2.435109700E-2,-1.146822572E0,4.017470360E0,8.806173325E0
2.635476300E-2,-1.132457376E0,4.058171749E0,8.782231331E0
2.835751300E-2,-1.113303781E0,4.089296341E0,8.765471458E0
3.035971300E-2,-1.089361787E0,4.106055737E0,8.760683060E0
3.236154600E-2,-1.060631394E0,4.106055737E0,8.763077736E0
3.436311700E-2,-1.034295082E0,4.101267338E0,8.770259857E0
3.636449200E-2,-1.012747288E0,4.084507942E0,8.782231331E0
3.836449200E-2,-9.959878922E-1,4.055777550E0,8.803778648E0
4.036299200E-2,-9.864110947E-1,4.029441357E0,8.827720642E0
4.236408200E-2,-9.888052940E-1,4.000710964E0,8.861239433E0
4.436283200E-2,-9.959878922E-1,3.969586372E0,8.901941299E0
4.636375500E-2,-1.005564690E0,3.933673382E0,8.942642212E0
4.836461200E-2,-1.015141487E0,3.897760391E0,8.988132477E0
5.036661200E-2,-1.015141487E0,3.861847401E0,9.036016464E0
5.236736200E-2,-1.012747288E0,3.833117008E0,9.081506729E0
5.436800900E-2,-1.007958889E0,3.804386616E0,9.126996040E0
5.636862000E-2,-1.003170490E0,3.780444384E0,9.167697906E0
5.836919800E-2,-9.888052940E-1,3.761290789E0,9.206005096E0
6.036934800E-2,-9.672574997E-1,3.749319792E0,9.239523888E0
6.236987100E-2,-9.433154464E-1,3.739742994E0,9.268254280E0
6.437037100E-2,-9.074024558E-1,3.734954596E0,9.289801598E0
6.637084900E-2,-8.595184088E-1,3.737348795E0,9.304166794E0
6.837130700E-2,-8.116343617E-1,3.739742994E0,9.313743591E0
7.037174700E-2,-7.565677166E-1,3.742137194E0,9.313743591E0
7.237217000E-2,-6.967126727E-1,3.742137194E0,9.304166794E0
7.437257700E-2,-6.440402865E-1,3.739742994E0,9.289801598E0
7.637296900E-2,-5.913678408E-1,3.739742994E0,9.263465881E0
7.837334800E-2,-5.458779931E-1,3.737348795E0,9.225158691E0
8.037371400E-2,-5.051765442E-1,3.737348795E0,9.186851501E0
8.237371400E-2,-4.740519226E-1,3.732560396E0,9.141361237E0
8.437371400E-2,-4.477157295E-1,3.727771997E0,9.098265648E0
8.637374700E-2,-4.357447028E-1,3.725377798E0,9.059958458E0
8.837378000E-2,-4.381389022E-1,3.718195200E0,9.021651268E0
9.037381300E-2,-4.477157295E-1,3.713406801E0,8.988132477E0
9.237384600E-2,-4.716577232E-1,3.711012602E0,8.954613686E0
9.437387900E-2,-5.075707436E-1,3.706224203E0,8.923488617E0
9.637391200E-2,-5.458779931E-1,3.703830004E0,8.894758224E0
9.837431200E-2,-5.913678408E-1,3.706224203E0,8.868422508E0
1.003752120E-1,-6.392518282E-1,3.715801001E0,8.839692116E0
1.023751780E-1,-6.823474765E-1,3.727771997E0,8.813355446E0
1.043760440E-1,-7.230489254E-1,3.742137194E0,8.779836655E0
1.063760100E-1,-7.589619160E-1,3.756502390E0,8.751106262E0
1.083759760E-1,-7.876923680E-1,3.773261786E0,8.715193748E0
1.103753420E-1,-8.068459630E-1,3.792415380E0,8.669703484E0
1.123753080E-1,-8.236053586E-1,3.813963413E0,8.624214172E0
1.143753080E-1,-8.283938169E-1,3.835511208E0,8.566753387E0
1.163753080E-1,-8.307880163E-1,3.852270603E0,8.502109528E0
1.183753410E-1,-8.307880163E-1,3.864241600E0,8.442254066E0
1.203756410E-1,-8.307880163E-1,3.876212597E0,8.380004883E0
1.223756740E-1,-8.331822157E-1,3.885789394E0,8.322544098E0
1.243757070E-1,-8.355764151E-1,3.892971992E0,8.274660110E0
1.263757400E-1,-8.379706144E-1,3.895366192E0,8.236352921E0
1.283757730E-1,-8.451532125E-1,3.897760391E0,8.210017204E0
1.303758060E-1,-8.547300100E-1,3.897760391E0,8.193257332E0
1.323758060E-1,-8.667010069E-1,3.895366192E0,8.186075211E0
1.343758060E-1,-8.762778044E-1,3.892971992E0,8.181286812E0
1.363758060E-1,-8.858546019E-1,3.892971992E0,8.186075211E0
1.383758060E-1,-8.930372596E-1,3.892971992E0,8.200440407E0
1.403758060E-1,-8.978256583E-1,3.895366192E0,8.217199326E0
1.423758060E-1,-9.002198577E-1,3.907337189E0,8.238747597E0
1.443758060E-1,-8.954314590E-1,3.921702385E0,8.262689590E0
1.463757720E-1,-8.906430602E-1,3.936067581E0,8.284236908E0
1.483757380E-1,-8.858546019E-1,3.952826977E0,8.308178902E0
1.503757040E-1,-8.834604025E-1,3.967192173E0,8.332120895E0
1.523755040E-1,-8.810662031E-1,3.979163170E0,8.353669167E0
1.543754700E-1,-8.762778044E-1,3.988739967E0,8.375216484E0
1.563754360E-1,-8.667010069E-1,3.988739967E0,8.389581680E0
1.583760690E-1,-8.547300100E-1,3.988739967E0,8.401553154E0
1.603760350E-1,-8.403648138E-1,3.991134167E0,8.413523674E0
1.623760350E-1,-8.259995580E-1,3.995922565E0,8.420706749E0
1.643760680E-1,-8.020575643E-1,4.000710964E0,8.423100471E0
1.663761010E-1,-7.733271718E-1,4.005499363E0,8.425495148E0
1.683761340E-1,-7.469909191E-1,4.007893562E0,8.425495148E0
1.703761670E-1,-7.206547260E-1,4.019864559E0,8.423100471E0
1.723762000E-1,-6.943184733E-1,4.039018154E0,8.420706749E0
1.743762330E-1,-6.727706790E-1,4.058171749E0,8.420706749E0
1.763762660E-1,-6.512228847E-1,4.077325344E0,8.430283546E0
1.783762660E-1,-6.296750307E-1,4.101267338E0,8.442254066E0
1.803762320E-1,-6.105214357E-1,4.125209332E0,8.456619263E0
1.823761980E-1,-5.961562395E-1,4.151545525E0,8.475772858E0
1.843761640E-1,-5.817909837E-1,4.177882195E0,8.494926453E0
1.863761300E-1,-5.674257874E-1,4.206612587E0,8.509291649E0
1.883760960E-1,-5.530605912E-1,4.237737179E0,8.521263123E0
1.903760620E-1,-5.434837937E-1,4.266467571E0,8.530839920E0
1.923760620E-1,-5.363011956E-1,4.295197964E0,8.538022995E0
1.943760620E-1,-5.410895944E-1,4.321534157E0,8.545205116E0
1.963760950E-1,-5.530605912E-1,4.340687752E0,8.547599792E0
1.983761280E-1,-5.770025849E-1,4.343081951E0,8.549993515E0
2.003761610E-1,-6.009446383E-1,4.307168961E0,8.559570312E0
2.023761940E-1,-6.200982332E-1,4.254496574E0,8.571541786E0
2.043762270E-1,-6.416460276E-1,4.168305397E0,8.588300705E0
2.063762600E-1,-6.607996821E-1,4.072536945E0,8.609848976E0
2.083762930E-1,-6.775590777E-1,3.988739967E0,8.629002571E0
2.103762930E-1,-6.919242740E-1,3.909731388E0,8.643367767E0
2.123764590E-1,-7.062895298E-1,3.845088005E0,8.655338287E0
2.143764590E-1,-7.206547260E-1,3.794809580E0,8.672098160E0
2.163764590E-1,-7.398083210E-1,3.758896589E0,8.696040154E0
2.183768590E-1,-7.613561153E-1,3.739742994E0,8.724770546E0
2.203768590E-1,-7.852981687E-1,3.727771997E0,8.753500938E0
2.223768590E-1,-8.092401624E-1,3.722983599E0,8.787019730E0
2.243768250E-1,-8.236053586E-1,3.720589399E0,8.815750122E0
2.263767910E-1,-8.331822157E-1,3.720589399E0,8.834903717E0
2.283767570E-1,-8.403648138E-1,3.713406801E0,8.849268913E0
2.303767230E-1,-8.427590132E-1,3.706224203E0,8.863634109E0
2.323766890E-1,-8.355764151E-1,3.706224203E0,8.873210907E0
2.343766550E-1,-8.164227605E-1,3.713406801E0,8.880393028E0
2.363766210E-1,-7.948749661E-1,3.722983599E0,8.887576103E0
2.383765870E-1,-7.709329724E-1,3.737348795E0,8.897152901E0
2.403765870E-1,-7.493851185E-1,3.756502390E0,8.906729698E0
2.423766200E-1,-7.278373241E-1,3.782838583E0,8.916306496E0
2.443766530E-1,-7.062895298E-1,3.816357613E0,8.918700218E0
2.463766860E-1,-6.895300746E-1,3.849876404E0,8.916306496E0
2.483767190E-1,-6.751648784E-1,3.885789394E0,8.899546623E0
2.503767520E-1,-6.560112834E-1,3.926490784E0,8.866027832E0
2.523767850E-1,-6.416460276E-1,3.962403774E0,8.830115318E0
2.543768180E-1,-6.272808313E-1,3.998316765E0,8.794201851E0
2.563768180E-1,-6.129156351E-1,4.029441357E0,8.760683060E0
2.583767840E-1,-5.961562395E-1,4.060565948E0,8.736741066E0
2.603767500E-1,-5.793967843E-1,4.084507942E0,8.717587471E0
2.623767160E-1,-5.578489900E-1,4.096478939E0,8.712799072E0
2.643766820E-1,-5.386953950E-1,4.106055737E0,8.712799072E0
2.663766480E-1,-5.219359994E-1,4.113238335E0,8.722375870E0
2.683766140E-1,-5.051765442E-1,4.115632534E0,8.731952667E0
