"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.359803037E0,5.323081180E1,1.039769960E1,3.694675344E1,0.000000000E0,0.000000000E0,2.692200089E1,1.116742253E0
3.092129459E0,5.323073389E1,1.039809315E1,3.118031555E1,0.000000000E0,0.000000000E0,1.200000000E1,1.583286381E1
4.094258497E0,5.323077671E1,1.039804308E1,3.035158956E1,0.000000000E0,0.000000000E0,1.200000000E1,1.754044914E1
5.100016419E0,5.323087760E1,1.039803107E1,2.045096053E1,0.000000000E0,0.000000000E0,6.000000000E0,6.681750774E0
6.098643341E0,5.323089178E1,1.039803243E1,1.912836200E1,0.000000000E0,0.000000000E0,8.000000000E0,6.907542229E0
7.115383956E0,5.323089783E1,1.039801651E1,2.027668561E1,5.160176158E-1,2.519667664E2,8.000000000E0,6.280687332E0
8.228165955E0,5.323089626E1,1.039798881E1,2.120650485E1,1.348802924E0,2.827506104E2,8.000000000E0,5.873979568E0
9.274979531E0,5.323090094E1,1.039795901E1,2.233899269E1,1.204761386E0,2.752335510E2,8.000000000E0,5.491858959E0
1.028723311E1,5.323089873E1,1.039793140E1,2.361266006E1,1.220487595E0,2.744356079E2,6.000000000E0,5.170091152E0
1.129351322E1,5.323088729E1,1.039789748E1,2.534158904E1,1.234471440E0,2.729122314E2,6.000000000E0,4.847187996E0
1.229288757E1,5.323088324E1,1.039786808E1,2.638440179E1,1.342521071E0,2.669699402E2,6.000000000E0,4.594770432E0
1.328278407E1,5.323087756E1,1.039784205E1,2.727445215E1,1.316733241E0,2.586336975E2,6.000000000E0,4.350479603E0
1.430354022E1,5.323087111E1,1.039781756E1,2.803740903E1,1.459528804E0,2.569547729E2,6.000000000E0,4.143037319E0
1.528761110E1,5.323086602E1,1.039779125E1,2.884157379E1,1.384420514E0,2.548957520E2,6.000000000E0,3.979454994E0
1.629827922E1,5.323086168E1,1.039776908E1,2.917798949E1,1.337111235E0,2.555755463E2,6.000000000E0,3.924652100E0
1.729465006E1,5.323085910E1,1.039774622E1,2.924587932E1,1.401970983E0,2.550542908E2,6.000000000E0,3.888677359E0
1.829149256E1,5.323085579E1,1.039772437E1,2.920108223E1,1.426861763E0,2.527639618E2,4.000000000E0,3.876704454E0
1.928755756E1,5.323085163E1,1.039769733E1,2.929969391E1,1.544748902E0,2.518650513E2,4.000000000E0,3.874943018E0
2.029646152E1,5.323084772E1,1.039767335E1,2.938988960E1,1.568079472E0,2.525317993E2,4.000000000E0,3.891808748E0
2.129127125E1,5.323084441E1,1.039764838E1,2.966108834E1,1.580278873E0,2.521418915E2,4.000000000E0,3.914875269E0
2.230204468E1,5.323084493E1,1.039762695E1,2.962011505E1,1.530036092E0,2.534969788E2,6.000000000E0,3.948137999E0
2.328835360E1,5.323084521E1,1.039760739E1,2.961362165E1,1.485606432E0,2.572624817E2,6.000000000E0,3.983978510E0
2.429742664E1,5.323084247E1,1.039758449E1,3.018852244E1,1.483999372E0,2.624844666E2,6.000000000E0,3.903882742E0
2.529413056E1,5.323084141E1,1.039756349E1,3.066476023E1,1.463733435E0,2.676799622E2,6.000000000E0,3.855428696E0
2.629923829E1,5.323084080E1,1.039754017E1,3.100731392E1,1.458307147E0,2.626155396E2,4.000000000E0,3.817648172E0
2.727800867E1,5.323084007E1,1.039751656E1,3.119183130E1,1.449994326E0,2.638768311E2,4.000000000E0,3.792209148E0
2.828086602E1,5.323083791E1,1.039749585E1,3.116555213E1,1.430036664E0,2.637916565E2,4.000000000E0,3.788069725E0
2.929038356E1,5.323083903E1,1.039747651E1,3.109439309E1,1.405985117E0,2.648396912E2,4.000000000E0,3.801390648E0
3.028470432E1,5.323083866E1,1.039745438E1,3.116843833E1,1.399791479E0,2.640526733E2,6.000000000E0,3.806859016E0
3.129803286E1,5.323083686E1,1.039743298E1,3.150572304E1,1.387512445E0,2.629442139E2,6.000000000E0,3.820038080E0
3.229806825E1,5.323083369E1,1.039741221E1,3.197341162E1,1.380984068E0,2.584918823E2,6.000000000E0,3.823740482E0
3.329047694E1,5.323082627E1,1.039739200E1,3.230885628E1,1.378098011E0,2.579638672E2,6.000000000E0,3.819777489E0
3.430044421E1,5.323081927E1,1.039736760E1,3.235516507E1,1.398087740E0,2.584200745E2,6.000000000E0,3.808935404E0
3.528236440E1,5.323081908E1,1.039734551E1,3.217639271E1,1.408809423E0,2.627574463E2,6.000000000E0,3.794085741E0
3.629197540E1,5.323082041E1,1.039732491E1,3.271803646E1,1.407439828E0,2.625441589E2,6.000000000E0,3.777378321E0
3.729367916E1,5.323082048E1,1.039729923E1,3.297545097E1,1.429133415E0,2.614322815E2,6.000000000E0,3.748774052E0
3.828498924E1,5.323081828E1,1.039727470E1,3.310089639E1,1.443197489E0,2.610667725E2,6.000000000E0,3.725897551E0
3.928373490E1,5.323081626E1,1.039724872E1,3.347138456E1,1.459023237E0,2.596675720E2,6.000000000E0,3.723674297E0
4.029384528E1,5.323081145E1,1.039722818E1,3.370746008E1,1.450870752E0,2.569767761E2,6.000000000E0,3.709532022E0
4.128560909E1,5.323080388E1,1.039720728E1,3.396790924E1,1.448992968E0,2.527130127E2,6.000000000E0,3.699864626E0
4.228565124E1,5.323079643E1,1.039719801E1,3.404028002E1,1.296897650E0,2.527130127E2,6.000000000E0,3.711497068E0
