"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.719145826E-2,-2.456092529E0,6.640940094E0,8.117918701E0
2.711645828E-2,-2.351460114E0,6.363267517E0,7.358697510E0
3.704145830E-2,-2.590662689E0,5.987099762E0,7.248825989E0
4.696645832E-2,-2.590812378E0,5.767805786E0,7.259453888E0
5.689245835E-2,-2.427202606E0,5.518873444E0,7.137457581E0
6.681745825E-2,-2.406844940E0,5.445825348E0,7.052284698E0
7.674245827E-2,-2.398013306E0,5.688171387E0,7.002288666E0
8.666845830E-2,-2.387086029E0,5.853876801E0,6.879843292E0
9.659345832E-2,-2.499951324E0,5.781577148E0,6.957531738E0
1.065184583E-1,-2.590513000E0,5.668562164E0,7.143894196E0
1.164434582E-1,-2.497107239E0,5.641019440E0,7.184609528E0
1.263694583E-1,-2.299667816E0,5.717959442E0,7.259902954E0
1.362944583E-1,-2.417921906E0,5.821544037E0,7.170538788E0
1.462194583E-1,-2.465073853E0,5.827980652E0,7.254963226E0
1.561454583E-1,-2.474204865E0,5.292394409E0,7.466772766E0
1.660704582E-1,-2.721939697E0,4.488865356E0,7.720794525E0
1.759954583E-1,-3.218307495E0,4.309687958E0,7.659122772E0
1.859204583E-1,-3.550466766E0,4.486170959E0,7.482340393E0
1.958464583E-1,-4.012106781E0,4.622238007E0,7.294181671E0
2.057714583E-1,-4.268673248E0,4.662653961E0,7.188501434E0
2.156964584E-1,-4.245621185E0,4.843028870E0,7.241341553E0
2.256224583E-1,-4.202361145E0,5.301375732E0,7.251370697E0
2.355474583E-1,-4.049229584E0,6.054459686E0,7.053482208E0
2.454724583E-1,-3.775748291E0,6.556964722E0,6.337970123E0
2.553984583E-1,-3.569327545E0,6.377487946E0,6.206543427E0
2.653234584E-1,-3.083737335E0,5.393434296E0,7.298822021E0
2.752484583E-1,-2.336191864E0,4.128714294E0,8.464298401E0
2.851734583E-1,-2.239792328E0,3.334915009E0,8.320896606E0
2.950994583E-1,-2.115700378E0,2.602338409E0,7.211852875E0
3.050244583E-1,-1.865121460E0,1.920955353E0,6.457272034E0
3.149494583E-1,-1.191372528E0,9.494755554E-1,6.187532959E0
3.248754583E-1,-7.768844604E-1,5.692662048E-1,6.100114746E0
3.348004583E-1,-4.837939453E-1,4.427792358E-1,6.300248566E0
3.447254583E-1,-9.624984741E-2,6.391708374E-2,6.157744904E0
3.546514583E-1,6.721023560E-2,-3.520678711E-1,5.870791626E0
3.645764583E-1,2.707868958E-1,-7.758366394E-1,5.691165161E0
3.745014583E-1,2.442919922E-1,-1.384171600E0,5.525908813E0
3.844264583E-1,-1.227447510E-2,-2.114053802E0,5.309309235E0
3.943524583E-1,-4.089495850E-1,-2.674787750E0,5.033732300E0
4.042774583E-1,-6.382727051E-1,-3.294499054E0,4.407285004E0
4.142024583E-1,-1.228794708E0,-3.987408142E0,4.369862823E0
4.241284583E-1,-1.963167572E0,-4.687053223E0,4.416565704E0
4.340534583E-1,-2.781665497E0,-5.369184723E0,4.982239380E0
4.439784583E-1,-3.817810822E0,-5.675298157E0,5.981561279E0
4.539034583E-1,-4.978347473E0,-5.644761658E0,6.746470642E0
4.638294583E-1,-6.734944611E0,-5.391338654E0,7.533384247E0
4.737544582E-1,-8.195158081E0,-4.760400696E0,8.419092407E0
4.836794583E-1,-9.124725037E0,-4.378544769E0,8.595874786E0
4.936054583E-1,-1.007869125E1,-4.525988159E0,9.067394257E0
5.035304583E-1,-1.100736008E1,-4.659510498E0,9.261091461E0
5.134554583E-1,-1.134445908E1,-4.970863037E0,9.490115204E0
5.233804584E-1,-1.179966248E1,-5.579048309E0,9.474697266E0
5.333064583E-1,-1.211131439E1,-5.669460297E0,9.169332275E0
5.432314583E-1,-1.215307755E1,-5.549260254E0,8.868158569E0
5.531564583E-1,-1.234093689E1,-5.467230835E0,8.724008331E0
5.630824583E-1,-1.253014343E1,-5.382357330E0,8.378975830E0
5.730074584E-1,-1.275901749E1,-5.346881104E0,7.940387878E0
5.829324583E-1,-1.285616547E1,-5.385949860E0,7.718399506E0
5.928584583E-1,-1.275632309E1,-5.498815155E0,7.397017822E0
6.027834583E-1,-1.251682114E1,-5.769152985E0,7.068900146E0
6.127084583E-1,-1.243030106E1,-6.106102295E0,6.904841309E0
6.226334583E-1,-1.243179794E1,-6.511459351E0,6.756499786E0
6.325594583E-1,-1.222088654E1,-6.656807098E0,6.313570862E0
6.424844583E-1,-1.188603287E1,-6.586752777E0,5.940396881E0
6.524094583E-1,-1.174996582E1,-6.544690247E0,5.673052826E0
6.623354583E-1,-1.166584076E1,-6.647376709E0,5.357359314E0
6.722604583E-1,-1.150193161E1,-6.681356049E0,4.920417938E0
6.821854583E-1,-1.125075394E1,-6.451284485E0,4.479584656E0
6.921104583E-1,-1.094194611E1,-6.154302063E0,4.138893127E0
7.020364583E-1,-1.068552933E1,-6.048472137E0,3.890858917E0
7.119614583E-1,-1.041354492E1,-6.215075684E0,3.706891479E0
7.218864583E-1,-1.011761032E1,-6.577023010E0,3.565735016E0
7.318124583E-1,-9.857002258E0,-6.859036560E0,3.471580811E0
7.417374583E-1,-9.779313812E0,-6.960824890E0,3.369343414E0
7.516618333E-1,-9.723030853E0,-7.108417969E0,3.257226562E0
7.615878333E-1,-9.592502289E0,-7.279811554E0,3.092119904E0
7.715128333E-1,-9.517208862E0,-7.372319183E0,3.206033020E0
7.814378333E-1,-9.382788391E0,-7.511978760E0,3.393143921E0
7.913628333E-1,-9.294472046E0,-8.021219788E0,3.294948120E0
8.012888333E-1,-9.260193329E0,-8.512049103E0,3.255430298E0
8.112138333E-1,-9.056916046E0,-8.447383575E0,3.251089325E0
8.211388333E-1,-8.703500977E0,-8.268804932E0,3.382965088E0
8.310648333E-1,-8.507259064E0,-7.949818268E0,3.407663727E0
8.409898333E-1,-8.485703888E0,-7.469916229E0,3.476071472E0
8.509148333E-1,-8.243806915E0,-7.157515869E0,3.538641357E0
8.608398333E-1,-8.112679596E0,-7.260352020E0,3.371139679E0
8.707658333E-1,-8.211324463E0,-7.464826813E0,3.068918152E0
8.806908333E-1,-8.031997375E0,-7.436086578E0,2.815794525E0
8.906158333E-1,-7.837402039E0,-7.338489532E0,2.673889618E0
9.005418333E-1,-7.555538177E0,-7.049739990E0,2.693648529E0
9.104668333E-1,-7.433541870E0,-6.786886597E0,2.702480164E0
9.203918333E-1,-7.511829071E0,-6.278843079E0,2.642604675E0
9.303178333E-1,-7.759563904E0,-5.719905396E0,2.563419342E0
9.402428333E-1,-7.657625885E0,-5.127886505E0,2.322270813E0
9.501678332E-1,-7.504793701E0,-4.973407745E0,1.976040802E0
9.600928333E-1,-7.618257751E0,-4.903203735E0,1.666634216E0
9.700188333E-1,-7.714208221E0,-4.565805359E0,1.522483978E0
9.799438333E-1,-7.859855347E0,-4.434678040E0,1.144819336E0
9.898688333E-1,-8.083490295E0,-4.786745911E0,7.487429810E-1
9.997948332E-1,-7.933352509E0,-4.995711365E0,3.912863159E-1
1.009719833E0,-7.625891876E0,-5.130880280E0,1.172062683E-1
1.019644833E0,-7.198081512E0,-5.560486908E0,3.293151855E-3
1.029570833E0,-6.617289276E0,-5.882916412E0,7.738906860E-2
1.039495833E0,-6.460714874E0,-5.830076294E0,2.321672058E-1
1.049420833E0,-6.417305145E0,-5.574857025E0,4.876858521E-1
1.059345833E0,-6.284082184E0,-5.039570160E0,7.613168335E-1
1.069271833E0,-5.951922913E0,-4.541855164E0,8.304730225E-1
1.079196833E0,-5.745202789E0,-4.707710266E0,7.195536804E-1
1.089121833E0,-5.984255676E0,-5.138664093E0,4.062551880E-1
1.099047833E0,-6.247707825E0,-5.286855927E0,2.056723022E-1
1.108972833E0,-6.322552185E0,-5.420677643E0,2.043251038E-1
1.118897833E0,-6.387666779E0,-5.611530762E0,3.541635132E-1
1.128822833E0,-6.387816467E0,-5.433401184E0,4.035607910E-1
1.138748833E0,-6.375242615E0,-6.139183502E0,2.345622253E-1
1.148673833E0,-6.804699554E0,-6.352040863E0,1.956431580E-1
1.158598833E0,-7.143594818E0,-5.897885284E0,4.670288086E-1
1.168524833E0,-7.038812714E0,-5.600154419E0,4.918771362E-1
1.178449833E0,-7.065756683E0,-5.770350494E0,1.848655701E-1
1.188374833E0,-6.955585785E0,-6.532864838E0,-6.218069458E-1
1.198300833E0,-7.228767700E0,-6.856491852E0,-1.256487122E0
1.208225833E0,-7.754324799E0,-5.159171448E0,-1.015787659E0
1.218150833E0,-8.133636017E0,-4.951553192E0,-7.355703735E-1
1.228075833E0,-8.558452606E0,-5.640570374E0,-8.339158630E-1
1.238001833E0,-8.758586426E0,-6.153852997E0,-1.193468170E0
1.247926833E0,-8.791068878E0,-5.923332367E0,-1.245859222E0
1.257851833E0,-8.563242645E0,-5.269791412E0,-4.317022705E-1
1.267777833E0,-8.337512054E0,-4.290378113E0,4.162843323E-1
1.277702833E0,-8.295748901E0,-3.893703003E0,4.138893127E-1
1.287627833E0,-8.013435974E0,-3.848497009E0,9.801617432E-1
1.297553833E0,-7.677085419E0,-3.954177246E0,8.220904541E-1
1.307478833E0,-8.308023376E0,-4.764442291E0,2.664459229E-1
1.317403833E0,-8.771010590E0,-5.606890411E0,2.649490356E-1
1.327328833E0,-8.694220276E0,-5.013973389E0,1.919009399E-1
1.337254833E0,-8.699459381E0,-4.663252716E0,1.354682922E-1
1.347179833E0,-8.928183746E0,-4.860243073E0,-3.712280273E-2
1.357104833E0,-8.972042542E0,-4.502037964E0,2.290237427E-2
1.367030833E0,-8.697663116E0,-4.170477448E0,2.165995789E-1
1.376955833E0,-8.662935333E0,-4.385729828E0,3.170407104E-1
1.386880833E0,-8.437204742E0,-4.655019836E0,4.315525818E-1
1.396806833E0,-8.631500702E0,-4.659660187E0,4.061054993E-1
1.406731833E0,-9.236841888E0,-4.739144897E0,1.270857239E-1
1.416656833E0,-9.278006287E0,-4.959187317E0,-4.002676392E-1
1.426581833E0,-9.461225281E0,-5.404511261E0,-7.050338745E-1
1.436507833E0,-9.474996643E0,-5.964945831E0,-6.273454285E-1
1.446432833E0,-9.632918243E0,-5.959257660E0,-5.310955811E-1
1.456357833E0,-9.154662781E0,-5.798192596E0,-3.844006348E-1
1.466283833E0,-8.559201050E0,-5.488935699E0,-1.564247131E-1
1.476208833E0,-7.773784332E0,-4.970563660E0,-3.847000122E-2
1.486133833E0,-7.017556915E0,-5.167404327E0,2.287243652E-1
1.496058833E0,-6.570287018E0,-5.400469666E0,2.615061951E-1
1.505984833E0,-6.860084381E0,-6.170468445E0,1.445993042E0
1.515909833E0,-6.861132202E0,-6.877897339E0,1.481020203E0
1.525834833E0,-7.249275055E0,-7.362589417E0,1.882185974E0
1.535760833E0,-8.474477234E0,-8.140671387E0,2.388283539E0
1.545685833E0,-8.910071411E0,-8.454119568E0,1.711690521E0
1.555610833E0,-8.347690887E0,-7.546856232E0,-4.459226990E-1
1.565536833E0,-5.541626129E0,-5.842350769E0,-1.797611847E0
1.575461833E0,-2.049687653E0,-5.726641388E0,-1.475182343E0
1.585386833E0,-1.903591461E0,-5.995182953E0,-8.264314270E-1
1.595311833E0,-3.890409851E0,-6.511609039E0,3.981719971E-2
1.605237833E0,-4.517306213E0,-7.285050659E0,4.117936707E-1
1.615162833E0,-4.606520691E0,-8.367898865E0,7.857160950E-1
1.625087833E0,-5.193300476E0,-9.736353149E0,1.376986542E0
1.635013833E0,-5.329816589E0,-1.040426422E1,1.492995300E0
1.644938833E0,-5.072950745E0,-1.030861313E1,1.459764404E0
1.654863833E0,-4.985233154E0,-1.036504578E1,1.404229889E0
1.664789833E0,-5.027445374E0,-1.029080017E1,1.411115570E0
1.674714833E0,-5.102140045E0,-1.039438477E1,1.480571136E0
1.684639833E0,-5.025200043E0,-1.025921585E1,1.175206146E0
1.694564833E0,-5.052742767E0,-1.022553589E1,9.505233765E-1
1.704490833E0,-4.899910583E0,-1.003528152E1,8.225395203E-1
1.714415833E0,-4.784949646E0,-9.797276459E0,6.137237549E-1
1.724340833E0,-4.889132996E0,-9.729766846E0,5.879772949E-1
1.734266833E0,-5.053640900E0,-9.658664703E0,5.825885010E-1
1.744191833E0,-5.421875153E0,-9.815688171E0,6.153703308E-1
1.754117958E0,-5.706134033E0,-1.000130219E1,9.234297180E-1
1.764043958E0,-5.324876862E0,-9.686806183E0,8.610095215E-1
