"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
7.164001465E-3,5.322840692E1,1.040403152E1,2.753855515E1,-1.000000000E0,-1.000000000E0,4.061316888E2,4.061316888E2
1.110100746E-2,5.322824551E1,1.040410386E1,3.326367950E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.110100746E-2,5.322824508E1,1.040410408E1,3.326367950E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.139438033E0,5.322834504E1,1.040420291E1,3.308435631E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.219874024E0,5.322832369E1,1.040427284E1,3.305563545E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
7.654574037E0,5.322836781E1,1.040435401E1,3.300723457E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
1.943093610E1,5.322833339E1,1.040413418E1,3.266049576E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.544652009E1,5.322831508E1,1.040421777E1,3.251803589E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.586663306E1,5.322837804E1,1.040421401E1,3.270634460E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.983926308E1,5.322839547E1,1.040421304E1,3.284486580E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
3.901317799E1,5.322839203E1,1.040419947E1,3.284707069E1,-1.000000000E0,-1.000000000E0,5.860794105E1,5.860794105E1
