"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.672312600E-2,1.856250000E1,8.906250000E0,-4.179375076E1
4.672312600E-2,1.738125038E1,8.025000572E0,-4.143750000E1
5.672312600E-2,1.685625076E1,8.362500191E0,-4.074375153E1
6.672312600E-2,1.644375038E1,8.118750572E0,-4.102500153E1
7.672312600E-2,1.612500000E1,8.193750381E0,-4.108125305E1
8.672312600E-2,1.597500038E1,8.006250381E0,-4.095000076E1
9.672312600E-2,1.563750076E1,8.475000381E0,-4.121250153E1
1.067231260E-1,1.539375019E1,8.812500000E0,-4.140000153E1
1.167231260E-1,1.485000038E1,8.887500763E0,-4.128750229E1
1.267231260E-1,1.451250076E1,9.243750572E0,-4.145625305E1
1.367231260E-1,1.417500019E1,9.206250191E0,-4.181250000E1
1.467231260E-1,1.381875038E1,9.206250191E0,-4.205625153E1
1.567231260E-1,1.340625095E1,9.450000763E0,-4.233750153E1
1.667231260E-1,1.305000019E1,9.731250763E0,-4.254375076E1
1.767231260E-1,1.293750095E1,9.412500381E0,-4.258125305E1
1.867231260E-1,1.276875019E1,9.243750572E0,-4.235625076E1
1.967231260E-1,1.235625076E1,9.150000572E0,-4.258125305E1
2.067231260E-1,1.218750095E1,9.300000191E0,-4.254375076E1
2.167231260E-1,1.192500019E1,9.412500381E0,-4.250625229E1
2.267231260E-1,1.181250000E1,9.731250763E0,-4.239375305E1
2.367231260E-1,1.179375076E1,9.656250000E0,-4.228125000E1
2.467231260E-1,1.160625076E1,9.562500000E0,-4.237500000E1
2.567231260E-1,1.134375000E1,9.562500000E0,-4.233750153E1
2.667231260E-1,1.108125019E1,9.487500191E0,-4.254375076E1
2.767231260E-1,1.083750057E1,9.693750381E0,-4.241250229E1
2.867231260E-1,1.059375000E1,9.412500381E0,-4.246875000E1
2.967231260E-1,1.055625057E1,9.318750381E0,-4.260000229E1
3.067231260E-1,1.036875057E1,9.468750000E0,-4.260000229E1
3.167231260E-1,1.016250038E1,9.356250763E0,-4.256250000E1
3.267231260E-1,1.006875038E1,9.393750191E0,-4.246875000E1
3.367231260E-1,9.975000381E0,9.487500191E0,-4.241250229E1
3.467231260E-1,9.731250763E0,9.431250572E0,-4.239375305E1
3.567231260E-1,9.712500572E0,9.543750763E0,-4.241250229E1
3.667231260E-1,9.581250191E0,9.712500572E0,-4.235625076E1
3.767231260E-1,9.375000000E0,9.562500000E0,-4.233750153E1
3.867231260E-1,9.075000763E0,9.487500191E0,-4.222500229E1
3.967231260E-1,9.168750763E0,9.618750572E0,-4.252500153E1
4.067231260E-1,9.131250381E0,9.712500572E0,-4.278750229E1
4.167231260E-1,9.000000000E0,9.768750191E0,-4.290000153E1
4.267231260E-1,9.243750572E0,9.956250191E0,-4.301250076E1
4.367231260E-1,9.356250763E0,9.675000191E0,-4.318125153E1
4.467231260E-1,9.337500572E0,9.431250572E0,-4.331250000E1
4.567231260E-1,9.262500763E0,9.750000000E0,-4.340625000E1
4.667231260E-1,9.487500191E0,9.843750000E0,-4.353750229E1
4.767231260E-1,9.337500572E0,9.900000572E0,-4.335000229E1
4.867231260E-1,9.093750000E0,9.768750191E0,-4.321875000E1
4.967231260E-1,9.150000572E0,9.712500572E0,-4.310625076E1
5.067231260E-1,9.018750191E0,9.600000381E0,-4.295625305E1
5.167231260E-1,8.943750381E0,9.637500763E0,-4.299375153E1
5.267231260E-1,8.943750381E0,9.975000381E0,-4.291875076E1
5.367231260E-1,8.718750000E0,1.006875038E1,-4.301250076E1
5.467231260E-1,8.643750191E0,9.937500000E0,-4.288125229E1
5.567231260E-1,8.643750191E0,9.787500381E0,-4.293750000E1
5.667231260E-1,8.737500191E0,1.001250076E1,-4.312500000E1
5.767231260E-1,8.550000191E0,1.025625038E1,-4.335000229E1
5.867231260E-1,8.437500000E0,1.010625076E1,-4.361250305E1
5.967231260E-1,8.325000763E0,1.003125000E1,-4.344375229E1
6.067231260E-1,8.343750000E0,9.862500191E0,-4.346250153E1
6.167231260E-1,8.756250381E0,9.618750572E0,-4.297500229E1
6.267231260E-1,8.681250572E0,9.543750763E0,-4.290000153E1
6.367231260E-1,8.418750763E0,9.637500763E0,-4.273125076E1
6.467231260E-1,8.381250381E0,9.806250572E0,-4.245000076E1
6.567231260E-1,8.475000381E0,9.600000381E0,-4.224375153E1
6.667231260E-1,8.118750572E0,9.768750191E0,-4.201875305E1
6.767231260E-1,7.837500095E0,1.023750019E1,-4.198125076E1
6.867231260E-1,7.443750381E0,1.059375000E1,-4.186875153E1
6.967231260E-1,6.993750095E0,1.066875076E1,-4.205625153E1
7.067231260E-1,6.768750191E0,1.076250076E1,-4.218750000E1
7.167231260E-1,6.656250477E0,1.081875038E1,-4.224375153E1
