"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-4.795216560E0,3.665804386E0,7.403393269E0
3.986885000E-3,-4.632504463E0,3.582055569E0,7.365108013E0
8.836781000E-3,-4.390829563E0,3.493520975E0,7.412964344E0
1.368667700E-2,-4.098905087E0,3.390629768E0,7.472784996E0
1.853688500E-2,-3.536591768E0,3.242274761E0,7.743174076E0
2.338704100E-2,-3.270988464E0,3.230310678E0,7.975277901E0
2.823714500E-2,-3.074777126E0,3.242274761E0,8.214560509E0
3.308730200E-2,-2.957528830E0,3.266202927E0,8.446663857E0
3.793740600E-2,-2.981456995E0,3.297309637E0,8.671588898E0
4.278756200E-2,-3.105883837E0,3.273381472E0,8.874979019E0
4.763766600E-2,-3.213560820E0,3.275774240E0,9.071190834E0
5.248777000E-2,-3.215953588E0,3.170490026E0,9.241081238E0
5.733792700E-2,-3.208775282E0,3.096312523E0,9.332008362E0
6.218803100E-2,-3.213560820E0,3.005385160E0,9.396614075E0
6.703818700E-2,-3.285345554E0,2.943171740E0,9.430113792E0
7.188829100E-2,-3.340380430E0,2.892922640E0,9.391828537E0
7.673844700E-2,-3.383451223E0,2.823530674E0,9.310472488E0
8.158855200E-2,-3.393022537E0,2.821137905E0,9.214759827E0
8.643870800E-2,-3.381058455E0,2.888136864E0,9.133403778E0
9.128881200E-2,-3.316452265E0,2.974278450E0,9.049654961E0
9.613896800E-2,-3.203989506E0,3.036491871E0,8.958727837E0
1.009890720E-1,-3.132204771E0,3.050848961E0,8.908478737E0
1.058392290E-1,-3.036491871E0,3.079562664E0,8.819944382E0
1.106893330E-1,-2.938386202E0,3.134597778E0,8.800801277E0
1.155394370E-1,-2.895315409E0,3.144168854E0,8.877371788E0
1.203895930E-1,-2.845066071E0,3.115455151E0,8.999405861E0
1.252396970E-1,-2.813959360E0,3.081955671E0,9.138189316E0
1.300898540E-1,-2.775674343E0,3.058027267E0,9.236295700E0
1.349399580E-1,-2.703889608E0,2.983849764E0,9.384650230E0
1.397901140E-1,-2.636890650E0,2.919243574E0,9.530612946E0
1.446402180E-1,-2.636890650E0,2.794816732E0,9.659825325E0
1.494903750E-1,-2.687139750E0,2.689532757E0,9.793823242E0
1.543404790E-1,-2.758924484E0,2.615355253E0,9.899106979E0
1.591906350E-1,-2.787638426E0,2.577069998E0,1.001396275E1
1.640407390E-1,-2.804388046E0,2.541177750E0,1.007139015E1
1.688908950E-1,-2.785245657E0,2.507678032E0,1.011446095E1
1.737410000E-1,-2.766103029E0,2.505285263E0,1.008335495E1
1.785911560E-1,-2.665604353E0,2.545963287E0,1.006181908E1
1.834412600E-1,-2.553141832E0,2.596212626E0,1.000199890E1
1.882914160E-1,-2.431107759E0,2.653640270E0,9.901499748E0
1.931415200E-1,-2.371287346E0,2.672782898E0,9.762716293E0
1.979916250E-1,-2.306680918E0,2.720639229E0,9.573683739E0
2.028417810E-1,-2.266003132E0,2.744567633E0,9.415757179E0
2.076918850E-1,-2.213361025E0,2.790031195E0,9.245866776E0
2.125420410E-1,-2.172683001E0,2.818745136E0,9.195617676E0
2.173921450E-1,-2.237289190E0,2.794816732E0,8.908478737E0
2.222423020E-1,-2.333002090E0,2.813959360E0,8.726624489E0
2.270924060E-1,-2.397608280E0,2.880958557E0,8.638090134E0
2.319425620E-1,-2.538784742E0,2.947957516E0,8.633303642E0
2.367926660E-1,-2.622533560E0,2.986242771E0,8.657232285E0
2.416428220E-1,-2.620140791E0,2.991028309E0,8.707481384E0
2.464929270E-1,-2.543570518E0,2.988635540E0,8.788837433E0
2.512508430E-1,-2.577069998E0,2.919243574E0,8.877371788E0
2.560058950E-1,-2.622533560E0,2.837887764E0,9.042476654E0
2.607610000E-1,-2.586641312E0,2.799602509E0,9.219545364E0
2.655160520E-1,-2.490928411E0,2.730210543E0,9.387042999E0
2.702711560E-1,-2.378465652E0,2.667997360E0,9.449256897E0
2.750262080E-1,-2.191825628E0,2.612962246E0,9.647860527E0
2.797812600E-1,-2.129612207E0,2.545963287E0,9.760323524E0
2.845363640E-1,-2.019542217E0,2.486142635E0,9.879964828E0
2.892914160E-1,-1.904686809E0,2.474178553E0,9.973284721E0
2.940465200E-1,-1.799402595E0,2.483749866E0,1.001156998E1
2.988015720E-1,-1.765903115E0,2.529213428E0,1.007856941E1
3.035566770E-1,-1.730010748E0,2.545963287E0,1.010488987E1
3.083117290E-1,-1.694118381E0,2.555534601E0,1.011446095E1
3.130668330E-1,-1.782652855E0,2.574677229E0,1.002353382E1
3.178218850E-1,-1.820937991E0,2.579462767E0,9.949356079E0
3.225769890E-1,-1.931007862E0,2.603390932E0,9.815358162E0
3.273320410E-1,-1.998006940E0,2.663211584E0,9.710074425E0
3.320871450E-1,-2.079362869E0,2.691925526E0,9.611968994E0
3.368421970E-1,-2.088934183E0,2.699103832E0,9.485149384E0
3.415973020E-1,-2.076970100E0,2.732603550E0,9.363115311E0
3.463523540E-1,-2.067398787E0,2.770888567E0,9.248259544E0
3.511074580E-1,-2.041077614E0,2.768495798E0,9.111868858E0
3.558625100E-1,-2.045863390E0,2.794816732E0,8.989834785E0
3.606176140E-1,-2.012363911E0,2.835494757E0,8.908478737E0
3.653726660E-1,-1.938186288E0,2.883351326E0,8.882157326E0
3.701277700E-1,-1.782652855E0,2.902493954E0,8.922835350E0
3.748828220E-1,-1.600798368E0,2.871387243E0,8.903693199E0
3.796379270E-1,-1.450050473E0,2.849851847E0,8.922835350E0
3.843929790E-1,-1.359123230E0,2.811566591E0,8.958727837E0
3.891480830E-1,-1.316052437E0,2.823530674E0,9.056833267E0
3.939031350E-1,-1.280160069E0,2.775674343E0,9.111868858E0
3.986581870E-1,-1.275374413E0,2.775674343E0,9.174081802E0
4.034132910E-1,-1.263410330E0,2.751745939E0,9.257830620E0
4.081683430E-1,-1.323230863E0,2.744567633E0,9.353543282E0
4.129234470E-1,-1.390229940E0,2.718246460E0,9.434899330E0
4.176785000E-1,-1.462014675E0,2.687139750E0,9.504291534E0
4.224336040E-1,-1.550549030E0,2.682354212E0,9.504291534E0
4.271886560E-1,-1.634297848E0,2.644068956E0,9.535398483E0
4.319437600E-1,-1.663011789E0,2.663211584E0,9.573683739E0
4.366988120E-1,-1.734796405E0,2.651247501E0,9.580862045E0
4.414539160E-1,-1.808973908E0,2.632104874E0,9.561718941E0
4.462089680E-1,-1.866401672E0,2.663211584E0,9.521040916E0
4.509640720E-1,-1.835294962E0,2.670390129E0,9.494720459E0
4.557191250E-1,-1.780260086E0,2.682354212E0,9.523433685E0
4.604742290E-1,-1.854437590E0,2.723032236E0,9.466006279E0
4.652292810E-1,-1.950150490E0,2.720639229E0,9.406186104E0
4.699843850E-1,-1.933400750E0,2.758924484E0,9.353543282E0
4.747394370E-1,-1.794616938E0,2.811566591E0,9.353543282E0
4.794945410E-1,-1.584048629E0,2.847458839E0,9.355937004E0
4.842495930E-1,-1.363908887E0,2.847458839E0,9.348757744E0
4.890046970E-1,-1.251446247E0,2.837887764E0,9.310472488E0
4.937597500E-1,-1.182054400E0,2.794816732E0,9.305686951E0
4.985148540E-1,-1.277767301E0,2.804388046E0,9.145368576E0
5.032699060E-1,-1.311266780E0,2.811566591E0,9.099904060E0
5.080250100E-1,-1.294517040E0,2.758924484E0,9.061619759E0
5.127800620E-1,-1.368694544E0,2.761317253E0,9.049654961E0
5.175351660E-1,-1.500299811E0,2.754138947E0,9.071190834E0
5.222902180E-1,-1.574477315E0,2.711068153E0,9.095118523E0
5.270453220E-1,-1.562513232E0,2.677568436E0,9.154939651E0
5.318003750E-1,-1.514656782E0,2.699103832E0,9.291330338E0
5.365554790E-1,-1.500299811E0,2.675175667E0,9.427721024E0
5.413105310E-1,-1.548156261E0,2.670390129E0,9.552147865E0
5.460656350E-1,-1.581655741E0,2.694318295E0,9.681360245E0
5.508206870E-1,-1.619940877E0,2.701496840E0,9.714859962E0
5.555757910E-1,-1.648654819E0,2.715853691E0,9.753145218E0
5.603308430E-1,-1.622333765E0,2.730210543E0,9.803394318E0
5.650859470E-1,-1.617548108E0,2.703889608E0,9.822537422E0
5.698410000E-1,-1.596012712E0,2.718246460E0,9.805787086E0
5.745960520E-1,-1.576870084E0,2.703889608E0,9.760323524E0
5.793511560E-1,-1.593619823E0,2.711068153E0,9.698110580E0
5.841062600E-1,-1.593619823E0,2.715853691E0,9.619147301E0
5.888613120E-1,-1.564906001E0,2.718246460E0,9.549755096E0
5.936164160E-1,-1.533799291E0,2.723032236E0,9.466006279E0
5.983714680E-1,-1.442872047E0,2.696711063E0,9.375079155E0
6.031265720E-1,-1.404586911E0,2.699103832E0,9.293723106E0
6.078816250E-1,-1.387837172E0,2.706282377E0,9.224330902E0
6.126367290E-1,-1.387837172E0,2.742174864E0,9.181260109E0
6.173917810E-1,-1.430907965E0,2.773281336E0,9.142974854E0
6.221468850E-1,-1.490728498E0,2.787638426E0,9.123832703E0
6.269019370E-1,-1.478764415E0,2.787638426E0,9.138189316E0
6.316569890E-1,-1.349551916E0,2.711068153E0,9.214759827E0
6.364120930E-1,-1.332802176E0,2.641676188E0,9.116654396E0
6.411671970E-1,-1.371087432E0,2.703889608E0,9.181260109E0
6.459222500E-1,-1.452443361E0,2.737389088E0,9.260223389E0
6.506773540E-1,-1.459621787E0,2.804388046E0,9.281759262E0
6.554324060E-1,-1.438086390E0,2.809173822E0,9.348757744E0
6.601875100E-1,-1.399801254E0,2.830709219E0,9.456435204E0
6.649425620E-1,-1.347159147E0,2.840280533E0,9.504291534E0
6.696976660E-1,-1.282552958E0,2.823530674E0,9.516255379E0
6.744527180E-1,-1.225125194E0,2.811566591E0,9.485149384E0
6.792078220E-1,-1.205982566E0,2.806781054E0,9.458827972E0
6.839628750E-1,-1.182054400E0,2.806781054E0,9.384650230E0
6.887179790E-1,-1.136590719E0,2.828316450E0,9.367900848E0
6.934730310E-1,-1.115055323E0,2.857030153E0,9.312865257E0
6.982281350E-1,-1.134197950E0,2.864208698E0,9.214759827E0
7.029831870E-1,-1.141376376E0,2.847458839E0,9.102297783E0
7.077382910E-1,-1.167697430E0,2.830709219E0,9.035298347E0
7.124933430E-1,-1.205982566E0,2.821137905E0,8.944371223E0
7.172484470E-1,-1.210768223E0,2.821137905E0,8.930013657E0
7.220035000E-1,-1.225125194E0,2.797209740E0,8.968298912E0
7.267586040E-1,-1.270588875E0,2.821137905E0,8.937192917E0
7.315136560E-1,-1.296909928E0,2.816352367E0,8.965906143E0
7.362687600E-1,-1.361516118E0,2.835494757E0,9.066405296E0
7.410238120E-1,-1.395015597E0,2.842673302E0,9.195617676E0
7.457789160E-1,-1.368694544E0,2.828316450E0,9.336793900E0
7.505339680E-1,-1.296909928E0,2.782852650E0,9.477970123E0
7.552890720E-1,-1.275374413E0,2.725425005E0,9.554540634E0
7.600441250E-1,-1.196411371E0,2.684746981E0,9.643074989E0
7.647992290E-1,-1.229910851E0,2.699103832E0,9.585647583E0
7.695542810E-1,-1.160519004E0,2.718246460E0,9.516255379E0
7.743093850E-1,-1.131805062E0,2.744567633E0,9.446864128E0
7.790644370E-1,-1.107876897E0,2.811566591E0,9.343972206E0
7.838195410E-1,-1.081555843E0,2.857030153E0,9.310472488E0
7.885745930E-1,-8.685946465E-1,2.804388046E0,9.399007797E0
7.933296970E-1,-8.542376757E-1,2.926422119E0,9.339186668E0
7.980847500E-1,-9.499505758E-1,3.129812002E0,9.346364975E0
8.028398540E-1,-9.978070259E-1,3.278167009E0,9.394221306E0
8.075949060E-1,-8.733802438E-1,3.297309637E0,9.446864128E0
8.123500100E-1,-6.077769399E-1,3.146561861E0,9.494720459E0
8.171050620E-1,-5.742774606E-1,3.098705292E0,9.458827972E0
8.218601660E-1,-5.670989752E-1,2.993421078E0,9.420542717E0
8.266152180E-1,-6.340979934E-1,2.818745136E0,9.420542717E0
8.313703220E-1,-7.561319470E-1,2.641676188E0,9.300901413E0
8.361253750E-1,-9.762716293E-1,2.617748022E0,9.296115875E0
8.408804790E-1,-1.196411371E0,2.541177750E0,9.355937004E0
8.456355310E-1,-1.359123230E0,2.514856577E0,9.348757744E0
8.503906350E-1,-1.426122308E0,2.478964329E0,9.286544800E0
8.551456870E-1,-1.540977836E0,2.476571321E0,9.286544800E0
8.599007910E-1,-1.483550072E0,2.459821701E0,9.152546883E0
8.646558430E-1,-1.579262972E0,2.483749866E0,9.142974854E0
8.694109470E-1,-1.548156261E0,2.455035925E0,9.042476654E0
8.741660000E-1,-1.622333765E0,2.510071039E0,9.166903496E0
8.789211040E-1,-1.296909928E0,2.541177750E0,9.142974854E0
8.836761560E-1,-1.251446247E0,2.603390932E0,9.343972206E0
8.884312600E-1,-1.093519926E0,2.708675146E0,9.470791817E0
8.931863120E-1,-1.579262912E-1,2.627319336E0,9.346364975E0
8.979414160E-1,9.571290575E-3,2.591426849E0,9.923035622E0
9.026964680E-1,-5.982056856E-1,2.213361025E0,1.018146038E1
9.074515720E-1,-6.532405615E-1,2.136790514E0,1.006421185E1
9.122066770E-1,-6.269195080E-1,2.215753794E0,9.872786522E0
9.169617290E-1,-4.546363056E-1,2.340180635E0,9.791430473E0
9.217167810E-1,-2.225325108E-1,2.400001049E0,9.927821159E0
9.264718850E-1,-1.196411345E-2,2.447857618E0,1.019103146E1
9.312269890E-1,2.201396823E-1,2.371287346E0,1.038485050E1
9.359820410E-1,4.426721931E-1,2.237289190E0,1.047577763E1
9.407371450E-1,7.537391186E-1,1.978864312E0,1.054277611E1
9.454921970E-1,1.234696507E0,1.665404558E0,1.080598736E1
9.502473020E-1,1.567298889E0,1.270588875E0,1.108116150E1
9.550023540E-1,1.686939955E0,9.762716293E-1,1.143051338E1
9.597574580E-1,1.694118381E0,8.183453679E-1,1.166740322E1
9.645125100E-1,1.505085468E0,7.896314859E-1,1.184207916E1
9.692676140E-1,1.194018483E0,8.063812256E-1,1.187557888E1
9.740226660E-1,8.063812256E-1,8.303094506E-1,1.179900837E1
9.787777700E-1,3.996013701E-1,8.231309652E-1,1.170090294E1
9.835328220E-1,6.221338734E-2,8.279166222E-1,1.155494022E1
9.882879270E-1,-2.871387303E-1,7.657032609E-1,1.145683479E1
9.930429790E-1,-7.058826685E-1,6.197410822E-1,1.129412270E1
9.977980830E-1,-1.299302697E0,4.211367965E-1,1.110748291E1
1.002553135E0,-1.564906001E0,1.746760458E-1,1.073180962E1
1.007308239E0,-1.665404558E0,-7.896314561E-2,1.033220863E1
1.012063291E0,-1.663011789E0,-2.943171859E-1,1.004985523E1
1.016818395E0,-1.643869162E0,-4.259224236E-1,9.856036186E0
1.021573447E0,-2.105684042E0,-7.369893789E-1,9.159725189E0
1.026328552E0,-2.632104874E0,-1.031306505E0,9.064012527E0
1.031083604E0,-3.069991350E0,-1.311266780E0,9.432506561E0
1.035838708E0,-3.270988464E0,-1.454836130E0,9.741181374E0
1.040593760E0,-3.136990547E0,-1.435693622E0,9.810572624E0
1.045348864E0,-3.017349243E0,-1.356730461E0,9.844072342E0
1.050103916E0,-2.868994236E0,-1.220339537E0,9.918250084E0
1.054859020E0,-2.751745939E0,-1.098305583E0,9.987641335E0
1.059614125E0,-2.620140791E0,-9.116654396E-1,1.002353382E1
