Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
9.003758336,-6.806366560503577,-6.317300410789233,-6.194282590478194
9.008513284,-7.300840879369182,-7.071290819574886,-6.338925575274399
9.013268232,-7.779467366567195,-7.807439482578247,-6.4678552128387965
9.01802318,-8.241605788740214,-8.522016907386439,-6.581290207053659
9.022778128,-8.686694620714869,-9.211361658918301,-6.67950987933362
9.027533024,-9.114250684000265,-9.871904121587562,-6.762850162773877
9.032287972,-9.52386840644833,-10.500190098922705,-6.831699385733313
9.03704292,-9.915218721973162,-11.092904101089804,-6.8864938790028125
9.041797868,-10.28804762838692,-11.646892162545498,-6.927713442630553
9.046552815,-10.642174420731427,-12.15918402393089,-6.955876709580193
9.051307711,-10.977489617029768,-12.627014504840972,-6.9715364436174685
9.056062659,-11.293952593087152,-13.047843887833096,-6.975274808439195
9.060817607,-11.591588942672107,-13.419377129527687,-6.967698644464506
9.065572555,-11.870487578868019,-13.7395817124184,-6.949434789125252
9.070327503,-12.130797591309186,-14.006703951491385,-6.921125475831763
9.075082451,-12.372724872126453,-14.219283573306573,-6.88342384571713
9.079837347,-12.59652852057399,-14.37616639206762,-6.836989604428326
9.084592295,-12.802517032560585,-14.47651491755925,-6.782484853491345
9.089347243,-12.991044276959327,-14.519816743752573,-6.720570122262448
9.09410219,-13.162505256078722,-14.505890584418276,-6.651900622504274
9.098857138,-13.317331643614597,-14.434889843240642,-6.577122743505472
9.103612034,-13.45598709036985,-14.307303630589027,-6.49687080152595
9.108366982,-13.57896228654859,-14.123955167009425,-6.411764053081226
9.11312193,-13.686769769831951,-13.885997544182876,-6.322403976885624
9.117876878,-13.779938470848752,-13.594906846917816,-6.229371823824137
9.122631826,-13.859007992066102,-13.252472673904093,-6.1332264279364646
9.127386722,-13.9245226225523,-12.860786129485533,-6.034502264474864
9.13214167,-13.97702509970483,-12.422225392414623,-5.93370773537418
9.136896618,-14.017050140378364,-11.939438999062986,-5.831323661102061
9.141651565,-14.045117778289494,-11.415327006543144,-5.727801963358887
9.146406513,-14.061726561574412,-10.853020224739321,-5.6235645343195655
9.151161461,-14.067346682126843,-10.255857725145265,-5.519002300071537
9.155916357,-14.062413124664888,-9.627362849121731,-5.41447449341648
9.160671305,-14.047318936977877,-8.971217949453296,-5.310308152289661
9.165426253,-14.022408733105518,-8.291238107498245,-5.206797856026481
9.170181201,-13.987972548363238,-7.591344074029633,-5.104205705153193
9.174936149,-13.944240169215355,-6.875534685008157,-5.002761543463636
9.179691097,-13.891376062049597,-6.147859003853204,-4.902663415060485
9.184445993,-13.829475023045928,-5.412388439208459,-4.804078244160146
9.18920094,-13.758558666805223,-4.673189081797423,-4.7071427216935025
9.193955888,-13.678572864497081,-3.9342944958954957,-4.6119643798853955
9.198710836,-13.589386233210984,-3.19967919039307,-4.518622834030173
9.203465784,-13.490789767042395,-2.473232981566807,-4.427171169774513
9.20822068,-13.382497687246927,-1.7587364447135287,-4.337637454580387
9.212975628,-13.264149573593427,-1.0598376349978966,-4.250026353681955
9.217730576,-13.135313821914098,-0.38003023957511284,-4.16432083349588
9.222485524,-12.995492453903127,0.27736669630574456,-4.080483938623409
9.227240472,-12.844127284651996,0.9092273465071153,-3.9984606317924936
9.23199542,-12.680607431533403,1.5126358820694479,-3.9181796889192304
9.236750315,-12.504278125249062,2.0849013679316433,-3.839555643646825
9.241505263,-12.314450760580305,2.623570716097148,-3.7624907771117337
9.246260211,-12.110414101084453,3.126439652622126,-3.6868771492807935
9.251015159,-11.891446529130016,3.591561674827397,-3.612598668087615
9.255770107,-11.656829210733456,4.0172549934751896,-3.5395331919097854
9.260525055,-11.405860024146488,4.402107472187409,-3.4675546598170253
9.265279951,-11.137868082573648,4.744979592982589,-3.396535242613985
9.270034899,-10.852228665295316,5.045005492305982,-3.3263475060998635
9.274789847,-10.548378358267419,5.301592126113648,-3.256866576230123
9.279544795,-10.225830195251712,5.514416635221816,-3.1879722940042696
9.284299743,-9.884188583825258,5.683421993052224,-3.119551345892015
9.28905469,-9.52316379721935,5.8088110269852296,-3.051499353426975
9.293809586,-9.142585812753024,5.891038911798513,-2.983722903273861
9.298564534,-8.742417280517596,5.930804239272585,-2.9161414966994967
9.303319482,-8.322765411806216,5.929038772223834,-2.8486893950528365
9.30807443,-7.8838925854712265,5.886895994246838,-2.7813173356749497
9.312829378,-7.426225481856525,5.805738568555692,-2.713994090708986
9.317584326,-6.950362568103364,5.687124820709562,-2.6467078396698693
9.322339274,-6.457079775353958,5.532794360840651,-2.5794673254693494
9.32709417,-5.947334227551015,5.344652961379325,-2.5123027629568653
9.331849118,-5.422265903007044,5.124756806262399,-2.4452664689913046
9.336604065,-4.883197133513077,4.8752962272578335,-2.3784331836503902
9.341359013,-4.331629871249853,4.598579042356197,-2.311900053450815
9.346113961,-3.7692406809131733,4.297013610160722,-2.245786249429202
9.350868909,-3.197873443025816,3.9730917128448255,-2.180232195662543
9.355623857,-2.6195297841357736,3.629371378538013,-2.1153983873240376
9.360378753,-2.0363572802344976,3.268459751955478,-2.0514637816890278
9.365133701,-1.4506355109836362,2.8929961197052485,-1.988623750608077
9.369888649,-0.8647600739013711,2.505635193974644,-1.927087588816823
9.374643597,-0.2812246991883648,2.1090307551849437,-1.8670755790259996
9.379398545,0.29739836303257056,1.7058197506709658,-1.8088156220138176
9.384153493,0.8684794811595701,1.2986069424485667,-1.7525394479253387
9.388908388,1.4293540758635497,0.889950192637722,-1.6984784337353231
9.393663336,1.9773460927383,0.482346470072395,-1.6468590616823546
9.398418284,2.50979223452154,0.07821865597528713,-1.5978980653208865
9.403173232,3.0240666542416426,-0.32009677986823815,-1.5517973250877084
9.40792818,3.517605795250277,-0.7103611685207468,-1.5087385950774197
9.412683128,3.9879330530074255,-1.090444041852714,-1.4688781665597455
9.417438076,4.432682927331274,-1.4583324983631663,-1.4323415986629524
9.422192972,4.8496243334781255,-1.8121395016797979,-1.3992186674929739
9.42694792,5.236682746580094,-2.150111090391825,-1.3695586958704362
9.431702868,5.591960866784639,-2.470632488900355,-1.3433664221396187
9.436457815,5.913757511649256,-2.772233118459482,-1.3205985468321597
9.441212763,6.200584467859084,-3.0535905158044376,-1.3011610636478304
9.445967711,6.451181066401034,-3.313533174895391,-1.2849074430242602
9.450722659,6.6645262839124895,-3.551042336566531,-1.271637699918747
9.455477555,6.839848216992694,-3.7652527616875098,-1.2610983476411395
9.460232503,6.976630823766741,-3.955452535262568,-1.252983218664222
9.464987451,7.074617875578654,-4.121081960587237,-1.2469351204029677
9.469742399,7.133814109518069,-4.261731612985058,-1.2425482865128852
9.474497347,7.154483618440135,-4.377139630814266,-1.2393715795058855
9.479252295,7.137145558481315,-4.4671883266895405,-1.2369123960965487
9.484007243,7.082567293996945,-4.531900203775875,-1.2346412212305056
9.488762138,6.9917551353626735,-4.571433460385611,-1.231996769725531
9.493517086,6.865942855260002,-4.586077060978555,-1.2283916461379392
9.498272034,6.706578193303718,-4.576245443274879,-1.2232184445181213
9.503026982,6.515307576990178,-4.542472919992823,-1.2158562009235943
9.50778193,6.293959299156672,-4.48540782039906,-1.205677103704364
9.512536878,6.044525398937888,-4.405806402385263,-1.1920533605484218
9.517291826,5.769142495246271,-4.304526551490586,-1.174364118268778
9.522046774,5.470071819803481,-4.1825212708028126,-1.1520023328465951
9.52680167,5.149678691429854,-4.040831956626148,-1.124381494565959
9.531556618,4.810411665385136,-3.880581450366178,-1.0909421260557917
9.536311565,4.454781581771062,-3.7029668575271883,-1.0511579874812904
9.541066513,4.085340726029356,-3.5092521293710366,-1.004541939277516
9.545821461,3.704662302950678,-3.300760410407164,-0.9506514251319825
9.550576409,3.3153204136500043,-3.078866164196931,-0.8890935447419187
9.555331357,2.919870712538003,-2.8449870999652433,-0.8195296881710753
9.560086305,2.5208319078671226,-2.6005759324079274,-0.7416797042500168
9.564841201,2.1206682542609574,-2.347112015997796,-0.6553255772299613
9.569596149,1.721773168374509,-2.0860929021064574,-0.5603145899421846
9.574351097,1.3264540797012476,-1.8190258717244185,-0.45656195724542664
9.579106045,0.9369186082516596,-1.5474194984034697,-0.34405291905810526
9.583860993,0.5552621402608304,-1.272775295730172,-0.22284428677146076
9.58861594,0.1834568530242614,-0.996579501888933,-0.09306544007911169
9.593370888,-0.17665777901322124,-0.7202950513741235,0.04508122658490266
9.598125836,-0.5233829823240723,-0.44535378116059376,0.19132040736626346
9.602880732,-0.8551671878620127,-0.17314891591065423,0.3453045362640851
9.60763568,-1.170611055798344,0.094972125847792,0.5066149832822503
9.612390628,-1.4684710499346085,0.3577145652586598,0.6747637908234481
9.617145576,-1.747661601742176,0.6138426997948159,0.8491959438140958
9.621900524,-2.007255914147182,0.8621859093517986,1.0292921648879856
9.626655472,-2.2464854641532757,1.1016442012498158,1.2143722235420855
9.63141042,-2.46473827125783,1.3311932670132665,1.40369874551613
9.636165368,-2.6615560054517235,1.5498890274104007,1.5964815057366641
9.640920263,-2.8366300144618894,1.7568716460191833,1.791882185010013
9.645675211,-2.9897963548323108,1.9513689954745819,1.989019567260088
9.650430159,-3.121029915451572,2.13269956447162,2.1869751505088177
9.655185107,-3.230437725222649,2.300274797479153,2.3847991410250087
9.659940055,-3.3182515387372096,2.453600862916411,2.581516796172515
9.664695003,-3.384819795088367,2.592279849238743,2.7761350775399536
9.669449951,-3.4305990454007373,2.7160103919677034,2.9676495720222396
9.674204899,-3.4561449443862173,2.8245877381840785,3.155051634753073
9.678959847,-3.462102900368687,2.9179032583745594,3.3373357042565304
9.683714795,-3.449198476835367,2.9959434187620837,3.5135067369715336
9.68846969,-3.4182276366620377,3.0587882303111864,3.6825877054484066
9.693224638,-3.370046917660603,3.106609193416244,3.843627102028721
9.697979586,-3.30556362494832,3.1396667597820596,3.9957063876719343
9.702734534,-3.2257261218285436,3.15830733513931,4.137947323743062
9.707489482,-3.131514296461249,3.162959848170753,4.269519123006392
9.71224443,-3.023930276694792,3.1541319123401084,4.389645354831911
9.716999378,-2.9039894601493326,3.1324056082024074,4.497610538853082
9.721754326,-2.7727119210891136,3.0984329142272804,4.592766361221701
9.726509222,-2.6311142498554605,3.0529308141959097,4.674537448415459
9.731264222,-2.4802018746651684,2.9966761088771405,4.742426635482466
9.736019118,-2.3209619093919915,2.930499959024391,4.796019668832813
9.740774065,-2.1543565645507954,2.85528218587568,4.834989288309721
9.745529013,-1.9813171521777915,2.7719453544214803,4.859098639263899
9.750283961,-1.8027387087985767,2.6814486638666155,4.868203972540375
9.755038909,-1.619475254368995,2.584781669068744,4.862256598369475
9.759793857,-1.432335699099389,2.4829578563715655,4.84130406876045
9.764548805,-1.2420804044957379,2.3770080972138765,4.805490571744598
9.769303701,-1.0494183997355182,2.2679740031927382,4.755056529381978
9.774058649,-0.8550052495129528,2.156901206863333,4.6903373996084285
9.778813597,-0.6594415645790673,2.044832593432505,4.611761689632148
9.783568545,-0.4632721412583092,1.932801509618983,4.519848195652774
9.788323493,-0.26698571123231457,1.82182497729058,4.415202490209811
