"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.805887000E-3,-9.376774728E-2,-4.934260249E-1,-2.212857604E-1
6.655678000E-3,-1.224783882E-1,-5.453495383E-1,-1.864664704E-1
1.150573100E-2,-2.049451321E-1,-5.783362389E-1,-1.082757786E-1
1.635562600E-2,-2.580903769E-1,-5.795579553E-1,-6.856957078E-2
2.120557400E-2,-3.167333901E-1,-5.630646348E-1,-2.764163166E-2
2.605552200E-2,-3.692677617E-1,-5.141954422E-1,2.183841541E-2
3.090541800E-2,-4.126391709E-1,-4.543306828E-1,8.475748450E-2
3.575536600E-2,-4.437932670E-1,-3.932442069E-1,1.586721241E-1
4.060526200E-2,-4.621191919E-1,-3.309359848E-1,2.331976295E-1
4.545521000E-2,-4.682278633E-1,-2.747364342E-1,3.034470677E-1
5.030510600E-2,-4.608974755E-1,-2.222020626E-1,3.614792228E-1
5.515505300E-2,-4.395172000E-1,-1.782197952E-1,4.036289155E-1
6.000500100E-2,-4.046979249E-1,-1.513417512E-1,4.311178327E-1
6.485489700E-2,-3.601047993E-1,-1.409570426E-1,4.396699369E-1
6.970484500E-2,-3.094030023E-1,-1.342375278E-1,4.262309074E-1
7.455474100E-2,-2.617555559E-1,-1.299614757E-1,3.938550651E-1
7.940468900E-2,-2.159406990E-1,-1.397353113E-1,3.504836559E-1
8.425463700E-2,-1.731801629E-1,-1.672242284E-1,3.010036349E-1
8.910453300E-2,-1.316413581E-1,-1.983783394E-1,2.509126961E-1
9.395448100E-2,-9.193515033E-2,-2.215912044E-1,2.038761228E-1
9.880437600E-2,-5.894844979E-2,-2.331976295E-1,1.641699076E-1
1.036543240E-1,-3.634645417E-2,-2.423606068E-1,1.366809905E-1
1.085042200E-1,-2.596175298E-2,-2.557996213E-1,1.244636998E-1
1.133541680E-1,-2.657261863E-2,-2.784016132E-1,1.269071549E-1
1.182041160E-1,-3.390299529E-2,-3.034470677E-1,1.415679157E-1
1.230540120E-1,-4.489856213E-2,-3.272708058E-1,1.629481763E-1
1.279039600E-1,-5.833758786E-2,-3.498727977E-1,1.879936308E-1
1.327538560E-1,-7.299833745E-2,-3.718639314E-1,2.136499584E-1
1.376038030E-1,-8.460476995E-2,-3.938550651E-1,2.362519503E-1
1.424537510E-1,-8.765909821E-2,-4.097375572E-1,2.539670467E-1
1.473036470E-1,-8.155044913E-2,-4.170679152E-1,2.643517256E-1
1.521535950E-1,-6.750056148E-2,-4.237874448E-1,2.667951882E-1
1.570034910E-1,-4.795288667E-2,-4.421133697E-1,2.698495090E-1
1.618534390E-1,-2.718348242E-2,-4.524980783E-1,2.729038298E-1
1.667033870E-1,-8.246674202E-3,-4.506655037E-1,2.771798968E-1
1.715532830E-1,1.069013402E-2,-4.341721535E-1,2.753472924E-1
1.764032310E-1,2.840521187E-2,-4.072940946E-1,2.710712552E-1
1.812531260E-1,4.367683083E-2,-3.755291104E-1,2.570213675E-1
1.861030740E-1,5.894844979E-2,-3.352120519E-1,2.386954129E-1
1.909530220E-1,6.994401664E-2,-2.887863219E-1,2.148716897E-1
1.958029180E-1,7.910698652E-2,-2.606865466E-1,1.855501831E-1
2.006528660E-1,8.826996386E-2,-2.496909797E-1,1.488982886E-1
2.055027620E-1,1.035415828E-1,-2.435823381E-1,1.104138121E-1
2.103527100E-1,1.249218509E-1,-2.270889878E-1,7.070759684E-2
2.152026060E-1,1.511890292E-1,-2.026543915E-1,2.611446939E-2
2.200525530E-1,1.768453568E-1,-1.757763475E-1,-1.664606482E-2
2.249025010E-1,1.994473487E-1,-1.519526094E-1,-5.574141070E-2
2.297523970E-1,2.153298408E-1,-1.330158114E-1,-8.506292105E-2
2.346023450E-1,2.220493406E-1,-1.214093715E-1,-1.015562713E-1
2.394522410E-1,2.189950198E-1,-1.201876476E-1,-1.070540547E-1
2.442095850E-1,2.079994529E-1,-1.275180280E-1,-1.015562713E-1
2.489644810E-1,1.933387071E-1,-1.427896470E-1,-8.811724186E-2
2.537193240E-1,1.744018942E-1,-1.629481763E-1,-6.795870513E-2
2.584742200E-1,1.536324918E-1,-1.824958473E-1,-4.535670951E-2
2.632290640E-1,1.304196268E-1,-1.977674663E-1,-2.031125315E-2
2.679839600E-1,1.072067693E-1,-2.093739063E-1,1.679878100E-3
2.727388560E-1,8.460476995E-2,-2.234237939E-1,2.306014486E-2
2.774936990E-1,6.566796452E-2,-2.393062711E-1,4.138609022E-2
2.822485950E-1,5.161807314E-2,-2.564104795E-1,5.543597788E-2
2.870034390E-1,4.367683083E-2,-2.741255760E-1,6.459894776E-2
2.917583350E-1,4.062250629E-2,-2.881754637E-1,7.131846249E-2
2.965132310E-1,4.428769648E-2,-3.022253513E-1,7.498364896E-2
3.012680740E-1,5.039634556E-2,-3.168860972E-1,7.803797722E-2
3.060229700E-1,5.894844979E-2,-3.315468729E-1,7.620538026E-2
3.107778140E-1,6.750056148E-2,-3.455967605E-1,7.131846249E-2
3.155327100E-1,7.605266571E-2,-3.578140438E-1,6.215549260E-2
3.202876060E-1,8.216131479E-2,-3.663661480E-1,5.177079141E-2
3.250424490E-1,8.521563560E-2,-3.712530732E-1,4.016435891E-2
