"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.710701000E-3,-3.141776085E0,4.067200184E0,7.350152969E0
1.148773200E-2,-3.014358282E0,4.076771736E0,7.263412952E0
1.626481500E-2,-2.685345173E0,4.140181541E0,7.314260483E0
2.104189800E-2,-2.242672920E0,4.275974274E0,7.456035137E0
2.581898200E-2,-1.800000787E0,4.426722050E0,7.649854183E0
3.059601300E-2,-1.485344648E0,4.561916351E0,7.778468132E0
3.537309600E-2,-1.256830096E0,4.717449665E0,7.820342541E0
4.015012800E-2,-1.128814101E0,4.847260475E0,7.910671711E0
4.492726300E-2,-1.141974568E0,4.919643402E0,8.045268059E0
4.970429400E-2,-1.212562919E0,4.919643402E0,8.165507317E0
5.448137800E-2,-1.350150228E0,4.861019135E0,8.233104706E0
5.925846100E-2,-1.534995675E0,4.779065132E0,8.282156944E0
6.403554400E-2,-1.734198213E0,4.691727161E0,8.345566750E0
6.881262800E-2,-1.938186288E0,4.589433670E0,8.413763046E0
7.358965900E-2,-2.108675003E0,4.526622295E0,8.515457153E0
7.836674200E-2,-2.273779631E0,4.467998028E0,8.674580574E0
8.314377300E-2,-2.439482689E0,4.463212490E0,8.824729919E0
8.792085700E-2,-2.562114954E0,4.486542225E0,9.046066284E0
9.269794000E-2,-2.641077995E0,4.543970108E0,9.305686951E0
9.747502300E-2,-2.659024239E0,4.612165451E0,9.564710617E0
1.022521070E-1,-2.577668190E0,4.689334393E0,9.722636223E0
1.070291380E-1,-2.330609322E0,4.776672363E0,9.701699257E0
1.118062210E-1,-1.908874273E0,4.782055855E0,9.493523598E0
1.165833050E-1,-1.491326690E0,4.691727161E0,9.131608963E0
1.213603880E-1,-1.170090318E0,4.567300320E0,8.736195564E0
1.261374190E-1,-1.063011408E0,4.447061062E0,8.318049431E0
1.309145030E-1,-1.255633712E0,4.509274483E0,7.954938889E0
1.356915340E-1,-1.457827210E0,4.561916351E0,7.604988575E0
1.404686690E-1,-1.445264935E0,4.480560303E0,7.283751965E0
