"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
-2.443410073E1,5.323005790E1,1.040500590E1,3.034332663E1,0.000000000E0,0.000000000E0,2.878700066E1,4.180231571E0
1.557066460E0,5.323030614E1,1.040503324E1,4.370629094E1,2.099999934E-1,1.888000031E2,1.065954113E1,9.603389740E0
2.554732601E0,5.323031218E1,1.040506534E1,4.494554794E1,0.000000000E0,0.000000000E0,9.749670029E0,9.045382500E0
3.555107180E0,5.323030505E1,1.040506372E1,4.159794237E1,0.000000000E0,0.000000000E0,1.029715919E1,9.484259605E0
4.558080769E0,5.323029102E1,1.040507149E1,4.259602648E1,0.000000000E0,0.000000000E0,1.046375751E1,9.661468506E0
5.557147692E0,5.323028889E1,1.040509240E1,4.459320910E1,0.000000000E0,0.000000000E0,9.614908218E0,8.829960823E0
6.555760708E0,5.323027315E1,1.040508363E1,4.216203551E1,0.000000000E0,0.000000000E0,8.514607430E0,7.701339245E0
7.558141225E0,5.323027495E1,1.040509174E1,4.370018269E1,0.000000000E0,0.000000000E0,7.690320492E0,6.933921814E0
8.556462261E0,5.323026334E1,1.040511145E1,4.380855729E1,0.000000000E0,0.000000000E0,7.258349895E0,6.476508141E0
9.556766580E0,5.323025545E1,1.040509834E1,4.266237016E1,0.000000000E0,0.000000000E0,6.874557495E0,6.070772171E0
1.055646272E1,5.323025635E1,1.040511728E1,4.343647451E1,0.000000000E0,0.000000000E0,6.383236408E0,5.608478069E0
1.155769553E1,5.323025314E1,1.040511591E1,4.295142366E1,0.000000000E0,0.000000000E0,5.623740673E0,5.120072842E0
1.255707469E1,5.323024983E1,1.040511620E1,4.318860115E1,0.000000000E0,0.000000000E0,5.847723484E0,5.310290337E0
1.355610890E1,5.323024318E1,1.040510627E1,4.350042272E1,0.000000000E0,0.000000000E0,4.974125385E0,4.701143265E0
1.455818781E1,5.323023952E1,1.040510150E1,4.346172235E1,0.000000000E0,0.000000000E0,4.387414455E0,4.275951862E0
1.555664593E1,5.323023815E1,1.040510282E1,4.375224719E1,0.000000000E0,0.000000000E0,4.325412273E0,4.260739803E0
1.655703332E1,5.323023945E1,1.040510378E1,4.366820346E1,0.000000000E0,0.000000000E0,4.272242069E0,4.005230427E0
1.755725258E1,5.323024012E1,1.040510067E1,4.339531727E1,0.000000000E0,0.000000000E0,4.354868412E0,4.259499073E0
1.855709753E1,5.323024497E1,1.040510631E1,4.274822817E1,0.000000000E0,0.000000000E0,4.336212158E0,4.326822281E0
