Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
10.00386997,-3.704089403,-22.18385887,-7.633104324
10.0086594,-4.923232555,-23.73739815,-9.391828537
10.01343549,-4.384847641,-23.67339134,-10.02293587
10.0181983,-3.297309637,-21.44507408,-9.1423769
10.02298773,-3.101098061,-17.71705627,-6.190232277
10.02776382,-3.817748547,-13.98664665,-3.126821041
10.03252664,-4.082753658,-10.80838013,-1.198205948
10.03731606,-4.367499352,-8.29890728,-0.5030909777
10.04209216,-4.320839405,-6.641877651,-0.5527420044
10.04685497,-4.311866283,-5.59142828,-0.8315058947
10.0516444,-4.646263599,-4.951348305,-0.7776673436
10.05642049,-5.352744102,-4.529613495,-0.1262213886
10.0611833,-6.457031727,-4.190430641,0.7190431952
10.06597273,-7.234101295,-3.865006685,1.380658627
10.07074888,-7.414160728,-3.64426899,1.659422517
10.07551164,-7.252645493,-3.62452817,1.610369682
10.08030106,-6.797410965,-3.81595397,1.325025558
10.08507721,-6.355935097,-4.137190342,1.025922656
10.08983997,-6.017350674,-4.50269413,0.903888762
10.0946294,-5.659623623,-4.925625324,0.8398807645
10.09940554,-5.325226784,-5.343770981,0.8099704385
10.10418164,-5.057230473,-5.733801365,0.8470591903
10.10895773,-4.865206718,-6.061019897,0.9571290612
10.11373388,-4.811367989,-6.465406895,1.009771109
10.11850997,-4.752145767,-7.019345284,1.057627559
10.12328612,-4.554139614,-7.640282631,1.1820544
10.12806221,-4.351347923,-8.218149185,1.392622828
10.13282502,-4.24367094,-8.737990379,1.607976794
10.13761445,-4.335794449,-9.177073479,1.88255322
10.14239054,-4.299902439,-9.894321442,1.963909149
10.14715336,-4.150351048,-10.84845924,1.805982947
10.15194278,-3.871587038,-11.96052361,1.560718536
10.15671888,-3.608974695,-13.19282722,1.147358418
10.16148169,-2.894119024,-14.37129307,0.7124629617
10.16627112,-1.643869162,-15.50967789,0.6777670383
10.17104721,-0.5772684813,-16.23530197,1.1820544
10.17581002,0.08374879509,-16.47937012,1.835893154
10.18059945,0.328414917,-16.24786377,2.35274291
10.18537554,0.5054838061,-15.71306801,2.68713975
10.19013836,0.8709874153,-15.0909338,2.972483873
10.19492778,1.343569875,-14.57946873,3.464807272
10.19970388,1.828714728,-14.0045929,3.768695593
10.20446669,2.313261271,-13.33878994,4.029513359
10.20925612,2.768495798,-12.70170116,4.04087925
10.21403221,3.170490026,-11.99761295,4.014558315
10.21879502,3.467200041,-11.33181,3.930809498
10.22358445,3.824927092,-10.69472122,3.645465374
10.22836054,4.071985722,-10.08754253,3.110669374
10.23312336,4.137190342,-9.57129097,2.391027927
10.23791278,4.222135544,-9.040681839,1.785045743
10.24268893,4.255635262,-8.592027664,1.252044439
10.24745169,4.175475597,-8.144570351,0.8009973764
10.25224112,3.923032761,-7.633702278,0.2356930375
10.25701726,3.490530014,-7.292725086,-0.2811566591
10.26178007,2.973082066,-7.024130821,-0.7244270444
10.26656945,2.42273283,-6.784250259,-1.105484009
10.2713456,1.788634896,-6.592824459,-1.284347534
10.27610841,1.074377418,-6.503093719,-1.314856052
10.28089783,0.5611169338,-6.446264267,-1.2352947
10.28567393,0.156729877,-6.327221394,-1.108475089
10.29043674,-0.2859423161,-6.140581131,-1.019940615
10.29522617,-0.4654040039,-5.947958946,-0.7842476368
10.30000226,-0.5886343718,-5.741578102,-0.5629115105
10.30476507,-0.6837490797,-5.578267574,-0.337387979
10.3095545,-0.7441678643,-5.4622159,-0.06281159073
10.3143306,-0.7519445419,-5.404788017,0.2201396823
10.31909341,-0.5928218365,-5.404190063,0.5312066078
10.32388283,-0.1525424421,-5.548357487,0.8356932998
10.32865893,0.4755735099,-5.801996708,0.7992027402
10.33343507,0.7076773047,-6.210571289,0.3619144261
10.33821117,0.3326023519,-6.7704916,-0.5623133183
10.34298726,-0.4151547253,-7.421937466,-1.858624935
10.34775007,-1.278963685,-8.107481003,-3.460619688
10.3525395,-1.969891191,-8.806185722,-5.477170944
10.35731565,-2.176272154,-9.470791817,-7.750352383
10.36207846,-1.97826612,-9.990034103,-9.867402077
10.36686783,-1.456630826,-10.35912704,-11.20379353
10.37164398,-0.9649057388,-10.54098225,-10.97169018
10.37640679,-0.5886343718,-10.47817039,-9.361320496
10.38119617,-0.2805584669,-10.19462109,-7.078567505
10.38597231,-0.1818545163,-9.741779327,-4.640879631
10.39073513,-0.07956135273,-9.338588715,-2.419741869
10.39552455,0.2673979402,-9.020342827,-0.7088736892
10.40030065,0.6029912829,-8.866005898,0.4695914388
10.40506346,0.7597211599,-8.928817749,1.19880414
10.40985289,0.8392825127,-9.222537041,1.572682738
10.41462898,1.051047325,-9.611968994,1.849651933
10.41939179,1.373480201,-10.10788059,2.165504456
10.42418122,1.786242127,-10.65105152,2.480160713
10.42895731,2.213361025,-11.27677536,2.757129908
10.43372013,2.710469961,-11.84387398,2.907877684
10.43850955,3.230908871,-12.32004547,2.828914642
10.44328565,3.762713671,-12.61196995,2.567498684
10.44804846,4.231706619,-12.71187019,2.137987137
10.45283789,4.512863636,-12.60060406,1.507478237
10.45761398,4.469194412,-12.33978653,0.7208378315
10.46237679,4.192225456,-12.03171062,-0.04067798331
10.46716622,3.820739508,-11.71944714,-0.6634100676
10.47194236,3.447459221,-11.42154026,-0.9302098155
10.47671846,3.099901676,-11.20558834,-0.8422735929
10.48149455,2.834298372,-11.10449123,-0.6873382926
10.4862707,2.677568436,-11.18285656,-0.6047859192
10.49104679,2.498106956,-11.33240795,-0.4648058116
10.49582289,2.305484533,-11.54955673,-0.2237289101
10.50059903,2.060818434,-11.74816132,0.1280160099
10.50537513,1.921436548,-11.95573807,0.5222335458
10.51015127,1.604387641,-12.18245792,0.7734799385
10.51492736,1.259222865,-12.41516018,0.9726824164
10.51969018,0.641874671,-12.70588779,0.9379864931
10.5244796,-0.0005982056609,-12.97687531,0.8255237937
10.5292557,-0.7052844763,-13.1712923,0.6759724021
10.53401851,-1.301097274,-13.3022995,0.3529413342
10.53880794,-1.600200176,-13.44766331,-0.4803591371
10.54358403,-1.668993831,-13.58225918,-1.703689694
10.54834685,-1.576271892,-13.69711494,-2.860619545
10.55313627,-1.104885817,-13.84008598,-3.669393539
10.55791242,-0.2123630047,-13.96271801,-4.048057556
10.56267518,0.9212366939,-14.18644714,-3.986442566
10.56746461,2.058425665,-14.56032562,-3.343969584
10.57224075,2.940180779,-14.84746456,-2.547757864
10.57700351,3.785445452,-14.98505211,-1.94715941
10.58179294,4.467998028,-14.89711571,-1.600200176
10.58656908,5.082953453,-14.55853081,-1.277169108
10.5913319,5.524429321,-14.01296806,-1.082752228
10.59612127,5.794818401,-13.40100288,-0.8452646136
10.60089742,5.56929493,-12.81835079,-0.9547362328
10.60566023,4.793421745,-12.4055891,-1.488933921
10.61044966,3.903890133,-12.02632618,-2.132004976
10.61522575,3.099901676,-11.67218876,-2.694318295
10.61998856,2.416152716,-11.35095215,-3.074777126
10.62477799,1.692921996,-10.89930725,-2.879761934
10.62955408,0.9349954724,-10.41535854,-2.093719721
10.6343169,0.3260220885,-10.24845982,-1.173679471
10.63910632,-0.1489532143,-10.33699417,-0.3224328458
10.64388242,-0.8386843204,-10.5601244,0.3774677813
10.64864523,-1.657029629,-10.97169018,0.9391828775
10.65343466,-2.112264156,-11.53699398,1.646860242
10.6582108,-2.215155602,-12.33799171,2.37786746
10.66297356,-2.514258385,-13.23888969,2.730210543
10.66776299,-3.167499065,-14.15115356,2.815753937
10.67253914,-4.073182583,-15.01137257,2.854637384
