"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.394826000E-3,-7.589619160E-1,5.803843975E0,5.471050262E0
1.439482600E-2,-6.871358752E-1,6.040870190E0,5.466261864E0
1.939482600E-2,-6.464344859E-1,6.287472725E0,5.542876244E0
2.438482600E-2,-7.278373241E-1,6.524498940E0,5.775113583E0
2.938082600E-2,-8.786720037E-1,6.730400085E0,6.258742332E0
3.438032600E-2,-7.948749661E-1,6.780678272E0,6.708852291E0
3.938052600E-2,-7.302315235E-1,6.201281548E0,7.082347870E0
4.438052600E-2,-5.722141862E-1,5.667374611E0,7.405565262E0
4.938052600E-2,-4.979939461E-1,5.487809658E0,7.455843449E0
5.438065100E-2,-2.705447972E-1,5.588366032E0,6.495768547E0
5.938065100E-2,3.591302410E-2,5.576395035E0,6.548440933E0
6.438065100E-2,-1.651999205E-1,5.729623795E0,8.119037628E0
6.938065100E-2,-2.035071403E-1,5.832574844E0,8.435071945E0
7.438065100E-2,-3.639186621E-1,5.882853031E0,8.327332497E0
7.938065100E-2,-3.974374831E-1,6.127061367E0,8.198045731E0
8.438065100E-2,-4.788403511E-1,6.110301971E0,7.333739281E0
8.938065100E-2,-5.961562395E-1,6.586748123E0,6.306626320E0
9.438065100E-2,-1.089361787E0,6.857293129E0,5.937919617E0
9.938065100E-2,-1.742978811E0,7.472602844E0,5.303455830E0
1.043806510E-1,-8.738836050E-1,7.573159218E0,5.921160221E0
1.093806510E-1,-3.926490843E-1,7.283460617E0,6.505345345E0
1.143806510E-1,-3.136404157E-1,6.943484306E0,6.675333500E0
1.193806510E-1,-3.806780577E-1,6.735188484E0,6.565200329E0
1.243806510E-1,-6.177040339E-1,6.505345345E0,6.471826553E0
1.293806510E-1,-5.626373887E-1,6.124667168E0,6.467038155E0
1.343806510E-1,-5.554547906E-1,5.624279022E0,6.498162746E0
1.393806510E-1,-6.440402865E-1,5.087977886E0,6.538864136E0
1.443806510E-1,-4.788403511E-1,4.742913723E0,6.706458092E0
1.493806510E-1,-1.891419291E-1,4.493916512E0,7.084742069E0
1.543806510E-1,-1.197100803E-2,4.285621166E0,7.477391243E0
1.593806510E-1,1.699883193E-1,4.065354347E0,7.726387978E0
1.643806510E-1,3.256114423E-1,3.845088005E0,7.882011414E0
1.693806510E-1,3.950432837E-1,3.632004023E0,8.037634850E0
1.743813170E-1,5.410895944E-1,3.526659012E0,8.262689590E0
1.793817170E-1,7.182605267E-1,3.478775024E0,8.518868446E0
1.843817830E-1,8.451532125E-1,3.512293816E0,8.717587471E0
1.893817490E-1,9.217676520E-1,3.593696833E0,8.751106262E0
1.943817490E-1,8.834604025E-1,3.646369219E0,8.583512306E0
1.993813490E-1,8.786720037E-1,3.663128614E0,8.396764755E0
2.043813150E-1,1.065419793E0,3.703830004E0,8.370428085E0
2.093813150E-1,1.534683347E0,3.785232782E0,8.547599792E0
2.143813150E-1,1.707065821E0,3.854664803E0,8.971372604E0
2.193813150E-1,1.819593310E0,3.888183594E0,9.524434090E0
2.243813150E-1,1.810016513E0,3.821146011E0,1.001045704E1
2.293813480E-1,1.719036818E0,3.617638826E0,1.052999878E1
2.343813810E-1,1.204283476E0,3.380612850E0,1.121713448E1
2.393814140E-1,-3.591302633E-1,3.035847664E0,1.230170727E1
2.443814140E-1,-2.116474390E0,2.710236311E0,1.299842072E1
2.493814140E-1,-2.590526342E0,2.528276920E0,1.317319679E1
2.543814140E-1,-2.530671120E0,2.461239338E0,1.297687244E1
2.593814140E-1,-2.511517525E0,2.540247917E0,1.243578243E1
2.643814140E-1,-2.118868589E0,2.753331900E0,1.183244419E1
2.693814140E-1,-1.199495077E0,3.028665066E0,1.120516300E1
2.743814140E-1,-6.967126727E-1,3.155557871E0,1.076463032E1
2.793814140E-1,-9.097966552E-2,3.332728863E0,1.013495541E1
2.843814140E-1,1.125274822E-1,3.385401249E0,9.629778862E0
2.893814140E-1,2.609679997E-1,3.213018656E0,8.691251755E0
2.943814140E-1,3.734954596E-1,3.488351822E0,6.309020519E0
2.993814140E-1,-1.398213744E0,3.428496838E0,4.419696331E0
3.043814140E-1,-2.355894566E0,2.786850691E0,4.216189384E0
3.093814140E-1,-1.795651317E0,2.291250944E0,4.343081951E0
3.143814140E-1,-1.347935557E0,2.221819162E0,3.912125587E0
3.193814140E-1,-1.517923832E0,2.039859772E0,3.119644880E0
3.243814140E-1,-1.472434044E0,1.443703651E0,3.050212860E0
3.293814140E-1,-1.022324085E0,1.201889277E0,4.371812344E0
3.343814140E-1,-9.337386489E-1,1.213860273E0,5.822998047E0
3.393814140E-1,-3.830722570E-1,1.711854219E0,6.620266914E0
3.443814140E-1,6.536170840E-1,2.360682964E0,6.941090107E0
3.493818140E-1,8.978256583E-1,2.789244890E0,7.771877766E0
3.543818140E-1,-1.460463107E-1,3.023876667E0,9.052776337E0
3.593818140E-1,-1.376665950E0,2.839523315E0,9.699210167E0
3.643818140E-1,-1.833958507E0,2.494758129E0,9.809343338E0
3.693818140E-1,-1.455674648E0,2.078166962E0,9.122207642E0
3.743818140E-1,-8.283938169E-1,1.709460020E0,8.348880768E0
3.793817800E-1,-3.184288144E-1,1.185129881E0,7.056011677E0
3.843817460E-1,2.154781520E-1,4.620809257E-1,5.674557209E0
3.893817120E-1,1.015141487E0,-2.633621991E-1,4.599261284E0
3.943817120E-1,2.276885748E0,-8.331822157E-1,3.715801001E0
3.993817120E-1,3.689464808E0,1.012747288E0,3.945644379E0
4.043817120E-1,1.771709204E0,1.819593310E-1,4.371812344E0
4.093817120E-1,-3.926490843E-1,-1.259350061E0,4.845864296E0
4.143817120E-1,-2.420537949E0,-2.525882721E0,5.459079266E0
4.193817120E-1,-4.225766182E0,-3.545812607E0,6.036081791E0
4.243817120E-1,-4.817133904E0,-4.395754337E0,6.064812183E0
4.293817120E-1,-5.054459095E0,-4.711789131E0,5.811026573E0
4.343817120E-1,-5.229235649E0,-4.757278919E0,5.466261864E0
4.393817120E-1,-5.272331238E0,-4.553771496E0,4.934749126E0
4.443817120E-1,-5.006575108E0,-4.259284973E0,4.228160381E0
4.493817120E-1,-4.436455727E0,-3.964797974E0,3.442862034E0
4.543817120E-1,-4.091690540E0,-3.801992416E0,3.174711466E0
4.593817120E-1,-3.725377798E0,-3.799597979E0,3.162740469E0
4.643817120E-1,-3.569754839E0,-3.878606796E0,3.526659012E0
4.693817120E-1,-3.806780815E0,-4.079719543E0,4.309563160E0
4.743817120E-1,-4.118026733E0,-4.252102375E0,4.963479519E0
4.793817120E-1,-4.240131378E0,-4.625597477E0,5.509357452E0
4.843817120E-1,-4.173093796E0,-5.178957462E0,5.834969044E0
4.893817120E-1,-4.177882195E0,-5.787084579E0,6.136638165E0
4.943817120E-1,-4.484339714E0,-6.299443722E0,6.479009151E0
4.993817120E-1,-5.147832870E0,-6.625055313E0,6.816591740E0
5.043812780E-1,-6.117484570E0,-6.783072472E0,7.091924667E0
5.093812780E-1,-7.640196800E0,-7.003339291E0,7.374440670E0
5.143812780E-1,-8.839692116E0,-7.170933247E0,7.520486832E0
5.193812780E-1,-9.929053307E0,-7.400776863E0,7.740753174E0
5.243812780E-1,-1.073829365E1,-7.580341816E0,7.925107002E0
5.293812780E-1,-1.135120964E1,-7.781454563E0,8.123826027E0
5.343812780E-1,-1.198806763E1,-7.999327183E0,8.447042465E0
5.393806110E-1,-1.276857662E1,-7.932289600E0,8.751106262E0
5.443806110E-1,-1.352753925E1,-7.683292389E0,8.935460091E0
5.493799440E-1,-1.398483181E1,-7.386411667E0,9.160514832E0
5.543790770E-1,-1.415721416E1,-7.089530468E0,9.565135002E0
5.593789770E-1,-1.433677864E1,-6.780678272E0,1.016368580E1
5.643785100E-1,-1.457141113E1,-6.368875980E0,1.093940639E1
5.693780100E-1,-1.461929512E1,-5.547664642E0,1.147570801E1
5.743775100E-1,-1.453789234E1,-4.903624535E0,1.181807899E1
5.793770100E-1,-1.444451809E1,-4.556165695E0,1.195454884E1
5.843765100E-1,-1.443972969E1,-4.541800499E0,1.211735439E1
5.893760100E-1,-1.446367168E1,-4.671087742E0,1.223706436E1
5.943755100E-1,-1.446367168E1,-4.817133904E0,1.224424648E1
5.993750100E-1,-1.446606636E1,-4.853046894E0,1.205510521E1
6.043745430E-1,-1.448761368E1,-4.884171486E0,1.177258873E1
6.093739090E-1,-1.427452946E1,-5.037699699E0,1.145176601E1
6.143739420E-1,-1.402792740E1,-5.265148640E0,1.130811405E1
6.193739420E-1,-1.399201393E1,-5.509357452E0,1.115249062E1
6.243739420E-1,-1.415721416E1,-5.459079266E0,1.090588760E1
6.293739420E-1,-1.448761368E1,-5.099948883E0,1.060900688E1
6.343739420E-1,-1.487098503E1,-4.592078686E0,1.038634586E1
6.393739420E-1,-1.510801125E1,-4.017470360E0,1.033846188E1
6.443739420E-1,-1.524208641E1,-3.586514235E0,1.032888508E1
6.493739750E-1,-1.554375553E1,-3.119644880E0,1.022593498E1
6.543744410E-1,-1.572810936E1,-2.875436306E0,1.010622501E1
6.593744740E-1,-1.575683975E1,-2.643198729E0,9.945813179E0
6.643744740E-1,-1.559403419E1,-2.533065319E0,9.854833603E0
6.693744740E-1,-1.539052677E1,-2.449268341E0,9.756670952E0
6.743744740E-1,-1.533306599E1,-2.312798738E0,9.656114578E0
6.793745070E-1,-1.539531517E1,-2.267308950E0,9.572318077E0
6.843745400E-1,-1.548868942E1,-2.410961151E0,9.459790230E0
