"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.032243147E0,5.322903320E1,1.040305020E1,3.544237295E1,0.000000000E0,0.000000000E0,2.237000084E1,2.029325962E0
3.606847305E0,5.322900640E1,1.040316549E1,3.858713744E1,0.000000000E0,0.000000000E0,8.000000000E0,2.543839455E1
4.593597612E0,5.322905248E1,1.040313107E1,4.009101898E1,0.000000000E0,1.892281494E2,1.200000000E1,1.939070129E1
5.579710957E0,5.322905248E1,1.040313107E1,4.420881444E1,1.445147246E-1,1.892281494E2,1.200000000E1,1.521371746E1
6.596860803E0,5.322898257E1,1.040317932E1,4.460028796E1,8.468750119E-1,2.598830566E2,1.200000000E1,1.328501034E1
7.596365263E0,5.322897756E1,1.040316307E1,4.388873311E1,6.049003005E-1,2.441326294E2,1.200000000E1,1.240660286E1
8.581169340E0,5.322896934E1,1.040314428E1,4.425150827E1,3.148221076E-1,2.382759552E2,8.000000000E0,1.160998535E1
9.597058724E0,5.322896684E1,1.040313739E1,4.435918499E1,4.027028084E-1,2.367932129E2,8.000000000E0,1.119118404E1
1.059190918E1,5.322896088E1,1.040313144E1,4.439351299E1,2.920852900E-1,2.367932129E2,8.000000000E0,1.098266220E1
1.158844734E1,5.322896104E1,1.040313024E1,4.436553797E1,4.229474440E-2,2.367932129E2,8.000000000E0,1.071345711E1
1.259615488E1,5.322896210E1,1.040313368E1,4.351104190E1,2.507654130E-1,2.367932129E2,6.000000000E0,1.045256042E1
1.358924803E1,5.322895691E1,1.040312901E1,4.208100370E1,3.374430835E-1,1.796087952E2,6.000000000E0,1.012461376E1
1.459497884E1,5.322894950E1,1.040311973E1,4.113280088E1,3.803644478E-1,2.073683624E2,6.000000000E0,9.795541763E0
1.557969976E1,5.322894383E1,1.040311730E1,4.037914794E1,3.505181670E-1,2.103948975E2,6.000000000E0,9.551318169E0
1.658598606E1,5.322893895E1,1.040312013E1,3.977058043E1,3.634986877E-1,2.017286224E2,6.000000000E0,9.333007812E0
1.758113222E1,5.322893902E1,1.040312186E1,3.945075249E1,3.980604112E-1,1.959516296E2,6.000000000E0,9.112182617E0
1.858231710E1,5.322893403E1,1.040311567E1,3.961758725E1,4.880250096E-1,2.055297089E2,6.000000000E0,8.981329918E0
1.958746226E1,5.322892698E1,1.040310716E1,3.966100954E1,5.806596279E-1,2.066026459E2,6.000000000E0,8.870469093E0
2.059219598E1,5.322891890E1,1.040310179E1,3.939050021E1,7.581855655E-1,1.973299103E2,6.000000000E0,8.777281761E0
2.160218918E1,5.322890880E1,1.040310310E1,3.947009288E1,8.860527873E-1,1.846012421E2,6.000000000E0,8.747605324E0
2.259557806E1,5.322889933E1,1.040310254E1,3.901676567E1,9.266242981E-1,1.781695862E2,6.000000000E0,8.690835953E0
2.358688371E1,5.322889204E1,1.040310852E1,3.875030658E1,8.653907180E-1,1.730104980E2,6.000000000E0,8.627932549E0
2.457832717E1,5.322888596E1,1.040311004E1,3.835159579E1,6.616898775E-1,1.730104980E2,6.000000000E0,8.590243340E0
2.558024752E1,5.322888483E1,1.040311350E1,3.850293923E1,4.641375542E-1,1.763619995E2,6.000000000E0,8.564267159E0
2.657998948E1,5.322888072E1,1.040311381E1,3.891452655E1,3.034467995E-1,1.763619995E2,6.000000000E0,8.306969643E0
2.759626879E1,5.322887505E1,1.040312891E1,3.928335879E1,2.880158126E-1,1.675702515E2,6.000000000E0,8.226657867E0
2.859775952E1,5.322886853E1,1.040314712E1,3.949717874E1,3.370133638E-1,1.541085358E2,6.000000000E0,8.145750999E0
2.958541029E1,5.322886454E1,1.040316475E1,3.972238776E1,4.799429476E-1,1.389304810E2,6.000000000E0,8.081650734E0
3.058136009E1,5.322886401E1,1.040318206E1,3.975449452E1,5.085872412E-1,1.381036072E2,6.000000000E0,8.014526367E0
3.159876190E1,5.322886026E1,1.040319165E1,3.970549109E1,6.118175387E-1,1.453950500E2,6.000000000E0,7.976253510E0
3.258760648E1,5.322885734E1,1.040320411E1,3.987667771E1,7.025350332E-1,1.487986450E2,6.000000000E0,7.934113979E0
3.358468898E1,5.322885046E1,1.040321861E1,4.009059903E1,8.446704745E-1,1.433895416E2,6.000000000E0,7.906478405E0
3.460500059E1,5.322883887E1,1.040323850E1,4.055256840E1,1.054657102E0,1.419968109E2,6.000000000E0,7.863759995E0
3.559058774E1,5.322883112E1,1.040324910E1,4.078854929E1,1.046828032E0,1.392753906E2,6.000000000E0,7.852717876E0
3.658801501E1,5.322882268E1,1.040326004E1,4.092656565E1,1.052365303E0,1.335387421E2,6.000000000E0,7.849182606E0
3.758048424E1,5.322881423E1,1.040327149E1,4.137486907E1,1.059764862E0,1.412856750E2,6.000000000E0,7.864497185E0
3.858840751E1,5.322880073E1,1.040328638E1,4.148945512E1,1.145907998E0,1.448854065E2,6.000000000E0,7.849816799E0
3.958897924E1,5.322878770E1,1.040329544E1,4.126193993E1,1.179443359E0,1.486763000E2,6.000000000E0,7.834856033E0
4.058920593E1,5.322877795E1,1.040330145E1,4.106726321E1,1.155319452E0,1.486027679E2,6.000000000E0,7.796570301E0
4.158620574E1,5.322876952E1,1.040331036E1,4.103775377E1,1.138307691E0,1.484752502E2,6.000000000E0,7.787384033E0
4.259423355E1,5.322875672E1,1.040332390E1,4.056337665E1,1.178795576E0,1.469687500E2,6.000000000E0,7.728342056E0
4.357933466E1,5.322875161E1,1.040333509E1,4.054654379E1,1.143363595E0,1.425293579E2,6.000000000E0,7.675880432E0
4.458525181E1,5.322874293E1,1.040334812E1,4.017579669E1,1.149601579E0,1.416455231E2,6.000000000E0,7.617980003E0
4.558008447E1,5.322872985E1,1.040336019E1,3.984051507E1,1.188503623E0,1.446328583E2,6.000000000E0,7.601267338E0
4.658021997E1,5.322871968E1,1.040337328E1,3.997503844E1,1.197024941E0,1.385358124E2,6.000000000E0,7.550792694E0
4.758067720E1,5.322871433E1,1.040338439E1,3.993999791E1,1.176691771E0,1.366849823E2,6.000000000E0,7.520943642E0
4.858253739E1,5.322870515E1,1.040340336E1,3.964034881E1,1.209643006E0,1.383636169E2,6.000000000E0,7.538598061E0
4.959531712E1,5.322869481E1,1.040343105E1,3.975707712E1,1.279767990E0,1.237018585E2,6.000000000E0,7.451947212E0
5.059395523E1,5.322868936E1,1.040345691E1,3.992649143E1,1.313423514E0,1.191324463E2,6.000000000E0,7.397562981E0
5.158310323E1,5.322868371E1,1.040347592E1,4.015540578E1,1.316160798E0,1.247286224E2,6.000000000E0,7.353958130E0
5.259137235E1,5.322867578E1,1.040349405E1,4.029043030E1,1.322267890E0,1.196627274E2,6.000000000E0,7.333343029E0
5.359683169E1,5.322867235E1,1.040351008E1,4.059042411E1,1.297105670E0,1.133474503E2,6.000000000E0,7.288509846E0
5.459412819E1,5.322866942E1,1.040352857E1,4.071910055E1,1.285537958E0,1.088193970E2,6.000000000E0,7.237347126E0
5.558661350E1,5.322866665E1,1.040354887E1,4.073301982E1,1.281105042E0,1.071364594E2,6.000000000E0,7.189518452E0
5.658732923E1,5.322866262E1,1.040356564E1,4.079828227E1,1.265281677E0,1.127815094E2,6.000000000E0,7.148105621E0
5.759646181E1,5.322866014E1,1.040358522E1,4.113612643E1,1.259545326E0,1.091828842E2,6.000000000E0,7.093097687E0
5.859493611E1,5.322865647E1,1.040360264E1,4.077029280E1,1.247537971E0,1.049986801E2,6.000000000E0,7.045426846E0
5.959517538E1,5.322865340E1,1.040362809E1,4.092809649E1,1.272706151E0,9.921825409E1,6.000000000E0,6.984729290E0
6.059366730E1,5.322865272E1,1.040364575E1,4.140119200E1,1.257494688E0,9.662456512E1,6.000000000E0,6.926939487E0
6.160366665E1,5.322865262E1,1.040366777E1,4.109451608E1,1.267942905E0,1.007012177E2,6.000000000E0,6.877633095E0
6.258232369E1,5.322865257E1,1.040369185E1,4.081746869E1,1.285071731E0,1.017224426E2,6.000000000E0,6.843397141E0
6.359190765E1,5.322865308E1,1.040370953E1,4.047531239E1,1.270243168E0,9.898767090E1,6.000000000E0,6.791655064E0
6.458789657E1,5.322865363E1,1.040373076E1,3.995276670E1,1.272595406E0,9.837826538E1,6.000000000E0,6.754448414E0
6.559541803E1,5.322865450E1,1.040374836E1,3.973169833E1,1.259459972E0,9.779265594E1,6.000000000E0,6.728943825E0
6.657918153E1,5.322865385E1,1.040376800E1,3.975250955E1,1.178764701E0,9.779265594E1,6.000000000E0,6.699651718E0
6.758697414E1,5.322865398E1,1.040377441E1,3.975709024E1,1.065113544E0,9.779265594E1,6.000000000E0,6.708405972E0
6.859373253E1,5.322865370E1,1.040377841E1,3.965956505E1,2.052101120E-2,9.779265594E1,6.000000000E0,6.793517113E0
6.957835195E1,5.322865138E1,1.040378276E1,3.953368662E1,4.503417015E-1,9.540101624E1,6.000000000E0,6.890148163E0
