"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
8.600950241E-3,5.322960990E1,1.040375572E1,3.435808754E1,-1.000000000E0,-1.000000000E0,3.683171369E1,3.683171369E1
4.557788372E-2,5.322962391E1,1.040372985E1,2.874003792E1,-1.000000000E0,-1.000000000E0,2.010826801E2,2.010826801E2
4.319419861E-1,5.322985338E1,1.040311713E1,3.427336884E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
2.647659898E0,5.322985622E1,1.040310986E1,3.410055542E1,-1.000000000E0,-1.000000000E0,3.500000000E1,3.500000000E1
4.041432261E0,5.322971213E1,1.040308163E1,3.382370079E1,2.910337448E-1,2.925370582E2,2.052921195E1,2.052921195E1
4.991406083E0,5.322964998E1,1.040311226E1,3.388826125E1,6.500004530E-1,2.511588850E2,1.536043812E1,1.536043812E1
5.941380739E0,5.322960763E1,1.040310633E1,3.388802292E1,8.583403826E-1,2.515752805E2,1.776701898E1,1.776701898E1
6.891354203E0,5.322955957E1,1.040310101E1,3.382754806E1,1.093754172E0,2.557159719E2,9.614324689E0,9.614324689E0
7.841045856E0,5.322953147E1,1.040309613E1,3.383102786E1,1.093754172E0,2.622055252E2,8.343728243E0,8.343728243E0
8.790588975E0,5.322951533E1,1.040308099E1,3.386522140E1,1.093754172E0,2.612617755E2,8.423858676E0,8.423858676E0
9.740562677E0,5.322951009E1,1.040306333E1,3.386411902E1,1.222943306E0,2.594596731E2,2.540644868E1,2.540644868E1
1.069101036E1,5.322950602E1,1.040304128E1,3.382952863E1,1.268340230E0,2.566645954E2,1.165272591E1,1.165272591E1
1.164130533E1,5.322949541E1,1.040302670E1,3.381864093E1,1.302315354E0,2.496195355E2,1.297541816E1,1.297541816E1
1.259128022E1,5.322948645E1,1.040302024E1,3.382143324E1,1.341114163E0,2.504743595E2,7.384940873E0,7.384940873E0
1.354096687E1,5.322948103E1,1.040300969E1,3.384051467E1,1.309950113E0,2.515949764E2,8.247713548E0,8.247713548E0
1.449064279E1,5.322947750E1,1.040299202E1,3.384051486E1,1.309950113E0,2.515949623E2,8.247713548E0,8.247713548E0
1.544061601E1,5.322947343E1,1.040298119E1,3.384149385E1,1.325940251E0,2.446765752E2,1.251475988E1,1.251475988E1
1.639693701E1,5.322947285E1,1.040296376E1,3.385930932E1,1.325940251E0,2.541971699E2,6.180317707E0,6.180317707E0
1.739691019E1,5.322946479E1,1.040294699E1,3.386765718E1,1.583967090E0,2.502621599E2,6.031983753E0,6.031983753E0
1.839740574E1,5.322946515E1,1.040292122E1,3.391699670E1,1.583967090E0,2.597332936E2,6.023033970E0,6.023033970E0
1.939694953E1,5.322946581E1,1.040290528E1,3.394392852E1,1.352014780E0,2.575915095E2,5.929980763E0,5.929980763E0
2.039692223E1,5.322946058E1,1.040290044E1,3.396603022E1,1.211140037E0,2.511684609E2,7.396911324E0,7.396911324E0
2.139728284E1,5.322945713E1,1.040288937E1,3.399042678E1,9.649920464E-1,2.563659169E2,9.426307878E0,9.426307878E0
2.239725602E1,5.322945351E1,1.040287261E1,3.400179561E1,1.044645429E0,2.617812685E2,8.843163965E0,8.843163965E0
2.339722848E1,5.322944329E1,1.040285555E1,3.405681605E1,1.122452021E0,2.631764913E2,1.196340492E1,1.196340492E1
2.439720058E1,5.322944302E1,1.040284247E1,3.407665058E1,1.044645429E0,2.660732897E2,8.662625241E0,8.662625241E0
2.539717364E1,5.322944760E1,1.040283227E1,3.409146982E1,9.264709353E-1,2.667666853E2,1.111591142E1,1.111591142E1
2.639714587E1,5.322944368E1,1.040281570E1,3.408482552E1,8.944907188E-1,2.671174435E2,7.961495018E0,7.961495018E0
2.739711881E1,5.322944206E1,1.040279907E1,3.408232173E1,8.592784405E-1,2.650509655E2,1.078457970E1,1.078457970E1
2.839709091E1,5.322944060E1,1.040276979E1,3.414281198E1,1.205707550E0,2.786052661E2,1.242908370E1,1.242908370E1
2.939706337E1,5.322943564E1,1.040275196E1,3.417460910E1,9.628665447E-1,2.862573235E2,1.984140525E1,1.984140525E1
3.039703619E1,5.322943238E1,1.040271676E1,3.420781760E1,1.076365709E0,2.818427508E2,1.489493322E1,1.489493322E1
3.139700913E1,5.322943228E1,1.040268280E1,3.422717279E1,1.076365709E0,2.837030730E2,1.472355507E1,1.472355507E1
3.239698207E1,5.322942416E1,1.040266010E1,3.424544026E1,1.016314387E0,2.719342804E2,6.021939972E0,6.021939972E0
3.339695442E1,5.322942125E1,1.040264308E1,3.427385585E1,1.016314387E0,2.696240748E2,6.087589878E0,6.087589878E0
3.439692664E1,5.322941671E1,1.040263913E1,3.468147711E1,1.117257616E0,2.820553292E2,5.289191606E0,5.289191606E0
3.539689934E1,5.322941186E1,1.040262145E1,3.526153332E1,8.158973273E-1,2.707193782E2,5.280786927E0,5.280786927E0
3.639687204E1,5.322940323E1,1.040260671E1,3.518924400E1,7.904519704E-1,2.498212230E2,5.287844437E0,5.287844437E0
3.739684415E1,5.322940816E1,1.040259260E1,3.517721783E1,1.050774822E0,2.659615941E2,5.213351160E0,5.213351160E0
3.839681733E1,5.322940350E1,1.040257807E1,3.519966348E1,8.258823791E-1,2.654033106E2,5.195071064E0,5.195071064E0
3.939678991E1,5.322940365E1,1.040255763E1,3.491270111E1,8.449539332E-1,2.750705103E2,5.171375801E0,5.171375801E0
4.039676189E1,5.322940113E1,1.040253963E1,3.450695567E1,8.065258604E-1,2.697151260E2,5.158692740E0,5.158692740E0
4.139673519E1,5.322940052E1,1.040252054E1,3.447807144E1,7.759233645E-1,2.707453006E2,5.159361783E0,5.159361783E0
4.239670730E1,5.322939022E1,1.040250495E1,3.434376018E1,7.421217149E-1,2.546007577E2,5.138346613E0,5.138346613E0
