"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.239333328E-3,-2.924618225E0,6.085894318E0,7.614665222E0
1.416333331E-2,-3.005599823E0,5.819149017E0,7.573949890E0
2.408733332E-2,-2.813100128E0,5.446424103E0,7.537725220E0
3.401233332E-2,-2.412982178E0,5.450465698E0,7.715555420E0
4.393633333E-2,-2.301164703E0,5.332361298E0,7.803572388E0
5.386033331E-2,-2.166594543E0,5.256618805E0,8.033793640E0
6.378433332E-2,-2.083217926E0,5.253924408E0,8.107440491E0
7.370933332E-2,-2.097438354E0,5.125192108E0,7.969577179E0
8.363333333E-2,-2.120191040E0,5.103187866E0,8.039481812E0
9.355733331E-2,-2.251018982E0,5.138664093E0,8.135581970E0
1.034813333E-1,-2.379751282E0,5.150788879E0,8.211474152E0
1.134063333E-1,-2.388133850E0,5.072651367E0,8.270451508E0
1.233303333E-1,-2.332898712E0,4.964875488E0,8.381370850E0
1.332543333E-1,-2.190844116E0,4.921316071E0,8.461154938E0
1.431783333E-1,-2.009421387E0,4.964426422E0,8.534352722E0
1.531033333E-1,-1.977388000E0,5.041965179E0,8.542884979E0
1.630273333E-1,-2.251168671E0,5.083878021E0,8.349487152E0
1.729513333E-1,-2.444865875E0,5.226231995E0,8.372090149E0
1.828753333E-1,-2.326312408E0,5.357958069E0,8.517886963E0
1.928003333E-1,-2.142045593E0,5.289700012E0,8.404572601E0
2.027243333E-1,-1.911075897E0,5.105433197E0,8.313861237E0
2.126483333E-1,-1.775906982E0,4.803960114E0,8.281229095E0
2.225723333E-1,-1.742676086E0,5.012626190E0,8.409512329E0
2.324973333E-1,-1.733694763E0,5.211113434E0,8.491990814E0
2.424213333E-1,-1.753603363E0,5.044509888E0,8.583450623E0
2.523453333E-1,-1.700014801E0,4.918621674E0,8.676706696E0
2.622693333E-1,-1.671723633E0,4.865781555E0,8.668324127E0
2.721943333E-1,-1.732646942E0,4.884193268E0,8.734636230E0
2.821183333E-1,-1.730102234E0,4.834346924E0,8.745713196E0
2.920423333E-1,-1.617985382E0,4.681664429E0,8.684939575E0
3.019663333E-1,-1.500629425E0,4.550387421E0,8.744216309E0
3.118913333E-1,-1.460512848E0,4.537963257E0,8.696615295E0
3.218153333E-1,-1.507215729E0,4.607418823E0,8.682394867E0
3.317393333E-1,-1.513502655E0,4.655019836E0,8.653654633E0
3.416633333E-1,-1.620530090E0,4.662953339E0,8.881031799E0
3.515883333E-1,-1.297950897E0,4.759502563E0,9.004824371E0
3.615123333E-1,-1.508113861E0,4.604874115E0,8.765472107E0
3.714363333E-1,-1.895358582E0,4.402195587E0,8.793014832E0
3.813603333E-1,-1.394649811E0,4.531676331E0,8.907377014E0
3.912843333E-1,-1.353186035E0,4.564158783E0,8.803942108E0
