"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
3.760512300E-2,4.462500095E0,-3.305625153E1,-3.793125153E1
4.760512300E-2,4.312500000E0,-3.283125305E1,-3.761250305E1
5.760512300E-2,4.518750191E0,-3.262500000E1,-3.766875076E1
6.760512300E-2,4.518750191E0,-3.247500229E1,-3.791250229E1
7.760512300E-2,4.462500095E0,-3.226875305E1,-3.772500229E1
8.760512300E-2,4.762500286E0,-3.226875305E1,-3.731250000E1
9.760512300E-2,4.631250381E0,-3.226875305E1,-3.727500153E1
1.076051230E-1,4.593750000E0,-3.255000305E1,-3.716250229E1
1.176051230E-1,4.500000000E0,-3.262500000E1,-3.697500229E1
1.276051230E-1,4.650000095E0,-3.262500000E1,-3.688125229E1
1.376051230E-1,4.706250191E0,-3.268125153E1,-3.673125076E1
1.476051230E-1,4.987500191E0,-3.279375076E1,-3.645000076E1
1.576051230E-1,5.175000191E0,-3.307500076E1,-3.624375153E1
1.676051230E-1,5.212500095E0,-3.322500229E1,-3.645000076E1
1.776051230E-1,5.400000095E0,-3.343125153E1,-3.660000229E1
1.876051230E-1,5.812500000E0,-3.333750153E1,-3.641250229E1
1.976051230E-1,6.337500095E0,-3.356250000E1,-3.637500000E1
2.076051230E-1,6.656250477E0,-3.369375229E1,-3.633750153E1
2.176051230E-1,7.050000191E0,-3.371250153E1,-3.616875076E1
2.276051230E-1,7.387500286E0,-3.369375229E1,-3.603750229E1
2.376051230E-1,7.875000477E0,-3.373125076E1,-3.618750000E1
2.476051230E-1,8.137500763E0,-3.375000000E1,-3.611250305E1
2.576051230E-1,8.812500000E0,-3.363750076E1,-3.585000229E1
2.676051230E-1,9.356250763E0,-3.350625229E1,-3.592500305E1
2.776051230E-1,9.825000763E0,-3.318750000E1,-3.596250153E1
2.876051230E-1,1.038750076E1,-3.324375153E1,-3.598125076E1
2.976051230E-1,1.078125000E1,-3.326250076E1,-3.590625000E1
3.076051230E-1,1.104375076E1,-3.337500000E1,-3.568125153E1
3.176051230E-1,1.130625057E1,-3.337500000E1,-3.541875076E1
3.276051230E-1,1.171875000E1,-3.335625076E1,-3.521250153E1
3.376051230E-1,1.192500019E1,-3.343125153E1,-3.485625076E1
3.476051230E-1,1.205625057E1,-3.354375076E1,-3.465000153E1
3.576051230E-1,1.196250057E1,-3.388125229E1,-3.420000076E1
3.676051230E-1,1.205625057E1,-3.382500076E1,-3.406875229E1
3.776051230E-1,1.226250076E1,-3.401250076E1,-3.406875229E1
3.876051230E-1,1.213125038E1,-3.423750305E1,-3.414375305E1
3.976051230E-1,1.196250057E1,-3.427500153E1,-3.397500229E1
4.076051230E-1,1.141875076E1,-3.435000229E1,-3.382500076E1
4.176051230E-1,1.083750057E1,-3.465000153E1,-3.405000305E1
4.276051230E-1,1.016250038E1,-3.489375305E1,-3.418125153E1
4.376051230E-1,9.450000763E0,-3.472500229E1,-3.440625000E1
4.476051230E-1,8.456250191E0,-3.498750305E1,-3.440625000E1
4.576051230E-1,7.462500095E0,-3.478125000E1,-3.440625000E1
4.676051230E-1,6.712500095E0,-3.472500229E1,-3.455625153E1
4.776051230E-1,5.906250000E0,-3.472500229E1,-3.483750153E1
4.876051230E-1,5.362500191E0,-3.476250076E1,-3.517500305E1
4.976051230E-1,4.537500381E0,-3.455625153E1,-3.541875076E1
5.076051230E-1,3.637500048E0,-3.442500305E1,-3.560625076E1
5.176051230E-1,2.700000048E0,-3.444375229E1,-3.596250153E1
5.276051230E-1,1.668750048E0,-3.410625076E1,-3.620625305E1
5.376051230E-1,6.937500238E-1,-3.431250000E1,-3.661875153E1
5.476051230E-1,-3.187500238E-1,-3.405000305E1,-3.691875076E1
5.576051230E-1,-1.218750000E0,-3.380625153E1,-3.731250000E1
5.676051230E-1,-2.456250191E0,-3.341250229E1,-3.770625305E1
5.776051230E-1,-3.506250143E0,-3.298125076E1,-3.776250076E1
5.876051230E-1,-4.481250286E0,-3.245625305E1,-3.796875000E1
5.976051230E-1,-5.493750095E0,-3.196875191E1,-3.810000229E1
6.076051230E-1,-6.562500477E0,-3.174375153E1,-3.817500305E1
6.176051230E-1,-7.818750381E0,-3.116250038E1,-3.817500305E1
6.276051230E-1,-8.812500000E0,-3.078750038E1,-3.825000000E1
6.376051230E-1,-1.003125000E1,-3.030000114E1,-3.825000000E1
6.476051230E-1,-1.096875000E1,-2.994375038E1,-3.821250153E1
6.576051230E-1,-1.192500019E1,-2.945625114E1,-3.843750000E1
6.676051230E-1,-1.303125095E1,-2.911875153E1,-3.851250076E1
6.776051230E-1,-1.408125019E1,-2.878125191E1,-3.858750153E1
6.876051230E-1,-1.498125076E1,-2.812500191E1,-3.868125153E1
6.976051230E-1,-1.575000095E1,-2.775000191E1,-3.883125305E1
7.076051230E-1,-1.672500038E1,-2.733750153E1,-3.885000229E1
7.176051230E-1,-1.760625076E1,-2.696250153E1,-3.888750076E1
7.276051230E-1,-1.815000153E1,-2.636250114E1,-3.888750076E1
7.376051230E-1,-1.886250114E1,-2.606250191E1,-3.885000229E1
7.476051230E-1,-1.933125114E1,-2.566875076E1,-3.883125305E1
7.576051230E-1,-1.957500076E1,-2.512500191E1,-3.881250000E1
7.676051230E-1,-2.015625000E1,-2.463750076E1,-3.883125305E1
7.776051230E-1,-2.073750114E1,-2.405625153E1,-3.881250000E1
7.876051230E-1,-2.101875114E1,-2.345625114E1,-3.879375076E1
7.976051230E-1,-2.124375153E1,-2.308125114E1,-3.879375076E1
8.076051230E-1,-2.171250153E1,-2.274375153E1,-3.911250305E1
8.176051230E-1,-2.195625114E1,-2.246250153E1,-3.928125000E1
8.276051230E-1,-2.205000114E1,-2.199375153E1,-3.961875153E1
8.376051230E-1,-2.214375114E1,-2.156250000E1,-3.956250000E1
8.476051230E-1,-2.184375000E1,-2.126250076E1,-3.960000229E1
8.576051230E-1,-2.191875076E1,-2.092500114E1,-3.945000076E1
8.676051230E-1,-2.223750114E1,-2.068125153E1,-3.969375229E1
8.776051230E-1,-2.240625000E1,-2.025000000E1,-3.973125076E1
8.876051230E-1,-2.250000000E1,-1.985625076E1,-3.971250153E1
8.976051230E-1,-2.255625153E1,-1.927500153E1,-3.969375229E1
9.076051230E-1,-2.283750153E1,-1.910625076E1,-3.965625000E1
9.176051230E-1,-2.315625000E1,-1.893750000E1,-3.988125229E1
9.276051230E-1,-2.330625153E1,-1.888125038E1,-3.993750000E1
9.376051230E-1,-2.317500114E1,-1.871250153E1,-4.029375076E1
9.476051230E-1,-2.328750038E1,-1.837500000E1,-4.031250000E1
9.576051230E-1,-2.347500038E1,-1.828125000E1,-4.025625229E1
9.676051230E-1,-2.371875000E1,-1.820625114E1,-3.993750000E1
9.776051230E-1,-2.413125038E1,-1.803750038E1,-3.988125229E1
9.876051230E-1,-2.454375076E1,-1.796250153E1,-3.948750305E1
9.976051230E-1,-2.505000114E1,-1.762500000E1,-3.931875229E1
1.007605123E0,-2.576250076E1,-1.730625153E1,-3.913125229E1
1.017605123E0,-2.625000191E1,-1.702500153E1,-3.871875000E1
1.027605123E0,-2.645625114E1,-1.689375114E1,-3.823125076E1
1.037605123E0,-2.701875114E1,-1.655625153E1,-3.808125305E1
