"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.459871300E-2,-1.960875988E-1,-4.352411628E-1,-2.501491308E-1
1.944808800E-2,-2.724456787E-1,-5.303069949E-1,-2.106719911E-1
2.429746300E-2,-3.359756172E-1,-6.292670965E-1,-1.599702090E-1
2.914689000E-2,-3.878991306E-1,-7.239511013E-1,-1.007163301E-1
3.399621300E-2,-4.324922562E-1,-8.186351657E-1,-4.085158184E-2
3.884564000E-2,-4.679224193E-1,-9.090431333E-1,1.595884189E-2
4.369501500E-2,-4.972439408E-1,-9.939533472E-1,6.116283685E-2
4.854439000E-2,-5.210676789E-1,-1.068478823E0,9.476039559E-2
5.339376500E-2,-5.412262082E-1,-1.124678373E0,1.100320220E-1
5.824314000E-2,-5.528326035E-1,-1.130787015E0,1.002581790E-1
6.309251500E-2,-5.497782826E-1,-1.075809240E0,5.688678101E-2
6.794189000E-2,-5.320632458E-1,-9.768491387E-1,-1.214093715E-2
7.279126500E-2,-4.978547990E-1,-8.723912835E-1,-9.949459881E-2
7.764064000E-2,-4.520399272E-1,-8.058069944E-1,-1.856265366E-1
8.249001500E-2,-4.019490182E-1,-7.428879142E-1,-2.809214294E-1
8.733939000E-2,-3.591884971E-1,-6.732493639E-1,-3.890444934E-1
9.218876500E-2,-3.255909383E-1,-6.133846045E-1,-5.032762289E-1
9.703814000E-2,-3.023780584E-1,-5.675697327E-1,-6.089558005E-1
1.018875150E-1,-2.864955962E-1,-5.388590693E-1,-6.975312233E-1
1.067368900E-1,-2.706131041E-1,-5.339722037E-1,-7.635046244E-1
1.115862650E-1,-2.590066791E-1,-5.547415614E-1,-8.099303246E-1
1.164356400E-1,-2.559523284E-1,-6.207149625E-1,-8.398627043E-1
1.212850150E-1,-2.632827163E-1,-7.380009890E-1,-8.575778008E-1
1.261343900E-1,-2.761108875E-1,-8.931606412E-1,-8.679624796E-1
1.309837650E-1,-2.950477004E-1,-1.055650711E0,-8.765146136E-1
1.358331400E-1,-3.170388341E-1,-1.206534266E0,-8.881210089E-1
1.406825150E-1,-3.518581092E-1,-1.334815860E0,-9.058361053E-1
1.455318900E-1,-4.031707644E-1,-1.453323722E0,-9.388228059E-1
1.503812650E-1,-4.770853817E-1,-1.556559801E0,-9.852485061E-1
1.552306400E-1,-5.766563416E-1,-1.623144031E0,-1.039615512E0
1.600800150E-1,-7.012727857E-1,-1.672624111E0,-1.099480271E0
1.649293900E-1,-8.417716622E-1,-1.709275961E0,-1.158734083E0
1.697787650E-1,-9.908226728E-1,-1.728212833E0,-1.215544581E0
1.746281400E-1,-1.146593213E0,-1.734932303E0,-1.260748506E0
1.794775150E-1,-1.298698545E0,-1.750203967E0,-1.287626624E0
1.843268900E-1,-1.442251801E0,-1.789299250E0,-1.299843907E0
1.891762650E-1,-1.610239506E0,-1.761199474E0,-1.304730773E0
1.940256400E-1,-1.741575480E0,-1.548618555E0,-1.298622131E0
1.988750150E-1,-1.785557747E0,-1.290222764E0,-1.280296206E0
2.037243900E-1,-1.819766164E0,-1.109406829E0,-1.254029036E0
2.085737650E-1,-1.833205223E0,-9.475276470E-1,-1.220431447E0
2.134231400E-1,-1.789833784E0,-7.715985775E-1,-1.186833858E0
2.182725150E-1,-1.709199667E0,-6.451495886E-1,-1.153847218E0
2.231218900E-1,-1.607796073E0,-5.657371283E-1,-1.129412651E0
2.279712650E-1,-1.492953539E0,-4.906007648E-1,-1.135521293E0
2.328206400E-1,-1.372002244E0,-3.989710510E-1,-1.181336164E0
2.376700150E-1,-1.262657523E0,-2.535852492E-1,-1.252196431E0
2.425194420E-1,-1.171638608E0,-2.206749097E-2,-1.320613265E0
2.472753790E-1,-1.087339282E0,1.636354029E-1,-1.373147607E0
2.520297020E-1,-9.914335608E-1,2.021198869E-1,-1.398803949E0
2.567840770E-1,-8.949168921E-1,2.424369603E-1,-1.404301763E0
2.615383480E-1,-8.038980365E-1,3.096320927E-1,-1.388419271E0
2.662927230E-1,-7.208204269E-1,3.615556061E-1,-1.351156592E0
2.710469940E-1,-6.432406306E-1,3.853793144E-1,-1.291902661E0
2.758013690E-1,-5.687150955E-1,3.743837476E-1,-1.216766238E0
2.805556920E-1,-5.002982616E-1,3.310123384E-1,-1.133688688E0
2.853100150E-1,-4.355465770E-1,2.509890795E-1,-1.040226340E0
2.900642860E-1,-3.787361681E-1,1.220965981E-1,-8.991165757E-1
2.948186080E-1,-3.359756172E-1,-9.850194678E-3,-7.237983942E-1
2.995729310E-1,-3.121519089E-1,-1.002581790E-1,-5.411498547E-1
3.043272540E-1,-2.950477004E-1,-1.766162813E-1,-3.591121435E-1
3.090816290E-1,-2.785543501E-1,-2.438113987E-1,-1.856265366E-1
3.138359000E-1,-2.645044625E-1,-3.018435538E-1,-1.519526169E-2
3.185902230E-1,-2.583957911E-1,-3.568213880E-1,1.558468789E-1
3.233445460E-1,-2.535088956E-1,-4.105774760E-1,3.213912249E-1
3.280988690E-1,-2.455676347E-1,-4.508945644E-1,4.502837062E-1
3.328531920E-1,-2.302960157E-1,-4.637227356E-1,5.321395993E-1
3.376075670E-1,-2.089157552E-1,-4.325686097E-1,6.262127757E-1
3.423618380E-1,-1.814268380E-1,-3.617083132E-1,7.184533477E-1
3.471161610E-1,-1.502727419E-1,-2.615264952E-1,7.789289355E-1
3.518704830E-1,-1.221729591E-1,-1.760054082E-1,7.899245024E-1
3.566248060E-1,-1.007926911E-1,-1.369100660E-1,7.459422350E-1
3.613791290E-1,-8.491020650E-2,-1.216384470E-1,6.598103046E-1
3.661334520E-1,-7.574722916E-2,-9.781472385E-2,5.394699574E-1
3.708877750E-1,-7.208204269E-2,-3.184132650E-2,4.020253718E-1
3.756420980E-1,-7.880155742E-2,1.233183295E-1,2.847393453E-1
3.803964210E-1,-7.513637096E-2,2.247218788E-1,1.815031916E-1
3.851507440E-1,-5.619955808E-2,3.322340846E-1,8.071050793E-2
3.899050670E-1,-1.588248461E-2,4.391354322E-1,9.850194678E-3
3.946593900E-1,3.787361458E-2,5.240456462E-1,-1.153007243E-2
3.994137130E-1,9.407317638E-2,5.759691000E-1,1.290451828E-2
4.041680360E-1,1.404989064E-1,5.778017044E-1,5.444332212E-2
4.089223580E-1,1.795942485E-1,5.374846458E-1,9.414953738E-2
4.136766810E-1,2.205221802E-1,4.428006113E-1,1.289688200E-1
4.184310040E-1,2.706131041E-1,2.925278842E-1,1.637881249E-1
4.231853270E-1,3.365865052E-1,1.086575761E-1,1.998291463E-1
4.279396500E-1,4.214966893E-1,-7.582359016E-2,2.377027571E-1
4.326939730E-1,5.271763206E-1,-2.309832424E-1,2.835176289E-1
4.374482960E-1,6.530144215E-1,-3.555996716E-1,3.439932168E-1
4.422026190E-1,7.971785665E-1,-4.551706314E-1,4.136318266E-1
4.469569420E-1,9.578359723E-1,-4.942659736E-1,4.808269441E-1
4.517112650E-1,1.130099893E0,-4.166861475E-1,5.260309577E-1
4.564655880E-1,1.304807186E0,-2.468657345E-1,5.437459946E-1
